ParlaMint-NL_2019-12-10-eerstekamer-3.u1	I would like to welcome the Secretary of State for Finance back to the First Chamber.
ParlaMint-NL_2019-12-10-eerstekamer-3.u2	I give the floor to the Secretary of State.
ParlaMint-NL_2019-12-10-eerstekamer-3.u3	Thank you, Mr. Chairman. Let's get the papers back in order. Last night, the good questions we received from your Chamber were thoroughly addressed. I begin, of course, as most began, with my congratulations for Mrs Geerdink's maiden speech. I said it yesterday: it was an interesting contribution, but I also found her English so beautiful. I don't know if anyone else thought so, but I wanted to say that here. In any case, it is a great pleasure for me to discuss with you today the six legislative proposals contained in the Tax Plan and to add the two implementing legislative proposals: ATAD 2 and DAC6, to use just a few beautiful abbreviations. Once again, I found the debate very high-quality yesterday. Many questions have been asked and we have really had to think hard about providing them all with a good answer. I hope I will succeed in that later today. We have, of course, already had two written rounds, so that some of the technology has perhaps already been exchanged so that we can now focus mainly on the political aspects. Let me start with the size of the package. It was cited yesterday by several speakers and I agree with them: it is a lot. It was a lot last year, it was a lot the year before, and this year it might have been more than in the years before. The wish of the House of Representatives, as well as of your Chamber, is right to see whether we can better spread these legislative proposals over the year. We said last year that we could indeed do so instead of always linking all the legislative proposals with a budgetary interest in a tax plan package and that we would consider whether we could bring some things forward earlier in the year. That's what I'm gonna do. At the end of the year there will be a legislative review showing which laws will be on the table for next year. I will deal with this later and I can also say something about the timing, because I agree with you that it is a little much. I will be the first to follow this up with the draft Tax Collection Act 2020-2021 that we will be offering to the House of Representatives in the first quarter of next year. There are a lot of things that have already been put together that we would normally have taken to a tax plan package. We decided to offer this to both chambers earlier in the year. In short, I will continue my efforts to submit legislative proposals to the House of Representatives as far as possible at the time they are ready, so that the members of your Chamber will also have more time to deal with the issues and the legislative proposals carefully and thoroughly. Let me mention a number of legislative proposals that will go to the Chamber separately. For example, it concerns the implementation of the e-commerce directive, which will come to the House of Representatives in the first quarter of 2020 and then your direction as soon as possible. I would also like to mention the Data Processing Act Tax Administration, the modification in box 3.......................................................................................................................................................... These will go to the Chamber in order during the year. According to the planning, a new group scheme to replace the tax unit will come your way in 2020 or 2021 via the Lower House. I will say a little more later on about what ambitions we still have, and a number of these legislative proposals come back to me. Mr. Chairman. It's a big package, and I'm getting started on the content. I made a couple of cubes. If that has your approval, I'll try to act in that order. First, I'll start with Tax Plan 2020. Then the bill OFM 2020. The third block is the Tax Climate Measures Act. The fourth block is the Law on withholding tax 2021, ATAD 2 and DAC6. And then finally, as so often, the block Other questions. That block contains several parts that have not yet been treated. If that can also have the agreement of your President, I would like to deal with it in that order and start with the Tax Plan 2020, which is actually at the heart of this package. Logically, there are always a lot of questions about the burden picture. What does that mean? What choices have been made? It is good to start with this and perhaps with the observation that the economy is at full swing at the moment. Employment is still growing. As a cabinet, we have said that the Dutch must be able to feel the positive effects of this in their pockets. That is why the cabinet also reduces the burden on labour. This is one of the most important priorities, including the fiscal policy agenda. The last Millions note and the previous Tax Plan have already taken important steps, but with this Tax Plan we are trying to take a number of additional steps. For example, the acceleration of the introduction of the dual-disk system and also measures in the general tax rebate and the labour rebate. They have been mentioned, and I shall say a little more about them in this way, especially with the idea that workers, especially middle-income workers, should feel that the economy is growing this year. They should notice that in their wallet. I shall begin with a question from Mr Vendrik, which I myself have thought about a little longer, about the analysis of Stiglitz, renowned economist and, as Mr Vendrik knows, someone I had to deal with in the past when I was at the IMF, because Mr Stiglitz was not exactly in favour of many of the IMF programmes we did. But he's a damn good economist. He has written a new book in which he says something about equality of income and what that can mean for economic growth. In addition, I say immediately that Stiglitz bases his book mainly on American insights and economics. As we all know, the difference between rich and poor in America is not comparable to the differences in the Netherlands. Especially if you live in America for a number of years, you can also notice it on a daily basis. So if you were to position his story in the Dutch situation, you would see that a lot of what we have in the Netherlands already fits his ideal image. Nevertheless, his analysis is this. It used to be thought that people with a lot of income actually spend more money than money to invest; that would be good for the economy. Then you have some kind of over-capacity in money and you could put that in for investment. And so the classic doctrine, also in Washington, was that at very even incomes at a slightly lower level you had left too little investment money, investment capacity, for people to make investments. So they spent, like, all the money on consumption. In the meantime, this image is also not necessarily correct by the IMF for the first time a year or three years ago. It is also true that a stable economy, in which everyone is attracted and in which consumption has a basic pattern, can lead very much to higher economic growth. In my view, the most far-reaching conclusion reached by the IMF was that at least you could no longer prove that income inequality sometimes led to higher economic growth. That was already a huge U-turn for the IMF, but I think Stiglitz is making a really good comparison here. One of the key messages of European integration is also about this income equality and how important it is that we all reach a higher level within Europe. This equality can certainly contribute to economic stability and growth. This is a short reflection. I could philosophize about this for hours, but I won't. I think that part of Stiglitz's story actually fits very closely with the model we have chosen in Sweden, or in Norway, or in the Netherlands or Switzerland, much more than the story we have in America.
ParlaMint-NL_2019-12-10-eerstekamer-3.u4	May I ask the Secretary of State: this is about housekeeping, the families. But the tragedy I see is that I forgot to say it yesterday, but prepared is that the companies have more and more profits but they do not invest. They give that back to the shareholders then it's thousands of billions a year around the world by buying shares and so on. The interest rate is very low, they don't borrow because they don't invest. That's where the drama of growth is. That is, I think, because many sectors are in maturity, so it is already difficult there. Others have to do the transition. And then we're going to lower corporate tax. With that point, I'm really in my stomach, regardless of how you think about it politically. The economic underpinning of profit is that it has to be reinvested, but if there is no demand or no investment agenda, it does not happen.
ParlaMint-NL_2019-12-10-eerstekamer-3.u5	This is a very big issue. How can it be that with such low interest rates, investments are lagging behind in this way? What are we doing in our economy that the level of investment does not come loose, even if there is, as at present, a super low interest rate? Real interest rates are also low. This is an important issue. During the Financial Reviews, we discussed this with each other for a while. There are a lot of causes. It is a fairly broad problem that is global and not just with us. Mr Crone is making a bridge to our own VPB measure. There are still a lot of bridges to make before we get there, but it is a good question. Why do we choose to do that? I will say more about it later when we talk about business. Ultimately, we do not opt for a simple reduction in the Vpb tariff, but for a combination of measures. We opt for a measure with broadening of the base in conjunction with tariff reductions. I finally believe in a system that's really attractive. There is a low general rate and there is a low difference between the real rate and the effective rate. In short, there are few fundamentalists. I can see Mr Van Apeldoorn waiting for an interruption. I think he is very much in agreement with me that it is wise that all the basic narrowers are out. The cabinet opts for broadening the base and for tariff reductions. On balance, there is an increase in the burden on business and no reduction in the burden. That picture does not exactly correspond to what Mr Crone has outlined here.
ParlaMint-NL_2019-12-10-eerstekamer-3.u6	You can say that at best for the year 2021, but over the ten-year period, the share of profits in taxes has fallen enormously to the detriment of labour. If you come back to it, I'm fine with it. The biggest tragedy is not that companies would have too much money, but that they would give it back to the shareholders, who would not then invest it. That was the first part of your story. Shareholders are citizens who apparently do not invest the money again. Companies don't do that either. Then why lower the Vpb further next year?
ParlaMint-NL_2019-12-10-eerstekamer-3.u7	Again, the bridge between part one of the argument and part two of the argument is about twenty other bridges. Part one is the question of why there is so little investment. Again, you can ask a lot of economists about that. One of the causes is that you need less capital to achieve effective growth. That's much less than when there was a more physical economy. There are other causes. If you look at the interest rate trend over the past few years, you can see that there's something really different going on. That is really another issue. On the issue we want to deal with business, my starting point and that of the cabinet is that it is a good thing that we have a statutory rate that is not too high and that at the same time does not go hand in hand with too many ground-breakers. That's actually where we came from. A number of years we had a much higher corporate tax with a lot of horns and phone calls to get the effective rate down. I think it would be much more sensible to reduce the rate in nominal terms and to use the principle of broadening.
ParlaMint-NL_2019-12-10-eerstekamer-3.u8	I was still sitting, but you called me out. I have a bit of a point of order. I assume the Secretary of State will return to the Vpb later. That's what I think he said. I have some questions about that, too, but I'm gonna park it now. Let me come back to the story about Stiglitz and the spin that the IMF has made. The OECD has also recognised and reported extensively that excessive income inequality is bad for growth and productivity. The Secretary of State started his story about the Tax Plan with what will happen in the sphere of income tax. Then I have the next question. If the Secretary of State, if the Government recognizes that excessive inequality is not only undesirable from a normative perspective or in terms of fairness, honesty and justice, but is also bad for the economy and for growth, why does the Government choose to introduce the two-disk system whereby the highest disc is reduced and the lowest disc increased? I was wondering if the Secretary of State would agree to that. I have also asked a few questions about this.
ParlaMint-NL_2019-12-10-eerstekamer-3.u9	Yes, I do. I still have a couple of notes that are all about these kinds of questions. I can come back to it. I respond very briefly to the latter. Of course, it is not the case that the government takes only one measure when it comes to tariffs. We are taking all kinds of accompanying measures that, for example, have different purchasing power effects and create a different burden. In August we always look at the whole picture of the burden. A balanced purchasing power development for all income groups and family compositions is one of the starting points. We want to achieve it as much as possible. This year there was extra attention for middle incomes and for workers. That will also be our focus for next year. But that balanced income development is absolutely important. Of course, you'll never get it past comma year in, year out on the same thing. Moreover, we always have to be careful, when talking about purchasing power cards, to think that we give point estimates for all kinds of individual Dutch people. This is really about what happens to a certain group. But I still have a number of questions on this subject that are being answered.
ParlaMint-NL_2019-12-10-eerstekamer-3.u10	Maybe I will come back to it later, but just one more point. The Secretary of State just said that everyone should feel it in the wallet right now. That promise has been made several times by the cabinet. It was already announced at the presentation of the coalition agreement: everyone must experience it. It is clear to everyone, including the cabinet itself, that this is not yet the case. That is also more or less admitted, although the Prime Minister kept a whole story in the General Political Reviews about that experience being subjective. But we all agree that people have seen that objectively too little in their wallet. Now we are committed to achieving that. My question remains whether you could perhaps do that even more effectively, including for middle incomes, by, for example, lowering the first rate band. You could do that budget neutrally if you raise the highest rate at the same time. Surely that would be a very effective measure to achieve that goal?
ParlaMint-NL_2019-12-10-eerstekamer-3.u11	There are a lot of measures that you can take on balance to achieve a balanced purchasing power picture. Mr Van Apeldoorn proposes a different approach than we have taken. That flat tax.. it goes to two discs.. was an important political starting point. But then there is always a series of other measures to ensure that purchasing power is sufficiently balanced.
