ParlaMint-NL_2019-03-06-tweedekamer-5.u1	I shall be the first to give the floor to Mrs Den Boer on behalf of D66.
ParlaMint-NL_2019-03-06-tweedekamer-5.u2	Mr. Chairman. I would like to thank the Secretary of State for the exchange of views we had during the AA. I shall now proceed to read out a motion that I have tabled together with Mrs Bergkamp. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government Agreement has agreed that unnecessary gender registration should be restricted where possible;]] [[Considering that the Court considers that gender perception is crucial in the legal recognition of a neutral gender identity, but that current legislation does not allow for this and that it is up to the legislator to make choices in this respect;]] [[considers that there is no reason to await developments in the international field of gender neutrality;]] [[calls on the Government to identify, where possible before the summer recess and otherwise before the end of the year, the legal, financial and technical opportunities and obstacles to the revision of the gender reporting on passports and identity cards and the possibilities offered by the forthcoming Regulation biometrics on identity cards,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Den Boer and Mr Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25764-115]]
ParlaMint-NL_2019-03-06-tweedekamer-5.u3	Thank you very much. I would like to give the floor to Mrs Özütok on behalf of GroenLinks.
ParlaMint-NL_2019-03-06-tweedekamer-5.u4	Mr. Chairman. We've had a good AO with the Secretary of State. I drew attention to the fact that it is now very complicated for people to change their sex in the passport. Because of the link between the BRP and the birth certificate, people now have to go to court to get their birth certificate changed. As far as GroenLinks is concerned, this procedure should be much simpler. However, this requires a change of law. I have understood the Secretary of State in the AO in such a way that he wants to investigate this again. I would like to ask him when he can tell us more about this. I also have a motion on international legislation on passports. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are people who do not feel at home in the classical classification of men and women;]] [[Whereas sufficient other personal characteristics have been included in a passport to establish the identity of a person;]] [[Whereas, however, international directives provide that a gender indication is a mandatory part of the passport;]] [[calls on the Government to actively promote the removal of compulsory gender marking in the passport in an international context,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Özütok. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25764-116]]
ParlaMint-NL_2019-03-06-tweedekamer-5.u5	Thank you, Mr. Chairman. I would also like to thank the Secretary of State for a very good debate for the recess. It was also an important debate, as DigiD is the key to a strong and secure digital future for the Netherlands. Our passport, whatever we talked about, is the fallout of a lot of things that affect people in the country directly. It has also been shown again and again how important this Basic Registration Persons we have in the Netherlands is. Where you sometimes think that these are small technical points, the debate on them even affects subjects of international politics. The VVD therefore appreciates that the Secretary of State is very careful in this respect. He also made it clear in his reply that he really wanted to sort things out. I am therefore looking forward to promised follow-up. Mr. Chairman. That certainly applies to the business case DigiD. Because the question we discussed in the context of this renewed business case for DigiD, which is going to cost a billion dollars, is how it's going to be reversed. Do we get two markets with one government and the rest? That market organisation question is becoming very important, and I also think very important for the treatment of the Digital Government Act. If we have the promised documents, we can certainly take that further into consideration. For now, therefore, I do not wish to table any motions. Mr President, thank you very much.
ParlaMint-NL_2019-03-06-tweedekamer-5.u6	Thank you very much. Finally, I would like to give the floor to Mr Bosma on behalf of the PVV.
ParlaMint-NL_2019-03-06-tweedekamer-5.u7	Thank you, Mr President. This Secretary of State has done something really crazy. He is going to ensure that people from Israel can put in their passports as a place of birth "Gaza Strip and West Bank, including East Jerusalem." That's strange, because why is an exception made? Some people might want Friesland in their passports or the name of other areas that are not official countries. Why is the Secretary of State doing this, I wonder. It looks very much like this is the defacto recognition of the Palestinian State, which is not a state. It's very strange that the Secretary of State is doing this. Above all, the Netherlands should not do so, because a possible Palestinian State poses a huge threat to the only democracy in the Middle East. Such a Palestinian State would have only one goal, namely the destruction of the State of Israel, with which we have a long historical relationship and a certain responsibility. That Palestinian State would be after the destruction of the State of Israel, and its omens we see every day with regard to terror from areas that are not adequately controlled by Israel. That's why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government not to implement the proposed change to the country table and not to include "Gaza Strip and West Bank, including East Jerusalem,"]] [[and goes to the order of the day.]] [[This motion has been proposed by Member Martin Bosma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25764-117]]
ParlaMint-NL_2019-03-06-tweedekamer-5.u8	Thank you, Mr. Chairman.
ParlaMint-NL_2019-03-06-tweedekamer-5.u9	Thank you. Can the Secretary of State begin his reply in anticipation of the final motion? That is the case, so I am happy to give him the floor.
ParlaMint-NL_2019-03-06-tweedekamer-5.u10	Thank you, Mr. Chairman. The motion in part No. Indeed, 115 tabled by Mrs Den Boer, and also on behalf of Mrs Bergkamp, asks how steps can now be taken in the area of legislation to ensure that gender reporting and unnecessary gender registration are restricted. I must honestly say that there are a number of things in the motion that I am not very enthusiastic about. Just all the time. I can already say that before the summer recess is definitely not gonna work, and I don't like making promises I can't keep. So I really want to put that disclaimer down here, because this is about something that has serious consequences. I did say in the debate that I was going to see how we could do that together with JenV's colleague. This, of course, concerns precisely the issues described in the motion concerning legal, financial and technical opportunities and opportunities. If I can read the motion in such a way that I inform the Chamber before the end of the year about the state of play and that I am going to take stock of it, then I can leave the opinion to the Chamber. Maybe one more comment. The last sentence of the operative part refers to the possibilities offered by the forthcoming Regulation on biometrics on identity cards. He'll make it a little foggy. We talk about passports and identity cards one time, but this regulation is about identity cards and is still in procedure in Brussels, as part of the trialogue. I have promised the Chamber that she will be informed. However, if I can really read the motion in such a way that I am going to investigate before the end of the year how all this can be done and what we are facing, as is stated in the hull of the first operative part, then I can leave it to the Chamber.
ParlaMint-NL_2019-03-06-tweedekamer-5.u11	The Secretary of State has shown a positive basic attitude. We welcome that very much. It also states in the motion that this may be possible before the end of the year, but that is a point on the horizon. We really want to see action from the Secretary of State. So this is a firm encouragement.
