ParlaMint-NL_2019-11-13-tweedekamer-7.u1	I'm reopening the meeting. We shall continue with the examination of the Foreign Affairs budget.
ParlaMint-NL_2019-11-13-tweedekamer-7.u2	Actually, we would have stayed with Mrs Karabulut on behalf of the SP.
ParlaMint-NL_2019-11-13-tweedekamer-7.u3	Mr. Chairman. The world is on fire, literally in all places, as a result of the climate crisis, but also of politics. Look at Chile, Lebanon, Iraq, Hong Kong and France, but also the teachers in our own country. Tens of millions of people worldwide are on their feet to raise their voices, for freedom and human rights and against exploitation, inequality, corrupt elites and neoliberalism, which has been breaking down achievements for decades for the benefit of an ever smaller cabal of super rich people. We must not allow ourselves to be infected by authoritarian, oppressive leaders such as Bolsonaro, Bin Salman, Erdogan, Putin, Maduro and Al-Sisi to embrace and legitimize. Or by blindly chasing Trump or NATO. More of the same is not the solution, the fight for universal human rights and the strengthening of democracy, the democratization of the economy and the fight against inequality all the more. The solution will come from the bottom up, through the joint fight for social justice, for everyone, worldwide, through the fight for democracy, for socialism, for a policy that works for many, not for some. Mr. Chairman. In Chile, millions of people are opposed to neoliberal policies and repression by the state apparatus. What does the Minister think of this development? Last Sunday evening we saw the most horrible images from Bolivia. That's where President Morales was forced to leave by military forces. A coup was committed, after which horrific violence was used by opposition militias, army and police. Is the Minister judging this? Since October, more than 300 demonstrators have been killed in Iraq and 15,000 have been injured. It is brutal repression of a population that rightly criticises a government that is not functioning, a government that is making billions of dollars in oil exports and supported by the West. The population is also tired of the foreign interference of anyone. Amnesty International calls it excessive violence "a massacre." I ask the Minister to condemn this violence against demonstrators in clear language and to call for independent investigation. Is that what he wants to do? Mr. Chairman. The West did not want to prevent Turkey's long-announced illegal military intervention in northern Syria. Worse still, even after President Trump and President Erdogan made an equally dirty and treacherous deal after which the war broke out, serious measures were not taken. It is extremely painful and it reveals that interests take precedence over important values and exalted principles that the West claims to represent. Meanwhile, Syrians are driven out of their homes and killed by Turkey and their Islamic militias. It's the world upside down. What values are we talking about again? Why was an arms embargo imposed on Turkey not long before Syria was invaded? Why has this Minister put our proposals aside over and over again? Money had to be made. Turkey is a big spear and still an important NATO ally, we heard the Prime Minister say. Now there is an arms embargo, sort of. Not from the EU, because it was too divided, but from a number of EU countries, including the Netherlands. Of course that's very good. It would also be too absurd for words if weapons could still be sold to Turkey today. That is why I ask the Minister to assure us that no Dutch weapon will be delivered to Turkey as long as Northern Syria is occupied. I also ask the Minister to look back at all those times when calls for arms embargoes were not recommended. Without having the illusion that history would necessarily have gone very differently, I would ask the Minister what he thinks of that. An arms embargo, even for existing contracts, is actually just a beginning of a reaction. It's gonna take a lot more than that. To this end, Parliament has been called upon to do so, reminding the Marijnis motion which calls on the government to seek personalised economic and diplomatic sanctions with like-minded other EU countries. In the debate on this subject, it was stressed that the cabinet cannot hide behind a lack of unanimity within the EU. Can the Minister explain how he is carrying out this motion? Are there countries with which the Netherlands is in line and with which a set of sanctions can be agreed? I would like to receive a response from the Minister, a response in which he does not directly shoot into the 'can not' reflex, which was rightly criticised by the coalition last month. Mr. Chairman. Turkey has announced that it will send IS fighters to the countries of origin. The Syrian Democratic Forces in Northeast Syria want to send the children to the countries of origin, with the mothers with them. My question to the Minister is: what are the facts? And above all, what are the Minister's plans now? Is the Minister also prepared to hold talks with the Syrian Democratic Council in northern Syria? Mr. Chairman. The invasion of NATO alliance Turkey in Syria is yet another proof that NATO is in crisis. NATO does not appear to be able to call a member to order and force himself to abide by supposed principles of the alliance, such as the non-performance of an act of aggression. This is in addition to NATO's attitude in the conflict with Russia, which, through continuous expansion and militarisation of the border area itself, also contributes to escalation. Another crisis phenomenon is the NATO war in Afghanistan, where a lost battle has been sustained for eighteen years, in my view only to prevent loss of face. And then I have not even mentioned the demand that as much as 2% of our income be spent on war, while our teachers cannot even count on a decent wage. And what about the nuclear weapon file? Instead of disarmament, it is aimed at a billion euros of devouring modernisation, which makes it even easier to use nuclear weapons precisely. And then there are the statements made by the French President Macron. After Trump had previously called NATO "unneeded," Macron now calls the alliance "brain death." In his view, European countries can no longer rely on NATO and the United States for their security. That's true, of course, although he comes to this insight very late. I do not rule out the fact that future historians will have to establish that NATO and the US have not worked in the interests of our security since the fall of the Wall exactly 30 years ago. Of course, the list of crises is much longer, but I think my point is clear. I ask the Minister to reflect on the NATO crisis. Does he see the gravity of the case? Does he recognize there's been a crisis? Does the Minister see any possibility of investigating alternatives to NATO? What are the possibilities of creating a new security architecture capable of defending Europe but not itself contributing to greater insecurity? Or does the Minister accept the status quo? I thought that Mr Koopmans now feels that this is a natural moment to ask a question.
ParlaMint-NL_2019-11-13-tweedekamer-7.u4	Mrs Karabulut will give you the floor, I see.
ParlaMint-NL_2019-11-13-tweedekamer-7.u5	I am so glad that Mrs Karabulut and I sometimes agree.
ParlaMint-NL_2019-11-13-tweedekamer-7.u6	Oh, you also think NATO is in crisis?
ParlaMint-NL_2019-11-13-tweedekamer-7.u7	No, I point to the fact that you understand that this is a point on which the VVD is going to express harsh criticism. So thank you. Mrs Karabulut just said on behalf of the SP that there must be something else for NATO. If I understood her correctly, she also said, "We need to get rid of those nuclear weapons." Does Mrs Karabulut remember that she, in my opinion, was herself asking an expert what gesture Russia would read in if we, as the Netherlands or as NATO, were to throw away nuclear weapons unilaterally? That expert said, "They'll laugh at it, because then they'll see that you're weakening yourself." What is Mrs Karabulut's reaction to that?
ParlaMint-NL_2019-11-13-tweedekamer-7.u8	Given the history but also the plans of both the US and Russia to really modernise with billions of dollars from the US, I think that is more than $1,000 billion and Russia is doing so too, and the fact that this is threatening us directly, I find it really incredible that Mr Koopmans is now calling for a nuclear weapons policy. A nuclear weapon does not offer safety, at most false security in Mr Koopmans's head. We are directly targeted by this nuclear weapons policy by a disastrous policy. When nuclear weapons are deployed, they wipe out entire cities, entire neighborhoods and neighborhoods, with all the consequences for the climate after that. The nuclear weapons debate, the modernisation and even more precise and easier use of weapons is one of the reasons why I believe that NATO is bankrupt and why I believe that it is precisely that policy that needs to be changed. In the past agreements have also been made between major powers, including the United States and Russia, in which, for example, Gorbachev...
ParlaMint-NL_2019-11-13-tweedekamer-7.u9	Mrs. Karabulut, I'm going to interrupt you.
ParlaMint-NL_2019-11-13-tweedekamer-7.u10	Mr President, it is about nuclear weapons policy. That just has a lot of history.
ParlaMint-NL_2019-11-13-tweedekamer-7.u11	Of course, but interruptions must be short and so must the answer. You have 17 minutes of speaking time, which reflects your vision. I really appeal to all of you to just handle it carefully and a little reluctantly. A debate is simply not a whole speech. It's just a mutual...
