ParlaMint-NL_2019-09-05-tweedekamer-7.u1	The next item is the law on the abolition of merger tests in basic education.
ParlaMint-NL_2019-09-05-tweedekamer-7.u2	The first speaker in this debate is Mr Van Meenen of D66.
ParlaMint-NL_2019-09-05-tweedekamer-7.u3	Mr. Chairman. This legislative amendment implements an agreement from the government agreement, the agreement to remove the merger test in primary education and to remove it in secondary education in the event of shrinkage. The fusion test was once designed to prevent large-scale education. D66 still agrees with the spirit of that law. Control within education must remain at the level of schools. But the instrument of the fusion test failed. Seven of the 219 merger applications were finally refused. Mr. Chairman. For D66 it is important that the deletion of the test does not make a merger easy. It remains a very careful process at local level that requires the consent of participation. My question to the Minister is: what support can the participation council get in this complicated process? Mr. Chairman. The change of law is about the moment of merger. At that time there must be support for pupils, parents and staff and there must be good checks-and-balances. But what happens after that? What instruments are there if a merger does not work out as expected, if the merger has disadvantages for educational quality or if a school experiences too little control? It seems that schools can't get out once they're merged; that's Mr.Kwint's famous Hotel California. That's a fair picture. This creates ugly excesses in practice. For example, think of the administration in Maastricht, which has a complete monopoly in the region. After the abuses, schools could not choose to continue on their own. One of the guarantees given by the Minister is that a fusion impact assessment will be drawn up in which an evaluation is agreed. Can the Minister explain what happens after a negative assessment of the merger and is it generally a one-off evaluation, or is it a recurring process, with regular consideration of the effects of cooperation? And can it be agreed in advance that in the event of a negative assessment the merger will be terminated? You can compare this to a marriage. At the time of marriage, you can still think that love is forever. I speak from experience: I have been married for 36 years. I can tell you that I have a very nice wife. So this doesn't come from that, but you hear that things are different. After three years, the situation could be completely different. Then it's good that the option to divorce is there. D66 is convinced that defuse should be a possibility, of course in a responsible manner and with a thorough and careful process, while also taking into account the interests of other schools within the board. I'd like a response from the Minister. But to take a first step in this direction, Mr Rog and I have tabled an amendment. Mr. Chairman. D66 is also for cooperation between schools or school boards. Some problems, such as the shortage of teachers, require regional cooperation. This does not require mergers or pseudo-fusions, but rather more binding agreements between schools or administrations. Can the Minister explain what other forms of cooperation are possible to ensure the participation of parents, pupils and staff at the same time? That's it, Mr. Chairman. As you will understand, my group supports this proposal.
ParlaMint-NL_2019-09-05-tweedekamer-7.u4	It's an enlightening question. In order to test the gravity of the instrument against the practice, I would like to have an idea of how often it happens that schools would like to leave a collaboration or a merger. I don't have a picture of that myself. You seem to have the idea that this happens quite often, because you are also tabling an amendment to make this possible. If it happens once or twice, I find it very difficult, but when it comes to 100 schools, it might be nice to do this.
ParlaMint-NL_2019-09-05-tweedekamer-7.u5	I do not know whether the number here should be so decisive, but I do think that there are situations in which there really is a question of 'incarceration', one might almost say 'incarceration'. And if it were just one, I would think that there should be an opportunity for that, but I think there are more situations where it would be good to reconsider things for once. That may even mean that a school will end up with another board, where that makes more sense. They're gonna try that, too. Sometimes that comes up against the merger test. My own picture at the fusion test is that it is typically an instrument that came when the calf drowned, because the whole scale increase in education had already taken place when the fusion test came. Now it is an instrument that places particular obstacles on schools in, for example, shrinking areas, where it is very necessary that this link is created.
ParlaMint-NL_2019-09-05-tweedekamer-7.u6	I am a little surprised by Mr Van Meenen's plea, because Mr Van Meenen is very critical of large boards. He also says that participation must have a say, and I am entirely in favour of that. He also referred to the example of LVO, but at the end of the speech Mr Van Meenen says that his group supports the proposal. Why does D66 support this proposal?
ParlaMint-NL_2019-09-05-tweedekamer-7.u7	The merger test doesn't end large boards at all. The fusion test lets large driving uninhibited. The only thing the fusion test does or could do is to prevent the arrival of new big governments, but the porridge has long been deposited. Those big boards are already here. I have a very different way of strengthening the position of schools, for example in basic education, by sending the money there. We will talk about this later, but that is a very different approach in order to strengthen that position again. The merger test does not change the scale of the education in the Netherlands and at that time that was the theorem of those who were before it. It just doesn't occur at all, because in the MBO, in higher education, where all that had happened a long time ago, it was already done. The merger test doesn't do anything about that. And in secondary education, for example, that is the case. The OMO existed a long time ago and the merger test did not change that. Well, I'm not saying it's a bad administration, not at all, but I can still call it a few boards. If you really want to do something about scaling up, then you need to tackle the scaling up that is already active. Again, I don't know if Mrs Westerveld agrees with me, but the merger test doesn't do anything about that.
ParlaMint-NL_2019-09-05-tweedekamer-7.u8	I don't think so. Mrs. Westerveld.
ParlaMint-NL_2019-09-05-tweedekamer-7.u9	It's a useless tool.
ParlaMint-NL_2019-09-05-tweedekamer-7.u10	Well, then I'm very curious to see all the proposals to tackle the scaling up now. I am also a little surprised about the explanation, because the merger test is an additional check on how those procedures have gone. It's an extra way to stop thinking about mergers anyway. That is why I am very surprised that D66 says: we support this proposal and we are pleased that there is no further check on the intention to merge.
ParlaMint-NL_2019-09-05-tweedekamer-7.u11	But the mergers that have been reviewed since the merger test came are not at all scaling, large-scale mergers. All of that had happened before. What you and others wanted to stop with the merger test already existed. You haven't done anything about it since then. It is an instrument that now only small schools in rural areas stand in the way of doing good for children. That is my view of it. It always has been, and it always will be. This is without prejudice to the fact that I am not in favour of this scale either.
