ParlaMint-NL_2019-09-26-tweedekamer-7.u1	This was requested by Mr Laçin. We'll suspend until the members are present.
ParlaMint-NL_2019-09-26-tweedekamer-7.u2	I would like to welcome Members to this VAO Aviation in response to the AO of 11 September. Mr Laçin has applied for the VAO, so I am the first to give him the floor on behalf of the SP.
ParlaMint-NL_2019-09-26-tweedekamer-7.u3	Thank you, Mr. Chairman. We've had a good AO. I have raised and raised a number of points, and I have asked for the second phase of research to be extended to include ultra-phine dust for workers, because they are particularly exposed to ultra-phine dust for a long time. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the National Institute for Public Health and the Environment (RIVM) is currently investigating the effects of long-term exposure to ultra-fine substances on the health of residents of Schiphol;]] [[noting that such research does not include ground personnel in aviation while they are continuously and often exposed to ultra-fine dust for years;]] [[Whereas RIVM has indicated that it is obvious to include this group of workers at this stage of the investigation;]] [[Whereas the Ministry of Infrastructure and Water State is responsible for this investigation;]] [[calls on the Government to instruct RIVM to include workers at Schiphol Airport in the ongoing study on the effects of long-term exposure to ultra-fine substances on the health of residents of Schiphol,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin, Mr Kröger and Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-665]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u4	Then the strike at Schiphol Airport and our influence on KLM. That's what this motion is about. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Prime Minister has recently called for higher wages;]] [[noting that during the General Political Reviews the Marijnissen and Others motion on raising wages in industry by at least 5% was adopted unanimously;]] [[whereas collective bargaining is currently under way at KLM, with the wage bid for employees remaining at 2% while the CEO has received 9% increase in wages;]] [[whereas this runs counter to the widely supported call to reduce the pay gap between the workplace and the summit;]] [[whereas the Dutch State is a shareholder of KLM and can thereby exert influence within the company;]] [[calls on the government, as shareholder, to call on the management of KLM to provide a better wage bid that meets the demands of workers and trade unions, the Marijnissen motion adopted and the social debate,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-666]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u5	Then there's a very brief motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the modernisation of the final regulation is currently under discussion;]] [[Whereas the Minister for Infrastructure and Water State is committed at European level to promoting fairer treatment of aviation workers;]] [[calls on the Government, when modernising the final regulation, to promote the possibility of incorporating social inclusion requirements,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin, Mr Kröger and Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-667]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u6	There will be a number of motions from other parties, including myself, on ultra-fine dust and nitrogen policies.
ParlaMint-NL_2019-09-26-tweedekamer-7.u7	That's what we're gonna wait and see. I call Mr Amhaouch on behalf of the CDA.
ParlaMint-NL_2019-09-26-tweedekamer-7.u8	Mr. Chairman. I start with the message that Dutch airports would miss permits for nature. We have asked written questions about this. Is the Minister prepared to undertake to send us a letter within a month showing the state of nature permits and other permits for all airports in the Netherlands and also indicating what this means for the continuity of aviation and nature and what the timetable is for possible measures to be taken? Then I have two more motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that for Schiphol after 2020, the medium-term system will be applied, where growth can only be earned through demonstrable inhibition;]] [[Whereas, for example, demonstrable inhibition can be achieved by creating more resting moments;]] [[Whereas, in addition to reducing the number of night flights, rest periods could be created by limiting early morning flights at weekends or by using quiet aircraft only;]] [[calls on the government to examine the possibility of creating more rest in the early morning at the weekend and to inform the Chamber about this in the development of the new system,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Amhaouch and Mr Bruins. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-668]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u9	I have a question on Mr Amhaouch's first point: his question to the Minister about the lack of permits for all our airports. He's asking for a response in a month. I had the same question myself, but with the request to get that information in three weeks' time for the budget debate IenW, because I think it will also be a subject in the budget debate. Does Mr Amhaouch agree with this three-week period?
ParlaMint-NL_2019-09-26-tweedekamer-7.u10	For that, I have to wait for the answer. I'm not sure that's a direct relationship with that. We all know the impact of the nature permits and the PAS. Just three or four weeks there... We simply want to answer as quickly as possible and say: a month is a reasonable period. If it can be done in advance, that would be very nice, but I'm waiting for the Minister's answer.
ParlaMint-NL_2019-09-26-tweedekamer-7.u11	For a moment I thought Mr Van Raan wanted to ask a question, but he does not have a question. You can therefore proceed with your second motion.
ParlaMint-NL_2019-09-26-tweedekamer-7.u12	Thank you, Mr President. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that for Schiphol after 2020, a medium-term system will be applied whereby growth can only be earned through demonstrable inhibition;]] [[noting that research into better information on job use in the past has led to up-to-date information on job use, but not yet to predictions of job use;]] [[Whereas predictability of job use is important and it is visible to residents when which jobs are deployed;]] [[calls on the government to ask the sector to examine the extent to which a "fly weather forecast" can be developed for residents, at least with regard to the foreseeable use of jobs, and to inform the Chamber at the latest when the new systems are being developed,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Amhaouch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-669]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u13	Thank you, Mr President. Seven encouragements for the minister. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[points out that all Dutch airports must have the right nature permits,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Remkes Commission will not advise on tackling nitrogen emissions from the aviation sector until May 2020;]] [[Calls on the Government not to take a decision on the opening of Lelystad Airport until that time,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister of LenW no longer excludes a shrinkage of aviation as a result of respecting the limits of climate, living environment and human and animal safety;]] [[calls on the Government to include a shrinkage scenario in the Aviation Note,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to propose more concrete measures which will lead to a demonstrable reduction of the nuisance caused in the Netherlands by Liège-Bierset Airport,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the emissions registration system only records aviation-related nitrogen emissions of up to 3,000 ft;]] [[noting that information on nitrogen emissions above 3,000 ft is relevant for future Dutch nitrogen policy;]] [[calls on the government to ensure that nitrogen emissions above 3,000 ft are as fully as possible,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Rli recommended applying the ALARA principle to environmental pollution;]] [[calls on the Government to apply the ALARA principle in relation to environmental pollution by the aviation sector,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Raan, Mr Laçin and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-670]] [[This motion was tabled by Mr Van Raan, Mr Laçin and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-671]] [[This motion has been proposed by Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-672]] [[This motion was tabled by Mr Van Raan, Mr Kröger, Mr Laçin, Mr Amhaouch, Mr Graus, Mr Bruins, Mr Van Brenn and Mr Paternotte.]] [[She's getting No. kst-31936-673]] [[This motion was tabled by Mr Van Raan, Mr Laçin and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-674]] [[This motion was tabled by Mr Van Raan and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-675]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u14	And then again, the last incentive. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[points out that the obligation to supply airports to achieve nuisance reduction should not depend on the willingness of residents to agree to the increase in the number of flights,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Raan and Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-676]]
ParlaMint-NL_2019-09-26-tweedekamer-7.u15	Mr Van Raan has tabled a proposal to apply the ALARA principle. Can he say convincingly in a few sentences why we need to apply the ALARA principle and also what it is?
ParlaMint-NL_2019-09-26-tweedekamer-7.u16	Sure. The Environment Council recommended that aviation be treated as a normal sector. The Minister knows that. The Minister also more or less acknowledged that this might be a good thing, especially in view of her new approach. One of the things that goes with this is a principle called ALARA: as low as really achievable. So: as low as possible as can be reached. That principle should be applied to environmental pollution, and the most known exponent of the environmental pollution around Schiphol is fine dust. It is also possible to keep this nuisance as low as possible. That is actually very simple, for example by allowing fewer flights. Since that principle is embraced, it would be nice if she took that into account.
ParlaMint-NL_2019-09-26-tweedekamer-7.u17	Thanks for the explanation.
ParlaMint-NL_2019-09-26-tweedekamer-7.u18	Thank you.
ParlaMint-NL_2019-09-26-tweedekamer-7.u19	I call Mr Remco Dijkstra on behalf of the VVD.
ParlaMint-NL_2019-09-26-tweedekamer-7.u20	Mr. Chairman. Thank you. We've had a good general discussion. I'd like to put two questions to the Minister. The first one is this. We've all talked to people and drivers in the Schiphol area. Then you see that some houses or business premises are a bit clumsy, or that the zoning plans might be a little complicated. Sometimes something is being rebuilt or demolished, and if they are dealing with the old zoning plans they are, of course, going about it themselves so that the nuisance can be reduced. I would like to ask the Minister if she can enter into talks with these municipalities and possibly also the province, to see if tailor-made work is possible in certain places around demolition areas. This can improve the quality of the area and, for example, the person concerned can rebuild somewhere else. Does she want to watch that? I understand that spatial planning is, of course, a real consideration of provinces and municipalities, but if we really want to develop Schiphol, then we also have to make choices and see where it gets stuck. Can the Minister play an intermediary role in this? Secondly, I would like to ask for a commitment. We know Schiphol's locked. There's room for growth, but it's now limited to 540,000 flight movements due to security issues. However, I would like us to be kept well informed of the investments that are being made now, including with a view to the future, in order to improve the safety of Schiphol Airport and to provide a longer-term perspective for those 540,000 flights, which are the current restriction. We should also be able to offer Schiphol a future perspective.
ParlaMint-NL_2019-09-26-tweedekamer-7.u21	Van Raan has a question about that.
ParlaMint-NL_2019-09-26-tweedekamer-7.u22	Yeah, I do. Mr Dijkstra talks about the safety of Schiphol, which would be guaranteed up to 540,000. That's not correct. The safety concept as such would be up to 540,000, but the Safety Research Council has clearly indicated that Schiphol's safety is at risk if further growth is achieved after 500,000. The thought that Mr Dijkstra puts here, if it would be safe at 540,000, is not correct and it would adorn him... No, I'd like to ask him to take that back and not spread incorrect cases here.
ParlaMint-NL_2019-09-26-tweedekamer-7.u23	I'm not gonna give guarantees about safety. I'm simply a Member of Parliament. I know what the OVV said, namely: Schiphol is not unsafe, but if you want more, you have to make investments. We also had the National Air and Space Centre look at that and that's where the number of 540,000 comes from. If you really want more, imagine moving towards higher numbers, then you have to make really big investments. I ask the Minister to keep us informed of all the steps that are now being taken towards the 540,000, but I want to be able to give perspective afterwards. Of course, safety is paramount, but I don't think either of us can guarantee it.
ParlaMint-NL_2019-09-26-tweedekamer-7.u24	Mr. Van Raan, very briefly.
ParlaMint-NL_2019-09-26-tweedekamer-7.u25	It is true that Mr Dijkstra is a simple Member of Parliament. That's what I am. We're not about security. That's not the issue at all. The issue is that one institute has talked about a safety concept that could be safe up to 540,000. That's a hypothetical case. But there is a concrete study that says that up to 500,000 is not unsafe; we cannot comment on everything that is up there. Mr Dijkstra has to admit that, doesn't he?
ParlaMint-NL_2019-09-26-tweedekamer-7.u26	Mr Dijkstra briefly.
ParlaMint-NL_2019-09-26-tweedekamer-7.u27	I would say read the conclusions of the OVV again. If we give a different interpretation to that, we may, but that is not why we are here in the Chamber.
ParlaMint-NL_2019-09-26-tweedekamer-7.u28	Then I thank you and give the floor to Mrs Kröger on behalf of GroenLinks.
