ParlaMint-NL_2019-04-04-tweedekamer-8.u1	We will continue the debate on social support.
ParlaMint-NL_2019-04-04-tweedekamer-8.u2	I'll give the Minister the floor.
ParlaMint-NL_2019-04-04-tweedekamer-8.u3	Thank you, Mr President. We got the first term last week. The Chamber asked a serious number of questions in that regard. I'd like to answer those questions as best I can. I think it would be helpful if I tried to put on a little structure first. That's a nice attempt, though. So it is the attempt to create some structure in the way in which I want to organise the response. There have been quite a lot of questions asked. I think it is a good idea to start with a block in which I go into the reason, the background of the bill and the choices we have made in the elaboration of that subscription rate. This concerns, for example, the questions related to the Council of State, the questions related to the sustainable relationship of aid, what is or is not covered? D the differences in 19 and 20 and the Ombudsman's observations. The question of how to start and pause the subscription rate is also discussed. That's a bit of the impact choices that have been made. That's the first block. The second is about the concerns you have raised: what if the municipality is not convenient? That's what most of the questions have been asked about. If the influx is such, what is the perspective of action for the municipality? So it's about the concerns about the subscription rate, the monitor we set up, what choice we made in it, the CPB estimate, the financial agreements we made and also the action perspectives: what to do if the monitor shows that the influx is much higher than expected? The third block is about implementation and implementation. I would like to mention, for example, the questions about the CAK and the question of whether the municipalities will be ready later. And then there's "How can it be otherwise "a block with varia. Finally, I would like to deal with the amendments. I think I should do that at the end. I think that's useful for the administration. Mr. Chairman. The first block. Let me start with the why and the reason for a package of measures to reduce the accumulation of healthcare costs. Everyone in the Netherlands is entitled to good care. If you look at the care in the Netherlands, you can see that we are quite a country of solidarity. That's what we're attached to, I think. If we have to tell abroad what we are most proud of in relation to our care, then it is not only about quality, but then perhaps it is also about the way we split our accounts. Young pays for old. Healthy pays for sick. That is what we think is normal, and I think we want to keep it that way. We actually have a very supportive care system. At the same time, we also know that older people and chronically ill people, in particular, are faced with a build-up of their own contributions. There are personal contributions to our care. When we look at the SCP studies, we know that, although I don't think there's any country we'd like to trade with if we're sick, there are concerns about care. Then what are these concerns about the care often about? Can we still pay for it later? Is it gonna be there for me when I need that care? We often have debates on that second question. But can I actually pay for the first question? The most urgent issue at the moment is for those who have a lot of their own payments in the care sector. Therefore, the cabinet has taken a set of targeted measures to address this concern, to reduce the accumulation of healthcare costs. Then it's about freezing your own risk for 2018. Then it is about lowering the rate that counts for the level of the own contribution in the Wlz, a marginal rate. Then it's about halving the capital income add-on in the Wlz and living protected in the Wmo. Then we are talking about the maximisation of the additional payments for medicines. And then it's about the introduction of the subscription rate. That is, of course, the subject before us today. The main reason is therefore to reduce the accumulation of healthcare costs. And why is it so effective to introduce a subscription rate in the Wmo? First of all, because it hits a pretty large group of households. It concerns some 150,000 households currently paying more than the nominal rate in the own contribution for the Wmo. About 150,000 households! That's about 34% of the total Wmo group. They are making serious progress with the introduction of the subscription rate. You're really meeting them seriously. For a single-person household under the AOW age with a moderate income, this subscription rate saves more than €100 per contribution of four weeks. That's just serious money. In addition, we can name all kinds of model households, where sometimes the weather is much more and sometimes also less. But at least it's about serious money, just for that group that needs it the most. In addition to limiting the accumulation of care costs, the subscription rate is also intended as a significant simplification of the system. That old contribution scheme in the Wmo 2015 was very complex, because you had to determine what a person's contribution income was and you had to further correct and therefore check for an excess cost. As a result, it was not only expensive and complex in its implementation, but also difficult to explain. This simplification of the system therefore has important advantages. For example, clients know in advance what they are up to. Now it's very complicated to tell clients exactly what they're up to, because you need to know all the income data first. This may also lead to negative surprises in the current situation. Of course, the risk of errors is also greatly reduced if you do it this way. It is also a saving in implementation costs. The estimate is that some 15 million could be saved at the CAK at the time we start working on this scheme. In short, it has many advantages. Stepping up the cost of care comes first, but also the considerable simplification, and thus much less execution costs and much less insecurity among clients, is also an important advantage. What choices did we make in that? From 2020 onwards, the introduction of a subscription rate of €19 per month will be fully realised through this law. We've actually made an intermediate step in 2019.I'll be there for a while, but it will only be fully realized in 2020. Then it also goes from four weeks to a month, so from €17.50 to €19. In any case, we will apply this subscription rate to the customised services. In addition, it will apply to some of the general provisions. This is therefore about that part of the general provision in which there is a lasting relationship of assistance. I shall come back to that definition in detail in a moment, because quite a lot of questions have been asked about it. For all provisions covered by the subscription rate, regardless of whether they are customised or general provisions, clients pay a total of €19 per month. Mrs Hermans' first question was: can there still be a separate contribution for general provisions, which are not covered by the subscription rate? The answer is yes, you can. A euro can still be requested for a cup of coffee on the daily run. The subscription rate is a maximum rate and therefore it remains possible to stay below. The minimum regulations are therefore also possible. That was a question from Mrs Hermans, among others, but I also thought of Mrs Ellemeet. I will come back to this lasting relationship of aid, because first of all that question from the Council of State is very fundamental. That question is: have alternatives actually been considered? That is the question that Mr Hijink asked. It is true that alternatives were possible, but they did not become alternatives. For example, we have looked at the introduction of an anti-cumulative scheme for own risk Zvw, the own contribution Wmo and the own contribution Wlz. But that is not the case, because the implementation is so incredibly complex. It also requires so many information flows that we have said: we should not do that. It also encounters serious privacy concerns. An alternative in which people should apply for the anti-cumulation procedure leads to a great deal of regulatory pressure on people and therefore has the real risk of non-use. The subscription rate allows customers who have to deal with a pile-up of care costs to be reached much more precisely. The overlap between the number of people who belong to the target group of the subscription rate and at the same time its own risk is perfect or partly perfect is 94%. That is a rather solid correlation and we are sure that this money is well spent. In addition, a number of you, including Mr Van der Staaij, have pointed out another point of criticism of the Council of State. He asked whether it would not have been appropriate, in the context of the decentralisation idea, not to take it on as a Empire, but to leave it to municipalities to make choices in it. I do not think so, because if we look at how the own contribution system is now in the law, it is also a national scheme. You can lower as a municipality, but you can't go higher. In fact, the entire income-dependent contribution to the finesses up to income tables and so on is all government policy. One could say: the Wmo has decentralised many tasks to the municipalities, but the own contribution scheme has never been a decentralised scheme. That has always been just a state policy and has always been a state policy in the law. On this point, I do not agree with the Council of State, because the only thing we are amending with this bill is that part. We're not gonna change anything in the contents of the Wmo. We also do not prejudice the content and space that municipalities have. What we do is the way we arrange our own payments in that Wmo. There was an arrangement for that and we are now putting in place a new arrangement for that.
ParlaMint-NL_2019-04-04-tweedekamer-8.u4	Let me ask you a question about this. It is not true that municipalities are asking for exactly the same own contribution per income group? Or was I misinformed? I thought that was different from one city to another. I heard from some municipalities that they have a rather rapid increase in their own contribution from a certain income. But that's not true, is it?
ParlaMint-NL_2019-04-04-tweedekamer-8.u5	It's maximized, so you could be underneath it. You can do something in the normative rate you ask for per customization. You can do something about that. So you can turn on the button of what people actually pay, but it is maximized. So that there is an income-dependent own contribution is maximized.
ParlaMint-NL_2019-04-04-tweedekamer-8.u6	As far as decentralisation is concerned, I read in the opinion of the Council of State that 'after the introduction of the subscription rate', the Council of State, 'the municipality has fewer possibilities to keep the Wmo financially manageable'. I do not think that the reasoning is right, in my view, that this is contrary to decentralisation, but it does mean freedom of action, freedom to take all kinds of measures, including to make it financially manageable. And with this bill, you're limiting it.
ParlaMint-NL_2019-04-04-tweedekamer-8.u7	I do not think that is the case, because we are actually leaving the same possibilities open, where perhaps our own payments were also a brake to appeal to the municipality at all. It is true that something is changing there, also because we know that there was a lack of care. Some of you have said this, and Mrs Ellemeet in particular has pointed this out. In part, this arrangement will lead to influx. You want that too, because there is now non-use in people who might actually need it, but who do not use it because there is a contribution of their own that can be substantial. This bill changes nothing but the own contribution scheme. The municipal possibilities that already exist in the law simply remain the same. I will come back to the question as to what the prospects for action would be if that influx was higher than expected. I'll get to that in the next block. But I think there is another way of looking at this, let me put it this way. We have said that tailor-made services should be included in the subscription rate anyway. Could you just leave it at that? No, we said at the time, because that would mean from the client's perspective that there is something that doesn't make any sense. In that case, the mere fact that a municipality has decided whether something is a tailor-made provision or a general provision would determine the extent to which it counts for the subscription rate and the extent to which it is covered by the subscription rate. We've thought that doesn't make any sense. You have to want to look up the logic from the client's perspective. Another logic would be for you to fully fall under the subscription rate, i.e. both the customization and the general provision. That too is not entirely logical, for example because it is simply impossible. There is a huge variety of general amenities. It goes from running-in day-to-day provision to you name it; everything is in the form of general provision. It would therefore mean that you would have to keep track everywhere of what is paid for coffee and so on, for example, because it will require a maximum of €19. This would lead to an enormous bureaucratic burden. And why? Actually, nothing, and actually that's just not such a sensible arrangement. In addition, there are quite occasional things in the Wmo, which you occasionally use. For example, if you go to the mall once a month with the neighborhood bus, it would be a bit illogical if you had to pay €17.50 for it, because it would be a very expensive neighborhood bus. For that money, you can take a taxi. So that doesn't make any sense either. In particular, the occasional use you should want to leave out. But everything you could describe as a "sustainable aid relationship".........................................................................................................................................................................................
ParlaMint-NL_2019-04-04-tweedekamer-8.u8	I understand that it is now regulated by looking at whether there is, on average, a sustainable relationship in the provision of care.
ParlaMint-NL_2019-04-04-tweedekamer-8.u9	Yes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u10	But now, of course, there are also people who find it difficult to get caught up in averages.
ParlaMint-NL_2019-04-04-tweedekamer-8.u11	That's right.
