ParlaMint-NL_2019-10-10-tweedekamer-15.u1	We will continue with the second period of discussion of the Kingdom's budget relations.
ParlaMint-NL_2019-10-10-tweedekamer-15.u2	I call Mr De Graaf of the PVV.
ParlaMint-NL_2019-10-10-tweedekamer-15.u3	Thank you for that, Mr President. I'm gonna start right away with... No, not right away, because I would like to thank the Secretary of State for his reply. That seems to be a hollow phrase when everyone always says that, but I mean it, because it's nice to debate with someone who just answers directly, as I said earlier. There aren't many like that in the cabinet. It's been noted. Here's to it. Then I'll move on to my first motion, about Saint Martin. I welcome the efforts made by the Secretary of State in connection with a consultation we had in the spring. I asked Dutch companies to give priority to the procurement of contracts and to the use of funds coming from the Netherlands: the 550 million. But I'd like more. For so far the answer showed that 50% goes to the Kingdom. I don't think that's enough. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that of the tendered part of the Dutch relief money intended to rebuild Sint-Maarten after Hurricane Irma, only 50% led to assignments to companies in the Kingdom of the Netherlands;]] [[whereas the principle of reciprocity requires that Dutch aid money be spent as much as possible in the Netherlands;]] [[calls on the government to pursue continuous and active policies aimed at achieving the highest possible percentage of procurement of reconstruction projects at Dutch companies,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-16]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u4	Thanks to the VVD, in the debate we have been having for a long time, today and the day before yesterday it has been a little broader about the following. Also by movements of the Secretary of State on behalf of the government some pawns have shifted slightly. That is why I have modified my motion on this subject, and I am going to put it in a different way. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the population of the other three countries in the Kingdom must agree to the Dutch right of withdrawal, making the Netherlands dependent on Aruba, Curaçao and Sint-Maarten for its right of self-determination;]] [[having noted the confirmation by the Secretary of State of the growing problems in the other countries of the Kingdom;]] [[whereas the Netherlands deserves the same rights as Curaçao, Aruba and Sint-Maarten;]] [[Whereas the Netherlands has meanwhile fulfilled its duties as a former coloniser of the other countries in the Kingdom and the Government has acknowledged that the decolonization of the other countries in the Kingdom has been completed;]] [[calls on the Government to put the interests of the people of the Netherlands first and ensure the dismantling of the Kingdom of the Netherlands, so that the Netherlands can continue to exist as an independent country,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IV-17]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u5	That was a long one, Mr. Chairman.
ParlaMint-NL_2019-10-10-tweedekamer-15.u6	Yes.
ParlaMint-NL_2019-10-10-tweedekamer-15.u7	I'll leave it at that.
ParlaMint-NL_2019-10-10-tweedekamer-15.u8	Thank you, Mr. De Graaf. I shall now give the floor to Mr Bosma... Bosman. I don't know; today, really, it's not easy. You're saying you're gonna read? It's a very important debate, so you really need to...
ParlaMint-NL_2019-10-10-tweedekamer-15.u9	I'm glad you're here, Mr. Chairman. I'm happy with you, especially on this special day. An anniversary, not only of the President but also of the Kingdom: 10-10-2010. But, Mr President, you will not be surprised that I start with: it squeaks, it cracks and it rubs in the Kingdom and, above all, in the Statute. But I welcome this discussion. We are now seeing things that I had not thought possible nine years ago. If we are now discussing who is responsible for what, we are seeing a movement that the Netherlands itself has the right to resign. We didn't expect that nine years ago. The discussion on Article 73 has also been parked. He's gone, too. We are now in a kingdom with a new legal order. I'm so happy about that. I only hope that this discussion will not only take place in the Netherlands, but also in Aruba, Curaçao and Sint-Maarten. I also welcome Mr Van Dam and his ambition to engage in the discussion in the Interparliamentary Kingdom Conference. I wholeheartedly support him in that. And Mr Van Dam knows me: I am very much in favour of this. But with regard to the ambition that we have, the discussions that we want to have, and the responsibility that the Secretary of State has assumed to come up with committees, plans and that sort of thing, perhaps I am a little more cynical than Mr Van Dam, sometimes calls me a little cynical about the generosity that we have in such agreements. My bet with the Secretary of State is, but I still want a little more certainty about the agreements that are going to be made following the Van Raak motion. That's why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Statute for the Kingdom of the Netherlands dates from 1954;]] [[Whereas the Kingdom of the Netherlands is no longer covered by Article 73 of the Charter of the United Nations;]] [[Whereas the responsibilities of the countries of Aruba, Curaçao, Sint-Maarten and the Netherlands are not clear;]] [[Whereas a joint working group of the countries will be set up to identify responsibilities;]] [[considers that it is necessary to have the relations and responsibilities of the countries and the Netherlands clearly and to make them workable;]] [[calls on the Government to present a proposal before 1 October 2020 to establish clear, clear and workable relationships and responsibilities within the Kingdom,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Bosman, Mr Van Dam, Mr Van Raak, Mr Bishop and Mr Van der Graaf.]] [[She's getting No. kst-35300-IV-18]]
ParlaMint-NL_2019-10-10-tweedekamer-15.u10	I know what the Secretary of State's answer is going to be. He will say: we are a kingdom and I must coordinate this with my colleagues. I'm not going to hold the Secretary of State to the impossible. That is also a legal rule: you are not held to the impossible. But I believe that we, as the Netherlands, also have the right to speak out. It cannot be that we hide every time behind the fact that three of the other countries do not want something, which would make us unable to do something. As the Netherlands, we can still say for ourselves: we are laying down that deadline and that responsibility. No matter what the others want, we can still set that deadline. As far as the VVD is concerned, there are considerable concerns about developments in the various countries. I've already mentioned Aruba. The Prime Minister was angry at the Netherlands, because we were trying to make things harder for her. Now it appears that the CITGO deal is off, we hear cheerful reports from the Prime Minister. It's all gonna be okay now. They are now in control of the refinery. Mr Van Raak and I were there two years ago. It's one big junk bucket. It's not gonna happen, but in the meantime the images are there: 7% economic growth and if the oil storage is added, there's still 1% growth. The College Aruba financial supervision will again get figures on cheerful budgets. But in the end, just like when Aruba made the deal, nothing will be realized and nothing will benefit the people. Meanwhile, there's still $180 million missing from that CITGO deal. 180 million! The money earmarked for the renovation of the refinery has disappeared. That's what Prime Minister Evelyn Wever-Croes said. To this day, no one knows where it is. 180 million isn't nothing. Who's gonna fix this? Perhaps the States of Aruba should conduct a parliamentary survey on that refinery. That would do her good. With regard to Saint Martin, I am glad that the TBO is being arrested. Mr Van Raak will table another motion on it, which I also support. What I find special in relation to the questions that have been answered is that the countries do not always have to be present in the Kingdom Government, because they can voluntarily renounce that consultation. I have a very nice book on history. That's about the possibilities for that. It says that one sees how difficult it is to implement the idea of equality. It says: "The Statute leaves open the possibility that in future the scope of their participation will be extended as soon as their manpower and financial capacity justify the acceptance of greater co-responsibility. The concept of "touching" can be defined in their own hands and, if necessary, changes to the Staff Regulations can be made." This book describes the history of the Statute and indicates that the Statute should not remain the same forever, not even in terms of responsibilities and obligations. That is why it is essential to take those steps. So I am very happy that these steps are going to be taken. But again, I hope the Secretary of State will carry out the motion properly in order to keep a bit of deadline control. Mr. Chairman. As for Bonaire, I was very happy that Mr. Tjin Asjoe was here. I also have contact with people from Bonaire, Saba and Saint Eustatius. I am also a representative of the people for them, because I think it is important to have conversations there. With regard to the electric car: I might have been a little early, because they're still working on it. If there's diesel cars coming on Bonaire, it's gonna be regulated by IenW. That ministry needs to think. When they bring cars to an island, to Bonaire, Saba or Sint-Eustatius, they should not think of the standard car, in the sense of: do a diesel, because that is easy. First they have to think whether it can't be electric, regardless of what the difficulties are and whether there are additional costs involved. Mr Van Raak was very keen about Saba. Sometimes you have to overlook, but if we stop Saba's economic development because we can't apply employers' permits, then we really have a much bigger problem. Mr President, I come to an end. I liked the debate. We need to do this more often and longer, because the Statute is not nothing. It's about the Kingdom and it's touching us all, and that way we'll only get better. Thank you, Mr. Chairman.
ParlaMint-NL_2019-10-10-tweedekamer-15.u11	Thank you, Mr. Bosman. I now give the floor to Mrs Özütok on behalf of GroenLinks.
