ParlaMint-NL_2019-09-11-tweedekamer-9.u1	I give the floor to the Minister of Justice and Security.
ParlaMint-NL_2019-09-11-tweedekamer-9.u2	Mr. Chairman. Thank you. We are having a debate today on organised crime and the economy of drugs. The report De backder van Amsterdam, which prompted your Chamber to request this debate, is for me a confirmation of other sources of knowledge on the subject. I refer to the National Drug Monitor in this context, I refer to the national threat picture and I refer to Europol's threat picture. They all gave the impression that there was a large illegal drug industry, organized and directed by serious criminals and criminal organisations. I also refer to the report of the European Monitoring Centre for Drugs and Drug Addiction. It seems to me that there are sufficient sources of evidence to support the seriousness and extent of this problem by means of research. It is an industry in which very large profits are made with nothing to say. Let me give you some figures. 16 billion in criminal spending, 82 synthetic production sites and 292 dumping, methamphetamine and heroin factories in the Netherlands, 22,400 kilos of cocaine seized in Rotterdam and the Zeeland waters last year and on top of that 50,100 kilos in Antwerp which are largely carried out in the Netherlands. Mr. Chairman. It is also a ruthless industry, an industry that deals with corpses, terrorizes citizens and neighborhoods, threatens mayors and administrators, in short: society is undermining. Hard drugs undermine society. I have drawn 100 million from an undermining fund and 10 million from the government agreement to deal with the drug industry and its criminal profits. I have always said that it is a first step, a first, a major and important step, but more steps will have to be taken. We have strengthened the police and we are also working on strengthening the criminal justice chain. In addition, several legislative proposals under the undermining legislation are currently under way. Then we look closely at bottlenecks and wishes that live in practice. I should like to give a few examples, so that we can make that clear to each other. We have now reached the first milestone with the entry into force of the amended Article 13b Opium Act. Since 1 January, mayors can close homes and other premises, even if objects or substances are found which are clearly intended for the cultivation or preparation of drugs, such as certain equipment, chemicals and dissections, not only the drugs themselves, but also the preparations. Then there are the legislative proposals aimed at doubling the penalty rate for illegal possession of automatic firearms and increasing the penalty rate for perpetrators of serious crimes in an organized context, both being dealt with in the First Chamber. Then there is the pursuit team undermining, which prepares a model protocol for data sharing within the municipality in collaboration with the Dutch Data Protection Authority. Then there is the Data Processing Partnerships Act, which has been sent for an opinion to the Department of the Council of State. Your Chamber knows that I have always reported that in the 2018-2019 parliamentary year I had a detailed discussion with the Dutch Data Protection Authority about this in order to bring the bill forward in a way that was also sustainable in the light of our laws and regulations. Then I will be speaking to your Chamber shortly about the legislative amendment to the Bibob Act, including the extension of the scope of application and the strengthening of own research opportunities. I will come back to the issue of the sharing of information in greater detail in the light of the questions on this subject. Then, before the summer, the legislative proposal for strengthening criminal law has been brought into consultation undermining crime. Among other things, it includes the proposal to increase the penalty ceiling for threats and increase the penalty rate in the event of threats to mayors and other directors. I have briefly indicated that threat has now become a kind of business model, and that is exactly what this bill is about. Then there is the large packing letter that I wrote together with the Minister of Finance, to which some of your Members, including Mr Groothuizen, have already referred. I'm just saying it out loud. I think that finance is a very important ally, because justice and finance together must achieve much more. That is why in the spring, as I informed your Chamber, I had a conversation with Mr Snel to see if the FIOD and the Tax Administration could train any more, possibly with additional resources, in order to be able to work together even better. It is also good that an important investment in the FIOD has been announced in the Spring Paper 2019. With that, I respond immediately to a point made by Mrs Kuik. Bundling capacity, better cooperation and good information sharing are three key pillars for improving the way in which serious organised drug crime is tackled over the next few years. This is a problem that requires long-term attention. I never made a secret out of that. We will have to do this for a number of years. Last year, Professor Tops pointed out that, as a society between 2005 and roughly 2015, we did not give priority to tackling drug crime. I'm gonna be tough on that, and I'm gonna be hard on that. I'm not someone who criminalizes drug users. I stress this here, and I will work it out later on on the basis of questions. I do think that we should look in the mirror and ask ourselves whether we have not left it too easy in this society. Recreational users should also be aware of what they ultimately contribute to. Finally, it is clear that undermining really requires a long-term approach. At least I think that is a top priority for me. This brings me straight away, Mr President, to a number of things that relate to drugs, legalization, tolerance and use. Let's get that cow by the horns right away. Legalization of hard drugs is not an option. These are means that we have found together that they pose an unacceptable risk to health and that they disrupt society. That's why they're on list I of the Opium Act. There is no possibility of taking steps in this area at international level either. I refer you to the latest reports from the UN Conference on this subject, which was held this spring. The Netherlands would be completely isolated. I have said before that this would make us the drain for the production, trade and transit of hard drugs. We already see in the reports from Brabant that Mexican gangs are being spotted here and there, so we can assume that we will only be the drain if we don't just take that step forward together. Moreover, the illegal market would not disappear either, precisely because of the markets abroad. But apart from that, we must have no illusions. Some people say: let us allow a certain level of hard drug, and when the level is higher, it must not be allowed. It is an illusion to think that criminals will say: well, then we will only produce drugs up to that level. Those are illusions. And I'm gonna make the next call. In our society, we have managed to reduce tobacco significantly. We have also managed to take clear steps with each other with regard to the degree of alcohol acceptance. If we have succeeded, we must also be able to counter this monster. Because it's a monster. Before I may be told in review that there is a puffy language, I would just like to say very clearly: there is really no question of legalization under this minister.
ParlaMint-NL_2019-09-11-tweedekamer-9.u3	That is clear and I expected this a little bit. But the minister said we'd isolate ourselves in the world if we started thinking about legalization. I would like to ask a question about that. GroenLinks sees something quite different happening in the world. In Uruguay, in Portugal, in Canada, in an increasing number of states in the United States, legalization and regulation are on the increase. So I'm really wondering what the Minister's statement is based on. At least I don't recognize this when I look at the current trends around us.
ParlaMint-NL_2019-09-11-tweedekamer-9.u4	Mr President, may I offer to your Chamber that I will send the most recent reports from this year and from a few years ago to the UN Conference? I believe that this conference will be held once every two years in March. This year Mr Bruins has also been present. These reports show the simply shared resistance to tolerance of hard drugs.
ParlaMint-NL_2019-09-11-tweedekamer-9.u5	Stay close to the microphone, Minister.
ParlaMint-NL_2019-09-11-tweedekamer-9.u6	Excuse me, Mr. Chairman, you'll warn me as well as I can. There is a worldwide objection to tolerating hard drugs. Now I hear the honourable Member referring to countries, but I associate the American states he mentions with tolerance of cannabis. The same applies to Canada. Today's debate is not so much about that as it is about the weed experiment, although I will say something about it later, because questions have been asked about it. But let me make one thing clear: the countries that are mentioned have done experiments in the field of cannabis. It is also a little inappropriate to come with Portugal, if you will allow me to do so, Mr President. That was what we had in the past in my hometown of Amsterdam, namely a controlled group of serious addicts. But let us be clear, we are talking here about the fact that not so much general tolerance for hard drugs as for young people and vulnerable groups is gradually beginning to increase, and that the number of deaths from cocaine use has increased considerably since 2000. I'm first and foremost in front of the next one. We have said together that what is on List I of the Opium Act is harmful. Then I stand as Minister of Justice and Security in favour of tackling the crime that enriches itself.
ParlaMint-NL_2019-09-11-tweedekamer-9.u7	When it comes to tackling organised crime, we find each other. By the way, Portugal was also partly concerned with hard drugs. However, as I have also asked in my speech, I would like to challenge the Minister to call in the UN for an investigation, an evaluation of how effective different policies have been on drugs and how effective almost 50 years have been on drugs and in the Netherlands has been a trend towards increasing repression in order to reduce crime and problematic drug use. The burden of proof is always reversed and references are always made to other countries. But then prove to me how repression and this war on drugs have been effective in recent years, because I do not see it.
ParlaMint-NL_2019-09-11-tweedekamer-9.u8	We must be careful, however, in the sense that I do not have to prove here why something has been banned by law for years. In the end, it is society that decides what it considers to be criminal and inadmissible and what is on list I of the Opium Act. But I would like to refer you straight away to the research I mentioned earlier by Professor Tops last year. I mentioned the title: where a small country can be big. In this he explains quite in detail and shows how the policy in the Netherlands was quite clear and strong until 2005 and after that, I always say, as a society apparently, for whatever reason, we have not made it a high priority anymore. Maybe it was because it went very well, but that's not the point. I reject the idea of "war on drugs." There has never been a war in the Netherlands on a scale such as the United States that has done at any time, a war, a war against drugs. The Netherlands also has a policy of allowing the use of drugs. The Netherlands has a policy that is very humane and compassionate with regard to people suffering from drug problems. That is a rather different approach to the term 'war on drugs'.
ParlaMint-NL_2019-09-11-tweedekamer-9.u9	I'm trying to follow the minister. And it may be me, but I've had trouble with that before. I also have the feeling that he's going a little bit on two tracks here. On the one hand, he starts with a very heavy story: "This is what drug policy is like. You can't beat that. That is absolutely not possible. It's been carved in marble for the rest of eternity." I mentioned that in my first term as orthodoxy. I feel a little confirmed in that. On the other hand, in response to questions from Mr Van den Berge, he says: "I cannot explain it either. It is a certain kind of social choice to list I or list II and to find it criminal or non-criminal." I asked him how he looked at the fact that society might say about ecstasy: we do not see such a problem in moderate use anymore. Is it still real, then, to keep it endlessly in criminal law? I think that is what the Minister of Justice should be talking about.
ParlaMint-NL_2019-09-11-tweedekamer-9.u10	In my introduction, I explained very clearly why these substances pose an unacceptable risk to health and so on. When I was asked whether I can prove that it is not true that repression does not work, a double negation, but well, that was the question, I said the following. It is not for me to say, as a society, for the reasons I have just mentioned, such as unacceptable risks to health and criminalisation in the supply, trade and production: we find this unacceptable, we consider that criminal and list I of the Opium Act. As far as the investigations are concerned, I have just indicated that this Minister is convinced that legalising hard drugs is not an option. I really think that we should be able to deal with the enormous organised crime that has been surrounding it. This huge organised crime was not there at the end of the 1970s, when there was a major problem in the major cities of heroin addicts. We have to say now: we have a very large organised crime, which mainly makes its profits with drugs, and we have to deal with organised crime.
ParlaMint-NL_2019-09-11-tweedekamer-9.u11	The minister walks around with a big bow. In my opinion, the problem with drugs is that it is illegal and that people get it in an illegal circuit. This illegal circuit has come into the hands of organized crime. I think we can all agree that this brings with it a lot of disadvantages. The question is: is the overall criminal approach to drugs still being used in Dutch society? I have my doubts about that. Perhaps it is true that some part of society says at some point: we see this less, for example in the case of ecstasy. That's a path we've kind of gotten into with weed. My question to the Minister is: is it still real to continue to do so in criminal law, when some of the population no longer understands the criminality and we also note that we are organizing a number of problems ourselves? I am not saying that it is easy to find another solution. I think we also agree that this is complicated in many ways, but I would like to hear from the Minister how he looks at this fundamental issue.
ParlaMint-NL_2019-09-11-tweedekamer-9.u12	The part of the population that likes it all is never quantified. With all the honour and virtue for the two researchers: neither is it happening in their leading piece today. If we look at the number of people who use hard drugs in relation to the population, we are luckily still talking about a small minority. You'll find all that in the National Drug Monitor. Let that be one thing that's clear. The past has shown, with regard to heroin, cocaine and other matters, that hard drugs are indeed a considerable risk to certain groups of the population who do not deal with them and who end up in addiction problems. This is unrelated to the fact that hard drugs still pose unacceptable risks to the health of people who think they might be able to deal with them better. From ecstasy, the Trimbos Institute says that 1 in 250 people taking pills have a serious health incident. I think that's quite a number. Coming back to the point. You ask: what does the Minister think of that? I believe that if we say together that these substances, which are on list I of the Opium Act, pose an unacceptable risk to health and disrupt society, we must also ensure that we prevent trade in and production of these substances.
ParlaMint-NL_2019-09-11-tweedekamer-9.u13	Please continue.
ParlaMint-NL_2019-09-11-tweedekamer-9.u14	I want to say something about soft drug cannabis, also because it came out of the PVV. There's something different there. It is a means whose risk to people and society is lower. It's not on list I either. There, and Mr Van den Berge has already pointed out this, other countries are also taking steps internationally. Through you I say to Mr Helder that you cannot dismiss that weed experiment as inconsistency or something like that. A committee of experts led by Professor Knottnerus, former chairman of the Health Council, is involved in defining very well what could be all health and other risks. Finally, we must realise that we used a policy of tolerance on soft drugs, precisely because of the other risk situation, a long time ago. This weed experiment, and I stress it again in one sentence, aims to investigate whether you could also decriminalize production. Mr. Chairman. I said it at the beginning, but I would like to stress it again: I do not criminalise users, but I do address them. I want to hold them a mirror. They must realise that they are contributing to an illegal large industry that involves violence, intimidation, illegal money flows and environmental pollution. They have to be able to realize that. I have already said a few things about the tolerance of drugs in society. I won't work that out any further. Maybe I should have brought 150 copies of the National Drug Monitor that the Trimbos Institute issues annually. I got him right here. It contains figures on the use of cocaine and the slow rise of crystal meth. Last year two heroin factories were closed; I mentioned it earlier in this Chamber. It really gives a worrying picture of the gradual increase in the use of hard drugs. Mr Groothuizen, and in his wake Mr Van Nispen, I mean that not wrongly asked for justification, usefulness and necessity. I have just said a few words about this in connection with the interruption by Mr Grothuizen. I would like to stress once again that it is not a question of banning drugs as a means of pleasure to bother people. They are forbidden to protect people from the risks to health, risks they cannot overlook, and they are also prohibited because of the socially disruptive effects that may arise from their use. In my introduction, I said the necessary thing about the fact that, at some point in time, you will also have to go international with each other. Mr. Chairman. Mr Bishop asked: does the Minister wish to promote a drug-free generation? If you ask me that about the man and the minister, I say yes. If we can all work towards a generation that no longer smokes cigarettes, that is not what we are talking about today, but that is not good for health either, and we are focusing on reducing alcohol consumption and explaining that it can also have bad effects, then we must also focus on changing attitudes and, indeed, a drug-free generation. In my letter from the beginning of the summer on synthetic drugs, I also informed your Chamber about the change in mentality that is needed and the steps I am taking. Yesterday you adopted a motion by Mr Kuik calling on the government to take measures to reduce the use of drugs. In fact, I think that was a motion for a resolution from the Group of the European People's Party (Christian Democrats) and European Democrats.
ParlaMint-NL_2019-09-11-tweedekamer-9.u15	Fat-Faber!
ParlaMint-NL_2019-09-11-tweedekamer-9.u16	Excuse me, Fat-Faber. I also want to contribute to reducing use within my role and responsibilities. I'm talking to the Secretary of State about that, too. I'll discuss immediately the tests that Mr Voordewind asked for. There will be a debate with Secretary of State Blokhuis shortly. That is where the point should be raised, but I will certainly convey to him the wish that exists in the Christian Union.
ParlaMint-NL_2019-09-11-tweedekamer-9.u17	I would, of course, like to thank the Minister for his positive response. What interests me is what action the Minister has in mind and what period of time we can expect steps that will at least contribute to trying to reach such a drug-free generation.
ParlaMint-NL_2019-09-11-tweedekamer-9.u18	Some Members, including Mr van den Berge and Mr Groothuizen, have rightly said that prevention alone is not enough. This is, of course, very much in the area of prevention, information and also aid. A number of your Members have already said that help is often about people who are in vulnerable positions and who are more likely to be tempted by drug use or who lend themselves to being used in such a drug gang. Again, I really need VWS' colleague to see how we put this together in a good way.
ParlaMint-NL_2019-09-11-tweedekamer-9.u19	That is clear: with repression alone, we will never make it. Well, that's obvious, but I do have one more question. If we share this ideal, what is this minister's share of Justice and Security? I would like that to be more specific. There is no doubt about the need for cooperation. Everyone understands that.
