ParlaMint-NL_2019-10-02-tweedekamer-6.u1	We will continue with the debate on the General Financial Reviews.
ParlaMint-NL_2019-10-02-tweedekamer-6.u2	We were working on the first term on the side of the Chamber. I give the floor to Mr Sneller on behalf of D66.
ParlaMint-NL_2019-10-02-tweedekamer-6.u3	Thank you, Mr. Chairman. Not in a thousand years has the Minister of Finance had such an easy time. The highest employment ever, the lowest interest charges since time immemorial and a series of budget surpluses to tell you. That generous starting position creates obligations. The Minister also realized this when he set out his motto when he took office: peace, cleanliness and regularity. Rest, cleanliness and regularity. Two years later, we all understand better how he meant that motto. He meant it like that young father who, if he can, is in bed before 10:00, because he knows how early the alarm clock goes again. He meant it as that young father who often eats sports and healthy and whose greatest sin, normally, is a special beer, but then as that young father who also permits a mushroom trip once or twice a year or, forward, hallucinogenic truffles. Of course, we'll just keep it within the rules. A mushroom trip, indeed, because he realizes that a different view of reality is possible, because he knows that this gives an insight into quality that you don't otherwise get, and because the perspective is almost as fascinating as the summit of Mount Fuji at sunset. I don't know exactly how this liberality falls within the CDA, but I can personally appreciate it, Mr. Chairman. Firstly, the investment fund. What an extension of the mind! Or, as Mr Slootweg said, mysticism. The Minister surprised friend and enemy with his enthusiasm for investing more outside the budget. Who would have thought of the treasurer who liked to illustrate the importance of the budgetary rules with an image of Odysseus, who had himself chained to the mast out of self-protection against his instincts, and still firmly swept away the VVD proposal for a windfall formula?
ParlaMint-NL_2019-10-02-tweedekamer-6.u4	I have listened to Mr Sneller with increasing amazement over the last three minutes. I wonder if he would advise our rulers to use drugs so that our government finances are in safer hands. Because that's what it sounded like in one sentence.
ParlaMint-NL_2019-10-02-tweedekamer-6.u5	I am working for two minutes and ten seconds, but I suggest that I finish my speech and hope that it will become clear to Mr Bruins, because the metaphor is not quite clear to him yet. In any case, I have appointed the first spirit expansion, the investment fund.
ParlaMint-NL_2019-10-02-tweedekamer-6.u6	I will at least stay away from mushrooms for the next 15 minutes, because I do not yet follow Mr Sneller, but I will continue to follow it with interest.
ParlaMint-NL_2019-10-02-tweedekamer-6.u7	It's very important that someone stays sober at such a mushroom trip. The minister surprised friend and enemy because this tour led some people to the question: what were Wobke's words worth so far? And I get that bit of sour question somewhere, but with me the satisfaction of these new clear insights really prevails. After all, I am always in favour of not staring us blindly at the buffers but of overlooking them. A crucial part of that plea was always investing in new growth, in the earning capacity of the future. That future sometimes sounds far away, but is in fact a very urgent problem because this year labour productivity is declining. In other words, we produce not more on average per hour worked, but less than last year. For years, productivity growth has been lower than in other countries. For decades, the proportion of public expenditure going to investment has been falling. Now I've always learned that the best time to plant a tree is ten years ago and it's a second best moment today. So let's speed things up. I welcome the priorities set by the Cabinet for the growth agenda. So far, so good. But, question one: what criteria exactly are we going to use to select projects for that fund or what exactly it is going to be called or to take shape? Take knowledge development, R&D and innovation. There are great opportunities here and no one, except perhaps Minister Wiebes, will deny its contribution to our growth potential, but in the models of the calculators of the Central Planning Bureau they have zero effect on economic growth. Furthermore, Professor Mazzucato, one of the apostles of the public sector revaluation, has shown how important the contribution of the government to our economic growth can be, for example, in the creation of the Internet and GPS. But would they have come if there had to have been a positive business case in advance? I'm afraid not.
ParlaMint-NL_2019-10-02-tweedekamer-6.u8	Brief question, Mr Azarkan.
ParlaMint-NL_2019-10-02-tweedekamer-6.u9	I think Mr Sneller is moving rather quickly towards how. I'm really curious about the need for such a state fund or equity fund. I don't know exactly what to call it. What the hell is the need for that? Can Mr Sneller explain that?
ParlaMint-NL_2019-10-02-tweedekamer-6.u10	The need for a fund is doubtful, the need to invest more seems obvious to me.
ParlaMint-NL_2019-10-02-tweedekamer-6.u11	Mr Sneller just mentioned that in a spirit-expanding way, in which he described in an almost lyrical way the idea which was already put forward in 1957 and which I think was swept away by Zijlstra because he did not like it; it has been done a few times before and Europe has been doing it through the Juncker Fund for some time, so it is not that complicated to think of that. But let's talk about the necessity. If you say that this need is not proven, why can we not do it through existing resources, public spending, investment and so on?
ParlaMint-NL_2019-10-02-tweedekamer-6.u12	I think I said that it is important that we invest more. Mr Azarkan referred earlier to the opinions of the Council of State, in which you can see that the share of investment as part of public expenditure is falling. That's all I care about. Next is my motto in the design: form follows function. If we think that it needs to be spent quickly and that it needs to be invested, I wholeheartedly support the areas mentioned in the Millions Note, then there is a form that is secondary to me. Whether it's going to be a fund or it's going to be another way.
ParlaMint-NL_2019-10-02-tweedekamer-6.u13	Finally.
ParlaMint-NL_2019-10-02-tweedekamer-6.u14	Then I think we are in agreement in the sense that you can also say to the NS: continue with very fast rail connections. We've got the light rail. We can invest much more in education. There are plenty of places where we can invest. And I think it's just possible. So I think the question should be: what makes the cabinet invest so reluctantly in recent years?
ParlaMint-NL_2019-10-02-tweedekamer-6.u15	The cabinet doesn't invest reluctantly. Mr Azarkan immediately took the step to ask: what specific projects? The question of how and the question of who will then select these projects is left over in the second part of my speech. Looks like we're getting home real soon.
ParlaMint-NL_2019-10-02-tweedekamer-6.u16	I'm going to see Mr. Alkaya.
ParlaMint-NL_2019-10-02-tweedekamer-6.u17	When we talk about research and development, we must of course also look at the power relations within companies. Eventually, profits are made. You can put them in wages, or pay them out as a dividend to the shareholders. But you can also put that profit into research and development. In the past, the Netherlands had much more of these laboratories, such as Organon. They're all gone. Private R&D spending has been lagging behind in the Netherlands for years. We are lagging behind in the OECD, in the most developed economies, we are lagging behind in the euro area and within the European Union. Shouldn't we also look at the private side? Companies invest far too little in the creation of long-term value.
ParlaMint-NL_2019-10-02-tweedekamer-6.u18	That is a justified appeal from Mr Alkaya, whom I would like to support.
ParlaMint-NL_2019-10-02-tweedekamer-6.u19	Could it then be that the shareholders' power in deciding on the distribution of profits is far too great, so that far too much profit is put into dividend payments and buyback of shares? These things are all good for shareholders, who are abroad a lot, but they are bad for the workers here, because their wages are not rising and laboratories are being closed, where research and development suffer.
ParlaMint-NL_2019-10-02-tweedekamer-6.u20	I'm not here to review shareholders as a group. I also see that the largest shareholder in the world, BlackRock, is saying: buy less back and invest more in the earning capacity of the future. That's a primary call to companies. So I do see shareholders who see that long-term interest. However, I fully agree with Mr Alkaya; I am sometimes surprised at the number of shares bought back, rather than investing.
ParlaMint-NL_2019-10-02-tweedekamer-6.u21	Finally. Mr. Alkaya.
ParlaMint-NL_2019-10-02-tweedekamer-6.u22	Of course, there may be good examples, but we also see that various studies show that Shell's shareholders, in particular, ensure that 90% of research expenditure is still spent on fossil fuels and not on windmills, solar panels and so on. Can we then ask the cabinet together to consider at least what the role of shareholders is in the use of research funds and whether they could not be raised much more if we were to address the shareholders in this respect?
ParlaMint-NL_2019-10-02-tweedekamer-6.u23	In my view, Mr Alkaya does not need me to call on the cabinet to do so. It is particularly important to consider what further we can do to increase private investment. Invest-NL is an example of this. How can we use the investment agenda and the projects included in it to raise private investment? I believe that we have made this appeal; I hope it will be heard. I would therefore like to invite the Minister to speak to Mr Azarkan, especially his inner Mazzucato, when the fund is being drawn up or whatever it is going to be. So how are we going to make choices within that infrastructure? The criteria we use to choose between infra-projects are really not of this time anymore. The reduction of traffic jams on the national road network is at lonely altitude, while liveable cities and housing come to the second plan. This seems to me to be an excellent opportunity to give the concept of 'wide prosperity' the place it deserves. Should we not introduce this more modern way of measuring social impact and selecting projects also for investments across the Netherlands? We would be crazy to completely ignore the sweet siren song of low interest rates. But everyone in this Chamber also knows that the political meat is weak. That is why we need to define and monitor the distinction between investment and consumption, which the Council of State rightly calls attention to this year. And then there's the second question: who's going to select these projects? How, on the one hand, do we ensure a substantively balanced objectifiable judgment, while politics remains accessible to choices and keeps Parliament insight and control? I think it is a coincidence that Mr Nijboer is coming forward now, but the follow-up to my sentence is: without every Member of Parliament or person in office seeing the ideal cover for his or her acute deficit or wish.
ParlaMint-NL_2019-10-02-tweedekamer-6.u24	I hear Mr Van Dijck knows what question you are going to ask.
ParlaMint-NL_2019-10-02-tweedekamer-6.u25	He's right. Yes, it's about education. Because if there is anything important for the future of the Netherlands, it is investing in education. I'm sure D66 agrees with that. We need to make sure everyone is well trained. How can it be that when a VVD senator went over in the First Chamber and the interest rate increase for students did not go through, the 226 million in savings in higher education ended up in this budget? Where was D66 when those negotiations took place? Why wasn't that taken off the table? Are you willing to do that after all?
ParlaMint-NL_2019-10-02-tweedekamer-6.u26	During these negotiations we were very busy trying to find a solution to the gap that Mr Asscher left in the education budget. I believe that the budgetary rules have then been applied to what you describe there. I don't think that's a nice element, but then I think: yes, so much extra went to solve what you left behind. This gap was created by the way in which the student estimates were handled. Fortunately, we have now finally managed this in a better way.
ParlaMint-NL_2019-10-02-tweedekamer-6.u27	When we were in the outgoing cabinet, D66 and other parties said shame that we then said that we needed more money for education in that budget too. We've been committed to that for years. In the previous period, I have benefited greatly from the efforts of D66 as an opposition party to regulate more money for education. I would say: take this hand-off from the opposition, from the PvdA, to get those cuts off the table. You also say about the cuts: they are the budgetary rules, but it also hurts me. The cabinet does pay extra money for defense and other matters. Then at least get those cuts off the table. Because the relationship with the universities has fallen to a low point, and that under the responsibility of a minister of D66-house. Couldn't we work together to at least get these cuts off the table that they can't do anything about?
ParlaMint-NL_2019-10-02-tweedekamer-6.u28	Mr Nijboer just accused another party of being a manoeuvrable party. I think it's an understatement to say about the PvdA. But if this is Mr Nijboer's outstretched hand, then I am always prepared to look at that outstretched hand and what is in it.
