ParlaMint-NL_2019-05-28-eerstekamer-14.u1	I give the floor to the Secretary of State for Infrastructure and Water Management.
ParlaMint-NL_2019-05-28-eerstekamer-14.u2	Thank you, Mr. Chairman. Thank you to the Members of this Chamber for the questions. I would, of course, like to dwell on the fact that this is the last debate for some of your colleagues. It's an honor to have that with them. For the first-term answer I have made a number of folders. Perhaps it will help your Members to know in what order I am going to try to answer the questions, which often had a certain coherence. First of all, I would like to address the issue of proportionality, usefulness and necessity. In addition, questions related to affordability and capacity in the market have been asked. First of all, I will deal with market capacity and costs. Then I will deal with a very important point, which has been mentioned by many Members, about funding and support for people who need to take a step. I will then go into the fund in more detail as the main instrument for funding and support. I will explain how this fund is structured and what the fund is aimed at. Then I'll answer some questions that were about differentiation. In this case, that is a key word for the question of whether as much as possible can be connected to a natural moment, which would, of course, be close to the prohibition date. I also come to the question of what can be done about direction, care and facilitation. Then a number of specific questions have been asked about, for example, the 35-square-metre limit, legal procedures and dumping. I'll deal with that later. Finally, an important block is enforcement. I build it that way, because it's all blocks that are really connected. I'll start with proportionality. What the House of Representatives said on this point about the law is of course clear, but that does not relieve the House of its own responsibility, as one of you said, for a solution or for the problem. That's the problem. Asbestos is carcinogenic. Exposure to it shall be reduced as far as possible. That is why there has been a ban since 1993. That is why asbestos roads have already been tackled as a very important source. That is why this proposal is also important. This proposal is based on an opinion of the Health Council of 2010, which says: strengthen the source policy. What is the last large residual source of asbestos fibres in the outdoor air? Those are the asbestos roofs. Without this law, the asbestos roofs won't go away. Without this law, the problem is not gone. Without this bill, we have no basis for speeding up and ensuring that the risks do not increase.
ParlaMint-NL_2019-05-28-eerstekamer-14.u3	I hear the Secretary of State say that the roofs will not leave without this law. But in the underlying material I also read something about the autonomous process. If we don't do something, when are all these roofs supposed to be gone? I read this is in 2040. Perhaps it is good to know that there is also a natural improvement.
ParlaMint-NL_2019-05-28-eerstekamer-14.u4	Of course, Mr. Chairman. But the Health Council has said: strengthen the source policy. Let me put it this way: without this law, there is no strengthening of the source policy. This law is a basis on which various elements of a building are then built. Without this law, there's no foundation for all those other blocks that have to help. This means that without this law we cannot prevent an increase in the health risk. Without this law, we cannot avoid the increase in the enforcement burden of municipalities. Without this law, we cannot offer clarity to owners and the market in terms of insurability and merchantability of the homes. Without this law, it becomes more difficult to control incidents involving asbestos fires and their financial consequences, incidents that sometimes lead to serious disturbances of public life and social unrest. Without this law, there is an autonomous pace. It does indeed take up to about 2044 or 2045. Then it would be solved. But we all know that asbestos roofs are a risk if they defend. In the expert meeting even the experts who are critical of this law have said so. We all know that weathering increases greatly over time. The longer the asbestos roofs lie, the stronger the weathering is and the greater the risks. So the risks are there, because the roofs are there. Without this law, we have no instrument in our hands to reduce those risks. The roofs are all over 30 years old because the ban started in 1993. I always prefer to talk about the odds and the positives. With this law, we have a basis to base an AMvB. With this AMvB we can set a clear deadline on the one hand, on the other hand, which also forms the basis for cooperation between all parties needed to ensure that asbestos roofs are properly renovated. With regard to coordination and direction, I will go into that further later, and we need to ensure that there is a country-wide system that people can use when they get into trouble. That is what I have heard a great deal about from Members: what are we going to do with the people who are in this situation and who cannot afford it? I can tell you: I think it is a very fair question and I see a very legitimate concern. It's really my intention to take that concern away from you. In fact, I would like to explain how we intend to respond to these concerns with this fund. People are mentioned, for example, who have a small pension or who have a house with an asbestos slate roof, whose clean-up is more expensive than usual, or a farm barn that is no longer used. What do we impose on people if we adopt this ban and how do we help those people to get clean up? Those are good, logical questions. I'll deal with that. We've already started a huge movement. As many as 40 million m of the original 2012 120 million has already been repaired. That achieved acceleration, which we have really achieved because all those parties have come together, we must hold on and expand instead of losing the momentum. I'm really fighting that the 40 million m is all about the low-hanging fruit. It was also the early movers, the people who saw that this was a risk. They have said: although I am not sure if the ban is going to happen, I am going to do it because I see the risks and do not want me to walk those fibres that go off my roof at my barn and end up in the ground around the barn, which gives me a higher exposure to asbestos in my house than is healthy. For that reason, people are already before the troops go out to clean up. Their roofs are among those 40 million meters that have already been done. It's not easy, it certainly isn't. That is why my efforts are aimed at facilitating and abetting. We must be aware of the harrowing cases. I absolutely agree with you. But we must prevent our concern for the harrowing cases, which we could well cover up with each other, from becoming a reason not to do the rest. I'd be really worried about that. Secretary of State Atsma Honorary Honorary Honorary, sent a letter to the Chamber in 2012. He said: "I am committed to avoiding situations in which people are exposed to asbestos and therefore wants to reduce this source of asbestos in the living environment faster than in 2044, because both the cost per m and the health risks increase with the age of asbestos. (...) In the light of the above-mentioned incentive to clean up and combine with, for example, the installation of solar panels, I choose to ban asbestos roofs by the year 2024, 30 years after the entry into force of the 1994 ban to apply and more than 50 years after the peak of the placing of asbestos roofs in the 70s. The total economic lifetime of asbestos roofs and façade coverings is 30 to 50 years, depending on the sector." If we look at where we are now at the age of asbestos roofs, we are 30 years after the ban and 50 years after the peak. The Health Council has therefore proposed a tightening of the risk standard. The Health Council considered it necessary in 2010 to significantly reduce the existing standards, because if I put it simply, asbestos was even more dangerous than it was thought. It's that standard of the Health Council and that advice from the Health Council that's still leading me. I have heard questions from many members of the Chamber about what I think of the expression of expert A or expert B. There are a lot of experts who have expressed their views on this issue. We can see that one expert points out, for example, that famous Aedes report, which has been mentioned by some of you. It contains a number of conclusions. Other experts say that: the conclusions of that report are, in my opinion, completely incorrect. That's what a professor of oncology says. "I think the report is grossly incorrect and inconsistent, as part of what we know as best science." That's what an asbestos authority in the United States says. And in response to Mr. Helsloot's statement that incidental exposures do not endanger health, Nico van Zandwijk, professor of oncology, says: this is an unfounded statement. There are a lot of quotes like this. If we are not careful, all these quotes ask the members of this Chamber and the Cabinet to make the exact weighting between one expert's judgement and that of the other. I think we should be careful with that. For that we have institutes like the Health Council and RIVM. These are the fully independent experts who advise the government in the shaping of policy objectives. And the advice of the Health Council is: tighten up the source policy. And the asbestos roofs are the largest remaining source. Mr. Chairman. The RIVM also wanted to specify this.
ParlaMint-NL_2019-05-28-eerstekamer-14.u5	I'd like to ask you something that the Secretary of State may still come up with, but I'll let you know. I'm trying to figure it out as a layman. I read about terms like Negligible Risk and Maximum Allowable Risk. I think, then, maximum tolerance is permissible. Underneath it gets, say, the label "acceptable." What does this bill contribute to these two values? I'm very curious about that. After everything I've read, it's not clear to me yet. I see the Secretary of State nodding, so I'm sure there'll be another answer to that.
ParlaMint-NL_2019-05-28-eerstekamer-14.u6	I do think it is important to clarify these two concepts. The Negligible Risk is the advice to be taken into account. The Health Council says: the limit value of the Negligible Risk thus indicates the quality level to be respected. So we need to steer that Negligible Risk. That's 10. Those of you who have more to do with external security policy know that this is the standard applied to other areas as well. The standard of 10 is a very common external safety standard in the Netherlands, and so it also applies here. The recent RIVM signal, whatever you have had, says: To reduce the risks to society, the aim of the asbestos policy is to reduce the concentration of asbestos in the outdoor air to below the Negligible Risk. So that's what we send together. This is very consistent with other policies, including 10 as a risk standard. We're not under it yet; we're still above that standard. That Negligible Risk is 28 fibers, and we are now at about 35 fibers; that measurement was also mentioned earlier. The Health Council says if you want to bring this down any further, you need to address the source. Asbestos roofs are the great source that we now have and which we can address in order to get to the standard of that Negligible Risk, which actually applies to all the other areas of external security. Mrs Fiers asks to be very precise about how far you can get with that. I can't. But these asbestos roofs are the last major source and this is what the Health Council has advised. There they say: strengthen the source policy to achieve that standard of the Negligible Risk. The sources are lined up, and this is the last big source we have. Previously, we've been working on the roads. That was a big source, too. This is now the last major source.
ParlaMint-NL_2019-05-28-eerstekamer-14.u7	So the effect of this law whether or not to execute on that Negligible Risk is not in the picture. How does that scenario work, even if we opt for autonomous reorganisation?
ParlaMint-NL_2019-05-28-eerstekamer-14.u8	If you're not gonna clean up this last big source, it's gonna increase. And we've just established that it's going to increase. Because as the weathering increases, the release of the fibers increases.
ParlaMint-NL_2019-05-28-eerstekamer-14.u9	You could also argue that with an autonomous clean-up, asbestos will also disappear. For example, people are going to replace their roofs in the coming years because they need solar panels on them. The Secretary of State says it's increasing. But then she might assume that the asbestos remains on the rooftops and is only going to defend itself. But, of course, there's also such a thing as autonomous cleaning. With incentives in the field of renewable energy, we are also going to replace these roofs at a certain pace. If we compare this with the effect of this law, which actually imposes an obligation at the end of 2024, what is the difference in relation to that Negligible Risk? Is there a picture of that? That's what I'm looking for.
ParlaMint-NL_2019-05-28-eerstekamer-14.u10	The difference, of course, is just twenty years. With the pace of autonomous clean-up you will come out in 2044, and with this law you will come out in 2020. So it saves 20 years of weathering, at 80 million m rooftops. These roofs are starting to release more and more fibers. So the sooner you do this, the better it is, and the later you do this, the more fibers a year will release. You know the number of fibers that release will be greater every year. So that means that you can't say that if you cut those twenty years into two periods, you have now ten years. So it's really an ascending line. That's the difference you're going to make with this law: twenty years earlier, you're going to put that real, structural line in the direction of that Negligible Risk. At the same time, the reports show that if you allow the pace of autonomous reorganisation to continue, you will go further away from that standard of the Negligible Risk. So the question is whether we want to allow the Negligible Risk to go further out of the picture? Or do you strengthen the source policy, as advised by the Health Council, and so are you going towards that Negligible Risk standard? We're close to that standard now, but we're not there yet.
ParlaMint-NL_2019-05-28-eerstekamer-14.u11	Can the Secretary of State also reflect on the possible negative impact of an obligation, for example on asbestos dumping?
ParlaMint-NL_2019-05-28-eerstekamer-14.u12	I'll get back to you on that. Absolutely, yeah.
ParlaMint-NL_2019-05-28-eerstekamer-14.u13	Now that the Secretary of State has described this in detail, I would like to return to the hearing we organised here and to which you also referred. It was said, among other things: in the east wind you suddenly see a substantial increase in the number of fibers in the living environment and in the outdoor air. Would the Secretary of State please respond in her own words to that aspect? I am particularly asking for this because the international component, which some other colleagues have mentioned this morning, is still lacking in policy. Perhaps that is also an element that the Secretary of State could now take with him: east wind and what is coming from Germany? And how can you match that with what the Secretary of State has put forward?
