ParlaMint-NL_2019-03-27-tweedekamer-6.u1	I shall be the first to give the floor to the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2019-03-27-tweedekamer-6.u2	Thank you, Mr. Chairman. We are talking about middle-rent today, and that is an important issue. This was already the case in the previous period, under the previous cabinet, which set up the Co-operation Table or the Van Gijzel Group, with a report I shall come back to later on which we have benefited. It is something that is mentioned in the coalition's coalition's coalition coalition agreement and it is something that Parliament has the attention. I'm glad. I think the common denominator is that we all want to get more middle rent. We do this for the starters, for the people who have their first job, for young families who are looking for a larger home in a nice neighborhood to raise their children, and for elderly people who are looking for a ground floor home for example. For all those groups, which we all know in our various supporters, it is important that more middle rent is realized. And the fact is that it is now very difficult for many groups to find a suitable home, a home that suits their capabilities, also financially. There is scarcity in the housing market, and that puts pressure on prices. So the prices are rising fast, for both residential and rental properties. This means that people have less choice or don't even have: the choice between renting and buying, choice in the location of the home of choice. Actually, the housing market is a little tied up, and that's not right, and that's what I'm really worried about. I am concerned about the position of these groups in the housing market and about the opportunities of people in the housing market. That is why we are discussing this approach with each other. I have said it before: it is an approach that we should not only promote here from The Hague. After all, it is also something in which municipalities have an important role, in which the market players have a role, in which the corporations have a role, and not to mention the tenants. The cooperation between all these parties is very important. That offer, an affordable offer, is an essential link in the whole. In this middle-rent segment, therefore, there should simply be more offer. We're gonna need more homes. And it's also important that middle-rental housing stays in middle-rental housing. 'Cause middle rentals are for middle income. So it's high on our agenda. I actually see the middle rent as some kind of pressure valve on the housing market. The special thing about the Netherlands is that we actually have very little middle rent. It would be good if we could expand that segment, because it would improve the functioning of the whole housing market. It is also a problem on which we simply have to say honestly: we cannot solve it overnight. That requires commitment over a long period of time from all the parties I have just mentioned. And that Collaboration Table Rob van Gijzel's mid-rent has shown you what you can do if you work well together. Then parties can conclude agreements, then they can come up with innovative solutions that help, then they can inventory together where it really pinches and also see who can offer that solution for that bottleneck. Those recommendations of the Cooperation Table were made by all those parties who sat at that table, i.e. the corporations, the market parties, the tenants and municipalities. They indicated that action was needed from a number of parties on a number of points. And I made sure of that, too. The platform Market exploration middle rental, actually a kind of market place for middle rental, has come about; that was launched last year. The Internal Urban Transformation Facility has been established and is open to applications. Municipalities have continued or set up local cooperation tables. New cooperation tables have also been launched. As an example, I mention Amersfoort, here often mentioned. And I am working on that emergency button, which we will discuss in detail in another debate. And now this proposal for a law is for middle hire measures, as a final part of Van Gijzel's recommendations. It is in fact the drafting of two recommendations from the Cooperation Table. I filed the bill here with your Chamber last September. Of course, your Chamber is all about its own agenda. The Chamber has opted for a very careful examination of the bill and written questions have been asked about it, in my memory in two rounds. It's also a good thing that happens. So what is ahead is another threshold that is removed, a threshold that is still in place and that is obstructing the addition of extra middle rent. Is this bill gonna solve all the problems around middle-rent? No, I don't think so, honestly. Nor does Mr Koerhuis, nor does Mr Smeulders, nor does the others. No, it's part of a solution that requires much more. But it is an important solution and it is a step in the right direction. I'll go into all the questions that have been asked later. But the intention is to build more middle-rental houses by market players and by corporations. More middle rentals. We do this by removing unnecessary steps and thus also high administrative burdens. Then it becomes more attractive for municipalities to do this in a good way and it becomes easier for housing corporations to become active in the middle rental segment. This simply means that if the market cannot or does not want to carry out these projects and they are well in line with the tasks that housing corporations have, they can take on that role in the middle segment. I also say this to housing corporations: make use of the opportunities you have in the non-DAEB segment. They're here and we're making it easier now. As far as the Housing Act is concerned, on which questions have been asked that I will go into: it simply appears that in practice there are a lot of questions about the application of that Housing Act in municipalities. This was unclear, so municipalities do not use an instrument that they actually have strictly in the legal sense. I thought it was important to clarify that so that it would be used. In any case, I think that if you have legal instruments, they should be clear and workable. In short: two changes that make it possible for middle rental to be made faster, not to think at one stroke that we have solved the whole problem, but to take steps in the right direction to ensure that there is more middle rental and that middle rental becomes a more normal segment in the supply on the housing market. Mr. Chairman. A lot of questions have been asked. I'll start with a few general questions. Maybe it's nice for the Chamber to have something of a structuring. Then I would like to comment on the impact of Van Gijzel, followed by the questions about the market test, about the Housing Act, about affordability and offer affordable middle rents, partly outside the proposals before us, but there have been questions about this and finally a number of other questions. Mr Kops pointed out that it had taken a long time. As I said, in the meantime, a lot of other things have happened. The bill was filed here in September. Once again, the questions raised by the Chamber are all relevant and contribute to the careful handling of the legislative proposals. Mr Kops also asked if we know how many people are looking for middle rentals. So not those who would like a place to buy, but people who really need a middle-rent house. This is quite difficult, because several bodies keep track of this and investigate it: commercial authorities and the CBS. Next week CBS will present a new report: the WoON. It provides an overview of the entire housing market. Maybe that'll give you some new insight. It's coming. We do know that the extra need for middle rentals is about 100,000 over a period of ten years. But of course it's hard to split that out to people who are necessarily looking for a middle-rent house and people who just want the flexibility that goes with a middle-rent house. These are two different groups and different motives for whom a middle rental house is a solution. Perhaps I can also answer a question from Mr Smeulders. He made the point: it is clear that the market for middle-rent does not work. So there's a market failure. What I would like to add to that analysis is that there are very large differences in the Netherlands. Regionally, there are great differences. We have more relaxed areas in the housing market with a different type of rental prices. You have areas with a very tense housing market: large cities in particular. That's where there's a big need for middle rent. Besides, there's a greater need in all segments. This translates into a pressure on prices for the middle rent. If Mr Smeulders shares that analysis, it makes sense to focus on various measures. Then it is not black and white, but then it is about finding the right balance and also gradations in countering the market failure that he notices. That's what I'm always looking for: a balance with which you dose in the intervention but do something with the problem. So a bill that makes it easier for corporations to become active in that segment fits that approach. The same applies, however, another time we come to discuss this in detail for the purpose of drawing up the emergency button. That's one way to stop excesses. It is then a matter of excesses that occur, and that is something we need to be clear about. It just happens. If you want homes to stay affordable, even in cities where the pressure is so high, that emergency button can provide an answer. We still have to discuss how it works with each other. Mr. Chairman. Then I'll start with Van Gijzel. Mr Ronnes asked if it was a priority enough. Mr Ronnes also knows that it is included in the coalition agreement and is therefore, by definition, a priority. But more importantly, it is a priority in our municipalities, in our cities, alongside a number of other things. Besides promoting, for example, urban construction. In addition to providing a platform for market exploration. In addition to offering opportunities to municipalities to implement this. It is actually part of what I just outlined: the wider package, in which also the emergency button and other proposals from the letter of 22 February have to play a role. But with that, I would certainly like to regard middle-rent as a priority. I think I have already answered Mr Smeulder's question on Van Gijzel's recommendations. I have greatly appreciated the fact that the report was there. I took it very seriously. As I said, the municipalities continue to do so. So it's very good that the report is there. The cooperation tables to which Mrs Dik-Faber referred should be done mainly at the local level. You can help them, for example with that platform, that marketplace that we created and in which BZK has played a pulling role. There are a lot of collaborative tables. If there are still municipalities that are considering setting up such a cooperation table, the Expertteam Housing Building can help with this. We can fly that in, just to put it this way. They can help municipalities ensure that the right parties are at the table. They can help municipalities in the question of what type of questions to discuss with each other. There are now many examples of well-functioning cooperation tables. You don't have to reinvent the wheel if you want to start something like that as a municipality. You can just see how a number of other municipalities have started doing this. But I'm always willing to help with that from BZK. Mr President, then I come to the questions about the market test and the legislative proposal. I told you, the goal is to increase the offer of middle rent. It is really my firm belief that we can only achieve this if we can use the investment power of all parties in the housing market, and that is what this legislative proposal is looking at. It increases transparency in the market so that all potentially interested and capable parties know what is being asked. I notice in the debate that there is something about the word 'test'. That's what it's called, "market test." The objective is to simplify the test, but it is actually just a way to ensure that there is a fair market exploration and to reflect the interest of both market players and housing corporations in a good way. The test contributes to transparency and fair competition and mobilises the investment capacity of all parties in the housing market. That's the best way to add new middle rental offers. If you didn't, I think you're gonna push the parties, the investors, the market players, who are just looking for a good way to realize middle rental, a little bit away. You'll be left with the housing corporations, but with that we don't realize any more middle rent. I want more middle-rent from market players and from housing corporations, not just from one segment, which is perhaps too much now, but not only from the other segment, namely only from housing corporations. In this way, you push parties that I think we need very much in this market.
ParlaMint-NL_2019-03-27-tweedekamer-6.u3	I see an interruption by Mr Ronnes right away.
ParlaMint-NL_2019-03-27-tweedekamer-6.u4	I see the Minister's fear that the corporations would be too privileged if you went further into that, but is that a real assumption? Is it real to assume that corporations will start working massively in the middle segment? The most important thing is that the corporations where the need is highest are the middle segment and that they are in a position to do so. They have to be able to do it faster. A further weakening of the market test could mean that this can be done even faster, which I think we all want.
ParlaMint-NL_2019-03-27-tweedekamer-6.u5	I hope that at the end of the debate Mr Ronnes and I can see that we are in agreement. Let us conclude together that we want to achieve more middle-rent, not only by corporations, but also by corporations. Let us also note that the simplification of the market test, as it is now called, is aimed at creating as fair a playing field as possible. Contrary to the current situation, housing corporations are more easily able to operate in this segment, but we do not drive away the market players who want to achieve middle-rent. We'll have a win-win situation. Municipalities of course work very much together with housing corporations, but if the corporations get the award of the municipality too soon and market parties are no longer interested, we no longer realize middle rent.
ParlaMint-NL_2019-03-27-tweedekamer-6.u6	The minister says that municipal authorities with corporations would have a more intimate relationship than with project developers. At that point, I just don't agree with her. The practice is that I see that in townside the director of an investor is more often at a college than a director of a housing corporation. I simply disagree with the Minister on that point.
ParlaMint-NL_2019-03-27-tweedekamer-6.u7	I don't want to bring anecdotal evidence here. The fact is, of course, that municipalities have a good connection with the housing corporations that operate in their municipalities and in the region. That's important, too. They must have a good bond, too. I don't find anything weird about that. However, I am afraid that if the balance sheet goes in the direction of housing corporations, it is simply no longer attractive for the market players to step in. I do not want to discuss the issue with Mr Ronnes about how close the relations are, because that is not at the heart of the point. The essence of the point is that you don't make it so interesting for market players anymore when the housing corporations take over this place. We want more middle rent. We do not want middle hire from another party, but less from the party that is still active in the segment.
ParlaMint-NL_2019-03-27-tweedekamer-6.u8	For us, this is the point of the debate. It is also the only point on which we have tabled amendments. If I'm being very honest, I don't think the Minister's line of defence is very strong. I'd like to ask you about that. Let me be the first to open my main question: what is going to go wrong if the market test is abolished? What's wrong?
ParlaMint-NL_2019-03-27-tweedekamer-6.u9	The market test sees that there is a fair playing field for parties that could become active in the middle rental segment. So it has to be easier for corporations. Now a huge number of steps have to be taken. Only at the end of that would you possibly as a corporation... Well, we'll make that much easier. At the same time, I don't want to freak out. Of course, it's often the case that when you've had a crisis, you say something wasn't right, and then you go all the way to the other side. I would think that would go too far because I think that we are no longer realising middle-rent because you are potentially driving away the market players who are willing to do so. This doesn't make the playing field better or fairer, but it doesn't make you realize middle rent anymore.
ParlaMint-NL_2019-03-27-tweedekamer-6.u10	I really think the Minister is putting it way too black and white. If that market test is abolished, then it is not the case that the market players no longer have a fair chance. I have also been an alderman and I often think about project developers and housing corporations. If there is a market, those market players will always apply for part of that market to just make a margin. What I find very difficult is that it is placed so black and white. I would therefore like to ask the Minister whether she cannot simply have faith in our municipal authorities. If we abolish the market test, municipal authorities can ultimately simply decide whether to do business with the corporations, if they need it, I think that is often not even the case with the project developers. There's nothing wrong with that, is there? Nothing's gonna go wrong, right?
ParlaMint-NL_2019-03-27-tweedekamer-6.u11	I don't want to put it in black and white, because my point is that I'm looking for the right balance and that I'm actually sticking a little more in the middle. It should not therefore be a matter of breaking down a situation with only market players... I charge the current situation.. to a situation with no more market players and only housing corporations, because that is what I call 'black and white'. What I am saying is: mobilise the investment capacity of all the parties that can contribute in that middle-rent segment. These are also the housing corporations, but also the market players.
