ParlaMint-NL_2019-12-09-eerstekamer-3.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2019-12-09-eerstekamer-3.u2	I give the floor to Mr Frentrop.
ParlaMint-NL_2019-12-09-eerstekamer-3.u3	The main theme of the debate tonight is the Tax Plan for 2020. That's what we're gonna take off for almost 24 hours, if I see it right. But that name doesn't seem right to me. This isn't a plan. Making a plan means establishing: here we stand, that's where we want to go and that's how we get there. None of that is in the pieces that are now before us. This is not a plan, this is a shopping list: collect a little more here, collect a little more there; sweetener here, sweetener there. We tackle the small entrepreneurs by limiting the self-employed deduction. Family companies in the Westland and elsewhere we are going to destroy with a huge levy on storage of renewable energy. This brings us all together 150 billion; again a new record, the highest yield ever. While the citizen is being squeezed out, the structural weaknesses in our tax system are not being tackled at all. Officials are quietly studying what is called the "building blocks for a new tax system," but these building blocks have not even been baked yet. The laying of the first stone is, at the earliest, something for the next cabinet. Mr. Chairman. I do understand the slowness of the government's actions. There is no point in making plans for the tax system. There's no way we can carry out any new plans. The IRS can't do that. Years of bad governance destroyed that organization. If the Tax Office were a company, it would be bankrupt. Then I am not even talking about the malpractice of the recovery of surcharges. I'm talking about the old IRS, the one from the blue envelopes, which is about collecting taxes. Investigations such as those of the General Court of Auditors give an unheard-of picture. The Court always expresses itself neatly and writes about "hardy shortcomings" in two key areas of the service, information technology and personnel policy. The Court notes a complete lack of overview, insight and management of the overall package of ICT projects. In my opinion, this means that departments work side by side and the summit has no idea of the total. Half of the IT systems are outdated, so outdated that many systems can no longer be maintained at all. And the percentage of outdated systems is growing faster than efforts to reduce overdue maintenance. I find this unimaginable. Not only with IT, but also with people has been unheard ofly sloppy. Almost 5,000 experienced people have been sent away. This year another 3,000 newcomers were brought in. The goal is to recruit 2,000 more people next year. I estimate this destruction of human capital has cost 1 billion. Mr. Chairman. This misguided policy has been going on for years and has even failed to address it. In the Annual Plan 2020 of the Tax Administration itself, we read about Enterprise Tax System, an important system: "Due to delays in the delivery of a new system and the expiry of the maintenance contract of the old one, there are continuity risks." Old shoes are thus discarded before the new ones are fit. The solution is to extend the maintenance contract for the old system until the end of 2022. "Refreshing control" is called this approach. The level of ambition is much lower than in environmental policy. The Ministry's aim is to reduce late maintenance from 50% now to 39% by the end of next year. The aim is to get 39% behind! If we deal with all the infrastructure like that, I will no longer be able to drive over the Van Brienenoord bridge. In order to be able to control and control again, the Tax Administration started its Programme Management Information and Risk Management in 2018. How's that going? We read in the Tax Administration's plan: "Up-to-date and reliable management information will be part of the regular planning and control cycle by 2022 at the latest." In fact, I think it says: the top of the ministry has no idea what is going on. For the past two years, the tax authorities have been blind, and for the next two years, he has been blind. The Tax Administration writes, I quote: 'It will be a long time before most of the shortcomings and concerns identified by the Court of Auditors have been resolved'. This is insufferable. The Tax Administration has been destroyed and turned into a bureaucracy of woods, strings, elasticity and redundancy schemes. Even with the recovery plans now on the table, the service will not be repaired by the end of 2022. This means that we, the legislator, have and continue to have to deal with the political damage of mismanagement. We, the legislator, will be obstructed in our task in the coming years, and that is a serious matter, which calls for further steps than usual. We saw this in the Lower House as a result of the surcharge scandal. There some groups, including a government party, have even looked at ways of dealing with government officials and civil servants in criminal matters. This is absolutely not the intention of the Forum for Democracy. You don't fight mischief with criminal law. But I do want to get all the facts on the table. That's the job of this house. The Tax Administration is a large organisation with 30,000 employees and with a turnover of more than 150 billion. If a company of that size goes down, then there is mismanagement. This usually only reveals itself after a few years, so we learn from books about failing governance in large companies such as KPN, Ahold and ABN AMRO. The current Minister and Secretary of State are politically responsible, but they are not the ones to blame for this maladministration. They have been saddled with the problem by their predecessors. The Tax Administration collapsed under the previous Rutte Cabinets: under Minister of Finance Dijsselbloem and the State Secretary Weekers in Rutte I and Wiebes in Rutte II. These politicians are, through the cartel, a term that we sometimes use at the Forum for Democracy, especially in this context, which we do not look at the problems they have caused. It has recently been pleased to appoint Mr Dijsselbloem as Chairman of the Security Research Council. Nor have the State Secretarys been held politically responsible. That means we have to look deeper to find where it went wrong. It's not customary. Departments are run in normal times without political decision-making. That is a good thing, but if the Tax Administration is broken, we cannot speak of "normal times." We will then end up with the top officials who play a pivotal role between the govern ment and the administration. The secretary-general is responsible for the overall management of a department. And what's the coincidence? Exactly today, the deadline for candidates to register for the vacancy of secretary-general at the Ministry of Finance; salary scale 19, vacancy number 714. Among other things, the comprehensive job description reads: "You lead the development of the steering relationship between policy, implementation and supervision. This includes the governance of the Tax Administration, where the core department and the Tax Administration cooperate effectively from their own roles and responsibilities." Comments can be sent by email to the General Administration Department at the Ministry of the Interior. The country is looking forward to the new man or woman who will make sure that the department and the tax authorities work together again. But looking back, we cannot see the departure of the current Secretary-General as an indication that she is held responsible for the failing administration of the Tax Administration. Secretary-General shall be appointed to a ministry for a maximum of seven years. After that period, function changes take place. The current sg has spent more than six years at Finance and it has pleased this cabinet to appoint it as a member of the Board of the Authority for Consumer & Market. We must therefore continue to look for who is responsible for destroying the Tax Administration. Its direct management is with the Director-General. The current Director-General was appointed to that post on 1 January 2017. He's like the incumbent rulers with the problems. His predecessor seemed to leave with an absurd departure scheme because of the chaotic reorganisation. But is he held responsible? Apparently not, because it has pleased the Cabinet to appoint him President of the Marechaussee. Mr. Chairman. There is huge administrative failure, but no one is held responsible. It can't be. You can't reorganise an organization if it's not clear who did what wrong first. That is why it is unimaginable in business that an organisation should perish without intervention in the summit. As I said, unlike some colleagues in the House of Representatives, I am not looking for criminal sanctions. I'm looking for the causes of organizational failure, because if we don't know it, recovery is not possible. To find the causes, we need to talk about people. The government's accounting department has been asked to examine the principles of the new top structure of the Tax Administration. The Secretary of State has said: The audit by the Auditor's Office Rijk must provide key points for strengthening interventions at the management level. That's right, it's about people. If we want to have another civil service that we can be proud of, then we need to look closely at how and by whom the people are appointed. It has been chosen to allow all senior officials to be employed by the Home Office and to have them rotated over ministries and executive services. For example, a wheel has been turned for people who perform the highest official functions. That wheel's been spinning for 25 years, and nobody ever falls off. It seems time to look at this model of governance again, because administrative problems are not just a matter for the Tax Administration. The whole government is struggling with the complicated society. The abundance of regulation reflects first of all back to poorly managed implementation organisations, from police to tax authorities. The House of Representatives has already said that it wants to investigate the problems of all major implementation organisations. A number of ministries have worked together on a joint task and in April next year "possible directions for solutions" are expected. I would like to contribute to this search for directions for solutions. I agree with the CDA, which has asked the Cabinet in writing whether it sees reason to change the rotation policy for top officials in relation to the Tax Administration. The cabinet's answer was no. However, I would like to ask something similar: does the government also want to involve the functioning of the General Administrative Service in the ongoing investigation into the problems of implementing organisations? It is headhunter for and supplier of the highest officials, the people who run the Netherlands without bearing political responsibility. Then I have four substantive questions about what is called the Tax Plan 2020.
ParlaMint-NL_2019-12-09-eerstekamer-3.u4	Does Mr Frentrop agree with me that we are talking here with political leaders? In this case, we are talking to the Secretary of State for Finance, who bears the political responsibility for the Tax Administration. In his speech, top officials are passing by, recognizable by name, who cannot defend themselves here in this Chamber. Does Mr Frentrop therefore agree with me that it would be chic to confine ourselves to addressing the politically responsible, in this case the Secretary of State?
ParlaMint-NL_2019-12-09-eerstekamer-3.u5	I fully agree with Mr Vendrik. That's the usual way of doing things. I have outlined that this is a very special situation. I hope that Mr Vendrik agrees with me, because something huge has gone wrong here and nobody has been held politically responsible for it. That is why I am asking the now politically responsible for an investigation to answer the question of how things could have gone wrong. I think that's the job of this house.
ParlaMint-NL_2019-12-09-eerstekamer-3.u6	That can indeed also be the task of this House of First Instance. But once again, we agree that it is wise to avoid accusations towards individual top officials in the political debate. Whatever they have done or failed to do, it is always up to the rulers and the rulers only to answer for the doing and leaving of officials. So we do not directly address them, not here and not in the House of Representatives. That's not how we do it. They can't defend themselves here. I hope that Mr Frentrop agrees with me. It is a use which my group very much appreciates.
ParlaMint-NL_2019-12-09-eerstekamer-3.u7	I'd like to join that, Mr. Frentrop. Perhaps you can take that into account in future.
ParlaMint-NL_2019-12-09-eerstekamer-3.u8	I fully agree with Mr Vendrik. I don't want to talk to top officials in person. I would like to pay attention to the system and the way in which top officials are appointed and rotated. I have four more substantive questions on what is called the Tax Plan 2020. The first is that I have already asked the Secretary of State at the General Financial Reviews to abandon the miserable idea of imposing an additional 450 million annual burden on self-employed people without staff, which is bad for the economy. Here again a final attempt. Second. I also asked him to acknowledge that the injustices contained in the capital efficiency levy cannot be eliminated in a budget-neutral way. I couldn't convince him. However, in the preliminary consultation, the Secretary of State made a commitment to allow the trial procedures at the European Court of Human Rights to lead all citizens affected. However, if I have read it correctly, in the written reply of the State Secretary, the scope of the commitment is limited to the years 2013 and 2014. These are explicitly mentioned. However, the old system of box 3 also applied for the years 2015 and 2016. That is why I would like to ask the Secretary of State for an explicit answer on whether the years 2015 and 2016 are also covered by his commitment. The third question. The government does not realise how much the storage of renewable energy charges is disproportionate to certain small and medium-sized enterprises. For example, the government is destroying fantastic family farms in the flowering sector. I ask the government to consider this while it still can. Finally, a call for reflection. This concerns the proposal for the disclosure of criminal penalties by tax advisers. No one likes tax advisors who go wrong. But the free-running killer of Pim Fortuyn is referred to in the newspapers as Volkert van der G. The murderer of Theo van Gogh is called Mohammed B. Names of convicted sex offenders are carefully kept secret. In many crimes, even the ethnicity of the perpetrators is terrifiedly withheld. If, in addition to their punishment, the advisors who have helped in tax evasion are also publicly accused, the government does not have its priorities in place in the eyes of the Forum for Democracy. To sum up: No serious tax plan 2020 has been made. Nor can serious tax plans be expected for 2021 and 2022 because the Tax Administration has been destroyed. But we don't know who did it and why that happened. The poet Vergilius once wrote, a long time ago, "Happy is he who has come to know the causes of things." This house isn't ready yet. It is therefore high time that the government removed structural deficiencies in the political direction of the government top under the carpet and put them back on the table. Thank you.
ParlaMint-NL_2019-12-09-eerstekamer-3.u9	Thank you, Mr. Frentrop. Mr Van Apeldoorn.
ParlaMint-NL_2019-12-09-eerstekamer-3.u10	Thank you, Mr. Chairman. We're dealing with eight legislative proposals today. I can well imagine that in his speech Mr Frentrop did not want and could not give attention to all eight legislative proposals. I'm not gonna do that myself. I have a question about a bill he has not mentioned, namely the bill to introduce a conditional withholding tax by 2020. In the House of Representatives, the Forum for Democracy was the only party to vote against it. I wonder if Mr Frentrop's group in the First Chamber intends to follow that same line.
ParlaMint-NL_2019-12-09-eerstekamer-3.u11	Yes, we will, of course, see that, depending on the debate.
