ParlaMint-NL_2019-12-18-tweedekamer-7.u1	We will proceed with the VAO Climate and Energy immediately. I give the floor to Mrs Beckerman.
ParlaMint-NL_2019-12-18-tweedekamer-7.u2	I'm gonna miss some spokesmen, but we're just gonna get started. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Eneco is likely to be sold to a Japanese company which also invests in coal plants;]] [[noting that the last sale of energy companies to foreign companies was accompanied by the loss of more than 4,000 jobs;]] [[Whereas the imminent sale of Eneco has a significant impact on both employees and the firm's sustainable strategy;]] [[Whereas the Court is still being informed of the progress of the proposed sale;]] [[calls on the Government not to authorise the sale until the debate on this matter has taken place in the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman and Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-424]]
ParlaMint-NL_2019-12-18-tweedekamer-7.u3	There's gonna be another debate in the Chamber. This motion simply calls for no irreversible steps to be taken until then. Then my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that residents near wind farms are facing a drop in their housing value of more than 2%;]] [[noting that, according to the plan damages scheme, owners themselves must bear the first 2% of the decrease in value;]] [[noting that this percentage is even doubled to 4% with the introduction of the Environment Act;]] [[believes that this will turn compensation into a wash;]] [[calls on the Government to set up a generous compensation fund for residents of wind farms,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman and Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-425]]
ParlaMint-NL_2019-12-18-tweedekamer-7.u4	Thank you.
ParlaMint-NL_2019-12-18-tweedekamer-7.u5	Then I give the floor to Mr Van Raan.
ParlaMint-NL_2019-12-18-tweedekamer-7.u6	Thank you, Mr. Chairman. I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Hemweg plant's emission rights will return to the European carbon market;]] [[Whereas it is undesirable for these allowances to lead to CO emissions elsewhere in Europe;]] [[having noted that the coal committee set up by the German Government earlier this year advised that allowances should be withdrawn from the European market when coal-fired power stations were closed;]] [[calls on the Government to ensure, when taking CO-reducing measures, inter alia on the 2020 Urgenda target, that any matching ETS allowances will be effectively withdrawn from the market,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Raan and Beckerman.]] [[She's getting No. kst-32813-426]]
ParlaMint-NL_2019-12-18-tweedekamer-7.u7	Sharp. Thank you, Mr. Chairman.
ParlaMint-NL_2019-12-18-tweedekamer-7.u8	Thank you. Then I give the floor to Mr Sienot. Mr. Sienot, go ahead. You don't have to rush.
ParlaMint-NL_2019-12-18-tweedekamer-7.u9	Quick and careful, huh? Mr. Chairman. At the AO Climate and Energy, but also at the round table, we paid a lot of attention to the network capacity. I think it is a good thing that rapid and adequate solutions should be found. That is why I shall now table a motion with Mr Van der Lee to resolve this further. In addition, we very much want solar energy to be cheap and easy for everyone, on the roof, which is extremely important...................................................................................................................................................... We need to take advantage of as many opportunities as possible, but of course we need to do so with respect for nature and all the people around us. In order to manage that process, I would like to table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas nature, climate and biodiversity can go hand in hand;]] [[Whereas solar energy on water offers opportunities for achieving renewable energy targets;]] [[noting the lack of sound, independent research into the potential effects of floating solar panels on nature;]] [[Calls on the Government, in consultation with relevant stakeholders, to investigate the effects of floating solar panels on nature;]] [[calls on the government, following the research carried out together with local authorities, industry and nature organisations, to draw up a roadmap with opportunities and risks of solar energy on water in the Netherlands,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sienot and Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-427]]
ParlaMint-NL_2019-12-18-tweedekamer-7.u10	Good. Then we can vote on it. That's incredibly important. There are now many initiatives at the bottom, but nature also requires a lot of attention. Let's just keep this whole place from getting messy. Let's also apply the lessons we learned from the ladder solar energy on land for solar energy on water. I would like to conclude with that. Thank you all very much.
ParlaMint-NL_2019-12-18-tweedekamer-7.u11	Mr. Van der Lee.
ParlaMint-NL_2019-12-18-tweedekamer-7.u12	Thank you, Mr. Chairman. I'm going to file two motions. I submit the first because there are issues when installing heat pumps and solar panels in a good way. We also see too high insurance premiums on the latter. That's why I'm tabling the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the energy transition benefits from a good installation of heat pumps and solar panels, for example;]] [[Whereas consumers should be confident that when they have a heat pump or solar panels installed, this is done correctly;]] [[noting that this does not happen too often, which means that consumers are stuck with poorly installed installations and there are also problems in ensuring buildings with solar panels;]] [[calls on the Government, in consultation with the interbranch organisations, to establish a mandatory quality scheme for heat pump installers and solar panels,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van der Lee. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-428]]
ParlaMint-NL_2019-12-18-tweedekamer-7.u13	It's an important subject. Yesterday during the debate on climate and energy exploration, I asked questions about this and I think I received a commitment from the Minister, so I am a little surprised that this motion is being tabled. The Minister is still coming up with obstacles, also in relation to insurers. Then we will see what can or cannot be done with the label. Yesterday I introduced an example of a label from Belgium. Is what Mr Van der Lee van GroenLinks is doing here, so isn't it a little unnecessary?
ParlaMint-NL_2019-12-18-tweedekamer-7.u14	I was allowed to sit in a broadcast of Radar about heat pumps some time ago. I've also asked a whole series of written questions. I still don't have the answers to that. Sometimes installers apply installations with no adequate quality requirements to which risks are attached. These installations do not deliver what is intended in terms of energy saving or generation and they carry risks. That's what we see in solar panels. I understand from Techniek Nederland that they are struggling with the fact that the less good installers, so to speak, who do not comply with existing agreements, can still go ahead. I therefore call on the Minister to discuss with Techniek Nederland both the installation of heat pumps and solar panels to ensure that this is carried out by qualified installers. I don't find it untimely, because I've been working on it for some time. Nor does it bite at all with what you asked in terms of further research, because in the case of insurance premiums there are several aspects that can play a role. One is that installations or panels are sometimes not properly installed.
ParlaMint-NL_2019-12-18-tweedekamer-7.u15	Thank you for this explanation. It's a bit "fuck you!" for the Minister, because he hasn't answered the questions yet.
ParlaMint-NL_2019-12-18-tweedekamer-7.u16	I'd like to defend the Minister, because the questions weren't just asked to him. And as soon as there are several rulers in the picture, it suddenly takes much more time; you know that, but it is a pity. Another issue, also important: the problems of network capacity. Mr. Sienot already indicated it. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that for 700 MW of renewable energy projects with SDE decision from the time before the transport indication no connection or transport will be provided by the network operators and thus risk running out of the SDE decision period;]] [[Whereas part of this group of projects will benefit from a one-year delay through upcoming solutions such as enhanced monitoring by the ACM, the AMvB on the N-1 rule and the AMvB on cable pooling;]] [[noting that these developers could now be granted an extension of the SDE decision for one year;]] [[considers that without clarity about the increase in network capacity, developers should not be expected to start construction;]] [[calls on the Government to grant parties with an SDE decision which are not now connected or transported a year extension of the implementation period if it is likely that these projects can be started within the year in question without the harsh requirement that construction should also be started,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Lee and Mr Sienot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-429]]
ParlaMint-NL_2019-12-18-tweedekamer-7.u17	Thank you.
ParlaMint-NL_2019-12-18-tweedekamer-7.u18	I now give the floor to Mrs Mulder of the CDA.
