ParlaMint-NL_2019-01-31-tweedekamer-8.u1	We continue with the treatment of the Labour Market Act in balance, Room 35074.
ParlaMint-NL_2019-01-31-tweedekamer-8.u2	We had stopped with Mr Smeulders, who speaks on behalf of the Group of the Greens/European Free Alliance. He has the floor.
ParlaMint-NL_2019-01-31-tweedekamer-8.u3	Thank you, Mr. Chairman. The labour market is changing. The delivery guy who's coming to deliver the book you ordered last night at 5:00 p.m. is running a race against the clock, because he's no longer paid by the hour, but by package. If you're in the hospital, there's an increasing chance that the nurse at your bed is an independent entrepreneur. And more and more often you see outside on benches at restaurants meal delivery guys, who are poking on their phones in anticipation of their next assignment. The time you worked with the same client for 20 years with the same contract is over for many. That doesn't have to be a problem at all. There are a lot of people who are happy with a little more flexibility. But it becomes a problem when people can no longer count on a decent income. Mr. Chairman. The number of people working but still living in poverty has doubled since 1990. Last week we discussed it here in the plenary, during the debate on the social state of the Netherlands. It is less and less obvious that having a job also means that you can have a good income, that you are not poor. One in seven Dutch people is now among the insecure workers, people who sometimes do not make it, but also too often, people who have to go from flex to flex to get around or stack jobs, who have two jobs at the same time, often on call and then hope that they are not called at the same time. Or people who are forced to work as zzp'ers. It's cheaper for the employer, you can be thrown out of the way. In the meantime, you don't build up a pension and you're not insured for disability. Mr. Chairman. If it keeps up like this, it's gonna blow up. That is not only what I am saying on behalf of the GroenLinks parliamentary group, which is also what ING's economic office says. Those aren't our natural allies. They warned recently about the increasing number ofzzp's in the labour market. That might just double, they said. So maybe all bus drivers or all waiters will be entrepreneurs in a few years, whether they like it or not. Mr. Chairman. Something really needs to be done. The Netherlands is now European flexwork champion, and that is what we think is a questionable title. Let me be positive, because, fortunately, the cabinet also recognises that the flexibility of the labour market has gone crazy, and that is really very positive, a very good start. But the question is of course whether it is enough to turn the tide. Don't get me wrong. I am not at all saying that it is easy to change the labour market in a way that makes it more inclusive. Not for nothing did columnist Sheila Sittalsing mention Minister Koolmees very strikingly the Minister of Impossible Affairs, a few weeks ago in a beautiful column. And it is not for nothing that the Minister of Impossible Affairs has set up a committee of wise men to think about this. GroenLinks is very happy with that. We are really looking forward to the advice of that committee this autumn. We are convinced that a number of things need to change fundamentally. It is no longer of this time that social security is so strongly linked to the type of contract you have. Income, security of living and training should be accessible to all. From the hearing that took place on this Labour Market Act in balance came the suggestion of turning it around. Let us first look at what a Dutch acceptable level would be. Whether you're flex worker, payroller, temp orzzp'er, what is everybody entitled to? I find these very interesting questions, which we would very much like to discuss with the Minister, or rather discuss, after the committee's opinion on the future of the labour market will be known in November. I also understand that the Minister cannot say much about this today. Mr. Chairman. What the Minister can, of course, say about today is the legislative proposal before us: the Labour Market Act in balance. After the cradle, that's Minister Koolmees' second child. Let me also start positively, because this Minister is entitled to do so. There are really good proposals in this law, proposals that could have come out of the GroenLinks electoral programme, so to speak. Let me mention a few: the premium differentiation, which makes flexwork really more expensive, the transition fee from the first day and of course the measures around payroll. The Left does not believe that they go far enough; an amendment has been tabled. But I also think it is very positive to hear that D66, with the support of the CDA, wants to fill it out, so that competition does not take place on the poor pension. I am very curious to hear the Minister's response to that part. Mr. Chairman. Despite the positive points that are really contained in this bill, we are concerned about the consequences of this law. Because as long as no measures are taken to combat the increasing number ofzzp'ers, this law is likely to strengthen the development of more and morezzp'ers. For it remains easy for employers to get out of a contract of employment. Making flex work more expensive would perhaps only increase that incentive. So there is a great risk that the group that is already vulnerable will become even more vulnerable. Unfortunately, this law does not balance the labour market, but rather increases the division of opportunity and vulnerability.
ParlaMint-NL_2019-01-31-tweedekamer-8.u4	I think Mr Smeulders is trying from his position to choose a good position by being critical and at the same time recognizing what the improvements are in. So I appreciate that anyway. But because of his tone, that changing things can also lead to wrong consequences, I have the impression that he is more on the side of the argument of some employers' organizations, in the sense of: do not do that law. The FNV we were together at a meeting, however, says: you should not wait until you have everything; at least this must be done. Is my analysis that GroenLinks leans more towards the employer's position "preferably not" or is he more inclined to what the FNV says: no, this has to go on, because it does make improvements?
ParlaMint-NL_2019-01-31-tweedekamer-8.u5	These are very valid questions that are being asked. This is also a dilemma for us. Don't get me wrong, I'd be sorry if the measures that make flexwork more expensive didn't go ahead. But I do make a kind of appeal to the Minister: make sure that thesezzp measures come as soon as possible, because otherwise the risk of a waterbed effect is very large............................................................................................................................................................................................................................................
ParlaMint-NL_2019-01-31-tweedekamer-8.u6	I would have misunderstood you. I want to make sure I understand now. You say: it is right that we should take measures to reduce flex, but there are risks of a waterbed effect, and that is why Minister Koolmee must move forward with the measures, for example aroundzzp, to prevent this from becoming the evasive route?
ParlaMint-NL_2019-01-31-tweedekamer-8.u7	Correct.
ParlaMint-NL_2019-01-31-tweedekamer-8.u8	Please continue.
ParlaMint-NL_2019-01-31-tweedekamer-8.u9	And after that: it is also really necessary to make sure that the zzp route becomes less attractive. The Minister himself has already indicated that he is working on this as hard as possible, but I would like to have some more information on it today when dealing with this bill, precisely because this is such a turbulent dossier. That's what it turns out to be every time. Mr. Chairman. What struck us in the explanatory statement is that we know very little about the consequences of this law. That is also in line with the question that Mr Heerma has just asked. The motto is 'flex less flex and definitely less fixed', but whether or not that is actually going to happen, we as GroenLinks find a little leanly supported. During the hearing, several experts also indicated that they believe that relaxing the right of dismissal will not necessarily lead to more permanent contracts. Similarly, the extension of the chain determination is not clear on the basis of the information we now have. In the written input and round that we have had in preparation for this debate, we, as GroenLinks, have advocated the creation of a labour market analysis of this law. The Minister replied that the consequences of the coalition agreement had already been taken into account. We have looked at this very carefully, but it has been done very globally. We would very much like to know the impact of this law on the number of flex contracts and the number of fixed contracts, but above all on the number ofzzp'ers. What is the result of the number of working poor? And what is the consequence of the division between propriety and vulnerability? Because that's what it's all about. Is this law going to lead to more or less security, especially at the bottom of the labour market?
ParlaMint-NL_2019-01-31-tweedekamer-8.u10	What Mr Smeulders is proposing sounds intriguing, but I doubt which way he is going. With a labour market analysis, you will find yourself in the corner where Mr Smeulders started, namely the SCP. But the SCP also has no numerical basis until behind the decimal place. They analyse the state of society. If you really want to figure out what the consequences of something are, you end up with a CPB-like model. We all know that if you bring down benefits in a CPB model, you get jobs. That's how the model works. But is that more the truth? Or are you actually looking for an analysis, as the SCP would do? And at what point would GroenLinks want something like that? I'm looking for what the proposal is.
ParlaMint-NL_2019-01-31-tweedekamer-8.u11	I would find it very interesting to have the SCP look at the deeper layer and not work with all those models that we all know are undesirable effects and which are very 'economic' in the first place. We would very much have liked that to be in order for this bill to be dealt with, so that we, as a Chamber, can also say better substantiated: we are expecting this because I understand that there is always an expectation that this will lead, for example, to more permanent contracts. Based on the information we have now, it's just very difficult to judge.
