ParlaMint-NL_2019-10-29-eerstekamer-3.u1	I would like to welcome the Prime Minister and all the other leaders here today.
ParlaMint-NL_2019-10-29-eerstekamer-3.u2	I would draw Members' attention to the fact that five Members will make their maiden speech today. After each maiden speech, I will address the speaker briefly, and suspend the sitting after the last maiden speech for congratulations, so at once as a group. I now give the floor to Mr Cliteur.
ParlaMint-NL_2019-10-29-eerstekamer-3.u3	Mr. Chairman. Today I would like to devote my contribution to the General Political Reviews, including my maiden speech, to the democratic rule of law. My reflections will then focus in particular on the issues of Justice and Security, emigration and asylum, Home Affairs and Social Affairs. But first, I'll tell you why I wanted to decorate it like that. Mr. Chairman. My own party is called Forum for Democracy. It would, of course, be very nice if you would all be deeply aware of the validity of my party's ideology, that you would all know that the world would consist of about 200 sovereign nation states, that those nation states needed borders and that democracy and the rule of law could only develop within the boundaries of that nation state. Anyway, I know, of course, that I cannot assume my own ideology in general. But that's the situation we're all in today. My friends from the CDA Group must live with the fact that we are not all cultural Christians. My friends from the VVD must live with the fact that our colleagues from the SP or the PvdA will find liberalism the wrong ideology. My friends from the PVV will have to live with the fact that many D66 colleagues will not see that Islam is a very different religion from other religions. And my friends from the Animal Party must note that all animal friendliness in our debates will come to an end immediately when we go to the restaurant. That's just the tragedy of modern times. That is the tragedy of diversity. But there is also commonality and that brings me to the real subject of my reflections. The good news begins here, Mr President, because when I looked at the budget chapters and the Throne speech, I immediately noticed that there is always reference to a shared heritage and that no one is questioning it. I have noticed that all these documents talk constantly about the democratic rule of law. In a way, that's quite hopeful. So we also have a shared home; the home of the rule of law. And on that rule of law, I would like to have some general political considerations today. I have heard that these must be general political questions that I can put to the cabinet, in particular to the Prime Minister. Good. Then the first step we must take is that a rule of law is a state. A state is an organization whose purpose is the peaceful coexistence of a group of people, the population, on the territory of that state. That can only be done, I think, if that state has power and authority and can exercise it on the territory of the state. If the state can't, then that state isn't a state. Now from the state to the rule of law. A rule of law is a state that has decided to restrict its own power by law. The rule of law is therefore self-limitation. A rule of law considers itself bound by its own laws. The State is the restriction of anyone else who has the pretence to exercise power in the territory of the State. The rule of law is self-limitation by law. The Democracy Forum believes that a number of challenges will come to us in the coming years. These can be divided into challenges for the state and challenges for the rule of law. I shall now say a few things about these challenges for the state. I hope to return to the challenges of the rule of law in my second term. State and rule of law, that's what matters to me. I'm starting the state now. There has already been a lot of attention in politics for the report De backder van Amsterdam, a reconnaissance of Tops and Tromp's drug-related crime. If you've read that report, you can't really say anything other than that Amsterdam has become some kind of failed state, or perhaps I should say: a failed city. I have the impression that Tops and Tromp's findings didn't really get through until after the murder of the lawyer Wiersum. Only then did the question really descend: whose city is this? If you read all that, it's hard to say that city is the law-abiding citizens of Amsterdam. Drug-related crime is free to go in Amsterdam: drug tourism, a strong increase in xtc, cocaine, amphetamine, liquidations and crime journalists under police surveillance even, 24/7 surveillance. The Telegraph even came up with the message that the mocromafia is carrying out liquidations for Iran. I'll get back to you on that. Our group has taken note of the letter from the Minister of Justice and Security of 11 July 2018, the Minister is here, announcing a package of measures to combat this drug-related crime that undermines society. Our group supports the robust approach of the cabinet, but now the question is: are all these measures, all these new legislation, going to help? My party is deeply concerned not only about the criminal challenge, but also about the culture of tolerance, the lack of willingness to enforce in public institutions. Mayors who, for example, openly declare that they are not going to enforce a burqa ban because this would not suit the city, undermine respect, not only for that measure but actually for the law in general. The Prime Minister wants to distance himself from this culture of tolerance. So that's my first question? Tops and Tromp formulate it very well between the rules when they write: "The Dutch drug problem is at the core that drugs are legally forbidden in a culture of tolerance and more than that. This creates an ideal climate for self-enrichment by criminal groups on an unprecedented scale." If that is true, Mr President, and I think that is true, then we have the core: a culture of tolerance. We are dealing not only with the mocromafia, but also with a problem with ourselves. And that is a cultural problem, which cannot be solved with all the money in the world and not with all the laws of the world; not yet with 100 million, but not with 1000 million. Police chief Akerboom actually explains it very well to my taste when he says: as long as there is demand, there is supply. And that brings me to the question of whether the demand for hard drugs should not be tackled harder. Are these Tops and Tromp right with their somewhat last-stripped conclusion that legal prohibitions in a culture of tolerance are never going to help?
ParlaMint-NL_2019-10-29-eerstekamer-3.u4	I apologize for interrupting the maiden speech, but I was allowed to. I will limit it very much and ask a very simple question. I very much agree with what Mr Cliteur said. In the Lower House, his foreman, his party, did vote in favour of the weed law. My question is whether that means that it is different in the First Chamber for the Forum for Democracy.
ParlaMint-NL_2019-10-29-eerstekamer-3.u5	I need clarification, because I see no discrepancy between the First Chamber and the Second Chamber on this point. The culture of tolerated and non-maintaining is an important point of action of my party, as far as I know also in the House of Representatives.
ParlaMint-NL_2019-10-29-eerstekamer-3.u6	But the weed law gives room to sell weed legally in a number of cities. Isn't that contrary to what you're warning?
ParlaMint-NL_2019-10-29-eerstekamer-3.u7	What I thought I had put forward here is that once you agree that certain laws apply, those laws must be enforced. That is very often not the case. Very often the kind of idea that the Netherlands was a tolerant country in the sixteenth and seventeenth centuries governs and we give the wrong interpretation to the concept of "tolerance" in such a way that a tolerant culture emerges from it. I think that is a very important point that has caused the misery we are in. The government can now develop all the plans it mentions in its letter of 18 July, but they will only really help if we also tackle the cultural problem of tolerance and non-maintainment.
ParlaMint-NL_2019-10-29-eerstekamer-3.u8	Schalk, last one.
ParlaMint-NL_2019-10-29-eerstekamer-3.u9	Then let my appeal to the Democracy Forum not to give more room to the culture of tolerance by accepting the law of weed.
ParlaMint-NL_2019-10-29-eerstekamer-3.u10	What was the last thing you said?
ParlaMint-NL_2019-10-29-eerstekamer-3.u11	By accepting the weed law soon or not.
ParlaMint-NL_2019-10-29-eerstekamer-3.u12	That will be on 5 November. Then my colleague will continue to do so. We have a cultural problem. What police chief Erik Akerboom says is true, I think: as long as there is demand, there is supply. That brings me to the question of whether the illegal drugs should not be dealt with harder. This problem is, moreover, much wider in scope. I would like to stress that organised crime and also drug-related crime are a problem facing us as the First Chamber. We control the laws, so to speak, but we should also note that we really need to enforce them. So much for what I would like to say about the criminal challenge for the state. There is a second challenge for the state: jihadist terrorism. I purposely use official government terminology here. The legal framework for combating this is in place, but is it working? Are we successful? The AIVD's 2018 Annual Report notes an increase in incidents with a jihadist, terrorist or radicalist background. The AIVD therefore refers in 2018 to Jawed S., the 20-year-old Afghan asylum seeker, who entered our country through Germany and stabbed two American tourists at the Amsterdam Central Station on 31 December 2018. Think also of the open borders. He was recently sentenced to 26 years by the Amsterdam Court. In his own words, he did so out of revenge because Geert Wilders wanted to organise a cartoon competition in the House of Representatives. Today, by the way, another Pakistani suspect is on trial for the threats to Wilders over those cartoons. That brings me to the following questions. Now I really come to my questions, because these were still considerations. Now come my general political questions. One. Does the Prime Minister think that the EU's open border policy has made us more resilient or vulnerable to terrorist attacks? You understand, we think more vulnerable, but we like to hear his vision. Two. Does the Prime Minister agree with me that the impact of the Marrakesh immigration pact will make the Netherlands more vulnerable to people like Jawed S. and Junaid I.? Third question. Does the Prime Minister agree with me that due to the uncertain situation in Syria there is justified fear of an outbreak of IS terrorism? Fourth question. Does the Prime Minister agree with us that these IS terrorists have about the same world view as that Jawed S. and Junaid I. I referred to before? Fifth question. Does the Prime Minister agree with me that we have not made any significant progress in curbing jihadist terrorism over the past 20 years, taking 9/11 2001 as the reference date? Sixth question. Does the Prime Minister agree that countries such as Pakistan, in which the Dutch flag is openly burned and where threats to the leader of the opposition in the House of Representatives, Mr Wilders, should not at least be held accountable? Why hasn't that happened yet? Or did I miss it and something happened in the field of silent diplomacy? Of course I can, but then I'd love to hear it. Seventh question. For the ministries of Education, Culture and Science and of Social Affairs it is also important that there is a task here for Dutch education? Isn't it true that every travelling Syrian is a walking evidence or a traveling evidence, can you say about the failure of our integration policy, or of a failing school system in a sense? A transfer of democratic values? We are confronted in Amsterdam with the Cornelius Haga Lyceum. NRC Handelsblad and Nieuwsuur recently reported on salafistic schools: 30 no less, 30 educational places where salafistic education is given, where children are taught to turn away from the Netherlands. Those children are told that people with different beliefs or beliefs deserve the death penalty. Imagine that! Why are Articles 137c and 137d of the Code of Criminal Law on inciting hatred and violence not even used here? There we have real examples of inciting hatred, discrimination and violence on the basis of faith, or in this case, non-belief from another group, I would say. The performance of the Hofstad group from 2004 is about 15 years ago. But should we not acknowledge that we are dealing with an unsolved problem? Does the Prime Minister agree with me? Does the Prime Minister agree with me that if the AIVD finds in 2018 that the jihadist threat is still present in Western Europe, it would be better to say that in the twenty years that have passed since 2001, the Dutch government has not succeeded at all in getting this problem under control and that the situation is now worse than ever, partly due to international migration movements? This weekend, De Telegraaf came to me and I already referred to it with the message that the fugitive criminal Ridouan Taghi would have been taken into protection by Iran. Taghi would have helped Iran with liquidations in Europe, including in the Netherlands. That's how the mocromafia flows into jihadist terrorism. If the government should not announce sanctions against the Iranian state, then the question is then. Mr. Chairman. So far I have talked about the state, about the monopolistic organisation of the compulsion and a number of challenges for the Dutch state at the moment. A state that fails here fails in its core task. Does the Prime Minister agree with me? Mr President, I would like to leave it at that as far as the state is concerned. Soon, in my second term, I will return to the challenges of the rule of law. I would also like to say that the Forum for Democracy is in solidarity with the builders and farmers. Thank you for your attention.
ParlaMint-NL_2019-10-29-eerstekamer-3.u13	Mr. Cliteur, there's been an interruption by Mr. Kox.
ParlaMint-NL_2019-10-29-eerstekamer-3.u14	I have waited until the end of the speech, because interfering in a maiden speech remains a bit of a cursing in this Chamber. We agreed to that in a few minutes. Mr Cliteur started by saying that I am going to consider the democratic rule of law. Then I thought: this man is in his place, because we have been holding major policy debates on the democratic rule of law for a number of years in a row, and with effect, I think. But then I only heard Mr Cliteur talk about two very serious problems, the drug mafia and jihadism. Are there any other issues for the Democracy Forum that play a role when we talk about the democratic rule of law? Otherwise, it's gonna be really skinny. I refer, for example, to the rights of our citizens, the democratic rights of our citizens, the threat to the rule of law and to the independence of the judiciary, and all these things. Can Mr Cliteur also give some consideration to this, because otherwise, frankly, I do not know what the Forum for Democracy meant when he said: I am going to talk about the democratic rule of law?
ParlaMint-NL_2019-10-29-eerstekamer-3.u15	Mr Cliteur can fill a whole lot of other problems with the democratic rule of law for a long time to come. I have tried to focus on the basis of the state in the poor 14 minutes that we have been given for the first term, and that is the monopolistic enforcement of the compulsion. I have noted that there are two major challenges at the moment: on the one hand, the mocromafia, which I have done in response to the Tops and Tromp report, and on the other hand, the fact that jihadist terrorism is still not under control. I think I've got two very important things to do with that. There are, of course, other things that you could argue, but I do think that these are very important challenges. That's why I've said so much about it.
ParlaMint-NL_2019-10-29-eerstekamer-3.u16	But should we wait until the second time to hear the reflections of the Forum for Democracy on the problems of care and education, the problems of nitrogen and CO? All that sort of thing is less of a priority than the drug mafia and jihadism? Those are big problems, but they are not everything else that determines this fine society.
ParlaMint-NL_2019-10-29-eerstekamer-3.u17	A brief answer, Mr. Cliteur.
ParlaMint-NL_2019-10-29-eerstekamer-3.u18	I am going to disappoint Mr Kox very much, because even in my second term I will not talk about the things he would like to hear about. You can rest assured that in the coming period we will be taking part in interventions... We are going to discuss a number of things again on 5 November. Soon the General Financial Reviews will come and a lot of things will be discussed. But to keep a little order in the argument, I have not listed a whole series of Forum for Democracy action points in the few minutes available to me here.
ParlaMint-NL_2019-10-29-eerstekamer-3.u19	Mr. Kox, last.
ParlaMint-NL_2019-10-29-eerstekamer-3.u20	It is still nice that those with the most speaking time complain that they have so little speaking time. I think you have 18 minutes, and you can say a lot of things. I've had the experience that this could happen in the past. Yet the question remains whether the Forum for Democracy presents itself here at the first General Political Reviews as not a one-issue but a two-issue party: crime and jihadism. Or can we really expect more from a party with such a beautiful broad name, the Forum for Democracy, when it comes to the real problems in our democracy?
ParlaMint-NL_2019-10-29-eerstekamer-3.u21	Mr. Cliteur, shortly.
ParlaMint-NL_2019-10-29-eerstekamer-3.u22	I think that is a rhetorical question from Mr Kox and of course he understands that he has more to expect from our party on these issues. They now joined a little less with the problem of how to maintain the monopolistic compulsion on the territory of the state. Hence these two examples, but rest assured, the others will certainly be discussed.
ParlaMint-NL_2019-10-29-eerstekamer-3.u23	A quick question. You said that the laws must be enforced and enforced. That is an interesting statement, but your last words were: 'and we agree with the farmers'. Does this also mean that you think that the ruling of the Council of State on nitrogen should be carried out?
ParlaMint-NL_2019-10-29-eerstekamer-3.u24	In principle, judgments must of course be enforced. When I say that we agree with the farmers, I mean that we understand the protest. We believe that they have a number of legitimate claims on the table, but ultimately the word of the judge is sacred. Of course, all the rules must also be observed in the protests themselves. We cannot, of course, destroy the state itself. Respect for the laws is of enormous importance. At a time when respect for the laws is no longer there and people are going to take illegal action, this must be addressed.
ParlaMint-NL_2019-10-29-eerstekamer-3.u25	Sure, it's not about illegal actions either. I am more concerned that you now say 'in principle it should be done'. That's the first nuance you've made. I'm just looking for a little consistency in the reasoning, because that helps me to judge your plea. I understand you in such a way that you say that the judgment of the Council of State also applies to the Urgenda judgment, as the judge has said.
ParlaMint-NL_2019-10-29-eerstekamer-3.u26	Certainly, Mr Rosenmöller understands well. I believe that the laws should be implemented and that the judicial interpretations of those laws should also be implemented. But that does not change, which brings me to an important point, that you also have the right to protest against certain judgments. It's not gonna happen enough. I will say something about this later on in the second term. What I find very unsatisfactory, for example, is that the Wilder process is not being discussed now and that it is happening with the argument that it is under the courts. I think that's very misleading. It is a political persecution and it has a political responsibility to do so and it must be possible to do so. You just need to be able to question court decisions. This applies to statements made in the context of the Wilder Process, but also to the Urgenda statements and, of course, to the decision of the Council of State on the nitrogen issue. You can argue about that, and you can protest against it.
ParlaMint-NL_2019-10-29-eerstekamer-3.u27	Third and final interruption.
ParlaMint-NL_2019-10-29-eerstekamer-3.u28	I think it's clear. I am the first to agree with you that, even when it comes to a judgment, you should be able to demonstrate against it in a free country. However, I note that you believe that the Urgenda judgment should be enforced and that you believe that the ruling of the Council of State on nitrogen should be carried out. That's a clear statement, and a profit.
ParlaMint-NL_2019-10-29-eerstekamer-3.u29	In the end, you'll always have to execute the judge's rulings, but you can protest against them. That's right.
ParlaMint-NL_2019-10-29-eerstekamer-3.u30	I would like to go even further on what has just been mentioned. We saw this week in the peasant protests that the farmers also moved to the RIVM. The scientists of the RIVM were threatened. As a fellow professor, it must be an abomination for you to see that scientists are increasingly threatened and that independent science is in danger. How do you assess these actions?
ParlaMint-NL_2019-10-29-eerstekamer-3.u31	There are two things. "Actions" is a broad term. You have the right to demonstrate and you also have the right to question the calculation method of RIVM. You have that right in science, and farmers also have the right as experts of experience to question it critically. They can move out with their equipment, of course within the limits imposed by public order. I think the mayor has a leading role to play in assessing what is and is not permitted. Eventually, there is also constant discussion in science about these things. You hear people say you have to join a majority view in science. My point is, if that had happened, you'd never have a Darwin, Newton, and Einstein. Sometimes minority views are right.
ParlaMint-NL_2019-10-29-eerstekamer-3.u32	You are now going to take a very postmodern position by saying that we can actually question all the scientific results.
ParlaMint-NL_2019-10-29-eerstekamer-3.u33	Oh, postmodern!
ParlaMint-NL_2019-10-29-eerstekamer-3.u34	In logical science something is simply true or not true, but in empirical sciences it is ultimately overwhelming probability. At some point you should be able to conclude that something overwhelming is true, for example statements by planning agencies about global warming. These are often called into question. As a fellow scientist, you have to have a problem with that, don't you?
ParlaMint-NL_2019-10-29-eerstekamer-3.u35	Mr. Cliteur, one final comment on this point.
ParlaMint-NL_2019-10-29-eerstekamer-3.u36	I regret to say that that is overwhelmingly incorrect. There are very few overwhelming truths in science that are not overturned by later developments in science.
ParlaMint-NL_2019-10-29-eerstekamer-3.u37	So much for the philosophy of science. Mrs. Fox.
ParlaMint-NL_2019-10-29-eerstekamer-3.u38	Then I'll ask you a slightly simpler question. You mentioned in your speech the importance of good education for children and that it often goes wrong when children receive poor education. You also know that there is a considerable shortage of teachers and has been occurring for a long time. Do you agree that this shortage of teachers needs to be addressed and that structural investment is also needed, for example by equalising the pay gap between special education and secondary education?
ParlaMint-NL_2019-10-29-eerstekamer-3.u39	In general, I think that this lack of teachers is serious and that it deserves our attention. I would like to make the point that I have the hope of putting my finger on the fact that in the transfer of value to the so-called Koran or Sharia schools something goes seriously wrong, because the children there are indoctrinated with a very negative attitude towards the Dutch society in which they will have to function later. This is not helped by more teachers, but by letting the teachers who are there be aware of the principles of the democratic rule of law.
ParlaMint-NL_2019-10-29-eerstekamer-3.u40	I have heard that part of your speech, but the point is that there are good teachers with good pabo-training and that students in higher education also opt for the teacher class. I am sure that the pabos and universities will also be taught about the democratic rule of law. That requires a structural investment. Does your party agree that we should make that effort?
ParlaMint-NL_2019-10-29-eerstekamer-3.u41	Mr. Cliteur, the last one at this point.
ParlaMint-NL_2019-10-29-eerstekamer-3.u42	I've been teaching at the University of Leiden for 30 years. That is the walking proof of the fact that I have a very warm heart for this part of our society. This also applies to pabo-education and primary education.
ParlaMint-NL_2019-10-29-eerstekamer-3.u43	Mrs. Faber.
ParlaMint-NL_2019-10-29-eerstekamer-3.u44	First of all, I would like to compliment Mr. Cliteur on his wonderful contribution, a relief in this house. Of course, we have been here for eight years alone on the position on Islam and such matters. Chapeau! I do have a pressing question about this. Mr.Cliteur indicates that the difference between PVV and the Forum for Democracy is that PVV does not see Islam as a religion, such as Christianity or Judaism. Then Mr Cliteur talks about jihadist terrorism, which is a threat to the democratic rule of law. Then my question to him is: are there other religions that are also a threat to the rule of law in the Netherlands?
ParlaMint-NL_2019-10-29-eerstekamer-3.u45	An interesting question.
ParlaMint-NL_2019-10-29-eerstekamer-3.u46	A brief answer, please.
ParlaMint-NL_2019-10-29-eerstekamer-3.u47	That is in the book The monotheistic dilemma of 400 pages and I am now going to try to sum it up in two words. What I've been trying to do with my maiden speech is to connect to more or less common terminology. The "democratic rule of law" we all share was the first term in which I did so. Secondly, I have tried to do so by simply taking over the term "jihadist terrorism" from the AIVD and saying: look, government, this is your own AIVD. There's this, and that's a problem you still can't control. Does that idea of this holy war, which Mrs Faber refers to, also exist in other religions? Yeah, that's what you find in other religions, including Christianity. Christianity in the 16, 17 and 18 centuries was a very different Christianity from what we are faced with today. Think of the term "culture Christianity" that I have just told my friends from the CDA. That's different, because there the holy war is no longer preached. The problem is that within Islam we are now faced with certain radicalised currents that have not yet renounced that violence. That is a big problem for our schools, think of those Koran schools that I have just mentioned. But it is also a problem for our young people who travel to Syria and then possibly, I hope not, come back here again to put things in order by, among other things, shooting at the leader of the opposition in the House of Representatives, actually your leader.
ParlaMint-NL_2019-10-29-eerstekamer-3.u48	Mrs Faber, would you like to make a brief comment?
ParlaMint-NL_2019-10-29-eerstekamer-3.u49	Thank you for your comprehensive answer, but I can actually conclude from this that there are no other threatening religions for the rule of law than Islam. There is, of course, a big difference between Islam and other religions that are currently present here in the Netherlands.
ParlaMint-NL_2019-10-29-eerstekamer-3.u50	You're right about that. I am somewhat reluctant to make general statements about Islam as such. But in any case, Islam has a radical variant, advocated by al-Baghdadi, who has just fortunately escaped us and those kind of people. That is a huge danger. So I would like to mention that as the danger of radical Islam, of political Islam, of jihadist terrorism. I therefore remain close to the government and to the AIVD as far as my terminology is concerned.
ParlaMint-NL_2019-10-29-eerstekamer-3.u51	Then I must say one more thing from the heart, because Islam is Islam. Within Islam, we have Muhammad, the perfect man, the example for every Muslim. I don't know any Muslim who renounces Muhammad's life, who rapes, who kills, who had slaves, subjugated several women and everything. That's the perfect human for every Muslim. There are moderate Muslims, but there is only one Islam, with one Sharia and one Koran and one perfect man.
ParlaMint-NL_2019-10-29-eerstekamer-3.u52	Thank you, Mrs Faber. You will also have your own input later, so I should like to begin by congratulating Mr Cliteur on his maiden speech. Allow me to outline some of your background.
ParlaMint-NL_2019-10-29-eerstekamer-3.u53	I'd love to.
ParlaMint-NL_2019-10-29-eerstekamer-3.u54	You studied philosophy and law in Amsterdam, respectively at the UvA and at the VU. Those two studies keep coming back in your life. We actually saw and heard that again today. From 1995 to 2002, you were a professor of philosophy at Delft University of Technology. Since 2002 you have been professor of encyclopedia of law at Leiden University. A large number of us have met you via the newspaper or television, as a columnist in daily Trouw and on television at Buitenhof. Regularly you wrote and write opinion papers in weekly and daily newspapers. You are also the scientific director of the Metajuridica Institute of Leiden University. The metajuridica study the law from an external perspective, as in your case from the philosophy. I imagine that you are now taking the perspective of politics into account.
ParlaMint-NL_2019-10-29-eerstekamer-3.u55	Oh, yeah.
ParlaMint-NL_2019-10-29-eerstekamer-3.u56	You already did that in the book Dirk Verhofstadt wrote about you in 2012. In it you say: "The great question of political philosophy or state theory is 'how can citizens find a modus vivendi within the borders of the national state?'" That is a question that we all ask here in this Chamber with some regularity, in different terms. Especially during General Political Reviews like today. Your political leader met you when he asked you to be his promoter. Before you got involved in the Forum for Democracy in 2015, you were active with two other political parties: the VVD and the Party for Animals. At the Forum for Democracy, you will be a member of the council of opinion and chairman of the Renaissance Institute of the Party. Bertrand Russell, who influenced your work I understand, once said that "the greatest challenge for thinkers is to formulate the problem in such a way that a solution is possible." I believe that is exactly what you are trying to do here as a thinker politician. I wish you every success in that. Once again, welcome.
ParlaMint-NL_2019-10-29-eerstekamer-3.u57	Thank you.
ParlaMint-NL_2019-10-29-eerstekamer-3.u58	I now give the floor to Mrs Jorritsma-Lebbink on behalf of the VVD Group.
