ParlaMint-NL_2019-06-27-tweedekamer-6.u1	The next item is the VAO Emancipation Policy, with Mrs Özütok van GroenLinks as the first speaker.
ParlaMint-NL_2019-06-27-tweedekamer-6.u2	Thank you, Mr. Chairman. Last week we had an extensive general discussion with the Minister. We have been able to hear how rapidly she is working on emancipation. That's valuable. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the proportion of women left at the top and the non-binding measures to achieve the legal target of 30% women at the top do not lead to much improvement, and the Minister therefore calls it "one of her most embarrassing dossiers";]] [[Whereas in September the new Business Monitor will have to make it clear whether more top women have joined, and an opinion from the Economic and Social Council (SER) on more women will be at the top, to which the Cabinet will respond;]] [[calls on the government, in response to the Business Monitor, to adopt mandatory measures to ensure that more women are at the top when the legal target of 30% is again not met,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Özütok and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30420-322]]
ParlaMint-NL_2019-06-27-tweedekamer-6.u3	I find it a pity again that it is only about women at the top. Always that top! I hope your second motion is about a quota for women as a slot digger, as a house painter or as a classifier in................................................................................................................................................................................................................................................ These are typical male professions, where no woman is to be seen. That's outrageous. You should also apply for a quota for that. Don't you think? Or is it just women at the top for your highly educated sisters, who want a well-paid position without paying the price? Is it just about a free job at the top?
ParlaMint-NL_2019-06-27-tweedekamer-6.u4	Your question is clear.
ParlaMint-NL_2019-06-27-tweedekamer-6.u5	This is about meeting agreements. If it is necessary to introduce binding measures, then we are prepared to do so. You're talking about all these other groups of women. Of course we are in favour of that. But in this discussion, I would like to table this motion. That's my answer.
ParlaMint-NL_2019-06-27-tweedekamer-6.u6	That's your answer. Then proceed with your next motion.
ParlaMint-NL_2019-06-27-tweedekamer-6.u7	My next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a gender scan of policies and legislation can help to identify unintended gender effects;]] [[Whereas the Minister states that this is not necessary because the integrated balancing framework also includes the "gender" quality requirement;]] [[Considering that, while considering the impact on gender equality, it does not yet provide any insight into the specific (unintended) impacts of policies on gender and how legislation and policies are adapted to this balancing framework;]] [[calls on the government to make it clear how the quality requirement "gender" is applied in the integrated balancing framework and how this leads to insight into gender effects, and to inform the Court of Justice about this in the next progress report emancipation,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Özütok and Mr Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30420-323]]
ParlaMint-NL_2019-06-27-tweedekamer-6.u8	Thank you, Mr. Chairman. I have two motions. The submission of the first motion might have been more appropriate to a VAO related to security and discrimination, but this is the only chance for the time being to file the motion. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the victim's willingness to report is low because of the low level of reporting;]] [[considers that anti-Semitism and other forms of discrimination are likely to disappear further and further under the radar;]] [[Whereas the designation of discrimination against the Public Prosecutor shows that the police report is of great importance for the possibility of prosecuting the perpetrator;]] [[Whereas specialized knowledge makes it possible to better examine the declaration on discriminatory aspects, which may lead to more convictions;]] [[noting that there are already specialised detectives in the fields of finance and the environment;]] [[Calls on the Government to examine, with an open mind, the experience from abroad with specialised discrimination detectives, to engage in discussions with interest groups, police and the Public Prosecutor's Office and, on this basis, to justify whether the use of specialised detectives in discrimination could lead to more successful completion of cases and thereby increase the willingness to report, and to inform the Court thereof by the end of 2019 at the latest,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bergkamp, Mr Van den Hul and Mr Özütok. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30420-324]]
ParlaMint-NL_2019-06-27-tweedekamer-6.u9	Then my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the CBS monitor shows that there is a pay gap of 5% between men and women in the general government sector, taking into account background characteristics;]] [[Whereas protection against unequal pay between men and women for work of equal value is laid down in the Treaty of the European Union, the Convention for the Protection of Human Rights and the General Law on Equal Treatment;]] [[Whereas the public authorities should set a good example and have a direct role to play as employers;]] [[calls on the Government to investigate the pay gap between men and women in the government, following the example of APG, in order to demonstrate the scales and organisations in which there is a difference in remuneration for work experience and training, and to inform the Chamber in mid-2020,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Bergkamp, Mr Den Boer and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30420-325]]
ParlaMint-NL_2019-06-27-tweedekamer-6.u10	Thank you, Mr. Chairman.
ParlaMint-NL_2019-06-27-tweedekamer-6.u11	Thank you. I call Mrs van den Hul of the PvdA.
