ParlaMint-NL_2019-11-05-eerstekamer-11.u1	The next item is the continuation of the debate on the Wet experiment closed coffeeshop chain.
ParlaMint-NL_2019-11-05-eerstekamer-11.u2	The Minister for Medical Care and Sport has the floor.
ParlaMint-NL_2019-11-05-eerstekamer-11.u3	Mr President, thank you very much. First of all, I would like to congratulate the six speakers who made their maiden speech this afternoon. It's good to see that. Here's what I want to do. I make a few introductory remarks and then I move on to a few cubes in which the questions were clustered. I also refer to the division of tasks between Mr Grapperhaus and the undersigned, and I would like to deal with a few separate questions. Mr. Chairman. We are talking today about the bill Wet experiment closed coffeeshop chain. This legislative proposal follows on from the government agreement's intention to introduce laws and regulations for the purpose of a uniform experiment to see whether and, if so, how quality-controlled weed can be decriminalised to coffeeshops, called "the closed coffeeshop chain" and what its effects are. By naming this, I immediately answered Mr Van Wely's first question: what is the purpose of the experiment? Mr. Chairman. In particular, the local government has indicated that the establishment of the current coffee shop chain with tolerated sales and unsatisfied procurement poses problems for public order, security, public health and the fight against undermining crime. Through an experiment with a decriminalised coffeeshop chain, the cabinet wants to investigate the effects of a closed coffeeshop chain on public health, crime, security and nuisance. So we're investigating the effects. When did the experiment pass? If we were able to measure these effects in a good way. The conclusions are really not drawn until later. The point is, I'm telling Mr. Janssen, we're mapping those effects in a pure way. Mr. Chairman. For me, as Minister of Medical Care, the experiment is an opportunity to take specific measures. Firstly, on prevention, and specifically on the use of young people. Secondly, on information and warnings, for example on packaging. Thirdly, a ban on advertising. The aim of these interventions is to prevent an increase in soft drug use and thus to prevent an additive effect of the experiment. Of course, we're going to monitor those interventions during the experiment. In order for the experiment to be as effective as possible, we have asked twice for independent advice from an advisory committee led by Mr Knottnerus. First was advised about the design of the experiment. The first opinion of this Knottnerus Committee has served as a basis for the legislation and regulations that have been drawn up. Today we are talking about the bill. The draft of the AMvB has now been submitted to your Chamber and will be submitted to the Advisory Section of the Council of State as soon as possible after this plenary discussion. A draft ministerial regulation laying down detailed rules on the selection of growers, on the packaging and quality of hemp and hashish, on the administration to be carried out and on the unique identification marking is currently being consulted on the Internet. That Internet consultation closes on November 12th. It would be nice if we could complete all this legislation, legislation, AMvB and ministerial regulation all this year. Of course we do not have that entirely in our own hands, because the AMvB, as has been said, still has to go to the Council of State, but the commitment is aimed at that. I will come back later to talk specifically about planning and process. That was about Knottnerus' first advice. Second, the Knottnerus Committee advised on the selection of the participating municipalities. 23 municipalities have applied for participation in the experiment. The committee has nominated ten municipalities to participate in the experiment. The cabinet has taken over these nominations. I would like to take advantage of this moment to compliment all these municipalities on the fact that they dare to lead the way, that they stick their necks out to participate in the experiment. Of course, we are also grateful to Mr Knottnerus and the members of his committee for both opinions. Mr. Chairman. As far as the implementation of the experiment is concerned, we regulate in the law and the AMvB that there are three successive phases. Just as much on the main lines. The first phase is the preparatory phase. It allows potential growers to apply to be designated as producers. A maximum of 10 producers shall be designated. The designated producers will make the necessary preparations to produce hemp and hashish in a permanent manner, which can satisfy the demand of coffeeshops. Municipalities may draw up or adapt local regulations during the preparatory phase. The start of this preparatory phase will start as soon as we have finished the regulatory process, i.e. the regulation as a whole. It would be fantastic if all this could be achieved on January 1st of next year. The second phase is the experimental phase, which lasts four years. At this stage, the laws and regulations apply in the ten participating municipalities and the hemp and hashish produced by the designated producers are sold. During this phase, the effects will be monitored. Please note that the evaluation will take place in the third year and political decision-making will take place in the fourth year. Just thinking from the preparatory phase: let's say that it would last a year, then there is a six-week transition period between preparation and experiment, as we discussed in the House of Representatives. This makes it possible to gradually switch to the new offer. Then coffeeshops and consumers can get used to the experimental phase. At its fastest it goes like this. There's a year for preparation, and then six weeks. Then you arrive at about mid-February 2021. Then there will be a four-year period during which that experiment takes place. In its third year the evaluation takes place and in the fourth year political decision-making takes place. This also means that, on the basis of Cabinets serving their full time, the political decision-making process can take place in a subsequent cabinet period. That was preparation and experiment. The final phase is the phasing-out phase. Depending on political decision-making, the experiment will be completed in six months. But the experiment can also be extended; you have read that. The experimental phase may take a little longer to allow for subsequent regulation. However, in the three phases of the experiment.................................................................................................................................................. It lasts six months. Mr. Chairman. I'm about to get to the questions. I shall deal with three issues. One. Prevention and public health. Two. Planning and process of the experiment. Three. The international context. After that I have a few questions about it. I don't mean disrespectful. Afterwards, Mr Grapperhaus will address the public order, security and crime blocks, participating municipalities, impact measurement and evaluation, and Mr Knottnerus's opinion. The honourable Member is not shaking a no, but perhaps the layout of these cubes is something else. But then you know about the division of labour. I hear it's something else. Mr. Chairman. First, the block of prevention. As Minister for Medical Care, the effects on public health naturally have my special attention. I want to see what this experiment does with the use of soft drugs. For let me make it clear: an increase in this experiment is not intended. That is why we are putting in place a targeted prevention policy, which clearly highlights the risks of using soft drugs. After all, weed and hashish are unhealthy. The use of drugs, even in the case of weed and hashish, always entails risks to public health. In this experiment, we want to limit the risks. That is what we are doing with a targeted prevention policy and with measures aimed at controlling the quality of hemp and hashish produced. So we do two things. On the one hand, we have a targeted prevention policy and, on the other, we are taking measures aimed at controlling the quality of the product. A number of questions were asked in the first term on the part of the Chamber. How does the experiment-closed coffeeshop chain fit into countering standardisation? That question was raised in Mr Rombouts' speech and was also raised in Mrs Bikker's speech. Mr Dittrich mentioned it, and also Mr Van Dijk. So it's actually a common question. Here's what I'm gonna say. In the experiment there is extensive attention to public health in the field of cannabis and to the prevention of suction. It is not intended that the experiment stimulates people to use cannabis, if they did not otherwise intend to do so. Therefore, the draft decision of this experiment lays down requirements for the selling staff and for the presence of educational material in coffee shops, so that potential shop customers in the participating municipalities are informed about the risks of use. An additional prevention approach is also being developed, which also addresses vulnerable groups. This also concerns vulnerable groups in institutions; we will take this issue explicitly. At present, the Trimbos Institute is mapping out what a balanced set of additional prevention measures could look like. That's really long, long, long before we start the experimental phase, all set and ready. Mr. Chairman. I would like to go further on these prevention measures, as several speakers have asked for them. What prevention measures are being taken? I would like to say that it is a bay of prevention measures. For example, the packaging is subject to requirements. There are requirements regarding the attractiveness of the packaging. There's gonna be warning messages coming on. There will be an information leaflet called "the package leaflet" which is similar to what is called "the package leaflet." But just so we're clear, drugs are not drugs, so we can only use the word "packager" in this context in a transferable sense. That information leaflet is part of each package, which warns against the dangers of addiction or the risks in the event of planned pregnancy or traffic participation. The sales staff of the coffee shop should be obliged to take a course aimed at providing information on the use of cannabis, recognising problematic use and acting on it by referring, for example, to information or care. The coffee shop should contain mandatory educational material indicating the risks of cannabis use and refers to institutions that help with problematic use or addiction. As I said, we will pay particular attention to young people in institutions. I say this in response to Mr Dittrich's question, but Mrs Bikker also replied to it. Mrs Bikker asked: if the use of cannabis increases during the experiment, is there room for intervention? The answer is in the affirmative: if in a municipality the implementation of the experiment is no longer justified from the point of view of public health, the legislative proposal provides for an emergency braking device to stop the experiment in that municipality.
ParlaMint-NL_2019-11-05-eerstekamer-11.u4	Thank you to the Minister for that confirmation. I think that is very important. Precisely because health gains will have to be one of the building blocks of this experiment, it matters that we are actually going to see that profit. When the minister talks about that emergency brake, he specifically calls it "a municipality." In that place the emergency brake can then enter into force. However, my question is broader. If, over the years, the Minister would see that cannabis use is increasing or that there are more start-ups or more young users, what are the possibilities for nationalism? What are the options for this minister or his successor?
ParlaMint-NL_2019-11-05-eerstekamer-11.u5	The most important means is, of course, that each legislator can reconsider the consequences of the experiment and take measures during the journey. It is not expected, given all the preparatory measures. But one can then see if the law needs to be changed.
ParlaMint-NL_2019-11-05-eerstekamer-11.u6	Thank you. At least I can see that it is not cast into concrete: it is an experiment that the government wants to do with conviction, but the consequences will be looked at. But then, of course, my question is: how do you monitor it during the experiment? We should not say after four years: oops, there really was a trend up. We need to make sure there's a finger on the wrist in between. In between, there must also be clarity as to which building blocks emerge from this experiment.
ParlaMint-NL_2019-11-05-eerstekamer-11.u7	One of the core elements of the experiment is, of course, that the effects are monitored. That will happen all the time, from the start of the experiment. That starts with a zero reading. Next, measurements will also be made in the course of the experiment. That's one part of the monitoring. But, of course, in the participating municipalities, the mayors will look with their eyes at stalks. Let me put it this way: let me look at the progress of the experiment. That's part of it. In addition, there is a guidance committee. It will, of course, also look at the consequences of the experiment. And I think there will be a lot more eyes on the experiment, not only nationally, but also internationally. I'll get back to you on that.
ParlaMint-NL_2019-11-05-eerstekamer-11.u8	Mrs. Bikker, for the last time.
ParlaMint-NL_2019-11-05-eerstekamer-11.u9	Thank you for that clarity. The experiment is ongoing, but for a large part of the coffeeshops the experiment is not valid. They're in other municipalities. Shifts may occur. We can't quite explain how that's gonna go at the moment. Can the Minister give us a little more insight into the policy area that he keeps at that point in order to take action? I would like to ask this particularly with regard to the high level of prevention. Because we have to keep writing over soft drugs: don't get started. Prevention must remain strong, including in the municipalities that do not participate in this experiment.
ParlaMint-NL_2019-11-05-eerstekamer-11.u10	I have just told you that we take preventive measures seriously. Sometimes these will apply specifically to coffee shops in the participating municipalities, but sometimes this focus on prevention will be wider. For example, I am looking, together with colleagues Blokhuis and Grapperhaus, at prevention measures in a broader sense. They are part of the undermining approach. Mr Grapperhaus will deal with this later. These will be measures which apply to the whole of the Netherlands, and which are therefore wider than the experiment. Then there is Mr Rombouts' question as to why a maximum THC level has not been chosen. I have two answers to that. What we are aiming at is a realistic test of practice, where sales are sold in other municipalities in a tolerated situation. If we put the ten municipalities with the current 79 coffeeshops at a maximum limit in terms of THC value, you would create an inequality with the rest of the Netherlands, so you might get a shift by the people who make the purchases. That is not desirable, because we want a realistic test of practice. Therefore, the cannabis sold in the participating coffeeshops should reflect realistically what is being offered today. Then there's the second answer. The mentioned Knottnerus has said that there is currently no scientific evidence that a higher THC value leads to more addiction. He recommends, and we take over, that we monitor this and follow the THC value, because it fluctuates over time. This afternoon in the debate it seemed as if there was an ever-increasing THC level, but when you go over the documentation, you see over a series of years, from the beginning of the century and ten years later, first a kind of decrease and then again a kind of increase in the THC content. So it's not a constant. I have another question from Mr Rombouts and Mrs Bikker asked the same question. Am I willing to make a broad commitment to prevention? Again, yes, that is an important part of the whole experiment, precisely because it comes from the mouth of the Minister of Health. In this respect, we will seek to take account of the measures taken by Mr Blokhuis in the area of prevention policy. The essence is that drug use is not normal. That is what we want to join. With the answer to the questions on prevention, I would like to show that there is a very long list of prevention ingredients, ranging from packaging requirements to requirements at coffee shops, demanding the quality of hash and hemp, monitoring by the mayors, the attention of the Trimbos Institute and so on. I think prevention is incredibly important for this experiment.
ParlaMint-NL_2019-11-05-eerstekamer-11.u11	Thank you for the Minister's good commitment to prevention, but I would like to touch on the THC level. There is no conclusive scientific evidence of the health risks involved. At the same time, this level has not been maintained for years for nothing. It is said what effect the pot has and how strong it is. The government now also wants these coffeeshops to report the THC content. Of course, it can also have an inverse effect, that people deliberately opt for the heavy effects, while we are not sure whether they involve health risks. How does the Minister weigh that risk, including ethically?
