ParlaMint-NL_2019-02-19-eerstekamer-11.u1	The next item is the continuation of the policy debate on the state of the rule of law.
ParlaMint-NL_2019-02-19-eerstekamer-11.u2	I give the floor to the Minister of Justice and Security.
ParlaMint-NL_2019-02-19-eerstekamer-11.u3	Thank you. You reminded us that the first and second periods of this debate took place on 22 May last year. You will forgive me if I am rather busy with deadlines, in connection with the enlargement of my family to a next generation. In particular, with the nine-month period, I noticed that it took exactly nine months for this third period to be conceived. We are talking about commitments today, of which the'status concipienne' indeed started nine months ago. In this respect, I am pleased that both Mrs Vlietstra and Mrs Van Bijsterveld have found that the colleague and I have been able to give birth fully to this. While we're here together, I'm giving you a little bit of history. A third term is not unique in this house. I myself remember the third term of the debate on the planned participation in the European Public Prosecutor's Office last April in order to give your Member Mrs Duthler the opportunity to amend a motion and to table another motion. Those motions have both been passed. This is another sign of the success of the third term. This third deadline is therefore often used to amend or submit motions after the second deadline, or in a very exciting debate, as perhaps today. Those nine months you don't see very much, but it may be a preoccupation of mine. Forgive me, Mr. Chairman. It is not a record I say to those who are furiously curious where this is on the ranking list. On Mr Van der Staaij's own initiative proposal to amend the Constitution on the procedure for approving and amending the EU Treaties, 30.874, I understand that a third deadline will soon be set in this House. The second deadline was already held more than two years ago, which was in January 2017. I am not going to elaborate on the period of pregnancy in the animal kingdom that takes two years. I'll spare you that list. Mr. Chairman. I assume that we will stick to this third term. I can see you thinking: that depends, of course, on the quality of the response. So I'll do my best to do that.
ParlaMint-NL_2019-02-19-eerstekamer-11.u4	Above all, I hope that it will not be too difficult to give birth.
ParlaMint-NL_2019-02-19-eerstekamer-11.u5	Yes, Mr President, and then we don't even know whether it's going to be identical or two-eyed between us, but this whole thing aside. When we talk about the rule of law, I would like to tell you that I have recently sent this excellent report to the members of the Cabinet, encouraged by the Prime Minister: European judicial systems of the Council of Europe. This is a report that shows that the Netherlands is not only doing very well when it comes to quality, but is also in the leading group on the very large European comparison of spending on the rule of law. Of course, we know, and you are right to say so, there are still improvements to be made. It's a wonderful report. I have enough in my office to provide those of your Chamber who wish to take note of it. Mr. Chairman. Questions have been asked about the serious crime, and I will talk about that. I'll talk about the state's attorney's office and the police. I will focus on the vision of forensic detection, on the questions about the criminal justice chain and on a separate question, as a whole of the digital transformation, which Mrs Duthler has put on the threats to new technologies and possible quasi-monopolys and so on. Mr. Chairman. I will also answer the question on migration on behalf of the JenV Secretary of State. Let me start with a number of questions that have been asked about individual cases, about the prosecution and the measure of punishment. Mr Dercksen has asked whether we are going to do something about the standards in criminal law in a legislative sense. Serious criminals, as I understand it, come off with what he calls a "fake punishment," often also because intervention is taken if the act is not yet completed. It is up to the Public Prosecutor and the police to assess whether and when it is necessary and justified to act during criminal investigations. Those are difficult considerations. We saw that at the end of September last year when a number of suspects of terrorism were arrested. At some point there is a decisive moment in the matter where we have to trust that the experts, the Public Prosecutor's Office and the police are making the right decisions to intervene when it is the best time for criminal law, but also for society. I do not support Mr Dercksen's plea for the introduction of a law of intent. That would be at odds with the lex certa principle. A citizen must be able to know what behaviour he can be punished for. That is why the adoption of criminal liability in our criminal law for over a century has required 'action or omission'. In doing so, the degree of culpability is determined by the consciousness that has been acted or left behind. Punishment of people only for wrong plans without any practical application is absurd. This does not relate to us, and also to many other countries, the criminal justice system. I will hold on to the following questions from Mr Dercksen.
ParlaMint-NL_2019-02-19-eerstekamer-11.u6	Mr. Dercksen.
ParlaMint-NL_2019-02-19-eerstekamer-11.u7	Yes, Mr. Chairman, because it's not so much about someone who's thought up something in his head. I gave you an example, but perhaps you yourself have an even better example that they are planning terrorism. In my example, I pointed out that there have actually been serious acts, organized, to free someone from the mocromafia from prison. There was no one who came up with that alone; a lot of actions were done. If you don't want to, that's an opinion. But for that, I'd like to say to those cops and those detectives, thank you for your commitment, because these guys are gonna be locked up for a long time and not for a few months so they're gonna try again until they do. What can you promise that acts that have been carried out will be more severely penalised in preparation for serious organised crime?
ParlaMint-NL_2019-02-19-eerstekamer-11.u8	Mr President, I understand that the question comes to me through you. I think that Mr Dercksen and I are certainly on the same path if we both think that preparatory actions could or should be punishable. Our criminal law offers enough room for that. It is at any time for the court to decide whether, in a specific case, criminal acts have been committed. It is not for me to say anything about this, not because I could not talk about it, but because I simply do not want to influence the course of justice in any way, not on one side and not on the other. That's the part I have. By the way, that is a different role from that of Mr Dercksen, so I fully respect that he thinks about it freely.
ParlaMint-NL_2019-02-19-eerstekamer-11.u9	Mr. Dercksen, very briefly.
ParlaMint-NL_2019-02-19-eerstekamer-11.u10	I'm just getting started, Mr. Chairman. The Minister would like me to speak through the chairman. I will. But then what's the signal you're sending out...
ParlaMint-NL_2019-02-19-eerstekamer-11.u11	That's the habit in the house, too.
