ParlaMint-NL_2019-12-11-tweedekamer-11.u1	The next item is the Act on Language and Accessibility.
ParlaMint-NL_2019-12-11-tweedekamer-11.u2	Mr Wiersma would like to have the floor again, but I will not give him that. Mr Futselaar, you have the floor.
ParlaMint-NL_2019-12-11-tweedekamer-11.u3	Thank you, Mr. Chairman. The law that we are dealing with here is about different parts that are a bit separate from each other. They are linked, but almost all deserve a separate debate: firstly, the discussion about the language of our higher education, which is a continuous social debate, but also the controversial subject of numerus fixus, and so there are some other issues that the law regulates, such as asking for contributions of its own. I would like to begin with the question of English-speaking education. The reality of English-speaking education in the Netherlands in higher education, I add, is not generally that we attract top talent worldwide, as is sometimes suggested. The reality is that we in the Netherlands are training our neighbours. Three quarters of foreign students in the Netherlands come from the EEA, the European Economic Area. More than a third of the Bachelor's students, 35%, come from Germany. In fact, the Netherlands also finances the defects of German higher education. That would not be such a problem if the opposite were true, if our Dutch students could very easily go to German, French or Italian universities. But these universities are not so crazy to offer, like us, a large part of the curriculum in English. It is no wonder that for every Dutch student abroad there are about nine foreign students in the Netherlands. That's a crooked affair, whatever else you think of it. Mr. Chairman. They will undoubtedly deny it, but some of our institutions, in particular some of them in what D66 calls "outsiders," have seen internationalisation as an opportunity to raise their own student numbers, and thus bring in a larger proportion of the constant cake of funding education. Because, of course, there is a perverse incentive to attract as many foreign students as possible. We have seen that institutions have been actively recruiting abroad in recent years. This incentive is extra perverse, because due to the large influx of international students from recent years, the average amount of education per student has fallen. Mr Bishop has already referred to this. Also, the annual assessments of new students that we have to make, partly due to the international influx, are always wrong, creating a million hole in the budget that needs to be resolved again. If you want to attract international students on a large scale, you have to offer a lot of English-language education. That's the formula. That is what institutions have been doing on a large scale in recent years. They have not often been stopped by the spirit and sometimes not by the letter of the law. We saw, for example, that a large number of institutions, according to a report, did not have the mandatory code of conduct for teaching English. If there was, it was often very short or simply untraceable. For example, you have to click on the website twenty times. In fact, these institutions violated the law. They may have done that for years without OCW ever sticking out a leg to correct them, but nevertheless, they violated the law for years. Mr. Chairman. Nevertheless, the SP has never been a strong supporter of forcing institutions to go back to mass education through legal means. We believe that you should be reluctant to tell institutions how to teach. We have always been much more in favour of removing the incentive, so to deal with it through the funding system and to ensure that that incentive disappears. The Minister has made a start with this by increasing the fixed foot, because with this you finance less per student and thus remove part of the incentive. We will see whether further proposals are needed for this, but as far as we are concerned, it is the route through which we can best tackle what we do see as a problem. This bill is based on the principle of "Dutch, unless." That is a wonderful principle, but that was also true for the old law. In the old bill, the criterion on which an assessment was made was necessity. The necessity was considered. In the new legislative proposal, the criterion under assessment is added value. At first glance, that looks like a relief. Mr Bishop referred to this as well. But the big problem with the old "need" was that this concept could be interpreted so widely, and was also explained in practice, that it became meaningless. The old law was massively bypassed, ignored. The exceptions that existed were used. And "additional value" may be lighter, but is in any case tested by the NVAO on the basis of criteria. Those criteria may be adjusted by means of an AMvB if necessary. This gives the Chamber and the Minister at least some possibility of controlling and controlling language policy, more than we have had so far. In fact, we are replacing a very strict law that offered huge exceptions and where enforcement was virtually impossible in practice, with a law that basically gives more scope, but also gives much more scope for containment in practice. It will eventually be the execution how are we going to do it? It determines whether this law is successful in limiting foreign-language education where this is nonsense on the one hand and ensuring that meaningful examples are well substantiated on the other. That is something to follow critically, specifically in the final implementation of the AMvB. In fact, we are also delaying the discussion until the criteria are known, because they are not yet known exactly. But the criteria that we are going to set will depend very much on them. The VSNU calls for the criteria to be limited to just checking whether the quality testing systems comply with the language choice. Yes, thank you the cuckoo! I really want a substantive weighting of language choice. A substantive review should be carried out. On the other side of the spectrum you could in theory also enforce "there must be so many hours of Dutch lessons in a curriculum or, specifically, Dutch language skills." That's going a lot, I'd say. I do not think that as a government we should intervene in what curricula look like. You can talk about language, but not about which subjects to teach, because that is basically in the institutions. There's gonna have to be a middle ground somewhere, and that could be pretty tricky. Good luck with the Minister. But in general we are quite positive about this development, Mr President. When it comes to combating needless English, we see, as has been said, a great deal of use in the funding debate. However, we are concerned that Mr Wiersma has already said something about the question of whether all the training committees can actually handle the extra work. They will be given a new task, namely to review the choice of another language. Are they sure they're up to this? We have previously advocated a better guarantee of good support for training committees. The differences between institutions and sometimes also between training courses are quite large. How does the Minister see this, even in the light of this law? Mr. Chairman. The legislative proposal provides for an extension of the possibility of asking for own contributions. It hasn't really been about that today, but there is that possibility. We are always a little reluctant when it comes to our own contributions, especially in the care dossier. But when it comes to graduation, this is actually somewhat reasonable. Not only because the maximum amount is quite limited, but also because we hear from universities that in practice they run into the fact that quite a few foreign students register at various institutions, also because they do not understand the Dutch system and do not know that you are not being rejected as in the UK system, for example. Then the universities can't plan how many students they'll get. A very limited administrative amount is probably a good way of reducing this. We therefore understand that choice. We are less enthusiastic about the possible charging of language tests to foreign students, also because the Minister in the legislative proposal is very brief in arguing that there is no alternative. How high are these costs actually going to be for institutions? In principle, I would like to ask: is paying for a language test for an institution not a logical consequence of choosing another language? Then the final subject is the numerus fixus. As far as SP is concerned, a numerus fixus, apart from the exceptions such as medicines and that kind of training, should only exist when an education is unexpectedly confronted with much higher student growth than planned. I taught that kind of training once. I won't say it was just me that made the training much more successful than planned, but I can say that as a teacher you're really looking at each other in a panic. Where do we get the locals? Where do we get the people? Are we gonna schedule unauthorized people? It can be a serious problem if you are in danger of getting such large student growth that can no longer be reasonably compensated. At such a time a fixus may be justified, but it must by definition be temporary. In the long term, you can always fix this, even if you have to set up new buildings and so on; that is possible. What is problematic about the bill is that the Minister proposes a procedure with prior consent for a numerus fixus. It is precisely the kind of unexpected situations I have outlined that do not lend themselves to extensive pre-emptive routes. You're not gonna say two years in advance, we're gonna panic in two years and we don't know where to get the people from. That'll be at the registrations you see coming in. Then you see that there are 500 registrations instead of the 50 you expected. That is why we see more of an ex post procedure. Then an institution can introduce the numerus fixus on the basis of capacity problems, but it is subsequently tested by OCW and may disappear again if it turns out to have been improperly used. Because it is a capacity problem, it can certainly not last longer than three years. To be honest, I've been a little spacious in that. Anyway, building a building could take some time. We have tabled an amendment to that effect. Mr. Chairman. This seems like a strategic moment for me to stop talking.
ParlaMint-NL_2019-12-11-tweedekamer-11.u4	In my view, Mr Futselaar, like D66, is not in favour of much selection. We see a lot of disadvantages in this. That is why we are looking at these measures. Now I hear you say that there are situations where there is such a huge influx that it becomes very impractical and you need to take emergency measures. The government is also doing this by saying: we want to see if such an emergency measure can be created. Wouldn't that be much better than having the consent requirements dropped immediately in all cases and it becomes a test of three years after that which all students who register up until that time have nothing to do with?
ParlaMint-NL_2019-12-11-tweedekamer-11.u5	As far as I am concerned, the test should not take place after three years. The test can be done, so to speak, in the same year in which the numerus fixus is entered. OCW can then conclude that it is not a valid reason and that there are no capacity problems. So that numerus fixus has to go. I disagree with the government because I believe that there is no other argument for a numerus fixus than a temporary, suddenly emerging capacity problem. It's weird to make an extra handshake and create something extra. I think you should only create a numerus fixus in this case, but if you do, it makes sense that you do not enter into a pre-established procedure. You can't enter it if you have a current and unexpected capacity problem.
ParlaMint-NL_2019-12-11-tweedekamer-11.u6	A current capacity problem is that you don't expect so many people to come, but it does happen. The institution couldn't see it coming. If you have a good solution to that, would it not be very good if we did have a check of those consent requirements for consent to the fixus? This is why, for example, the inter-urban student consultation believes that the fixuses should only be set up with a well-reasoned capacity problem. Therefore, a consent requirement is good, because then you have a clear check in advance, and not one afterwards. That's what students who couldn't get in at the time have nothing to do with it.
ParlaMint-NL_2019-12-11-tweedekamer-11.u7	Eventually, it also comes down to the question of how much you trust institutions to do this kind of thing properly. I am by nature an extremely cynical person and distrust institutions almost by definition. Fortunately, I also distrust the ministry of OCW, so that is not necessarily a good relationship. I do not really believe that institutions will simply take advantage of this means. I think it will have consequences if an institution is turned on afterwards: you should not have set this numerus fixus at all. I did not sanction the amendment, but it will only happen to you as a driver that you set a fixus and then OCW says that it was done on totally wrong grounds. I can't imagine, for example, that a university council would say: well, mistake, can happen.
ParlaMint-NL_2019-12-11-tweedekamer-11.u8	I know Mr Futselaar as a colleague who always argues very well in terms of content and substance. Nevertheless, in his speech I heard him say, "without any justification," in a word, really between the nose and the lips. That was when he said: you don't want a numerus fixus at all, except for drugs and stuff. I wondered what is so special about medicine that Mr Futselaar accepts so humbly that without any thought or criticism there is always a numerus fixus.
ParlaMint-NL_2019-12-11-tweedekamer-11.u9	Mr Bruins is right on several levels. First of all, I deliberately did this in a minor way, because I do not really feel like having a discussion here. Traditionally, we have chosen to regulate it for a number of very expensive training courses, which simply cost a lot of money, and train them for a very specific field that is in demand, such as medicines, veterinary medicine and so on. I imagine you're questioning this again whether you should do it that way. I always think of the huge shortage of veterinarians in the Netherlands at the moment, for example with the Dutch Food and War Authority. We ourselves, of course, have also caused that huge deficit. I think that this debate is worthy of discussion, but I did not commit myself to it in this debate, I say in all honesty. That is why I would like to put aside those training courses on which there is often some kind of general political agreement, but it is a debate that is worth conducting.
ParlaMint-NL_2019-12-11-tweedekamer-11.u10	Then I'd like to throw this subject into the lion's den. As far as I am concerned, there is no political agreement, because I also see in these subjects that there is a kind of artificial scarcity which, for example, keeps salaries extremely high. I hope to find Mr Futselaar by my side if we discuss this subject again in another debate.
ParlaMint-NL_2019-12-11-tweedekamer-11.u11	Can you imagine how much cheaper the SP National Care Fund would be if our specialists were not the best-earning specialists in Europe? So I look forward to seeing Mr Bruins' proposal and we will certainly study it seriously.
