ParlaMint-NL_2019-10-09-tweedekamer-8.u1	We continue with the discussion of the budget Agriculture, Nature and Food Quality (35300-XIV).
ParlaMint-NL_2019-10-09-tweedekamer-8.u2	We were working on the first term on the side of the Chamber. We are with Mr Futselaar now.
ParlaMint-NL_2019-10-09-tweedekamer-8.u3	The Futs! Oh, yeah!
ParlaMint-NL_2019-10-09-tweedekamer-8.u4	Mr. Graus's great friend. Yes, you have a big fan in the room, Mr. Futselaar.
ParlaMint-NL_2019-10-09-tweedekamer-8.u5	Mr. Chairman. It's gonna be a tough year. It's gonna be a hard year of hard decisions for us to make. Decisions that will affect people, businesses, families directly, but it is our job as politicians to make difficult decisions and it is not our job to postpone and train such decisions and to muddle for peace. And yet, in the context of the nitrogen crisis, this seems to be the reality. Mr. Chairman. We are discussing the LNV budget today, and that is a budget which we have to say has been completely obsolete for a long time. It is not possible that we will be able to deal with the nitrogen crisis with only the existing resources. No, no, no, no, no, no, no, no, And yet the line of this cabinet, of this minister both in the budget and in the letter on nitrogen that we have received, seems to be: we are doing it with the existing resources. Where's the sense of urgency? Where are the necessary resources? Where's the force of action? In this respect, perhaps, the resources that have now finally appeared in the budget in the context of the Urgenda ruling are typical. That ruling was in 2015. It is now 2019 and now we see how it is finally being implemented. That is four years later and we cannot wait four years when it comes to the nitrogen crisis, especially when we realise that the problem itself is decades old. The mayor of Steenwijk, a neat VVD man, is considering breaking the law. He has unsafe bridges in his municipality but can't get a permit to repair them because of the nitrogen pronunciation. So he's considering doing that without legal consent. That is the reality of the nitrogen crisis. Thousands of homes that can't be built, while people are crying out for housing. That is the reality of the nitrogen crisis. And whether we like it or not, the key to solving that crisis lies here, in agriculture and in nature. And yes, there will also have to be a lot of traffic around airports, around industry and around construction, but the core lies here, in strengthening nature and limiting the greatest nitrogen emissions, and that is livestock farming. In these circumstances, it's actually unbelievable what didn't happen. Remkes himself said it in the Chamber: it seems as if drivers have been sitting on their hands since May. The cabinet announces measures to work area-oriented, but why do we not already know what are the biggest peak drivers in nature areas? That information's been available a long time, isn't it? Remkes also says very clearly: we must now start with a rapid reduction in nitrogen. And now we are threatening to go on for months again with an integrated assessment at field level, with provinces and stakeholders meeting until there is an opinion that needs to be examined and tested. We don't have that kind of time, do we? As far as the SP is concerned, a shrinkage in livestock farming is inevitable in the context of nitrogen, as the Remkes Committee also notes. In our view, denying this is also unfair to agriculture itself, which should also know where it stands. The same applies with regard to the SP also for parties who cry along with conspiracy theories about RIVM and Wageningen Research and thus keep the suggestion alive that it is not all that bad. That does not mean, however, that we need to clean up generically. Look where the biggest peak loaders are in terms of nitrogen. Look where you can get the most CO profits. See where we can achieve targets in the framework of the Nitrates Directive. Look where the smell problem is the most. Where all these come together, go there and clean it up. Yeah, we're gonna have to cut the cattle, but let's do it with a scalpel and not with a machete. And the resistance to this is great and I understand that resistance, but I say honestly: I have little to offer against it. The fact that we now have to take tough decisions that should have been taken 20 years ago is not the fault of farmers, but that does not mean that those decisions should not be taken. Even without a clean-up, the future of some livestock farms is simply very limited. I would like to put the following to the Minister. If you are now a peak loader near a Natura 2000 site, even if you are just going to disappear, is it absolutely unthinkable that you will grow in the future with this nitrogen statement? Can the Minister respond to that? In this system we've built up, can't grow in the long run is just a death sentence for many of those companies, right? Two weeks ago, the Minister said that there were no taboos in dealing with nitrogen, but last week suddenly forced sales and expropriation of livestock farms proved unnegotiable. What exactly happened over the past week, I'd like to ask. When did no taboos suddenly become a few taboos? Mr. Chairman. The SP has tabled an amendment to invest 200 million in the restoration and extension of Natura 2000 sites. This is only a first step in the nitrogen crisis, and it will not prevent us from taking tough measures to reduce nitrogen emissions, but it is at least a start. Moreover, when it comes to nature, there is no reason to wait months for area processes. We know which natural areas are overloaded. Restoration plans are in place, as far as they have not yet been implemented. There are even plans for enlargement in the provinces. The only thing missing is budget and political will. So let's start today. Mr. Chairman. We can also start planting trees throughout the Netherlands today. Mrs Bromet already referred to our joint initiative proposal for a national tree plan. I believe in that with great passion. This is potentially a climate measure that gives people real enthusiasm. I mean, there's hardly anyone who's going to sue if there's a tree planted anywhere near his house. That is why we should go much further in this area than the Climate Agreement now states. There is a huge profit to be made, both in terms of CO and in terms of acceptance. If you want to know how many people care about trees, you just have to look at the consequences of cutting down somewhere. The protests are then enormous, and we, as Chambers, at least, I will not be the only one to receive hundreds of e-mails. We are also helping our biodiversity potential. Production forest, for example, can be used for sustainable construction. We want 17 million trees, for starters. Where would they go? Everywhere. They have to come into our villages and cities. That was referred to by other parties not only because trees are pleasant, but also because they are cooling in these times of climate change. They must pass our motorways, for which there is an excellent plan at Rijkswaterstaat. They need to get on and off agricultural land when it comes to a forestry scheme. And at the moment they have to come around our natural areas, because they can also contribute to the problem of nitrogen. And this, Mr President, may be a good time for an interruption.
ParlaMint-NL_2019-10-09-tweedekamer-8.u6	I thought that's what I was talking about, Mr. Futselaar.
ParlaMint-NL_2019-10-09-tweedekamer-8.u7	It's a suggestion, and nothing else.
ParlaMint-NL_2019-10-09-tweedekamer-8.u8	Oh, okay! Mr. Geurts?
ParlaMint-NL_2019-10-09-tweedekamer-8.u9	Mr President, keep it in hand, because if you leave it to those agricultural spokesmen: dot, dot, dot. I have the following question for Mr Futselaar. I heard GroenLinks earlier talking about that tree plan. That costs hundreds of thousands of hectares of agricultural land, if I understand correctly. How are the SP and GroenLinks going to handle this with agriculture? Because hundreds of thousands of hectares also means that agriculture is practically driven out of the Netherlands by these two parties. Or am I wrong?
ParlaMint-NL_2019-10-09-tweedekamer-8.u10	If it were only agricultural land, Mr Geurts would still be wrong, because Dutch agriculture is still more than a hundred thousand hectares. But this has to happen in many places at the same time. Mrs Bromet has already said something about it, but we would also like a forest scheme to use agricultural land in farmers' hands to create more trees. At Rijkswaterstaat there is a plan ready to build wide strips of forests along roads. That's been investigated. Part of it is land owned by the government. But part of that land is owned by farmers, for example, so you'll have to buy it out. A part can be done in cities and residential areas on municipal land. Then there's the cost. If you look at the total cost of all the measures that we have yet to take under the Climate Agreement, then that potential is so great that if we plant trees of 0.4 megatons, for example, that is what I think is stated in the Climate Agreement, which is potentially 4 megatons, we can also save a lot of money. So, potentially, it pays itself.
ParlaMint-NL_2019-10-09-tweedekamer-8.u11	It can't be and-and: if it's not farmland, then it's just natural land. This means that the SP and the GroenLinks Group want to intensify nature in the Netherlands.
