ParlaMint-NL_2019-12-11-tweedekamer-19.u1	We continue with the VAO Maritime. I would like to give the floor to Mrs Kröger.
ParlaMint-NL_2019-12-11-tweedekamer-19.u2	Mr. Chairman. Just now at the VAO Wadden it was already about the MSC Zoe. We spoke extensively at the AO Maritime about the damage. I am very pleased that the Minister is taking action with the plastic ball stopper and that she is really coming up with a plan to clean up the plastic balls as much as possible before the breeding season. But we're worried about the long-term damage. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the MSC Zoe disaster has led to large-scale plastic pollution, the long-term effects of which are not yet known;]] [[Whereas, until now, the purpose of the damage treatment has been to clean up the containers and free up the contents, but not to deal with large-scale plastic pollution;]] [[Considering the need for multiannual monitoring and further research into both the impact and the elimination of plastic pollution;]] [[calls on the Government to set up a compensation fund to finance research and prevention of long-term damage to the Wadden, and to recover the costs for this fund from the shipowner,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger, Mr Van der Graaf, Mr Schonis and Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31409-258]]
ParlaMint-NL_2019-12-11-tweedekamer-19.u3	As far as we are concerned, we were given very sad news that human rights organisation Sea-Watch was forced to stop flying the Dutch flag. We're really disappointed about that. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas democracy and human rights benefit from critical NGOs, which point to uncomfortable truths;]] [[Whereas the Netherlands, with its open arms policy, had a strong tradition of welcoming and protecting internationally operating organisations committed to the protection of the environment, political freedoms and humanitarian missions, even if this sometimes creates uncomfortable confrontations with countries that appreciate democracy and human rights differently;]] [[calls on the government to shape the open arms policy in the future in such a way that NGOs with humanitarian missions feel welcome in the Netherlands and are actively supported by the Dutch government if they are hindered by foreign powers in their work,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger and Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31409-259]]
ParlaMint-NL_2019-12-11-tweedekamer-19.u4	Thank you, Mr. Chairman.
ParlaMint-NL_2019-12-11-tweedekamer-19.u5	Thank you. I call Mrs Postma of the CDA.
ParlaMint-NL_2019-12-11-tweedekamer-19.u6	Thank you, Mr. Chairman. We have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas shipping contributes to nitrogen emissions and deposition;]] [[Whereas conditions of weather, wind and speed of navigation determine the degree of nitrogen deposition to a large extent;]] [[calls on the Government to explore the measures in place to reduce nitrogen deposition by maritime transport, at least to address changes in sailing speed and changes in ship routing,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Postma, Mr Schonis and Mr Van der Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31409-260]]
ParlaMint-NL_2019-12-11-tweedekamer-19.u7	Thank you, Mr. Chairman. Two motions and two questions tonight. I'll start with the motions. The Animal Party has also degassed into the AO and called the MSC Zoe, as many of us have. That is why there are two motions for resolutions on these subjects. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister has identified areas which would be suitable for degasification;]] [[noting that areas, such as large parts of Zeeland, are thus effectively becoming a safe haven for degassing;]] [[noting that, by means of a provincial ban, the province of Zeeland has already ruled against the degassing;]] [[considers it undesirable to concentrate an activity such as degassing, which causes damage to health and the environment, as it creates a situation with relatively high exposure;]] [[calls on the Government to monitor whether there is an increase in sailing degassing in the designated areas and if this is the case to reconsider the introduction of an early national ban,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Esch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31409-261]]
ParlaMint-NL_2019-12-11-tweedekamer-19.u8	Then my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are still thousands of kilos of waste in the North and Wadden Sea as a result of the disaster with the container ship the MSC Zoe;]] [[noting that the (natural) damage to this waste will continue for many years;]] [[noting that it is still unknown what is in the containers left behind and what environmental risks this will entail;]] [[noting that the Minister still has to agree with MSC on financial liability and MSC is now insisting on a rapid termination of that liability;]] [[calls on the Government to limit or terminate the liability of MSC before deciding to give the Chamber the opportunity to give its opinion,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Esch and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31409-262]]
ParlaMint-NL_2019-12-11-tweedekamer-19.u9	Let me ask you two brief questions. We wonder if the Minister can comment on the drama with the Fox skippers. They are currently in intensive care due to exposure to rat poison in animal feed. We're wondering if the minister has an update. How are these people doing right now? Can the Minister also indicate how this could have happened? We sympathise with the people who have been exposed to it because of the serious consequences it has. This week, the Chamber adopted a motion from my colleague, Mr Ouwehand, calling on the government to amend the European Transport Regulation so that dramas such as the 14 000 sheep ship disaster in Romania can be avoided. The Minister had already promised to talk to the Romanian EU Commissioner. I would ask her to take the motion adopted this week. Can it also indicate when it hopes and intends to talk to the EU Commissioner?
ParlaMint-NL_2019-12-11-tweedekamer-19.u10	Thank you. Mr Laçin of the SP, you have the floor.
ParlaMint-NL_2019-12-11-tweedekamer-19.u11	Mr. Chairman. Mrs Van Esch also already drew attention to the couple of inland waterway vessels that were admitted to hospital last weekend, after being exposed to phosphine gas for hours, a kind of rat poison. I'd like to wish the couple a lot of happiness. I have raised oral questions on this subject, but they have not been followed up. I submitted written questions yesterday. I hope the Minister will be able to answer these questions as soon as possible, because many inland waterway vessels are waiting for an answer and clarity on this incident. That brings me straight to the dossier degassing. As far as we are concerned, that has to end as soon as possible. It is unacceptable for us that, in the debate, the Minister has postponed the national ban between the nose and the lips by one year, until mid 2021. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister previously promised to ratify the International Convention for the Prohibition of Degasification by the end of 2019 and to enter into force by mid 2020;]] [[Considering that the Minister has indicated that her previous commitment is not feasible and that ratification of the Convention is expected by the end of 2020;]] [[Whereas a one-year delay for a national ban on degassing is undesirable and unacceptable;]] [[considers that a national ban should not be dependent on other countries;]] [[calls on the Government to make every effort to bring into force a national ban on degassing by 1 July 2020 at the latest, and to inform the Court of Justice as soon as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin, Mr Van Esch and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31409-263]]
