ParlaMint-NL_2019-12-11-tweedekamer-7.u1	I'm suspending the meeting for a minute and a half.
ParlaMint-NL_2019-12-11-tweedekamer-7.u2	I would like to welcome the Minister. The same goes, of course, for the Members of Parliament, for the people who are following this debate here in the Chamber, and certainly for the people who are following the debate in a different way. Welcome aboard.
ParlaMint-NL_2019-12-11-tweedekamer-7.u3	I am the first to give the floor to Mr Paternotte and he is speaking on behalf of the D66 Group. It is legislation and you have indicated your speaking time. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-7.u4	Thank you, Mr. Chairman. The debate on internationalisation is a debate that is in a very long tradition, because it is very appropriate for the Netherlands to talk about internationalisation. When Hugo de Groot released his Mare Liberum it was in Latin, at the time the lingua franca of international science. Spinoza was asked whether he could not release the Ethics in Dutch, because that was, of course, the language in which he presented his scientific work. Later on, we had the French time, in which a lot of people were worried about whether French would take over the whole of Europe. Since the Second World War there has been discussion about the so-called "Vergelsing." When you look back 20, 30 or 40 years, you already hear crying out about English. Nevertheless, we still have this debate today in our beautiful country language. Dutch is a beautiful language, but it is not a world language. So if we think that Dutch should be the language of international science, then we are doing donquixoterie. It fits our open society that interacts with the rest of the world to want to share our ideas, because our ideas, even if they are not written in Dutch, are equally Dutch ideas, whether it is the Dutch approach to peace missions, the special way in which we in the Netherlands try to prevent repeated crimes or our fantastic tradition in history and language studies, but also the solar cars that are made in Delft. Internationalisation is more than just the language in the college banks. After all, it also means that students learn to think beyond their own worldview, that you challenge researchers not only to play in the league of honor but also in the Europe League and, if possible, in the Champions League. If you bring it back to language, we think we should say yes to English where it has added value, where it is substantiated and where the conditions are in order. Of course there are limits to it. A dissertation on Joost van den Vondel's work does not need to be in English. Studying patriotic history doesn't have to be done in English either. That is why we have a positive attitude towards this bill. I'll go over three topics in my treatment. It starts with internationalization. It is then about language and finally about accessibility. Internationalisation is indispensable for students, because if you want to get to know your own culture, it can only be done in relation to other cultures by working with people from different backgrounds. If a psychologist is in a lecture hall with a Korean student from a country with totally different, unwritten norms, relationships and taboos, then he has a better study. If rights involve a South African student from a country with a legal tradition with European roots but also its own development, that gives a completely different perspective. In economics, an American student can introduce a vision from a country where the government plays a much smaller role and a very different economic vision is dominant than here in Western Europe. In addition to such intrinsic arguments, there are practical reasons to be enthusiastic about internationalisation. In the Netherlands, the UWV and ROA make lists of job shortages. We need a lot more good-looking minds to fill those vacancies that are the result of the growth of our economy and the ageing population. I do not understand why, on the one hand, we see that in the outskirts of the Netherlands where internationalisation may go faster than in places where our country is not bordering on another country, there are a lot of job vacancies and there is a lot of scepticism about internationalisation, or at least is expressed. In order for the value of internationalisation to become true, two things are important. First of all, the need for training in internationalisation to think through.
ParlaMint-NL_2019-12-11-tweedekamer-7.u5	A question from Mr Futselaar. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-7.u6	I was wondering what the corners of the Netherlands are.
ParlaMint-NL_2019-12-11-tweedekamer-7.u7	That is for example the head of Noord-Holland, but also Groningen, Twente or Limburg. These are places where the environment is completely international. Maastricht University is of course in the Netherlands, but at 15 kilometers from Maastricht you are in Germany or Belgium, with often other languages. The university has something to do with that. I am not surprised that Maastricht University is the most international university in the Netherlands. But the same goes for Twente, where I was the other day. At the University of Twente and the Saxion University of Applied Sciences, many German students are studying, even though they are broadening it more and more to the rest of the world. Often it is also the students who will serve the labour market in Twente afterwards. So we do not need to see that as a problem. It is a very logical consequence of the fact that we have open borders in Europe and that Dutch people can work in Germany and Germans in the Netherlands.
ParlaMint-NL_2019-12-11-tweedekamer-7.u8	In conclusion, Mr Futselaar.
ParlaMint-NL_2019-12-11-tweedekamer-7.u9	A debate on what you call 'a corner' and not 'a corner' will be held again.
ParlaMint-NL_2019-12-11-tweedekamer-7.u10	Corner of Holland, that's one of those crazy places.
ParlaMint-NL_2019-12-11-tweedekamer-7.u11	Let's get to the more central point. Look, it's known that students from within the EEA in particular, in practice, we're talking mainly about Germans, because that's the vast group of people going back to their country relatively often. In fact, the percentage of people who are not staying here is rising at the moment. Doesn't Mr Paternotte see a problem, even when it comes to the funding issue underneath it, with the large quantities of German students in what I call the eastern part of the country?
ParlaMint-NL_2019-12-11-tweedekamer-7.u12	One of the reasons for this law is that at some point we saw that the situation arose that there was a numerus fixus in Germany and that the students then went to the Netherlands to escape that numerus fixus. As a result, some studies, in addition to Dutch students, were followed for two-thirds by German students. There remain relatively few of these in the Netherlands. Of course, you want more guidance on that and the assurance that the choice to offer that course in English also has added value. That is why I have a positive basic position on this law. So yes, I see that too, but at the same time I think we have to find out that most students ultimately earn money. The CPB has done a fantastic job: an MBO student from Europe will get us €5,000. This amounts to €17,000 for a wo student, and even more for students from outside Europe. So if you are talking about the question of financing, the internationalisation of the Dutch taxpayer, to name but a few, will ultimately produce net money.
ParlaMint-NL_2019-12-11-tweedekamer-7.u13	Thank you. A question from Mr Van der Molen. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-7.u14	Mr Paternotte spoke of German students trying to avoid a German numerus fixus by studying here. I could not fully understand from Mr Paternotte's answer whether he thinks that is a good thing or not. I believe that this is also a lack of international coordination. How does Mr Paternotte look at that explicitly?
ParlaMint-NL_2019-12-11-tweedekamer-7.u15	I am in favour of more international tuning, but I think this is one of the reasons why it is good that there is indeed a steering tool to be able to differentiate between Dutch-language and English-language tracks in terms of fixus. This also makes it possible for you to be more focused in situations like this, because we do not want to jeopardise accessibility for Dutch students. That's what we stand for. But a situation in which a two-thirds course consists of German students and the motivation is very often the German numerus fixus is a situation that is not desirable. I think it's an incident. It is also good that you see in Groningen, which is what matters in this case, that this situation is now much less. But in itself this is not a desirable situation.
ParlaMint-NL_2019-12-11-tweedekamer-7.u16	I agree with Mr Paternotte that it is not always positive. We have seen in Groningen how a city can be robbed by a huge influx and struggle with housing. If I hear Mr Paternotte now saying that he wants to steer by numbers, why did D66 vote against the motion of VVD and CDA last week calling on the Minister to set up more guidance on this student entry? 'Cause at least those two things don't fit in my head.
ParlaMint-NL_2019-12-11-tweedekamer-7.u17	I am not saying at all that I advocate more tools to steer on student numbers. I say that I point to an instrument that would create this law, which we are discussing today, namely that you can differentiate between Dutch and English tracks with respect to the fixus. If you needed a motion last week to get the law that was already there at the time, then I think we're going to have two things side by side.
ParlaMint-NL_2019-12-11-tweedekamer-7.u18	At that point, because I also notice some noise. Mr Paternotte does say that he considers more guidance and therefore more certainty for institutions to be important and that he therefore has a positive basis for this legislative proposal. There are parties that say you should do more about it. Those parties say that because institutions, education itself, indicate that they do not have sufficient instruments to deal with this great pressure from abroad. They say: we would like to have the space to make our assessment, precisely in order to ensure the capacity, the workload and the quality and not to push Dutch students away. Looking at this proposal, do you agree with me that the institutions simply have a point on these points and that we should help them even more to get their hands on instruments?
ParlaMint-NL_2019-12-11-tweedekamer-7.u19	In my view, this is why many institutions are quite positive about the legislative proposal we are discussing today. I recognize that. At the same time, there will be points on which I do not always agree with the institutions, for example on accessibility. I'll deal with that later. But I believe that this also applies to proposals that you are going to make here today. Not all institutions will fully agree with that. I read in the paper this morning that you said that psychologists are no use to us. You wrote in the newspaper earlier: "Why do we allow German psychology students or Chinese law students to do this? Because it doesn't do us much good." I have visited many institutions and they say: that makes the question of why students are welcome here very small. That would only be to directly serve our labour market today. We also know that in 20 years' time there will be a lot of jobs that we do not even know yet. We know that as a country, with The Hague as an international city of peace and justice, we have a great legal tradition. I can add a number of examples, such as work and organizational psychologists who work at large companies or at a forensic psychologist from Maastricht, a Chinese who now works in Dutch addiction care, or a German schedule therapist who now works in a TBs clinic in the Netherlands. Those are psychologists that we do need.
ParlaMint-NL_2019-12-11-tweedekamer-7.u20	Thank you. In conclusion, Mr Wiersma.
ParlaMint-NL_2019-12-11-tweedekamer-7.u21	A long answer to the clear question: are you going to stand next to the institutions to give them more control? So the answer to that is no. You say the bill is enough. They're asking for more, but you don't want to offer any more. That's right. I mentioned psychology. That's right. I think 6,000 German psychologists in the Netherlands follow that training. There's a lot of them. They're just paying our tuition. That is what we agreed on in Europe. The rest of you pay the government. Those students go and masse back. I think that we in Europe should think about this and make arrangements to do it more fairly. Does D66 agree with us?
ParlaMint-NL_2019-12-11-tweedekamer-7.u22	It just doesn't make sense what Mr Wiersma says. The CPB showed that last summer. European students ultimately give us money. That's not so crazy either, because they're all people who didn't go to elementary school and high school here. They did not have child benefit and childcare allowance. They often enter the labour market here and then pay taxes. You say every time we don't need those psychologists and we have too many of them. You also often use the example of rights. This will put the whole alpha-gamma side of science away as a place we don't need international students for. Of course, there have been situations where the reason for coming here was not right. I just mentioned Groningen. I think those are incidents. I think it is good to say that this is a country that really wants to attract talent from the outside.
ParlaMint-NL_2019-12-11-tweedekamer-7.u23	Thank you. I see there's some questioning being looked at. Interrupts go in two. It is a bill that is planned for the whole day, but there are also long speaking time. I would therefore ask that interruptions be kept brief and concise. The same applies, of course, to the answers. I see Mr Van der Molen again. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-7.u24	Just following on from your comment. That was my question. You're right to try to stay within the time frame. However, there must be ample opportunity for interruptions to take place, because this debate follows a very long period of preparation. But I've heard your comments and I'll stick to them.
ParlaMint-NL_2019-12-11-tweedekamer-7.u25	Thank you. I am not trying to limit the interruptions, but that means that they must be brief and concise. Mr Paternotte continued his speech.
