Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2291	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2293	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2294	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2295	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ZrnoBranko	Zrno, Branko	M	1948	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2296	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2297	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	ČoloAlma	Čolo, Alma	F	1961	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2298	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2299	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2300	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2302	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2303	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2305	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2306	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2308	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2309	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2310	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2311	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2314	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2008-06-17-0	ParlaMint-BA_2008-06-17-0.u2315	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 17n	2008-06-17	Unicameralism	5. mandat	-	Sjednica 17n	2008-06-17	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
