Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2694	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2696	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	ŠarabaSlobodan	Šaraba, Slobodan	M	1960	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2697	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2698	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ZrnoBranko	Zrno, Branko	M	1948	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2699	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2700	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2701	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2702	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Regular	MP	notMinister	HDZ_1990	Hrvatska demokratska zajednica 1991	-	Centre-right	RajićBožo	Rajić, Božo	M	1943	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2703	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2704	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	JovićIvoMiro	Jović, Ivo Miro	M	1950	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2705	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2706	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	IbrahimpašićAdem	Ibrahimpašić, Adem	M	1942	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2707	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2708	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2008-07-30-0	ParlaMint-BA_2008-07-30-0.u2709	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 20	2008-07-30	Unicameralism	5. mandat	-	Sjednica 20	2008-07-30	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
