Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1487	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1488	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1489	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1490	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1491	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1493	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1494	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1496	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1497	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1499	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	FilipovićIlija	Filipović, Ilija	M	1949	
ParlaMint-BA-en_2008-02-25-0	ParlaMint-BA_2008-02-25-0.u1500	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 11n	2008-02-25	Unicameralism	5. mandat	-	Sjednica 11n	2008-02-25	-	Reference	English	Chairperson	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	IvanićMladen	Ivanić, Mladen	M	1958	
