Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621130022	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621130058	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621130124	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Regular	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	EngelbrechtBenny	Engelbrecht, Benny	M	1970	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621130820	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621130837	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621140018	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Coalition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621140157	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621140329	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621140421	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621140439	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-21-20182-M2	ParlaMint-DK_20190621140520	Hansard of the session of the Danish Parliament (Folketinget), 20182, M2 (2019-06-21), preliminary version	2019-06-21	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M2	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
