Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001115934	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001120124	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001120140	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001120214	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	HaarderBertel	Haarder, Bertel	M	1944	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001120252	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001120350	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001120429	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001120451	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Regular	MP	Minister	S	Socialdemokratiet	Coalition	Centre-left	FrederiksenMette	Frederiksen, Mette	F	1977	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001124241	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001124247	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-10-01-20191-M1	ParlaMint-DK_20191001124303	Hansard of the session of the Danish Parliament (Folketinget), 20191, M1 (2019-10-01), final version	2019-10-01	Unicameralism	Regeringen Mette Frederiksen	20191	M1	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
