Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130034	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130043	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130058	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130233	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130251	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130330	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130342	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre-right	LauritzenKarsten	Lauritzen, Karsten	M	1983	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130437	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130454	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Regular	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	PetersenJesper	Petersen, Jesper	M	1981	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130520	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130521	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre-right	LauritzenKarsten	Lauritzen, Karsten	M	1983	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130544	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130551	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Regular	MP	notMinister	ALT	Alternativet	Opposition	Centre to centre-left	SandbækUlla	Sandbæk, Ulla	F	1943	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130559	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130618	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Regular	MP	notMinister	EL	Enhedslisten	Opposition	Left to far-left	SøndergaardSøren	Søndergaard, Søren	M	1955	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130831	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130834	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130926	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507130943	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre-right	RasmussenLarsLøkke	Rasmussen, Lars Løkke	M	1964	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507131924	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
ParlaMint-DK-en_2019-05-07-20181-M93	ParlaMint-DK_20190507131941	Hansard of the session of the Danish Parliament (Folketinget), 20181, M93 (2019-05-07), preliminary version	2019-05-07	Unicameralism	Regeringen Lars Løkke Rasmussen III	20181	M93	-	-	Reference	English	Chairperson	MP	notMinister	DF	Dansk Folkeparti	-	Right	KjærsgaardPia	Kjærsgaard, Pia	F	1947	
