ParlaMint-HR_2014-07-02-0.u77771	I swear.
ParlaMint-HR_2014-07-02-0.u77772	Congratulations, colleague. I want you to contribute to the work of the Croatian Parliament in achieving the interests of the citizens of the Republic of Croatia and legal persons in Croatia. And now we're going to move on to a fixed agenda. We agreed to have a joint discussion: A) Proposal for an annual report on the implementation of the State Budget of the Republic of Croatia for 2013, B) Proposal for an annual report on the implementation of the fiscal rules for 2013, - Report of the State Office for Auditing the annual reports on the implementation of the national budget of the Republic of Croatia for 2013. We also agreed to work on clubs for 20 minutes for both reports. ... We can raise to 12 minutes, individual debate. [[The intruder doesn't understand.]] Can we get up? Okay. Can you do that technically? All right, all right. The government therefore submitted a report on the basis of Article 110 of the Treaty on the Functioning of the European Union. Budget law. In the event of a discussion of the annual report, Article 176 shall apply. Rules of Procedure of the Croatian Parliament. The debate was conducted by the Committee on Finance and the State Budget, the Committee on Regional Development and EU Funds, the Committee on Environment and Nature, the Committee on Croatians outside the Republic of Croatia. You received the reports at the session. Does the proposing representative want to further explain the proposal? Yeah. Minister of Finance Boris Lalovec. Here's a colleague of Lalovac's.
ParlaMint-HR_2014-07-02-0.u82000	Thank you very much. Mr. President, ladies and gentlemen of the Parliament. Today we are facing the Annual Implementation of the 2013 budget and before I begin to explain the achievement of the 2013 budget, I would briefly say the main characteristics of this implementation. Especially given the difficult economic situation and the five-year recession, this also marked the state of public finances. However, regardless of the state of public finances, the Government of the Republic of Croatia has decided to maintain certain social status, unfortunately the most vulnerable citizens, and to increase certain transfers so that in the overall context, we need to look at this implementation of the budget. First of all, we must say that social benefits and transfers to the most vulnerable categories of society have been retained and increased. Also another feature of the 2013 budget was the retention and increase of pensions, i.e. Retirement indexation continued. As the third main feature that marked the 2013 budget is the implementation of accumulated obligations towards health institutions. And the other two no less important are certainly a number of incentives for businesses to preserve jobs through tax relief, primarily through a reduction in gross labour prices and non-payment of income tax if it is for investment. It is also one of the important characteristics in not only budgetary policy, but also the introduction of order into the field of gray economy in order to promote competitiveness and fair, fair games in the market. This is some five main characteristics, i.e. those that have affected both the revenue and the expenditure side of the budget. So I would start, so as far as income is concerned, the total revenues of the state budget in 2013 have been achieved at € 108.8 billion, which is one billion less than in 2012. In the income structure, the most significant item is income from VAT amounting to 40.2 billion kuna or 37.1%) of all revenues. The VAT in 2013 was realised at less than 1% or somewhere around 400 million kuna. The second most significant revenue in the budget is the contributions that have been realised in the amount of 37.1 billion kuna or about 34.2% of all revenues. And they as well as VAT were achieved in less than 700 million kuna or 1.8% compared to last year. When I look at these two most significant categories, or sources of budget revenue, they've dropped 1.1 billion kuna, but we're asking why. First of all, this is primarily due to the economic boost seen through a reduction in health insurance contributions by two index points or by 13% discharge of gross labour prices. Where we said that some annual effect of this was slightly more than 2 billion kuna and changes in VAT policy primarily due to a reduction in VAT to catering services from 25% to 13%. The significant impact on the economic recovery, which certainly affected both the VAT side and the income side, was related to small entrepreneurship in 2013 and is seen through an increase of VAT entry thresholds from 80 to 230 thousand kuna or around 30,000 666 euros. What were we trying to do with this? With this we wanted to achieve that small businessmen, small businessmen, do not actually open their turns in neighbouring countries where they have, which until then had a lower threshold for entering the VAT system. And I think with this measure we certainly helped the small economy. If you see that in Bosnia and Herzegovina you have 25 thousand and 600 euros, in Slovenia about 25 thousand, in Italy 30, Montenegro 18, Hungary 17, Macedonia 32 and Serbia 35 you see that the Republic of Croatia is with this measure to encourage the system that is not within the VAT system where about 31 thousand euros has certainly affected the business of small entrepreneurs. This shows that about 26 thousand and 700 thousand entrepreneurs have come out of the VAT system because of this measure. This measure also partly affected smaller VAT. Also due to a number of changes primarily due to the entry into the single market, there has been a change in the calculation and payment of VAT on imports of goods. That is, the same is no longer done immediately on imports of goods but represents an accounting category at the end of the month. This application had a negative impact of VAT on the budget somewhere around 1.6 billion kuna, which means that the money remained liquidally in the economy. This is a permanent liquid positive effect for the economy. You've had to... on each import and unfortunately we are an extremely import-oriented country when importing immediately pay VAT and then you actually brought it back from the state. [[The speaker doesn't understand.]] This liquidity measure has made it easier for entrepreneurs to operate on the Croatian market to adapt to the single system on the European Union market. Also by entering the European Union, the Government of the Republic of Croatia has made it possible to use the so-called reverse charge at VAT for builders, i.e. the mutual transfer of the tax liability to the recipient. This is an extremely important measure for small craftsmen and small entrepreneurs because they could actually use their pre-taxes in large deliveries. You know that one of the largest parts of the liquidity that prevailed in the construction sector was simply not paying large to small ones. And this is a strong measure that has helped small builders, small craftsmen to collect their works with large builders. And we think that this measure is liquid, it's liquid, and it amounts to somewhere our estimates are from 4 to 5 billion kuna a year. This is an incentive measure for entrepreneurs and, therefore, the Government of the Republic of Croatia also affected the change in the VAT system in 2013 in order to allow them to use this pre-tax from large taxpayers. When we talk about other excise revenues, 10.8% of income or 11.6 billion kuna and tax profits are certainly about 5.9% of all revenue or 6.3 billion kuna. A significant fall in the taxation of profits is primarily due to the amendment of the legal rules i.e. due to tax relief from reinvested profits. This resulted in a direct decrease in profit tax in 2013 by 1.3 billion kuna or 17%. What did we want to achieve here, and what happened in the Croatian economy with this measure of incentives to entrepreneurship? The measure to introduce a tax relief for reinvested profits, i.e. It is not paid if it is used to increase core capital has greatly improved the competitiveness and capitalisation of the Croatian economy, thus facilitating the business of Croatian entrepreneurs on both domestic and demanding European markets. The annual effect of this measure was our estimates from 1.5 billion to 2 billion kuna. This measure was necessary if we know that the capitalisation of companies in Croatia has been constantly falling since 2001. It's constantly falling and that's one of the reasons why we don't have economic growth. In 2001, the share of capital in Croatian companies was 55%; the pre-crisis 2007 capitalisation of Croatian companies was 50% in 2012 the total capital of Croatian companies was 34% or somewhere around 360 billion kuna. What happened by introducing this incentive measure for entrepreneurs? In 2013, this reduction in profit tax was used by 1873 companies, which means that these companies decided to increase their core capital totalling 5.7 billion kuna, which significantly increased their financial structure in the coming years. Although a very small number of taxpayers have opted for reinvested profits, or when we see that they are 1.3% in the total structure, these bonds employ a very large number of workers. Those who used reinvested profits employ over 99,000 workers, means 99,000 workers working in these companies that used this tax relief as we finally felt on the budget, but this was an identical goal and measure by the Government of the Republic of Croatia to preserve jobs in these companies. When we look at industry means about 26,200 workers in trade in these companies, the processing industry, 25 000, tourism about 6,500 and construction about 6,300, it means in those industries that we wanted to encourage so that we could ultimately have positive economic growth. The above-mentioned incentive measure for the economy has shown a positive result as seen in the annual financial reports of entrepreneurs for 2013. The core capital of entrepreneurs in 2013 increased by 4.1% and 12.5 billion kuna respectively, from a total economy of 302 to 314 billion kuna. This part of the capital increase raised the total capitalisation of Croatian companies by 1 percentage point. It means in 2013 we are raising the capital of companies by this measure. The largest increase in capital was made, which is good, in small businesses and by 7.8 billion kuna, which means 63% of the increase in total capitalisation was made in 2013. Capitalisation oscillates in terms of size of entrepreneurs. Although small entrepreneurs have shown the largest growth in capital, it is still not enough to launch the economy by, because it is still a high financial leverage, a very high sensitivity and a limit on bank loans. Small entrepreneurs still have low 19% of the capital in their balance sheets. Medium-sized enterprises are at one 31%, while large ones have a satisfactory 46%. This measure had not only an incentive to increase capital but also increased the level of investment in new long-term assets. According to FINA's annual financial reports, investments have increased among these companies that have used reinvested profits by 14% and this is the first time in fact since the crisis year such a strong boost in investment growth or by 4.6 billion kuna, has increased from 32.9 to 37.5 billion kuna. They contributed most to this boost again by small entrepreneurs by 29%, i.e. 2.8 billion kuna. The averages increased their investment by 2%, while large ones increased investment by about 9%. The largest number of tax reliefs introduced by the Government during 2012, 2013 is seen through improved business of entrepreneurs. Again, the same aggregated data show that the revenues in 2013 were good and encouraging measures that I say felt on the side of the budget but were targeted and that we wanted to help and helped the Croatian economy which in the fifth year of recession so that the positive effects were seen slightly and increased revenues. From 602 billion kuna to 612 billion kuna, the total revenues of 101 000 entrepreneurs in the Republic of Croatia have been increased. In 2013, business on the single customs market also contributed to the reduction of customs revenues in the state budget. The effect, only in 2013 was lower revenue in the state budget of 650 million kuna, but that money remained in the economy. The annual effect is 1.3 billion kuna so that all effects with reinvested profits and with contributions both with customs and with this part of VAT will certainly be seen and seen in 2014. These are the positive effects of one part of the entry of the Republic of Croatia into the European Union and other strong government measures within two years of continuing the recession, however, at the heart of the state budget's revenues to encourage entrepreneurship. You know we've suspended excise duty on vessels where certain small ships from 5 to 10 million kuna have also been helped. Also in 2013 it continued with a measure aimed at strengthening fiscal discipline and reducing certain tax non-discipline. You know that one by one of my best projects in this 23 years is the introduction of a fiscalization where, let's say, 80,000 entrepreneurs have applied. Those figures that I'm about to give you here are the effects of fiscalization asking each other what we really are and whether we've had fair and correct business all these years. Because these figures that show the introduction of order and introduction not so much to collect certain revenues, but fair and fair matches on our market, show that in the activities of catering small legal and physical persons in 2013 reported a total of 2.6 billion kuna or 40% more taxable deliveries than in 2012. Of these, natural persons reported 55% more traffic, while small legal entities reported 30% more taxed services. When we talk about hospitality, when we talk about trade, the total increase in taxed services is 14% or 5.2 billion kuna, of which natural persons show an increase of 28%, while small legal persons report 11.5% or have reported higher taxable services of $3.7 billion. Lawyers reported an increase in tax services by 4.8 or 6.7 million kuna more than in 2013. What is also important in 2013 has passed 2.2 billion accounts through chargers. So 2.2 billion bills went through the chargers, of which 1.3 billion went through the trade, and what's interesting through the catering went through 377 million accounts, but behind that is very close to the processing industry 348 million accounts, so we're asking ourselves whether the processing industry hasn't worked or everyone still in the catering isn't issuing accounts. The catering and processing industry in cash business is about 350, 370, 340 million bills. From the annual income tax application, so this data was processed, so based on 2013. It is also seen an increased average traffic in the restaurant craftsman, the daily average traffic increased from 620 to 1128 kuna. So the daily average catering turnover increased by 82%. Daily average income increased from 100 to 210 kuna, meaning increase over 100%. The daily average turnover increased from 13% from 734 to 827 kuna, while the daily average income increased from 85 to 95 kuna. The average registered income at Croatia level from independent craftsmen and free professions in 2013 has also increased by 35% compared to 2012. The largest increase in average income in natural persons was seen in the Sibenik-Knin County area of 83%, Dubrovnik 64, Istria 61, Zadar 52, Primorje-goranske 50, Split-Dalmatia 33, Zagreb City 30. These all the data that we have to tell us he line data raises one fundamental question whether we have had a fair and fair match all these years on the Croatian market among all Croatian entrepreneurs. This is a fundamental issue, not just looking at the revenue and expenditure side of the budget. If you look at this data that says that the increase in traffic is not only three, five, ten percent but that we're talking about an increase of one hundred percent, eighty percent. The question arises as to how those who paid their taxes neatly were in a fundamental, fair match at the competition. Also what is recorded, and this certainly means increasing local income. These are local taxes and in this part of such measures by the Government of the Republic of Croatia, the effects of fiscalisation increased, directly increased local revenues. What you can see through local incomes and their increase is certainly an increase in consumption tax. You know he's a direct local tax. This increase in 2013 was 48%, i.e. An increase from 95 to 141 million kuna. So this is one fundamental change where the Government of the Republic of Croatia is, with all the encouraging measures that we have given to the economy and where we have said that we will also reduce a certain part of the VAT to the hospitality, a huge increase in traffic is being seen. And then the question of certain institutions in this country is raised primarily by those who measure spending in the Republic of Croatia, who say that spending in Croatia is falling. The consumption in Croatia falls according to tax returns and according to the data we exchange with the Tax Administration shows you that these are jumps of amazing 30, 50 and 100%. We ask the question is there any other measuring institutions that speak and what GDP measures, which measure annual consumption and in fact in Croatia are we actually in that part to turn this process around whether to use new technologies and these new measures that we have introduced. When we talk about fiscalization, and there's been a lot of rumors here that it's not going to work, that Internet connections are not working. 2.2 billion kuna actually went by. In fact, here we were belittled that this government would not succeed in carrying out this project because it failed the project in our neighbouring countries. My answer to you was and you can also look at the stenograms that Croatia is the best in the region and that Croatia will make this project. What actually happens with us with the effects of fiscalization is now a Croatian export product. I have next week and talks with the Czech Minister of Finance, Slovenian, Hungarian. Everyone wants to see what Croatia has done in the field of fiscalisation and control of business with cash, so that we do not talk about neighbouring countries. We will not talk about Bosnia and Herzegovina, Serbia and Macedonia where we already have contracts, but we are talking about Western countries where it has proved to be actually Croatian brains but certainly the government's determination to implement measures against the fight against the gray economy has certainly proved successful. And this is also one of the main issues that should be highlighted in the 2013 budget. Also measures on the spending side are what I said the first three categories were to, not to reduce certain transfers towards social benefits and pensions but also to increase. Despite heavy economic activity, if you look at structures and pensions and as far as social transfers are concerned, certain increases have been made, so I will now just short-term expenditure. So the spending party was made at an amount of $125.1 billion and it was 5.2 billion higher in 2012. The implementation of expenditure in 2013 is primarily by increasing the payment of the contribution of the Republic of Croatia to the European Union of 1.8 billion kuna, and the settlement of health institutions' obligations of 3.3 billion kuna. When looking at the cost structure, the biggest expenditures are certainly compensation to citizens and households and they account for a total of 53.8% of all expenditures. This primarily refers to pensions and pension incomes made in 2013 amounting to HRK 36.1 billion, i.e. about a little less than one billion kuna, pensions and pension incomes increased compared to 2012 which was primarily government policy to continue with two indexations made in April and September. When we look at old-age family pensions, 2.4% more pensions have been allocated while 5 billion kuna or 3.9% more than in 2012. Health leaves amounted to 21.6 billion kuna during 2013. It is primarily under the influence of the law, actually, where we said we had to settle certain debts in health care and they amount to 3.3 billion kuna. What have the 3.3 billion kunas been spent on? What someone likes to say is that it's a crazy waste of money. It's not. Health care is our most important system with a pension system and obligations have to be met in order not to deliver certain medicines and that is to say, not to further reproduce this to lower services to citizens. The maximum amount of 1.7 billion kuna refers to the payment of prescription medicines according to 445 pharmacies. The amount of HRK 1.4 billion was paid for stationary and health care according to 170 different suppliers of KBCs and KBs, and the payment of 115 million kuna to 434 pharmacies for the debts of orthopaedic aids and the debt of 71 million kuna to various legal and physical persons to the amount of the due debt for sickness benefits. 36 million kunas were paid to the Croatian Institute for Transfusion Medicine. Also, maternity benefits, child benefits, benefits for unemployed and active employment policies during 2013 have been set aside by 5.4 billion kuna, which is 1.7% more than in 2012. Also, employee expenses, so here we were talking about one part of the expenditure that was either detained or partially growing. Costs for employees in 2013 amounted to 1.6 billion kuna and what the government did with its measures reduced employee costs by 727 million kuna or 3.2%. First of all, by reducing the coefficients by 3%, by eliminating certain Christmases and regressions and by introducing a centralised salary account. Also, one of the great projects of this government, you know that for 10 years we haven't been able to list how many employees we have in public, list how many people we have, not that... Please! [[The intruder doesn't understand.]] Not to make a central account of wages through the system. In early 2013, it started a salary accounting project, with 104 thousand employees, or 917 institutions in 2013. Material expenditures are also reduced, they are around 8 billion kuna or 2.8% lower in 2012. Both employees and expenditures on employees and material expenditures were actually reduced in that part. By estimating all these actual figures, the primary reduction in a certain part of the expenditure is obtained that in fact the budget, the central budget of the state, was only central, about 16 billion kuna, which we think is a high deficit. However, given the government's policies that we have said that we are in a 5-year crisis, that we are in a deep recession, the government has decided with very clear policies to help entrepreneurs, to introduce a fair and correct match to the market and not to touch in this part of the 5-year crisis of social and endangered categories, not to touch the pensioners, but to increase at least in this part to some of these difficult economic conditions actually to withstand this part of the recession, so that we can come back later. Because when companies return and the revenues return they will certainly have an impact on the expenditure side of the budget. Thank you.
ParlaMint-HR_2014-07-02-0.u82001	Thank you very much. Report by the State Audit Office on the audit carried out. ... And I'm sorry, I'm sorry. [[The intruder doesn't understand.]] Let's go to the replicas, I agree. Replications first. ... Then don't yell from the bench, I'd already do it. [[The intruder doesn't understand.]] Thank you very much. Therefore, the State Audit Office’s report on the annual report on the implementation of the National Budget of the Republic of Croatia for 2013. The report shall be submitted to the National Audit Office of the Republic of Croatia in accordance with Article 6. The State Audit Office Act. The materials of this report, i.e. the state office, are published on the official pages of the Croatian Parliament. The report was discussed by the Committee on Finance and the State Budget. Does a representative of the state office want to further explain? Yeah. On behalf of the promoter, the Chief State Auditor, the Honorable Ivan Klešić.
ParlaMint-HR_2014-07-02-0.u82002	Dear Mr. President of the Croatian Parliament, esteemed MPs and MPs. The report on the annual report has been audited... [[The intruder doesn't understand.]]
ParlaMint-HR_2014-07-02-0.u82003	So, if we have defined the time for exposure on behalf of clubs and individually, then the same goes for our Rules of Procedure. So, no matter how many points we unite has the right 30 minutes. We can agree that since there are four minutes left of Minister Lalovec to say the State Audit Office gets 10 minutes, but we stick to our Rules of Procedure. But he can't have 30 minutes.
ParlaMint-HR_2014-07-02-0.u82004	Your grace will be respected by the Rules of Procedure. Here you go, pal.
ParlaMint-HR_2014-07-02-0.u82005	So before you is the report on the annual report on the implementation of the National Budget of the Republic of Croatia for 2013. The obligation of this revision is prescribed by Article 6. The State Audit Office Act. The audit has been planned and carried out with the aim of providing reasonable assurance that the Annual Report on the implementation of the State budget of the Republic of Croatia for 2013 has been drawn up in accordance with accounting rules and that the provisions of the law and other rules governing budgetary rules have been applied consistently. For the Annual Report on the implementation of the State Budget of the Republic of Croatia for 2013, the State Audit Office expressed its conditional opinion. This opinion, therefore conditional, was influenced by the following facts, which is that the data in the main book of the state budget are not complete because no data on the claim for taxes, contributions and specific taxes and data on the value of state assets have been provided. In addition, certain claims for taxes and other public charges are written off by applying the provisions of certain laws and regulations, reprogrammed and charged with real estate, shares and shares or the changeover of mutual claims, which is also not recorded in the accounts and financial reports, and have had an impact on the revenues, expenditures and assets of the state budget. Furthermore, the value of new financial guarantees is higher than the amount prescribed by the Law on the implementation of the State budget of the Republic of Croatia for 2013. In addition, budget resources financed the expenditures that could be predicted or implemented on a continuous basis, so they could and should have been planned. To remove all these irregularities that I have listed here as well as the failure of the State Audit Office has given orders and recommendations that must be followed. Thank you very much.
ParlaMint-HR_2014-07-02-0.u82006	Thank you, too. So we haven't proportionally used the whole extension time. Now we're going to the replicas. First of all, the replicas of the respected Minister Boris Lalovec. Honorable representative Ivan Shuker, First Replication.
ParlaMint-HR_2014-07-02-0.u82007	Thank you very much. Mr. Minister, after a very self-satisfaction on budget implementation, I am openly asking you here in this high house what is the deficit of the state budget? Is it 16 200 or 18 500? Why? Because in December we adopted the state budget and see the devil in 15 days the expenditures are lower by a billion and a sixth. The Ministry of Science does not pay for overtime and transport, and suddenly there is an surplus of 35 million on its budget. The second thing, if we combine certain findings of state audits, then you will see that the income of HANDA by nothing could have been the revenue of the state budget in 2013. Thus, this 600 million raises the budget. Also certain guarantees given to HZ instead of subsidies that had come from the budget, and these guarantees will tomorrow be charged from the budget raise us to a deficit somewhere between 18.5, 19 billion and such a real deficit of the state budget in 2013. It's obvious and cannot stand Mr. Minister's original plans and current plan. There is no original and ongoing plan, we have the last adopted state budget in December 2013 and that is what is relevant to us. And here in the original plan it just doesn't exist. So there's a plan and there's an execution. And what it means is the original and current plan that fits completely, I don't know. So, and this paper clearly says that there was a setup to make the deficit 16 billion and 200, after all, you yourself said in one statement in the 4th month that the problem of increasing expenditure in 2014 was expenditure that had to be paid from 2013, that's your statement.
ParlaMint-HR_2014-07-02-0.u82008	The reply to the replica, the respected Minister Boris Lalovec.
