ParlaMint-HR_2014-01-23-0.u64071	[[CONTINUE AFTER MEETING IN 11.50 HOURS]] On behalf of Croatian Labourist fellow Tušak, please.
ParlaMint-HR_2014-01-23-0.u64072	Thank you, Vice President of the Croatian Parliament, colleagues and colleagues. Two days ago, January 21st was the day of the social partnership declared by this Croatian Parliament. And two days later, at today's meeting of the Government of the Republic of Croatia, the agenda item is the Labour Act, without prior agreement with the social partners. It's the barbaric act of this government that the workers of the last hole were playing. In the materials for the government meeting, the government had no courage to publish a draft amendment or the Labour Act, so the question arises whether it is a secret document or a public not to know what it says? And in its hastyness, the same government has put in place one document of the labour law to establish a proposal for protection of work. It's the ultimate clamper of this government. Yesterday, the prime minister called several times in his address on the opposition to make their proposals. Well, Croatian Labourists therefore suggest that without a social partnership agreement, this law is not put into practice, and we suggest that the President and the Croatian Parliament's Presidency not put the Labour Act on the agenda. Because unions are in the strike process among their members. Otherwise, it would be an act and precedent that was not imagined in certain democratic countries, especially knowing that in 2003 there was a change in the Labour Act when workers' rights were destroyed. And at the beginning of this term and of this government or more specifically on 20.02.2012, the prime minister here spoke quite differently here for this speaker in this House. And that I do not convince what he was saying I will read in addressing this Parliament and the citizens of Croatia what he said then. "The labour law is a deep social agreement. 10 and more years ago, this government led by the SDP and the coalition government in which Prime Minister Ivica Racan amended the Labour Act and in negotiations with international financial institutions and was criticised. Who knows if for a reason? History will determine whether it is a neoliberal law issued by workers. And so it has been 10 years and more, today again we see that from the ranks of neoliberal politicians, economists, bankers come again requests, although a little undefined, that labour law is re-changed and workers' rights are shrinking. Look, we didn't announce it in our election program, we don't talk about it. If there's anything concrete to quote, everyone listen. We don't think about it at this point, I'll say more, we don't want to think about it at all because I stress the Labour Act is a social agreement, it's not just a letter on paper." That's what the Prime Minister of this government said. I call on him this time if he continues not to lie to Croatian citizens like this, not to lie to this Assembly and parliamentary representatives in it. Let him resign, or let him start telling the truth, and let him serve with concrete results. Thank you.
ParlaMint-HR_2014-01-23-0.u64073	Thank you, too. On behalf of the HDZ, Ivan Shuker. Here you go.
ParlaMint-HR_2014-01-23-0.u64074	Thank you very much. Well, colleagues and colleagues, Mr. Vice President of the Croatian Parliament, after yesterday's performance at the current afternoon, and today, man simply has to ask himself a question, and where did the social partnership go? Where did the GSV work go? I can't forget the spring of 2010. – the crisis, the whole world is shaking, the stock market has not given credit to anyone for months, and the government then decides that simply certain rights generated for years through collective contracts of state service employees, local self-government units and state-owned enterprises cannot be financed in such a way as to propose an amendment to the Labour Law that does not abolish any rights but simply to open new negotiations for collective agreements, new collective bargaining that will be adequate to the economic situation and financial power both state-owned and state budget. And unions, not agreeing with that, are using full legal and legitimate rights and organising a referendum. And no one's defending them. Who first came to sign their request for a referendum? The current Prime Minister, Mr. Milanovic, is the current Deputy Prime Minister who heads the major reform procedures of Mrs. Opacic. So they said they disagreed with the amendments to the Labour Act and that no one should touch workers' rights even though we have been hearing for months now about how someone signed some collective agreements and rights under collective agreements. Well, I'd very much like the Ministry of Science and Health to list all the collective agreements that have been signed and the additions to a collective contract signed over the past 20 years, so you'll see how many have been signed since 2004, so you'll see how old some are. But so much for consistency, so much for respecting your political views because if you were then firmly in the position of the union that someone can't change anything then the logical thing is that today at least you try to negotiate it with them. But it's not being agreed today, today there's a big crisis, today it's all falling apart. However, the only fact that we today have the biggest deficit in the history of the Croatian state and one can say this or that, but the deficit in 2013 and 2014 is solely the consequence of the left and right foreign policies of this government, which is the only consequence. There aren't any tails. But the government has neither courage nor desire nor wants to talk and negotiate with those to negotiate with. Frankly speaking, the Prime Minister said today, I hope to quote it correctly, you wanted reforms, and here they are to you. The question of whether these reforms that he is now offering are the consequences of his whim or NATO, or whether it is the result of elaborate reforms that have a clear objective and clearly knows what is being achieved with them, that these reforms have a clear objective and that the government knows clearly what it wants to achieve with these reforms, and not that it is the stubborn and whim of the Prime Minister and his associates then they would negotiate day and night with the social partners until they find a solution. So I can also give you a minimum wage question. The same thing has been negotiated for days and nights. It brought one height minimum wage and you know what happened from the economic branches that the labour-intense unions had already sent a message, it's all nice, but if we pay such a minimum wage, we'll all be out of a job because our companies can't pay it off, so even the unions weren't unreasonable at that point and they weren't aware of the situation. Therefore, everything can and ultimately must end with negotiations. However, when you push your hir, when your ego is above all else, when this country is not strong enough, strong enough to stand up to your ego, then we have the situation we have, we have the biggest deficit in the history of the Croatian state, we have 375 unemployed, we have a situation to capitalize our entry into the EU, we have made friends proven, friends we have practically people who no longer trust us, and all because of one great ego, one great leader, and I think it is something that simply offers Croatia nothing good.
ParlaMint-HR_2014-01-23-0.u64075	Thank you. On behalf of the HDSSB club Boro Grubisic, please.
ParlaMint-HR_2014-01-23-0.u64076	Thank you very much, Mr. Vice President of the Croatian Parliament, in 1885 Emil Zola, a French writer wrote his 13 novel, interesting 13 out of 20 how much he wrote and this novel is called Germinal and talks about relations in a mine in France. I am very concerned with the situation of today's and the new Labour Act that we have only indications of, therefore, that although we are convinced wrongly that the increase per week is only 48 with 40 hours etc., and there have been talks about 56 hours if you remember well a few months ago when Miranda Mrsic spoke about 56 working weeks in the Republic of Croatia. After that, after these statements, there was one silence, and about ten days ago in the media, there was a haranga of employers, bankers and others about not being able to secure Croatia's investment and prosperity because it was not an air conditioning, there was no new Labour Act that would allow them the flexibility of the workforce, the fluctuation of the workforce, and on that occasion, the minister said that Minister Mrsic had said that in the Republic of Croatia and praised the new jobs of 210 thousand for his mandate but did not say whether these jobs were indefinitely or only on a certain, occasional or temporary basis, so those who cut grass in municipalities over the summer work for ten, 15 days and he counted in the newly employed. So in Osijek-Baranja County, for last year's statistics, it says that 18 and a half thousand were newly employed and by then an average year, the average was around 11 thousand. So, I deny it to Minister Mrsic, that this new employment is indeed, that there is flexibility of the workforce and not only them but also employers and employers' association, so the flexibility of the labour force is increased but it does not help them, they are asking for more, it is the banking sector and the large capital sector that is still being sought, they are asking that workers become proletaries and this new labour law which is here I would almost secretly say to the government without agreeing with the social partners and which somehow out of spite or from what Schuker Hira said offended Prime Minister, so now you get... You asked for it, you got it. [[The speaker doesn't understand.]] His interpretation of it is as if he were avenged by Croatian workers, Croatian people and Croatian citizens. I guess we pissed him off here yesterday at the current morning when we talked about some things in the health care center, when an illegal work obligation was declared by Minister Ostojić, when shift work was introduced in hospitals that go to harm patients and then health care professionals write on posters of the health ministry this kind of thing advertised by the health minister that the new system is at work, new strength, new proletaries, and health workers write on it "lies", lies, writes lies nice. I took it off from a clinical hospital in Zagreb at the stake. Yes, the proletarians and once their elite, the representatives of these proletarians were you and the prime minister who came from the socialist, to say, I will not say internationals, but who pronounces himself a liberal politician. And where is she, "the proletarians are from the countries, unite"? So when workers announce a strike, on this particular issue of social labour laws, then you will take revenge on workers by introducing them before the strike of the new Labour Act. This is not how the Croatian Parliament goes, and if this proposal comes, I appeal, I invite all of you who once thought that you were their elite...... Upadica Batinić: Time./... to refuse such a new Labour Act that this Government will deliver today, not today but these days, here at the benches of the Croatian Parliament. Thank you very much.
ParlaMint-HR_2014-01-23-0.u64077	Thank you.
ParlaMint-HR_2014-01-23-0.u66339	Dear fellow MPs, respected colleagues of the Croatian Parliament, continue the plenary work of the Croatian Parliament according to the established agenda. It's 21st. Final proposal of the Law on the Market in Oil and Oil Products, emergency procedure, first and second reading, P.Z.E. No. 560 Proposer of the Law is Government of the Republic of Croatia. This Regulation shall enter into force on the twentieth day following The Rules of Procedure of the Croatian Parliament shall include the first and second readings, and the amendments may be submitted by the end of the debate in accordance with Article 197. Rules of Procedure of the Croatian Parliament. The debate was conducted by the Committee on Law, the Committee on Law, the Committee on Environmental Protection and Nature. You received reports from these working bodies at the session. Does the proposing representative want to further explain the proposal? Yeah. Deputy Minister of Economy Allen Liveric. Here you go.
ParlaMint-HR_2014-01-23-0.u66340	Thank you very much, Mr. President. Honorable parliamentary deputies and MPs. This law transposes the EU acquis in the field of energy, i.e. Directive 119/2009 of the EU Parliament and of the Council, which obliges Member States to maintain a minimum supply of crude oil and oil or petroleum products. In view of the implementation of the directive in question, the adoption of this law will create conditions for the safe and quality supply of the oil and petroleum products market in the Republic of Croatia based on market principles. In view of the opening of the market and the emergence of several energy operators on the oil products market, the conditions for repealing the rules on the establishment of the most retail price of petroleum products and the rules on the determination of the price of ingested oil gas have been met and price formation on the market of petroleum products is freely regulated and regulated on market principles. In this context, long-term positive effects such as increased retail chain investment are expected. This law also lays down mechanisms of action in cases of exceptional distortions in the supply of oil and petroleum products in terms of the determination of content as well as the implementation of the intervention plan itself, as well as the establishment of an expert commission to monitor the regular supply of oil and oil products markets. Furthermore, this law regulates and clarifys the obligations to form operational supplies of petroleum products, and the obligation to form mandatory supplies of oil and petroleum products, to limit availability and to strengthen control of mandatory supplies of oil and petroleum products, to operate in connection with the obligations of oil and petroleum products, and all in order to increase security in supply to the Republic of Croatia. It is important to note, as one of the relevant papers of this law, that for the first time it explicitly states or defines energy activities in the field of oil and petroleum products, as well as how the authorisation is to be granted and the exceptions for the performance of certain energy activities in this particular area. This law regulates the placing of biofuels on the oil and petroleum products market in order to achieve the national objective of placing biofuels on the market. In addition, where prescribed technical requirements for fuel quality are met. This law regulates the activity and subject-matter of the Croatian Agency for Mandatory Oil and Oil Products. Namely, with the rebalancing of the state budget in May last year, HANDA was included in the budget of the Ministry of Economy as a budgetary user who runs his business through the State Treasury. In view of the above, it was necessary to lay down this law the procedure for the establishment of the Agency's case in relation to the significantly modified structure and the part-round jurisdiction of the same in order to deal with the oil and oil reserves as a budgetary user but as a central body for compulsory stocks in the Republic of Croatia. For the operational functioning and performance of the tasks and functions of the HANDA, this law also introduces elements that comply with the Law on the State Budget and other implementing legal regulations of the Republic of Croatia and the EU, or elements by which it is possible to organise the activities of the HANDA itself. Since HANDA is a single central authority on the Republic of Croatia to provide mandatory supplies of oil and petroleum products which are of strategic importance for the Republic of Croatia in the event of a threat to the energy security of the state due to exceptional disturbances in the oil and oil products market, the speedy adoption of this law is of paramount importance for further enforcement of the law of the prescribed obligations of the HANDA. Finally, this law establishes a basic legislative framework on the basis of which the conditions for the opening of the oil and petroleum products market will be established for the safe and quality supply of the oil and petroleum products market in the Republic of Croatia. Thank you.
ParlaMint-HR_2014-01-23-0.u66341	Thank you, Alan Leveric, Deputy Minister. Do the representatives of the working bodies of the Croatian Parliament wish to submit a report? No, I don't. I'm opening a debate. In the debate, we're going to the representatives' clubs. It is the turn of the HNS club and the respected representative Petar Baranovic. Here you go.
ParlaMint-HR_2014-01-23-0.u66342	Thank you very much, Mr. President of the Croatian Parliament. Dear Deputy Minister with associates, respected colleagues and colleagues. In front of us is one of a series of laws that have been passed in this House since 2001 when the reform of the energy system in the Republic of Croatia began, and this law is in fact very similar to one law that we have passed, which concerned markets and the functioning of the electricity sector and in its basic points of view: the first change, the important change that is part of this law, is the full liberalisation of the oil derivatives market, which has so far worked in a way that the Government through certain mechanisms and criteria has determined the maximum price of oil derivatives on the market. In view of the fact that several entities dealing with the distribution and sale of petroleum products are present on the market today, the Republic of Croatia considers that the same assumptions have been created as on the electricity market and has taken off the circuits in this law and as a country which has long been designated as the government of the country that has long been designated for the free market and liberalisation of markets and free trade leaves the market to form prices. Positive examples and effects of such an approach can be seen today also at the creation of an energy price for end-users, so it is to believe that these free market principles will work in the case of oil derivatives. However, it is necessary to be careful in this regard that there is an institution in this country that must monitor correctness in the functioning of the free market and competition, namely the famous AZTN and the Competition Protection Agency, which has not proved to be effective in all situations so far, but at this time, we are drawing attention to the correctness of the oil products market. If they do their job without a doubt, this law will get positive effects. The second thing that is important for this law is that there is a clear regulation of the obligations to create oil reserves which are intended to provide security in supply and special consumers that are extremely important for the functioning of the system but also for consumers in the event of exceptional market disturbances, exceptional situations. The third basic provision of this law is also a change in the status of the agency. For oil, it has so far been an out-of- budget user, the assessment by the Government of the Republic of Croatia that there is no longer any need or that it would be more appropriate to be in the State Treasury system, to be in the system, or in a number of budgetary users such as the practice in a series of Western European countries and Member States of the European Union. Since these three changes, which are actually the key changes made by this law, we in Croatia consider the People's Party necessary, positive and in line with the general trends and practices in the Member States of the European Union to which we belong, the Croatian National Party Club will in any case support this law. Thank you for your attention.
