ParlaMint-HR_2014-05-23-0.u77720	Looking for a club? Yeah.
ParlaMint-HR_2014-05-23-0.u77721	Thank you very much, Madam Vice President. This Regulation shall enter into force on the twentieth day following that of its publication Rules of Procedure, and given the preparation process for the upcoming elections for the European Parliament, I would like to request a 15-minute recess for the HDZ Club session.
ParlaMint-HR_2014-05-23-0.u77722	I'm setting a break to 10.20. It's 10.05. [[CONTINUATION AFTER THE MEETING IN 10.20 HOURS]] After a break requested by the HDZ club, I call on a fellow milkmaker to state the club's position.
ParlaMint-HR_2014-05-23-0.u77724	Dear Madam Vice President, colleagues and colleagues. It is well known that all Croatian voters are invited to attend the European Parliament elections in two days, I would say in which Croatia is turning a new page of its history because it first elects 11 deputies with a full mandate in the European Parliament. I have no intention of talking about the events that followed the last days of the pre-election campaign, my intention here is not even to determine the guilt and to determine the inability of the Government of the Republic of Croatia which was not prepared to face the disastrous consequences experienced by Slavonia, nor was I intended to speak of the responsibility of neither the Government nor the State Administration for Protection and Rescue because we witnessed how Croatian citizens have outgrown what the Croatian government was able to do and they have done much more with their engagement than they were able to make our official institutions. But my intention is to talk about something else that is important for these elections, which is to appoint an Ethics Commission to monitor and monitor the implementation of election campaigns. The Constitutional Court of the Republic of Croatia has made a decision to appoint members of the Ethics Commission where, according to its position, the president of the Croatian Academy of Sciences and Arts is also the chairman of that commission, and members are named on the proposal of parliamentary parties. Thus, the majority coalition of the political parties of the SDP of Croatia, the HNS of liberal Democrats, IDS, HSU, SDSS, the Bosniak Democratic Party of Croatia and the sustainable development of Croatia proposed three candidates, Dr Snježana Banović, Dr Goran Čulara and Dr Snježana Vasiljevic, all of them from Zagreb became members of the Ethics Commission on the proposal of the majority coalition. For the sake of interest of the Croatian public, I will quote only Article 49. The law on selecting members in the European Parliament says: "The Ethics Commission has a president and 6 members of which are proposed by the majority and opposition political parties in accordance with the party composition of the Croatian Parliament. The members of the commission are appointed by the Constitutional Court of the Republic of Croatia, on the basis of a proposal from parliamentary political parties, in the order of prominent public figures who are not candidates in the elections and are not members of any political party." In the proposal of the majority coalition there is the name of the elected Snježana Vasiljevic or appointed to the Ethics Commission, who is a member of the main Assembly of the Serbian Democratic Party and president of the County Organisation and the same party for the city of Zagreb. I suppose it is possible except that she had to make a statement before the appointment that she was not a member of any political party I suppose it is possible that coalition partners did not know that she was a senior official of one party. Because the coalition doesn't know much, I wouldn't be surprised if they didn't know this either. But I cannot believe that the president and candidate on that list of the same party, or vice president, parliamentary representative and chairman of the Outer-political Committee, Mr Milorad Pupovac was not aware that his member with whom you can otherwise see in the media was often propagating his party's work to become a member of the Ethics Committee. Ethics or morals of the ruling coalition and in this case are seen in its best light. And we are also asking for the legality of these elections and for the importance of the European Parliament's elections that the ruling coalition be immediately shown about this fact, that it asks the Constitutional Court on the basis of data it has to change the composition of the ethical commission. Because neither we participants in this process nor the citizens of the Republic of Croatia will be able to believe that you are morally and ethically carrying out elections in order to be bound by Croatian laws. Thank you very much.
ParlaMint-HR_2014-05-23-0.u77725	Thank you very much. You sent a message, I expect we'll... You've also sent a message to the coalition and I can't tell you right now because I have no idea that any member who's proposed or a member is a member of a party. ... [[You can't hear the intruder.]] You said yours, no more. ... [[You can't hear the intruder.]] Can I get you anything you want? [[You can't hear the intruder.]]
ParlaMint-HR_2014-05-23-0.u77726	I'm sorry, just an explanation. You influence the legality of choice if you choose people in the course that you are legally forbidden to choose. And we're asking you because you're proposing these members to withdraw such a proposal. If I wasn't loud enough, maybe you're now...
ParlaMint-HR_2014-05-23-0.u77727	Well, you sent us a message, and we'll consider it. Well, I can't tell you at this point, give you an answer. ... Well, you said yours, we'll be clear about it. [[You can't hear the intruder.]] Well, we can't give you an answer at the same time. Comrade Boro Grubisic.
ParlaMint-HR_2014-05-23-0.u77728	Thank you very much, Madam Vice President. I don't know, I'm in doubt asking for a break so the HDSB club can be seen on this case.
ParlaMint-HR_2014-05-23-0.u77729	You can't ask for a break about the same thing you didn't ask for a break when it was a topic.
ParlaMint-HR_2014-05-23-0.u77730	Or to ask for a very spotful and quick check of these facts and to amend the Constitutional Court's decision to form such an ethical committee that is not ethical but unethical. Thank you very much.
ParlaMint-HR_2014-05-23-0.u79322	My colleagues and colleagues have a good day. We're moving on with the session. We will discuss: - Proposal for a Law on Areas and Headquarterss of State Attorneys, first reading, P.Z. 668; The legislator is the Government of the Republic of Croatia. You've received the motion for an act. The provisions of the Rules of Procedure relating to the first reading of the law shall apply to the adoption of this Act. The debate was conducted by the Committee on Law and the Committee on Justice. You received the reports at the session. The opening proposal will be explained by Justice Minister Mr Orsat Milenic. Here you go, Minister.
