ParlaMint-HR_2014-02-28-0.u64252	And now I see a colleague of Mile Horvat reporting, no. Mr. Pupovac, come in.
ParlaMint-HR_2014-02-28-0.u64253	Thank you, Mr. Vice President. The SDSS representative's club is seeking a 10-minute break to consult on the vote on certain items of the agenda, above all on the Labour Act.
ParlaMint-HR_2014-02-28-0.u64254	Comrade Lesar, here you go.
ParlaMint-HR_2014-02-28-0.u64255	The Croatian Labour Club also seeks a break before the vote to discuss the issue of voting of the Labour Act.
ParlaMint-HR_2014-02-28-0.u64256	Okay. Here you go.
ParlaMint-HR_2014-02-28-0.u64257	Same reason we're looking for a break.
ParlaMint-HR_2014-02-28-0.u64258	Shuker? Same reason. Did we all pick up who was going to pick up? I'm setting a 10-minute break and then we're back to work. MEETING AT 12:00 A.M.
ParlaMint-HR_2014-02-28-0.u64259	[[CONTINUATION AFTER MEETING IN 12.10 HOURS]] I want us to continue our work, so I'd like the representative of the SDSS Club of Honored Representative Milorad Pupovac to present the position of the club.
ParlaMint-HR_2014-02-28-0.u64260	Dear Mr. President, dear colleagues and colleagues. The Croatian Parliament is not part of the social partnership and social bargaining mechanism in the Republic of Croatia, but the Croatian Parliament has an obligation to take care of the fundamental values of the Croatian Constitution, and one of the fundamental values of the Croatian Constitution is social justice and the mechanism of social bargaining and social bargaining is the best way to either come to social justice or how to preserve it. For this reason, for the debate on the Labour Act, which was conducted in the Croatian Parliament and made observations and criticisms that we could hear, the SDSS Club proposes to adopt the following conclusion: The Croatian Parliament, following the first reading on the draft labour law, calls on the Government and trade unions to reach consensus on issues of the proposed law, such as the matter of working time, labour models, agency employment and the status and character of the working councils, which have been seen in the parliamentary debate and which have led to delays in the negotiations between the Government of the Republic of Croatia and the social partners. The SDSS Club will see this conclusion as a condition that it could support the adoption of this bill in its first reading, with the belief that it can improve social dialogue between social partners. Why are we saying that? We are not just saying this because of the circumstances we currently have in Croatia, we are talking about the general trend that exists, and I would if you let me tell a few facts about this general trend. Not so long ago, European Socialists organised the publication of data related to the state of inequality in European countries and countries in the world. At the beginning or in the first half of the 3rd month, he will organise a debate where he will call on world-leading economic experts, where he will call on leading experts from politics, or political sciences, and address the topic with relevant debate. Why? Because indicators that can be read based on their findings are not only worrying, but frightening. In the '70s. In the 20th century, social inequality is growing rapidly and progressively. In the '70s, '80s. In the 20th century, the difference between the salary of workers and the salary of members of the US's leading ten companies was between 20 and 30 times. And you know how much it increased from the '90s to 2010. It has increased to be between 200 and 400 times higher, so members of the management of leading companies earn. In Great Britain, that difference is 300 times. What are the reasons that lead to inequality, other than this? There is, of course, an inequality that leads to the lack of unions and a weakness of trade unions and insufficient activation and membership of union employees. We have seen that, especially in the private sector, there are no satisfactory union organisations. They exist only in the state sector, they exist only in the public sector and something in large, large enterprises in the Republic of Croatia. Indices showing that in high-level countries or the highest level of social equality such as Denmark, Sweden, Finland, Luxemburg, union organisation is the most successful and best. Also in countries that show the lowest degree of inequality union organisation is the weakest. It's the same thing when it comes to politics. All countries that have caved in to deregulation, which have omitted flexibility, all countries that have bowed down and policies that have kneeled under the neoliberal mantra on cutting, on saving, on firing and on the flexibility of work record the growth of inequality and the growth of unemployment. That's what we need to be worried about, and that should be a reason to help us reach agreement on this.
ParlaMint-HR_2014-02-28-0.u64261	Thank you very much. On behalf of the Croatian Labour Club in the Croatian Parliament, the respected representative Dragutin Lesar. Here you go.
ParlaMint-HR_2014-02-28-0.u64262	Dear Mr. President, colleagues and colleagues. The labour law is a deep social contract and I hope it's clear to everyone. Every social contract affects not only social but also political stability in every country. We warned you not to open a discussion of the Labour Act without re-trying to agree with the unions. You weren't listening. In addition to the social instability that has been going on in Croatia for too long, this will convey destabilisation and political stability if you remain stubborn. We warned don't do it, there's time because there's not a single economically justified reason for such a labour law. I don't know if you heard a fellow Rados half an hour ago discussing this point before he said the Croatian government has increasingly fewer allies. If it's not an alarm that you still need to be told what else to warn you about, I don't accept that the Allies are guilty of getting fewer, but the government has put itself in a position of no more allies. Who's he trying to please? To those employers who made over 2 billion profits from Croatia last year, not investing in Croatia, not a single lip. The structure of employees in which the distribution of work week and time will be abused with this law is right with them. The structure that uses it now, and you will especially be doing it for the benefit of agency workers, it is they, just all those who have abused it so far, and now they are even more comfortable with those who have earned the billions earned in Croatia from Croatia. The collective contract and the models that remain in the Labour Act on collective agreements destroys the union movement in the private sector. If it's all the same to you, you're sending a message that you're not counting on collective agreements anymore. A colleague, Pupovac, asked a question the day before yesterday that no one in Croatia is answering. Where's our capital? Where did our capital end, and what happens to it? I repeat the finding that it is socially irresponsible capitalists with only one interest, which is profit, and that stability and social Croatia and political stability do not care. Croatian citizens were experiments trying to change the new health model when you reduced your contribution to health insurance. When he broke the health system today, I read in the paper that he was planning to increase the return to 15%. This law on trace work is such a new experimentation attempt. You can't push a rock, you can stick it in the ground as much as you want, sooner or later it'll come out again. You can't push a rock, don't experiment with it because it's already proven. And the experiment is 3% of the deficit of the state budget, because those who have tried this experiment have today claimed that economic, social and social potential and only acceptable if GDP growth is 5%. And Croatia has a 1.2% GDP decline for the fourth quarter of last year, and in 2013 it is 1% compared to 2012. If you really want to go ahead and experiment with that rock you keep sticking into the ground, it'll be out soon. And therefore, Mr. President of the Croatian Parliament, I suggest you postpone today's vote on the First Reading Law proposal to give the government a chance to restore social dialogue within the Economic and Social Council next week.
ParlaMint-HR_2014-02-28-0.u64263	Thank you very much. On behalf of the HSU club in the Croatian Parliament, the respected representative of Silvano Hrelja.
