ParlaMint-NL_2021-10-28-tweedekamer-10.u1	The next item is the follow-up to the budgetary treatment of Health, Welfare and Sport.
ParlaMint-NL_2021-10-28-tweedekamer-10.u2	I give the floor to the Minister to deal with two issues, corona and varia, and then he appreciates the amendments. The Minister has the floor.
ParlaMint-NL_2021-10-28-tweedekamer-10.u3	Mr President, thank you. Yes, I will continue with the theme of corona. I think we should say first of all that we will come back to it in greater detail next week. The Cabinet will announce its measures on Tuesday, given the current situation. We had, I thought, a debate scheduled next Wednesday. I just want to say a few things about it. In actuality, we can see that the numbers are rising. We cannot ignore this, especially when the budget debate is on the subject of VWS, because it brings us into a new wave, not so much a wave of contagion only because we had said: let us focus on hospitals, but also really a new wave in hospitals. It will be lower than in the past winter, but nevertheless too high to pass by. Just look at today's figures: 154 recordings in the clinic and 14 recordings on the ic. This brings the number of people in the clinic to 741 and the number of people on the ic at 203. That's not close to the waves or the occupations we've had, but the number of new recordings is way too high. We can't ignore that. The second thing we really cannot ignore is the fact that four out of five patients on the ic have not been vaccinated and three out of four patients in the clinic. Why do I call that? Because last Tuesday's budget debate also referred to the MUMC, where it was said that the figures are obviously very different; how about that? We checked that out, of course. Turns out that's the figure in one week. So it's actually a picture instead of being a movie all month. In addition, it is of course a UMC. So it's a university medical center. That always gives a little distortion of who's lying there. But also in this UMC, during the whole month of October, 64% of patients are unvaccinated. That's been reported to RIVM. It is important not only to realize that there is a photo in relation to the film from all of October, but also to realize that it is really a distortion compared to the picture as a whole in hospitals, because it is a UMC. In the picture as a whole of hospitals, three out of four patients in the clinic is not vaccinated and four out of five on the ic. Why do I call that? Because it brings me to the reflection that Mr Van der Staaij asks of me, namely: could it not be that if you state that there are many unvaccinated patients in hospitals and thus state that you have to relate to this and that you may also have to take measures that are intended in particular to protect unvaccinated people, because, if they come to hospitals, the accessibility of care to all patients will come under pressure, if you do that observation, will you not, Mr Van der Staaij, ask to ensure that people who have not been vaccinated become a bit of the scapegoat? That is how Mr Van der Staaij formulated it. That's a sharp question. I therefore believe that this question needs to be answered. I don't think so. I think it's our job to make sure that care is accessible to all patients. If we ignore the fact that the vast majority of patients in hospitals have not been vaccinated, while the vast majority of society has been vaccinated, if you ignore that fact, you are on your way to making that care overload again for all patients, if you are not prepared to take measures. That is not what I heard Mr Van der Staaij say. But these measures must be proportionate and effective. The group that is most protective against hospitalization are precisely the unvaccinated people. I don't think I can ignore that fact. Because we also have the task of taking as targeted, effective and proportionate measures as possible, I also believe that we cannot ignore that fact in hospitals when taking measures. What measures are to be taken are all extremely complex and the dilemmas are, of course, enormous. So let's get back to that next week. Then we can better articulate what we do and what we should not be prepared to do. However, I would like at least to take away from Mr Van der Staaij the idea that my contribution would be deliberately polarizing or whatever. The opposite is true. Precisely because you want to prevent this polarization, you will have to take measures that do justice to the situation we are seeing in hospitals.
ParlaMint-NL_2021-10-28-tweedekamer-10.u4	There are some interruptions. First, Mr Hijink of the SP, then Mrs Van der Plas of BBB, Mr Van Haga of the Van Haga Group and Mr Van der Staaij of the SGP.
ParlaMint-NL_2021-10-28-tweedekamer-10.u5	I think it would be a good idea for the Minister to acknowledge that he has made some stupid statements over the past week. I am referring in particular to the statement that someone who has not been vaccinated and is lying on the ice is actually holding a bed intended for someone else. I thought that was a very unwise, very stupid statement, because we should not want to look at the care in our country in that way. Because people who didn't get a flu shot and who might end up on the ic with the flu will be told by the minister: you should have vaccinated; now you have a bed occupied by someone else? There are people who smoke. We know that 86% of cases of lung cancer come from smoking, but we do not say to the smokers: you all suck up care money that is meant for someone else. I am fine with the Minister saying that people should be vaccinated, that this is important and that it is good for their own protection and for the protection of other people. I'm very much in favour of that, but organizing contradictions within groups of patients is wrong. We should not do that in the Netherlands.
ParlaMint-NL_2021-10-28-tweedekamer-10.u6	It is a good thing that Mr Hijink puts it so sharply, because I consciously made the statement I made, no matter how uncomfortable that reality is. But you cannot walk around that uncomfortable reality, namely that the vast majority of society has been vaccinated and the vast majority of patients in hospitals are not. The fact is that, if they had been vaccinated, there would have been quite a chance that they would never have ended up on that hospital bed at all. That fact must be mentioned, because you see something different at the same time, namely that the care must brace itself for the umpteenth wave in those hospitals. We know that if you really have to scale up the hospitals, it's no different than the other care being scaled down. The delay of the other care, of the regular care, is of course not without consequences, even without health damage. The point is that if we do not face this uncomfortable fact and we do not relate to that uncomfortable fact in the measures we take, then you will end up with another type of polarisation. That is the polarization that there is no place for the people who are trying their best to stay healthy and are going to get that shot, because there is someone on that bed who wouldn't have had to lie there if he had just taken that shot. That may be hard, that may be uncomfortable, but it is also inevitable to face that reality. What I do not want to do, if Mr Hijink is afraid of it, is to strongly deny that we will ever find ourselves in the situation that we should choose. That's very un-Dutch. I have heard and read this suggestion in opinion articles etc. and also seen it in interviews, namely: shouldn't you say that part of the care is available to covid patients, so that regular care can continue as much as possible? If you think about that, that means selection at the gate. The Chamber is not prepared to do so, I would not be prepared to do so, the cabinet is not prepared to do so, and I do not think the people in the care are prepared to do so either, because we do not want to choose that. Indeed, it is absolutely true: there are a lot of people in the hospitals partly because of their behaviour. The behavioral component can never be completely disabled. Lifestyle is very often a cause for concern. That's not the point. Just because you don't want to choose, just because you don't want polarization and don't want to determine who still has a place in the hospital and who doesn't, you have to prevent people from getting into that hospital. Then you have to be honest and face the facts. That's just that vaccination works, because vaccination protects 95% against hospitalization.
ParlaMint-NL_2021-10-28-tweedekamer-10.u7	But if we consider this to be so important, then the Minister must convince instead of threatening and causing a division. That's what the SP says. Then you go to the neighborhoods. Then you go into the neighborhood, to the people. Then you convince them to be vaccinated. I think it is very unwise for the Minister to make statements like: if you lie in this ICU bed because you have not been vaccinated, it will be at the expense of someone else who should have been there. Because he doesn't tell a drunk driver who's blown into a tree: you're in this Ic bed and now someone else can't be there. He doesn't say that to people who have been otherwise unwise. He doesn't think it's wise that people shouldn't be vaccinated. I think that's unwise; you should. But then you're not gonna organize a dichotomy on the ic. You do not, and certainly not as Minister of Health, because you have to radiate solidarity and you also have to radiate it to the caregivers: it does not matter who comes in here; everyone in this country deserves equal and good care. No one confiscates another's bed, especially when this cabinet is largely responsible for the scarcity of care. Then you're not gonna organize the competition between patients. Then you solve those problems and the scarcity.
ParlaMint-NL_2021-10-28-tweedekamer-10.u8	I think this is way too easy. I just don't think the observations are right either. This polarisation will naturally occur when the operation of people who have been vaccinated, who have done what they were expected to do, has to be postponed again. I think we all know people in our own environment who have been told: I don't know if you'll be able to come back in a while. When you see that, it's not illogical to assume that polarization only grows when we pretend we don't know why. Of course, this has to do with the fact that most of the corona patients in hospitals have not been vaccinated. Mr Hijink may find this an uncomfortable fact, but I find it my job as Minister of Health not only to encourage people to be vaccinated, but also to demonstrate the implications of it if people do not. It is much harder to pretend that it does not exist than to face those facts and that reality.
ParlaMint-NL_2021-10-28-tweedekamer-10.u9	First Mrs van der Plas van BBB, then Mr Van Haga, Mr Van der Staaij, Mrs Agema and Mrs Gündoğan.
ParlaMint-NL_2021-10-28-tweedekamer-10.u10	First of all, I have the following question. I heard the minister say, "Tuesday we're going to announce the measures." Can the Minister promise the House of Representatives that the House of Representatives will be informed about the measures before the press conference, and that we should not read them in the newspaper as we have seen this week?
ParlaMint-NL_2021-10-28-tweedekamer-10.u11	No measures have been announced by this cabinet, so you haven't read that in the newspaper. We do it the usual way, so we announce in a press conference what the measures are. We have done so to date, for a year and a half, and we will continue to do so.
