ParlaMint-NL_2021-12-14-eerstekamer-8.u1	The next item is the continuation of the government's first-term response.
ParlaMint-NL_2021-12-14-eerstekamer-8.u2	I give the floor to the Secretary of State for Finance - Taxation and Tax Administration.
ParlaMint-NL_2021-12-14-eerstekamer-8.u3	Mr President, I have the feeling that your Members are not quite ready for this.
ParlaMint-NL_2021-12-14-eerstekamer-8.u4	May I request silence in the Chamber? Go ahead, Secretary of State.
ParlaMint-NL_2021-12-14-eerstekamer-8.u5	I had arrived at the block varia and that starts with a block of greening. Mr Van der Voort asked why there was a reduction in tax incentives. I don't think that's true. There is no question of a decrease. The cabinet, as this Chamber knows, has taken almost 7 billion additional climate measures and made 600 million of them available around the electric car for the period 2022-2025. Mr Ester asked about the reduction of the cap in the addition how the cabinet prevented tax-enhancing cars from disappearing abroad via the second-hand market over time. By lowering the cap, demand in the business market is more directed towards cheaper emission-free models. This, in our view, improves the connection to the private second-hand market and reduces the risk of export. That's one of the arguments why we lowered the cap. Are you prepared to investigate whether electric cars five years old or older could be brought under the youngtimer scheme, Mrs Prast asked? My predecessor has already investigated that once. He concluded that that solution would not be effective because the extension of catalogue value to market value would also apply to cars where there is no export risk. In addition, there was a problem that with these measures it would not be possible to reach the private market where you want to keep the cars. In addition, there is a significant budgetary impact. What we did do in the August decision-making process, I say to Mrs Prast, is that we moved from the business market to the private and second-hand market.
ParlaMint-NL_2021-12-14-eerstekamer-8.u6	Before the suspension, I was standing here with another colleague to ask another question following Mr Schalk's question on income policy. But I get the impression that the Secretary of State is perhaps going into this in the second term. I am at peace with that, because I made quite a big speech and he had no reason to respond to it. But it's up to him, of course.
ParlaMint-NL_2021-12-14-eerstekamer-8.u7	Mr. Chairman. Perhaps it would be better to concentrate on this in the second term, also given that I agreed with Mr Schalk. Mr. Chairman. Mrs Prast asked why VAT on public transport and not on aviation and shipping. Public transport in the Netherlands is covered by the reduced VAT rate. Under the VAT directives on international passenger transport by air and shipping, the Netherlands cannot levy on the part outside the Netherlands. The reason to apply a zero rate for the Dutch part is practical and prevents administrative complications. Mrs Prast also asked about the European flight tax. No, I have to rephrase: in the run-up to a European flight tax. For the amount of the flight tax, I have to refer to the current situation, as it is now. Under this cabinet I have led myself to both Chambers a differentiation to business class. We had a discussion on this at the time, I thought with Mrs Prast's predecessor. Yes, I'm quite sure: Mrs Teunissen. At that time I also indicated that such differentiation would make the levy much more complicated. Mrs Teunissen then argued, which is correct, that other countries do. But we had just chosen this very simple design, which is quite easy to implement because there are very few taxpayers and because it is a very simple system because it runs through airports. Mr Van der Voort felt that fiscal policy on the environment and climate was a blur. I was a little disappointed in that image. I think the cabinet has taken steps towards fiscal greening. I mentioned the CO levy industry this morning, I have just mentioned the flight tax and also the promotion of electric cars. If Mr Van der Voort means that there will still be a spade on top of it, I would say: wait one more day. Mr. Chairman. Let's see what else I had around greening. No, I'm actually here. Mr Ester asked: why are the 'greening', which is not really greening, but I call it 'greening', contrary to the National Prevention Agreement and the desire for a smoke-free generation not to increase excise duties on tobacco? This cabinet did indeed want to leave that to the next cabinet. Then corona support, an important point. There are a lot of questions about that. I'd like to say a little bit more about that. We have about EUR 19 billion in tax debt. That's a lot of money. This instrument may be the least known of all the corona instruments used by the cabinet, but it may have been one of the most important, especially in the beginning, and again now. I also said last year that I am proud of how the Tax Administration deployed and implemented this instrument. But it's an instrument you have to watch out for. We have now extended it again in the context of the current limited lockdown, but any further expansion will, of course, lead to a further build-up of debt with the Tax Administration. We have shared a very generous repayment regime with the House of Representatives, but I can imagine that it is a good thing that I repeat it here again. Only in October of next year will these debts start to be repaid for five years. That's exorbitantly long, but we do that because we don't want to get entrepreneurs into extra trouble. A few months ago, just after the summer, we added that as viable companies with debt and yet unable to meet those deadlines in those five years, we are prepared to conclude some sort of reorganisation agreement. In doing so, we will take a step back to everyone who knows the Tax Administration well and understand what a shock this is for the Tax Administration when it comes to the preferred position. In other words, where the Tax Administration, the State, normally has a double position, we will be in the same position as all other creditors. That is what the Cabinet has done to ensure that there is an additional incentive for the other creditors to step back. It has been neither my intention nor the intention of the cabinet to renounce it. I thought I said a lot about that last year. I find debt cancellation unfair to those who have paid nicely. We also think it will not be necessary. But I repeat my point, that earlier in the House of Representatives was discussed very extensively, that we have to watch out for this instrument, because it sounds very attractive, but of course it has something of, in good Dutch, kicking the can down the road. Sometimes that can be useful, but if the problem is not liquidity but solvency, it will end. Mr. Chairman. There were a number of questions about the Tax Administration and the feasibility of legislation and ICT. Actually, I took care of it this morning. I would also like to say to Mrs Geerdink that I have committed myself to the House of Representatives, following a question by Mrs Van Dijk of the CDA, to organise a briefing on how the ICT capacity of the Tax Administration is used and how to deal with it. I'd also like to offer that to the First Chamber. This can help to gain insight, including in Mr Van der Linden's question as to why it is so complicated to make such an extra VAT booth. For all these questions, I would like to refer to that briefing. I think that's gonna help us get an insight into that. A similar kind of question is: can the Tax Administration handle the electricity directives from the EU? That's not easy. When implementing e-commerce regulations, we have seen that things have gone very wrong and that it has remained with the Tax Administration for too long. Then we put in some kind of emergency trail. It turned out okay in the end. But that question is entirely justified. There's a lot of exogenous pressure on the IRS. Mr Van der Linden asked about something that is at the heart of the dilemmas I outlined this morning, namely a simplification of the complex tax system. I said a lot about that this morning. Yeah, I think that's what everyone wants. At the same time, the spirit is willing, but the flesh is weak. That should mean, I say to Mr Van der Linden, that if you really want to go to a simple system, everyone should abandon their hobby horses. This requires a solution to a famous political problem, namely the collective action problem, which in itself stimulates everyone to want to regulate their own things in such a system. That was a little entrapment, Mr. Chairman, sorry.
ParlaMint-NL_2021-12-14-eerstekamer-8.u8	I totally agree with the Secretary of State. Of course, that's a huge horde to take. If it were simple, it would've already happened, I'd report it. Wouldn't it be worth trying to see if we could pull that a little more outside the cabinet, the new cabinet, the government? Can we, as a Chamber or as a State General and Cabinet together, look at this openly in order to see if we can take steps? Would that be an appeal to all of us who can support the Secretary of State?
ParlaMint-NL_2021-12-14-eerstekamer-8.u9	It is, of course, entirely up to this Chamber and to the other side of the Chamber to take such initiatives. I would just like to point out that after a few months of negotiations with four parties, I have seen how difficult that is. So it does require a lion's heart from Mr Van der Linden to do this with Mr Van der Linden. But, of course, the Chamber is totally free to develop such initiatives. I have said it before in this Chamber: I myself doubt the wisdom of trying to simplify the tax system with a great shock. The question is: I would like to give this to Mr Van der Linden in the Christmas period to consider whether a great shock is working there. You could say, "If there's a big shock, you can trade out and get everybody." My own experience after a lot of years is that such a great shock can only actually happen in the tax system if a lot of money is available, as in the period around 2000, when Salmon and Supposedly built the current system. The second is that there must be political agreement on the main points. But that's up to your own political ingenuity. So it's not easy, I'm just saying. I mean, it's not up to the Secretary of State to say whether he thinks an initiative from the Chamber is a good idea or not. Any simplification initiative deserves support, I would say.
ParlaMint-NL_2021-12-14-eerstekamer-8.u10	Finally, Mr. Van der Linden.
ParlaMint-NL_2021-12-14-eerstekamer-8.u11	We are not so much concerned with the shock - perhaps in thinking - but with the dot on the horizon where we could work with each other. The need for money, a lubricating oil transition, is clear. In that respect, we have spent 80 or 90 billion on the pandemic in two years, and a little bribe for such a revolution might be a good idea.
ParlaMint-NL_2021-12-14-eerstekamer-8.u12	Secretary of State, to make sure your colleague also has some time left later...
ParlaMint-NL_2021-12-14-eerstekamer-8.u13	Sure. Mr President, I'm almost done. It's unbelievable. I'm almost through. I would just like to say one thing about box 3. I agree with all the criticism of the current box 3. I do not agree with those members of your Chamber. They are also very well to be found in the House of Representatives who blame me for that. You can blame me for everything, but you can't blame me for this. I am the first Secretary of State within a decade to be able to make a proposal, which is presumably submitted by the upcoming cabinet, and I hope so for a box 3 based on real returns. That's what's gonna happen. 2025 does not come from my unwillingness, but from the fact that the Tax Administration simply cannot handle such a big change faster, and that is still art and flying. That box 3 will be a box 3 based on real returns. Mr Crone's question, which I see coming up from my corner of the eye, is: why not opt for a capital tax, which is much simpler? In the end, you have to be honest. All the literature in the field of power taxation says you have to do two things. You can load the return on the power and the level. Such a load on power is a level load. This proposal for box 3, which I hope will come from the new cabinet, will be a proposal based on return. The fact that some political parties, including mine, in the electoral programme add a capital charge at the level to that, is up to those political parties, but this is where we are at the moment and I am quite sure that you will find that strange with all the negative opinions of Advocates-General and so on quite proud that this has been achieved. This was an inheritance that I didn't really ask for, I'm telling you quite honestly.
ParlaMint-NL_2021-12-14-eerstekamer-8.u14	Then we have an unveiling, namely that D66 has turned in an important election point. Anyway, we'll see about that tomorrow. My question was more: is this to be carried out? Are we gonna get another execution machine? How do you measure efficiency? You yourself said in the pieces: is your own house coming in? How do you measure your own house, purchase value, sales value, etc.? So that's gonna be a drama. That is why many say: do a flat charge with a large exemption of a tonne or whatever.
ParlaMint-NL_2021-12-14-eerstekamer-8.u15	In my words, Mr Crone has heard political statements that I have not made. So for all the journalists listening in, I have not made a single statement on what is and is not in the coalition agreement. I merely said that my party had a capital charge in addition to this box 3 tax on real returns. I say to Mr Crone: this is feasible. We've had an external agency investigate this extensively, because I thought it might be possible. And this can be done. All sorts of difficult questions arose from that. I want to be very brief and powerful about that. It's not easy to enter this. That is why it takes a number of years. Mr Crone puts his finger on the sore spot: the hardest thing is this in real estate. The question of whether to bring your own house under box 3 is essentially unrelated to this question. You can do that, or you can't do that. I'm just saying, maybe I can get Mr. Van Rooijen to rest, but it didn't work out, I see.
ParlaMint-NL_2021-12-14-eerstekamer-8.u16	Finalizing, Mr. Crone.
ParlaMint-NL_2021-12-14-eerstekamer-8.u17	Yeah, short. I mention the proposal by Cnossen and Jacobs to make a flat-rate levy, because then you might have the best of both worlds.
ParlaMint-NL_2021-12-14-eerstekamer-8.u18	I'm really gonna leave this to the new Secretary of State. This is shaping.
ParlaMint-NL_2021-12-14-eerstekamer-8.u19	Thank you. Mr Van Rooijen, a brief question.
ParlaMint-NL_2021-12-14-eerstekamer-8.u20	I don't really need that kind of rest, but the Secretary of State had already understood that. My question is not about the coalition agreement, but about the plans that he himself has developed. He said that the house may or may not belong to box 3, but in response to Mr Crone's question I wonder: what is the return? That is not the value that can go down and rise, because then it becomes another kind of capital charge. What is the return of your own home in box 3? In box 1 it is already doubtful, but in box 3 of course completely.
ParlaMint-NL_2021-12-14-eerstekamer-8.u21	I am not going to answer this, because I would say what is in the cabinet plans of the present cabinet that have not yet been sent to the House of Representatives. That's the first problem. The second problem is that with everything I say, I give half a hint of what is and is not in the coalition agreement. I'm not gonna do it. This cabinet never intended to transfer its own home to box 3.
ParlaMint-NL_2021-12-14-eerstekamer-8.u22	I suggest we get the Secretary of State to finish the varia block later. Then the other Secretary of State will have some time. Do you have a brief follow-up question, Mr. Van Rooijen?
ParlaMint-NL_2021-12-14-eerstekamer-8.u23	Yes, Mr. Chairman. I wouldn't have asked the question like that, but I think the Secretary of State provoked me a little bit. I understand the fact that he wants to get back to rest for a while. I do understand that, but you do understand that there is a pressing question: does the house stay in box 1 or can it even come out, what is our preference?
ParlaMint-NL_2021-12-14-eerstekamer-8.u24	I understand that's a pressing question.
ParlaMint-NL_2021-12-14-eerstekamer-8.u25	Does the Secretary of State agree with me that when we talk about the real return, that the return is after inflation?
ParlaMint-NL_2021-12-14-eerstekamer-8.u26	The logical tax base is the real return, i.e. after inflation.
ParlaMint-NL_2021-12-14-eerstekamer-8.u27	That own house has to go to box 3. They should have done that 22 years ago. The plans were ready. It wasn't accepted by parliament back then. Too bad. My question was another, namely the plan prepared by the Secretary of State for the next cabinet. His answers are on box 3 new style. But my question was: 'I listened to that in Mr Essers's contribution that you should actually develop a broader view on the tax treatment of assets.' Box 3 has a place in it, but that's not the only one. Is that part of the Secretary of State's plans?
ParlaMint-NL_2021-12-14-eerstekamer-8.u28	No, I promised the House of Representatives that it would be wise for a cabinet so decommissioned to stop sending it to the Chamber. I talked about the effect of box 3 on real returns. So there is no longer a broader consideration of power. That's what I promised the Chamber and it's ready.
ParlaMint-NL_2021-12-14-eerstekamer-8.u29	Finally, Mr. Vendrik.
ParlaMint-NL_2021-12-14-eerstekamer-8.u30	Wouldn't it be wise for the Secretary of State to say to his successor that it would be a good idea to take that broad view, to prevent you from preparing for one part of the tax system a rapid change of law, however necessary, but that you have actually lost the broader view of whether you are achieving a stable tax treatment of assets? Wouldn't that be a nice recommendation in the normo-treating conversation with the new cabinet?
ParlaMint-NL_2021-12-14-eerstekamer-8.u31	If Mr Vendrik asks for a commitment that I will say to the new Secretary of State or Minister, or whatever, that a broad view of the capital charge is important, I will gladly do so. He can check with the other Secretary of State later. Mr. Chairman. I still owe the answer to two questions from Mr Raven van OSF. The IZB is not regulated in the Tax Plan but in the Municipal Act. The IZB is levied on real estate. Indeed, in the tariff arrangement, only differentiation by type of real estate is possible, i.e. housing and non-residential properties. I understand the wish of Mr Raven, who pleads for a change of the system in the municipal law, but that is not in my area. That lies with the Minister of the Interior and Kingdom Relations. Then there is Mr Raven's second question. He has drawn attention to no-cure-no-pay companies regarding the valuation of homes. This costs municipalities 26 million. Let me start by saying that it is a very good thing that citizens who have difficulty in communicating with the government have the opportunity to get support here. Those no-cure-no-pay agencies contribute to the accessible nature of legal protection in the Netherlands. The image that NCNP is unjustly earning disproportionate in appeal and appeal procedures has been a reason for an investigation by the WODC. That WODC report was published early this year. In accordance with the February cabinet response, I consulted the parties concerned on the results of the report. First there was an individual discussion and in January there is a first round table with all those involved, in order to improve the process together. I think the short answer is, I say, looking at Mr Raven, that it has the attention of the cabinet and that in January there will be a round table with those concerned about no cure, no pay.
ParlaMint-NL_2021-12-14-eerstekamer-8.u32	A new report has been published by COELO. That's from November 9, 2021. The discussion has been further explored in this context. That could be a matter for the new cabinet to actually zoom in on. Yesterday I asked for the debate to be held at least on the 26 million that it already costs for the municipalities, in order to keep in mind some sort of compensation for that. Perhaps you can promise to put your successor on that trail. OSF would like to play an intermediary role in this. Then there's a second element. You refer to the Municipal Law and say that it is not directly in your field. But we have been waiting for ten years and there are about ten municipalities dealing with this problem. SMEs in these municipalities face very high WPA values and very high WPA rates every year. Then they are more or less the child of the account in those municipalities. There really needs to be a solution to that. Here too, I would ask you to put that on the agenda with your successor.
