ParlaMint-NL_2021-12-02-tweedekamer-9.u1	I give the floor to the Secretary of State.
ParlaMint-NL_2021-12-02-tweedekamer-9.u2	Mr President, thank you. Thank you to the Chamber for the questions asked on Tuesday and also today and for the conversation we have had on a lot of subjects in a crazy time. The f-word has fallen. There's even been F-Parties. Not everyone did. I have understood that word as "fantastic parties." I'm gonna do my best to move through the motions a little bit. If anyone feels short-handed, just ring the bell. I start with an amendment, then I have three questions and then I come to the motions. An amendment has been added. That is the amendment on the passage of the Participation and Language programme.
ParlaMint-NL_2021-12-02-tweedekamer-9.u3	That is the amendment to item No. 33 by Mrs Belhaj.
ParlaMint-NL_2021-12-02-tweedekamer-9.u4	Yes, and Mr Cedar and Mrs Palland. That amendment calls for the participation and language programme to be continued. This was also discussed in the WHO on integration. In substance, we are also in favour of the continuation of the project. The activities within the Participation and Language Programme contribute to the early start of the participation and integration of asylum seekers and status holders. The cover is found in the command budget. We've looked and we can. That would enable us to give this amendment a Chamber's opinion. Then I've got some questions. I shall begin with Mrs Kat's question about Wijzer in money matters. She asked: can they pay attention to young people's financial skills? Since 2008, the partners in Wijzer have been working together in money matters to raise financial awareness, to increase precisely those financial skills in the Netherlands. The Week of Money also calls for continued attention to the importance of financial education in education. This, of course, contributes very strongly to the self-reliance of young people. Wider in money matters extends the Week of Money to the MBO in 2022. I think this is good news. More and more municipalities join with a local Week of Money. That's good news, too. There is often a link between financial education in education, i.e. the prevention side, and local debt relief for young people. Then a question from Mrs Maatoug. How big is the reduction in the IOAW, the coverage of the increase in benefits and the under stand in the Caribbean Netherlands? I told Mrs Maatoug that it would be a few cents. That's a pretty straightforward concept. Turns out it's six cents a month. I still have a whole breakdown, but I'm saving it for the gourmet. Then there is a question from Mr Ceder. It concerns the FCB report on the shortage of childcare staff, including on combination jobs. He'd like a response from the cabinet. We can give you a letter about that. We sent another letter recently, this week. It is also very much in line with that. So it is actually a question of supporting it, I would say. But the more we can pay attention to it and the more it happens, the better it is. So we will still respond to that letter from FCB. Then I shall return to Mr Omtzigt, who is not present, to give a more detailed explanation of the implementation of his motion and the hotline. There's been a lot of exchange. The motion calls for independent investigation with the help of an external party. We found them, too. Mr Omtzigt had a different load. I can tell you a lot about that, but I think I intend to take it up with Mr Omtzigt after this debate.
ParlaMint-NL_2021-12-02-tweedekamer-9.u5	I'd like that. Should he come forward later, you can explain it to him orally.
ParlaMint-NL_2021-12-02-tweedekamer-9.u6	Sure, and I still think it's okay to discuss that one-on-one with him. There were a lot of things in there that he felt were different from what we're doing. But it's no different than what we're talking about. So that's what we're gonna talk to him about.
ParlaMint-NL_2021-12-02-tweedekamer-9.u7	Good. Then we've arrived at the motions.
ParlaMint-NL_2021-12-02-tweedekamer-9.u8	Yeah, that's right. First of all, the motion in part No. 34 of Leon de Jong. The cabinet opts for a reduction in the energy tax and targeted compensation via municipalities. That's why this motion is dissuaded. Then the motion to part No. 35. We had this discussion during the debate on the Collecting Law. On that basis, there is an approved Gijs van Dijk motion. There's been a report on that too. With that, I must advise against this motion. The motion in part No. 36 is about the importance of a pension fund for good directors. DNB shall review this as an independent supervisor. I do not think it is appropriate to intervene on this matter. I therefore advise against the motion in part No. 36. Then the motion to part No. 37. The CBS provides insight into the representation of migrants in benefit statistics. Mr De Jong has pointed out to us that he would like the answer as it was given in 2019. That's what we sent him. Of course, that can happen again next year. That's how we could do it. With that, I would like to discourage this motion. Mr. Chairman. Then I come to the motion on part No. 38. It is not constitutionally allowed to distinguish by origin in this way. That's why this motion is dissuaded.
ParlaMint-NL_2021-12-02-tweedekamer-9.u9	Before proceeding, Mr De Jong has a question on the motion for a resolution on item No. 37.
ParlaMint-NL_2021-12-02-tweedekamer-9.u10	We can't get out of there. That's a shame, because measuring is knowing. But we did have to go a long way before I finally got the answer to the question of how much money goes to non-Western immigrants in the assistance. I got the answer that that's 3 billion. Does the Secretary of State say that he will give the answer to that question in the future, as has been said today? So I'm talking about the calculation. I'm not talking about the outcome, because it could be different every year. I am concerned about the calculation.
ParlaMint-NL_2021-12-02-tweedekamer-9.u11	Let's hope the outcome is less every year. That would be good news. I'm saying I'm okay with doing that in the next set. If that doesn't happen, then I don't think there's any intention of not wanting it. So when I get there, I'll be sure to keep an eye on it. I will also pass it on to our officials. But of course I never know how it will eventually be done in the hurry of the moment. But I think it's okay to do it that way. We did that in 2019 and we just did that. We will not get out of it, but this way you will get some of that information.
