ParlaMint-NL_2021-05-20-tweedekamer-7.u1	I call the Secretary of State.
ParlaMint-NL_2021-05-20-tweedekamer-7.u2	Thank you, Mr. Chairman. At the start of this debate, let me also congratulate the people who made their maiden speech today. I just did that live. Glad we can do that again! But I'm gonna do it this way for a while. In the contribution of Kiki Hagen I found the attention to the right of the other........................................................................................................ I always think that's very important myself. Mrs. Bouchallichh was concerned with the importance of being yourself in this country. That too is a very important principle for me. And the fact that nobody actually gets happy with waste and that we can all use the raw materials so much better, is also something I've been working on for years. So Mr De Groot's contribution was also very recognizable.
ParlaMint-NL_2021-05-20-tweedekamer-7.u3	Of course, we appreciate these words very much. Thank you for the kind words. I have to add that we have votes. In principle, they are after this debate, unless this debate takes a lot of time. Then we have to stop this debate somewhere before those votes. That has to do with the presence of third parties. So this is an encouragement to your address and to the members to keep it short and pointy.
ParlaMint-NL_2021-05-20-tweedekamer-7.u4	I'm always committed to that, Mr. Chairman. You know that. Let me begin with a general main message, because many of your Members have made comments that point in the same direction. Then I come to a number of detailed questions. At the beginning of the debate, I thought it appropriate to summarise the debate on biofuels that I belong to your Chamber and also to society. That debate is actually about the amount of biofuels, what kind of raw materials and where you use them. All these questions are justified. We really have a biofuels policy, because we want to handle these valuable raw materials carefully. It is not for nothing that the ESC has said in its opinion that we should no longer talk about biofuels, but about bio-raw materials. The question of what we stand for together in this whole climate transition is always where we use materials as high-quality as possible and also how we achieve that high-quality commitment. So I understand your room's concerns and questions. I also share the ambition to set the bar high on quality and smart commitment and also to organise the playing field well for possible alternatives such as hydrogen on steam. We really need to make these steps together with each other and with the whole sector. That is why I was so pleased with the ESC opinion. For this ESC opinion, the environmental movement, trade unions, industry and government have jointly considered how we can ensure the careful commitment. The ESC opinion states: "We still need biofuels for the time being in order to comply with our climate agreements and make the transition to fully emission-free heavy road transport, inland waterways, aviation, maritime transport and passenger transport. For this reason, commitments have been made in the Climate Agreement and in Europe on the commitment until 2030." So it is not about whether we use biofuels or bio-materials, but about how we use them as high-quality and careful as possible. I therefore recognise myself in many of the questions that have been asked. That's how we define the playing field with each other, I think. ...
ParlaMint-NL_2021-05-20-tweedekamer-7.u5	Thank you for this commitment. So we are going to talk about the decision, including the list that is derived from Annexes 9a and 9b?
ParlaMint-NL_2021-05-20-tweedekamer-7.u6	That question was indeed asked. The annexes have been adopted by the European Commission, but I am willing to send the annexes that have been adopted to the Chamber as a kind of context for information. But we cannot go shopping in it ourselves, because it is established by means of a delegated act at European level.
ParlaMint-NL_2021-05-20-tweedekamer-7.u7	That is why I also said: the list that distracts the Netherlands from Annex 9. So it is not at all the issue that we are going to delete from that European list, but the Netherlands does have freedoms to take things off that list, whether or not it is sustainable. We're totally free to do that. We can't do things that aren't on the list, but we don't have to take over everything on the list. When we talk about the decision, I assume we can also talk about the list made by the Secretary of State on the basis of the European directive.
ParlaMint-NL_2021-05-20-tweedekamer-7.u8	But then I think Mr Van Raan has a different view of what that decision will look like. We are dealing with categories and we set limits to categories, but within those categories different flows can be used. We send less on power A or power B. An exception has been made, namely palm oil. This has already been agreed with the parties. By the way, there is also a request to do so for soya. However, it is not the case that we are publishing some kind of positive list in that decision.
ParlaMint-NL_2021-05-20-tweedekamer-7.u9	Very briefly.
ParlaMint-NL_2021-05-20-tweedekamer-7.u10	At the beginning of the Secretary of State's reply, we were totally in agreement. We get that list and the decision, and then we're gonna talk about it. But at the end, she now seems to be making some kind of retreating movement.
ParlaMint-NL_2021-05-20-tweedekamer-7.u11	No, no.
ParlaMint-NL_2021-05-20-tweedekamer-7.u12	Are we or are we not going to talk about that list when we talk about the decision? This is a list which the Secretary of State adds on the basis of the European list. So I do not want to talk about the European list, but about the translation that the Secretary of State makes of it.
