ParlaMint-NL_2021-12-01-tweedekamer-6.u1	Then we continue with part two of the budget for Agriculture, Nature and Food Quality.
ParlaMint-NL_2021-12-01-tweedekamer-6.u2	We're gonna listen to the Party for the Animals for an hour. We're gonna sit for that for a while. The first speaker is Mrs Vestering from the Group of the Party of Animals. You have 40 minutes. You have the floor.
ParlaMint-NL_2021-12-01-tweedekamer-6.u3	Thank you, Mr President. I will speak today on behalf of the Animal Party on agriculture and on nature, and my colleague Mr Wassenberg will speak on fisheries and animals outside livestock farming. Mr. Chairman. The intensive livestock farming is a multi-headed monster. A pile of huge problems. Nowhere in the world are there as many animals kept on a rug as we allow in the Netherlands. For economic reasons, we abuse animals all their lives. In our slaughterhouses 1.7 million animals die every day and you wouldn't even wish for your worst enemy, let alone defenseless and innocent animals. Not only animals, but also the climate, nature, biodiversity and public health are sacrificed for the short-term interests of the agro-industry. The emissions of methane from the livestock industry contribute substantially to global warming, floods and rising sea levels. Fine dust from overcrowded stables, zoonoses, animal diseases such as Q fever and a bird flu that can jump from animal to human and antibiotic resistance threatens public health. The production of animal feed for the bio-industry causes the disappearance of tropical rainforests on the other side of the world. Dutch cows actually graze in the Brazilian rainforest, where they are hijacked to grow cattle feed. We are losing biodiversity, which is dangerously little left, and the huge amounts of ammonia from livestock farming are causing a nitrogen crisis, which shuts down the Dutch economy and housing, but is mainly a natural crisis. While the stables are increasingly filled with animals, it becomes quieter and quieter in nature. Nature is vital. The biodiversity crisis is the biggest threat to the survival of humans and animals on Earth. Ecosystems are on the verge of falling down, and anyone who thinks that we can proceed in the same way with the current livestock sector is playing a life-threatening game. We not only destroy the lives of animals, after a short and often miserable life, but we also risk the lives of future generations. Children who cannot help it that the government fails to protect their future, but who will soon have to bear the consequences of it. Mr. Chairman. That is a choice, but we can also choose differently, so that we can save the lives of animals and make our lives and our children's lives more pleasant. The Party for Animals has been making this choice for fifteen years in the House of Representatives, and the bio-industrie must be stopped. The outgoing minister didn't make this choice, even though she knows it's not okay. That it is not okay that newborn animals are taken away from their mothers, so that people can drink milk that was actually intended for calves. That it is not okay that we use more than half of the land in the Netherlands for livestock farming, while nature is in tribulation. That it is not okay that the cabinet farmers keep telling them that they can continue with business as usual, while this is a dead end. Mr. Chairman. This budget ensures that all the misery remains the same. This applies to animals, to people, and therefore to farmers, if the Minister is to blame. Mr. Chairman. It is our responsibility to stop bringing problems upon ourselves. Let us solve them with political courage, because a radical change is urgently needed. Mr. Chairman. Not everything can happen. Animal husbandry has long reached the limits of nature, the environment and the climate. In the case of nitrogen, we cross the boundaries of what our nature can carry for decades. For decades our farmers have been put under pressure. They had to take the initiative to make things more sustainable and more animal- and nature-friendly. Farmers were told for years that they could mainly continue to invest with all kinds of expensive environmental techniques, resulting in huge debts. Afterwards, they were told at the bank that more animals would have to be added, otherwise it wouldn't be profitable. What kind of government are you? And if you do not have the courage to set boundaries, and if you always focus on this self-regulation that you know is going to fail sadly, then it is not the farmers' fault, but the failing agricultural policy. The fact that the Netherlands is the most densely stocked country in the world and has the highest nitrogen emissions in Europe is a political choice. The agricultural policy, after cabinet, directs less farmers, not less animals. Only the big boys are left. Farmers are stuck in this system, just like the animals, which are stuffed in increasing numbers in the stables. In 20 years' time, half the family farms have been forced to stop. But the number of animals has not or hardly decreased. There are now just two to four times as many animals crammed together in each stall, often without even seeing the light of day. They are in pot-tight stalls, with expensive, fire-threatening, technical equipment to reduce the emission of harmful substances. This is a long time since it is known that the investments would never be enough to meet the goals we are now facing. The cabinet knew, but gave advice after advice. The first citizens' initiative of 2007 "Stop wrong meat," proposing a 50% reduction in intensive livestock farming, was pushed aside. This while at the same time it was calculated by the Agriculture Economic Institute that intensive livestock farming should actually reduce by 70% in order to achieve environmental and nature objectives. But that report also ended up in the pile. Nothing was done with it. Eleven years later, the Environment and Infrastructure Council found that a shrinkage in livestock farming was inevitable, we want to meet the climate targets. They said, "Just start with it, because the longer you wait, the more annoying it gets, not least for the farmers." This opinion was also quickly put into a drawer, not to mention an opinion requested by the cabinet itself. If you get so many urgent advices, you're gonna have to deal with that, right? Then the Minister can't look away from that, can he? I would like to know whether the Minister regrets that she has not done anything with these recommendations, but has, above all, postponed difficult decisions for herself. And now she's leaving it to a new cabinet. The same applies to nitrogen. Think of the PAS, the Programmatic Approach Nitrogen. It was not designed to protect nature, but to create space on paper for the economy. It is thanks to brave nature organisations who saw through this plan and went to court, that the cabinet plan to continue with nitrogen pollution, ended up in the trash can. The Netherlands was locked. We had to protect nature. And what did the Minister of Nature do? She went to Brussels. Not to protect nature, but to ask if maybe we could delete some protected natural areas. Bleker tried the same trick in 2011. So the minister could have known it wouldn't work that way. How serious does it then take its responsibility for the protection of nature? And now the cabinet doesn't know how quickly it can spend the nitrogen space gained by the voluntary buy-out of livestock farmers on new permits. This goes from the rain in the drip, because nature only recovers when that nitrogen tap is turned off and not immediately opened again. Permanent shrinkage in the number of animals in livestock farming is the only remedy that works. But no, the Minister came up with a nitrogen bill, which doesn't do what is necessary. The Minister of LNV himself acknowledges that. How can we be confident that a new cabinet with the same parties will come to an adequate solution if it does not first recognize the core of the problem? Recognize that livestock farming breeds and uses more animals than nature can tolerate. We can't be the milkman and the butcher of the world, and we shouldn't want to be.
ParlaMint-NL_2021-12-01-tweedekamer-6.u4	Mr Van Campen is putting in his last interruption.
ParlaMint-NL_2021-12-01-tweedekamer-6.u5	Mrs Vestering also interrupted me because of her concerns about the use of that nitrogen space that comes close. I have drawn attention in my contribution to the PAS detectors, those 3,300 farming families which are currently in uncertainty because there is no permit under parts of their farm. How does Mrs Vestering see solving the problems of these people and these peasant families?
ParlaMint-NL_2021-12-01-tweedekamer-6.u6	That's a very good question. I think it is a bit of a silly question from a party that has itself caused this very big problem. And now to ask the Animal Party: how are we going to solve our problem? The fact is that we can't both save the cabbage and the goat and make difficult choices. This will also affect family businesses. Is that the party's fault for the animals now? No, because every day, six farms quit. That is the policy chosen by the VVD cabinet after cabinet. Mr. Chairman. To solve the nitrogen crisis, the negotiating parties would look at Flevoland as a place where farmers could move, because in Flevoland there would be no nitrogen-sensitive nature. Another ill-thought-out plan and transparent trick. First of all... Flevoland is not a kind of waste pit where you can dump anything that is polluting and what we don't want in the rest of the Netherlands. Second. Flevoland has the most fertile soil in Europe, so please let us deal with it with a little bit of economy. Third. Let's go solve problems, instead of putting billions of taxpayers' money into moving a problem. Mr. Chairman. Moving is not only on the agenda of the forming parties, as we read in the media, but also investing in expensive stable techniques: foolish, costly sham solutions that do not solve the nitrogen problem and also ensure that animals are locked up in pot-tight stalls all year round. You can't be serious! For years we have been discussing in the Chamber that we want to do justice to the natural behavior of animals and then you're going to lock them up even further.
ParlaMint-NL_2021-12-01-tweedekamer-6.u7	A question from Mr Eppink.
ParlaMint-NL_2021-12-01-tweedekamer-6.u8	Thank you for allowing me to break into this speech that resembles a speech to the People's Congress of the Chinese Communist Party, where people usually speak for hours. I have a comment on nitrogen emissions. You say that everything is going in the wrong direction and so on, but may I point out that according to the RIVM emissions registration, nitrogen emissions have been halved since 1990 until recently? So it's going the right way. You keep a story like everything's falling apart. Everything's nothing; we're going to doom. But there are also bright spots, there are developments in the right direction. Would you like to acknowledge that, too?
ParlaMint-NL_2021-12-01-tweedekamer-6.u9	In particular, I will acknowledge that we are having a huge natural crisis, a natural crisis which is also called a nitrogen crisis. The fact is, we can't issue permits. It's a natural crisis. Ecosystems are about to fall. This is because, year after year after year after year after year, we have emitted nitrogen that has landed in the country. That structure is now so enormous that it is going to cost nature its head. Mr. Chairman. I have just mentioned a number of solutions. Moving livestock farming to the province of Flevoland, where I live, I am not waiting, nor are other people, nor are the animals, nor the farmers. How do we solve this nitrogen crisis, the natural crisis, now? Two important points. We must not do what is politically feasible, we must do what is necessary. And we're gonna have to explain why it's necessary. Doing what is necessary means buying out livestock farmers in a good way. We will have to take production rights from stopping farmers and we will have to encourage farmers to switch to sustainable plant food production. We must address the problem of agriculture in its entirety and be honest about what is needed: not everything can be done. We need to breed, use and kill fewer animals. Mr. Chairman. Then we'll have to explain why. Not because we have a paper nitrogen crisis, but because nature is falling over. Did we hear the cabinet once explain how bad nature is in this cool country? That there is now a black list of areas falling over? That if we don't do something, we'll lose unique plant and animal species and habitats forever? That old oak forests acidify and dry up and that young bugs break their legs in the nest, even in their egg, because of lime deficiency? Have we ever heard the cabinet explain the importance of nature and biodiversity? That losing a species not only means losing our species wealth, but destroying ecosystems? Mr. Chairman. The Netherlands is crying for leadership, for a cabinet that is honest about the causes of the problems and about the change that is desperately needed. By systematically looking away, the Dutch cattle and meat sector has become a giga industry that crosses all boundaries: environmental boundaries, natural boundaries, climate boundaries, health limits and ethical boundaries. More than 600 million animals are bred, used and killed every year in Dutch livestock farming. They are bred for maximum production. A cow in the Netherlands has been so bred that today it produces almost half more milk than 20 years ago. A cow now gives a bizarre 34,000 litres of milk in her life. That's a real exhaustion blow. The animals get udder infections, become crippled and are milked to the last penny. When the cows are about 5, 6 years old, they're out. They can no longer be transported to the slaughterhouse and are completely lost. But cows of 5, 6 years old should be in the bloom of their lives. Cows can grow up to 25 years old. What are we doing to animals in our country? Cows get about four to five calves in their short lives. They're taken away every single one of them after birth, never to see them again. I don't think there's anyone in this room who doesn't really hit the cries of a mother cow whose calf has been taken away. That says something. Mr. Chairman. What are we doing to the animals? A sow, a mother pig, is so far-bred in the Dutch livestock sector that she has extra ribs and nipples and can get more pigs. The result is that many pigs are born dead or come into the world weak or miserable, and then die quickly of weakening or hypothermia. You must imagine that at this time these dams are held between metal rods, between which they can hardly move, let alone turn around. What are we doing to the animals? Chickens are sold as chicken fillet six weeks after they come out of an egg. There's really very little chicken about that. They're still chicks. The chicks are blown up and sink through their legs because they cannot carry their fast growing weight and they have reached the optimal weight for as much meat as possible for the barbecue. But hey, what does the Minister care if they can't stand on their feet if you can put tens of thousands of animals, tens of thousands of chicks, into a stable at the same time? No one's gonna see it. And when someone sees it and films it, the Netherlands is terrified of what is happening in the Dutch livestock sector. Mr. Chairman. What are we doing to the goats? In recent years, goat farming has been able to make a lot of money from the production of goat's milk and goat's cheese. But also for this reason, in order to produce milk, the mothers must first get the goat lambs. These goat lambs must then be removed after birth, because hoho, no, that milk is not for the lambs, but for humans. What to do with the lambs and goats? They are increasingly seen as waste. In five and a half years more than 10,000 newborn goat lambs were transported to the slaughterhouse, while according to the registration they were less than a week old. They were newborn animals who could barely stand on their feet, according to an old goat farmer. After the slaughter, they were taken to destruction. Does the Minister think consumers who buy goat cheese know this? Can the Minister tell the honest story about exactly what happens to goats, lambs and goats to produce goat's milk or goat's cheese? Meat and dairy are paid expensively. But what is the value of the animal in the Netherlands? We have long known that animals are not all protected in the same way. Why are we hugging one animal and cutting the other into pieces? Why do we pay hundreds to thousands of euros for one animal to take care of it and do we not have a penny for the other animal and ignore the legally recognised intrinsic value? The self-esteem of animals is completely independent of their usefulness to man. How does the Minister see this difference? Mr. Chairman. If you are born in the Netherlands as a chick, piglet, goat boy or calf, you are literally reduced to small money. Even the minimal rules that are there to protect you are not respected or even controlled. The NVWA, the organisation that should be monitoring this, is heavily stripped after the cuts and reorganisations. The NVWA cannot perform two thirds of its tasks due to lack of capacity and quality, with all the consequences. For example, there are whole sectors where the NVWA does not come to control by itself. Millions of animals, tucked away in stables, are left to their fate. Even the exact mortality rate isn't even recorded. The suffering is too great; the number of animals is too large. In addition to food safety, animal welfare cannot be guaranteed by the enormous pressure on the slaughter process. That is what the Minister said, but if the Minister believes that public health is the first priority and that animal welfare is a good thing, why does the Minister not consider the number of animals in livestock farming and in slaughterhouses to be appropriate to the level of supervision that it can carry out? Dozens of millions of forgotten animals languish in stables where no one ever comes. The suffering is so great that a change in the system is needed to deal with this. For years there has been a debate on how much or how little drinking water the suffering of animals begins. Animals that have to produce eggs on the conveyor belt where, for example, chickens hatch, the puffy chickens, have the same genes as their children but live longer than six weeks. If they were to eat and drink according to their needs, they would burst out of their joints and therefore suffer from thirst. Even this basic need for drinking water, this basic duty, is reduced to a maximum and the supervisor is not given any tools to act against it. The former inspector-general of the NVWA said that the longer animals do not receive water, the worse the animal suffering. Then you can explore for a lot of money at what exact moments this suffering becomes unacceptable, but it is better to make it mandatory that animals simply have access to drinking water. It's so obvious. However, this is still not settled. We are therefore coming up with a proposal. Mr. Chairman. Then there's the supervision in the slaughterhouses. Every day more than 1.7 million animals are hunted through the hell of the slaughterhouse. Tens of thousands of animals have been killed in the time I stand here. The NVWA looks at it and looks at it or doesn't even look at it, because there are far too many animals and there are far too few inspectors. In slaughterhouses, where up to 13 000 chickens are slaughtered per hour, the speed is so high that slaughterhouse staff do not have enough time to hang the animals on the hooks, to separate wounded animals or to intervene. Nor can NVWA employees properly check whether the animals are really intoxicated. They often do not have a chance to stop the slaughter line in time if an animal is not intoxicated or not bled. A chicken can be wounded, hanged half on the slaughter hook, miss the electric water bath and therefore consciously get a knife in her neck and drown alive in a hot water boiler even before she bleeds out. And no one can help. A year and a half ago, through the Old Hand motion, the Chamber asked for the speed of slaughter to be reduced immediately, but the Minister still failed to do so. This can't go on like this. Every time the images come out about this reality, about the honest story, people are shocked: is this really allowed in the Netherlands? The awareness and inconvenience in society about how animals are treated in Dutch livestock farming and in slaughterhouses is growing. And also the resistance against it. In addition to the fact that not everything can be done, it is not fair to pretend that there are no limits to the way we deal with animals. Almost 30 million animals die of misery already in the barn or during transport, but then you don't hear the minister about it, never. Do we hear the Minister on the 7.5 million chicks, chickens and ducks and on the 76,000 pigs, cows, calves and goats that are simply thrown away in the slaughterhouse every year? Do we hear the Minister about the 20,000 animals that have to be killed every year at the assembly sites because they are too weak, injured or sick to be transported further, or about the nearly 600,000 chickens that die during transport? In the budget now available, 0.16 cents per animal will be allocated in the coming year to promote the welfare of those 617 million animals. 0.16 cents. For comparison: more than twenty times this amount is allocated to the promotion of the Dutch agro-industry abroad. When is the Minister going to intervene? Or does the Minister insist on the strategy of "don't know what doesn't bother"? Will you stop this for once? What's the Minister waiting for? Mr. Chairman. The fact that animals cannot be dealt with today is well known, also in the Ministry of Agriculture. The Wijffels Committee pointed out twenty years ago that economicisation and scaling-up in intensive livestock farming have led to amorous phenomena. We need to radically review the way we deal with animals in livestock farming. Everyone knows it, but not everyone dares to say it out loud. It's up to politics to make bold choices. But even since the conclusion of the Wijffels Committee 20 years ago, the scale increase has continued. Why, I ask the Minister. Why are these recommendations systematically ignored? It also does not help farmers if you continue to make investments in a system that you know is socially opposed. Twenty years ago, the second purple cabinet promised that by 2022 at the latest, the animal's perspective and natural behaviour would guide animal welfare in livestock farming. Animals would no longer be adapted to the system, but the system would be adapted to the needs of animals. Animals should be able to show their natural behavior. They would get daylight and enough space to move well. This promise was repeated in 2007 by the Cabinet-Balkenende IV. Then don't come up with a plan against a legal obligation to pasture just after the Lower House and the Upper House have just adopted a legislative amendment that has finally laid down this twenty-year-old promise in the law. Do not come up with a proposal for a funnel where ducks can stick their heads in duck farming if the Chamber points out that it is not acceptable that ducks can never swim and stand on their feet all day long when they cannot. Come with a reduction in the slaughter rate, a plan against disease and mortality among the goats' kids, the legal guarantee of grazing, lowering the maximum temperature for animal transports and so on. In other words, help the animals. Now, why don't you take the Chamber's motions? I think that's the least of it. Or is this the new administrative culture the minister stands for? Better build something nice. Finally work on the protein transition. Come up with concrete objectives and measures instead of removing the advice to eat less meat from the climate campaigns of a fellow ministry, because this message may be sensitive to the sector or to politics. Help entrepreneurs and help farmers to jump into the opportunities that lie here. That brings me to a message from agricultural media. They speak of a crisis in pig farming. In Belgium and Germany there is an oversupply of pigs and, to the extent of disaster, domestic pork consumption falls every year, as we read in the Farm about the situation in Germany. In the Netherlands too, there is a risk of a surplus of pigs. Then don't come up with promotional campaigns to get people back on pork or support packages to keep the sector going, but focus on the transition to a more plant-based society. Because there is another reason why livestock farming needs to shrink: the problem of manure. We have more shit than ground in the Netherlands. That's not good for the soil, it's not good for the water and it's not good for nature. And what does the Minister do? It is going to ask for an exception in Europe to allow more manure to run out on land than has been agreed. Has the Minister of Agriculture forgotten that she is also Minister of Nature? Sanding against the edges of what's possible and what's allowed. Stinks for thanks towards almost all the government's independent advisory bodies. Here too, we need to keep fewer animals. The Chamber gave the Minister the possibility, through a legislative amendment by the Party for Animals, to introduce breeding restrictions such as that the Netherlands is not allowed to carry out more manure on the land than has been agreed at European level. Better to stop breeding now than to bring animals back to slaughter. I would like to hear from the Minister how she defends the fact that she has still not made use of this legal possibility for a breeding restriction in the light of the current state of the art in the field of manure and nitrogen. Or is the Minister waiting again for thousands of healthy young animals to be brought back to the slaughterhouse? Why didn't the Minister set up a breeding restriction? Will you stop pushing ahead and moving the problems? Stop waiting for it to solve itself. That's not gonna happen, and that's not gonna work. Let me get this straight. While the cabinet keeps repeating that public health is number one, this does not apply to measures taken by livestock farming. When it comes to zoonoses, we have been struggling with the enormous impact of the coronavirus for two years now. Then you wouldn't want to call it off about yourself again, would you think, yet effective measures to fight other viruses still remain out. The avian flu virus is grabbing more violently than ever before. Almost year-round rearing of chickens has not prevented more than 1.1 million animals from being gassed by bird flu outbreaks since the end of October last year. The situation in the Netherlands is worse than that in our neighbouring countries. Animals in certain areas are gassed preventively to protect hundreds of poultry holdings in the immediate vicinity, as outbreaks with highly pathogenic avian influenza in areas with hundreds of poultry stables are impossible to control together. This nightmare scenario led to the gas of 30 million chickens in 2003. People got sick and a vet died. I ask the Minister: what were the opinions at the time when the response to these terrible outbreaks was evaluated and how can we now face the same threat again? We know that it is the biggest nightmare of virologists that avian flu virus or human swine flu is transmitted to humans. How many more warnings does this minister need? Stop filling these stables over and over again. Avoid the expansion of poultry farms in wetlands and areas with many other holdings and therefore follow the advice of the Bekedam Committee. The cabinet says it is still considering this, but should now act as a precaution. The explosive growth of goat farming also shows that the government still does not want to understand the precautionary principle, while successive studies have shown that people living in goat farms have been experiencing pneumonia much more often for ten years. RIVM speaks of a possible new zoonoses. Nevertheless, the cabinet continues to await further investigations. Why does the Minister still allow the health of residents of goat farms to be at risk? Why does the government leave it to the provinces to protect the health of its inhabitants, or rather not to protect them? No national measures have yet been taken and therefore no precautionary measures are being taken. Are we talking about unwillingness or impotence? Because there is still no system of production rights to curb this sector, which has doubled the number of goats since the Q-fever epidemic. There is a bizarre growth, also in provinces with a goat stop. In Brabant, even further growth is expected by almost 30% in the coming years. So there's no goat stop. The outgoing minister also seems reluctant to implement the adopted motion to stop the hobby hunt for the hare and the rabbit. The Chamber had asked the Minister to do this at the beginning of this year. The population of hares and rabbits has decreased by 60% to 70%. They're on the red list. That was an important reason for the Chamber to end the hunt for these two species with immediate effect. And despite this motion, the Minister has opened the hunt again this season. The Party for Animals finds that unheard of. That is why I am considering tabling a motion on this matter. Can the Minister also comment on the fact that the wild duck is seriously declining in number of breeding pairs? It has been 30% since the 1990s, but they are still being hunted down for fun. I am also considering a motion on this. Mr. Chairman. I told you for a while: nature in the Netherlands is in a bad way. Cabinet policy systematically runs counter to nature. Species such as the grouse do not survive by acidification, but the cabinet looks away and does nothing against the violation of our laws of nature. And in order to protect and strengthen nature, in addition to turning off the pollution tap, ecology must rise above the economy. Because without strong nature there is no healthy soil, drinking water or fresh air. The cabinet also seems to see this more and more, as the call for an integrated area-oriented approach, such as the connection of nature, water and climate events, sounds more and more frequent. This seems positive, but what is also needed for an integrated approach is more nature. And according to the PBL and Wageningen, 150,000 hectares of extra nature are needed in the Netherlands. Because on paper we can say that we are sticking to the UN biodiversity targets, but in reality we are seriously failing. We do this not only in quality, but also because we count ourselves rich with nature that does not exist at all. Can the Minister provide a new nature map without this romantic accounting? The little bit of nature we have left isn't very good. The Minister of Nature may care, but we'd rather she did something about it. Fortunately, we still have the islands of Caribbean Netherlands. Prime Minister Rutte is all too happy to show off this nature during international talks. However, such an honourable mention does not go hand in hand with good protection. Look at the Chogogo resort on Bonaire: no supervision, no permits and no insight into the impact on the coral. And new debacles are already presenting themselves. The possible arrival of a new cargo port and a fuel oil pier will affect the coral. But the Minister does not see these dangers at all: everything is going well, because the plans are in the making. Enforcement plans will come in 2022 and strategies to treat waste water will come in 2024. That is why my question is: how will the Minister prevent the aforementioned projects from affecting the coral? What additional measures will the Minister take until plans are in progress? Can the Minister indicate which other projects may pose a risk to the coral? Mr. Chairman. Internationally, the Netherlands also makes the most of it, by promising to stop deforestation during the climate summit. That all sounds nice, but as long as the reason for deforestation is not addressed, the protection will always be behind 0-1. For deforestation elsewhere, Dutch agriculture is one of the largest global co-causers. How is the Minister going to stop the natural destruction elsewhere in the world caused by Dutch companies? Mr. Chairman. Nature is not only under pressure because of the fragmentation, through the buy-out to agriculture and through the suffocation under the nitrogen blanket, but also the use of the poison spray is disastrous for animals and nature. The minister promised the neighbors that it would be radically different with poison. Public health was on one. But all this time, small groups of concerned citizens, such as Meten=Knowledge and Bollenboos, have had to solve the protection of the neighbors themselves. The neighbor with his poison syringe had to send an app if he was going to spray. What does the Minister say to people who are rightly concerned about their health or their children's, if they live in such an area? They're gonna have to figure it out now. And even now that the Chamber has declared that we want to stop using agricultural poison, the Minister is too miserable to pick it up himself. Public health number one, come on! Of all the controversial agricultural poisons, arthropods is one of the most well-known. It is still for sale in the store under the brand name Roundup, the stuff with which everything is sprayed to death except the cultivated crop. No bug and no bird can survive there. Ecologically dead zones. Giforanny colored fields, not the kind of orange we're proud of. Glyphosate is probably carcinogenic and it is likely that it can cause Parkinson's disease, the fastest growing brain disease in the world. For the Animal Party all reason to withdraw from the market immediately any substances containing phenylalanine until it has been proven beyond doubt that it is not harmful to health, to animals and to the environment. Germany and Luxembourg have already announced a ban. It would have been so nice if the Minister had done what can be expected of the government: to put public health on the same footing. Is the Minister prepared to impose a ban until the manufacturer has passed all the tests, including those on neurological effects? Is the Minister prepared to impose a ban until she can guarantee that this medicine can be used safely? Not only because of health, but also because of the effect on insects, such as bees, it is necessary to stop this mess. The huge amount of agricultural poison used in the Netherlands kills these important animals in large numbers. In addition to agricultural poison, the wild has another threat: the honeybee. This summer I was on a working visit in De Biesbosch and I saw more than 2,000 honey cupboards from foreign companies: honey cowboys who get free play with a proliferation of bee closets, which create enormous food competition with wild bees in nature areas. I've already asked questions about this. I am also considering a motion on this point, unless the Minister can promise to stop the placing of honey cupboards in nature. Mr. Chairman. Not everything can happen. Everything can be broken, but of course it doesn't have to be. There are two ways ahead of us. We can continue on the current path with business as usual, or we can choose that leadership for change does not come from the Chamber, but from society. Because more and more people are taking this way of dealing with animals, humans and the earth no longer. Taboos are slowly being broken open. If you still eat meat every day, you belong to a minority in the Netherlands. The market for vegetable meat and dairy products is booming. More often than not, it is not the representatives of the people but the people outside this Chamber who make the difference. Concerned citizens who go to court to enforce the law if the government fails to do so, and successfully. People concerned who are concerned about what is being done to animals in livestock farming, who choose differently or go out on the streets to claim rights for the animals. We see young farmers taking over their parents' business and creating new earning models, so that they can sell their sustainable products on the local market. We see initiatives to make land more affordable for farmers who work including nature. There's another choice. The Cabinet and the Chamber, we are in a position to ensure that it goes in the right direction, not by shifting the problems away, but in a coherent way, by placing the long-term interests of man and animal, not the short-term economic interests of the western man and his money, but the long-term interests of man and his animal.
ParlaMint-NL_2021-12-01-tweedekamer-6.u10	I heard Mrs Vestering say something positive about farmers and new earning models. Do I understand that it sees the future for farmers and that farmers will have a different, perhaps larger, role, for example in nature management? Let me get this straight.
ParlaMint-NL_2021-12-01-tweedekamer-6.u11	I see a bright future for the farmers in the plant protein transition. That's what the Party for Animals is making itself very strong for.
