ParlaMint-NL_2021-02-25-tweedekamer-15.u1	I give the floor to Mrs Bergkamp on behalf of D66.
ParlaMint-NL_2021-02-25-tweedekamer-15.u2	Thank you, Mr. Chairman. I'll start right away. Because I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas since the AWBZ and subsequently the transfer of intensive child care to the Health Insurance Act, the question remains whether there is sufficient customisation in the method of financing, looking at the practice of parents and children;]] [[noting that research has already been carried out into the situation of parents during a course of intensive child care by the Kenniscentrum Kinderpalliative Zorg;]] [[Invites the Government, in consultation with all relevant parties and in cooperation with the Ministry of SZW, to carry out an external investigation to ensure the security of life of parents of seriously ill children, including after the possible death of a child, to involve existing research, and to inform the Chamber of possible directions for resolution by the end of 2021,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are bottlenecks with regard to the indication of intensive child care;]] [[Whereas a broad view of the patient's knowledge and experience from a variety of points of view helps to provide a good indication;]] [[Calls on the Government to engage with interested parties in order to ensure that the input of parents, child and main caregiver and, where relevant, the primary nurse is generally taken into account in the indication of intensive child care, and to inform the Chamber thereof by the end of 2021,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that parents who provide informal care to their child with a complex intensive care question do not always feel sufficiently heard by policy makers;]] [[Considering that in practice policy rules regularly conflict with the diversity and sometimes rarity of the many diseases, i.e. the diverse challenges and needs of parents and children;]] [[noting that in the project We see you have built up good experience to actively involve parents with a child with very serious intellectual and multiple disabilities (ZEVMB);]] [[requests the government analogous to We see you well also for parents who provide informal care to their child with a complex intensive care question to set up a working group, where parents are involved in a personal capacity and can make recommendations where the policy sheds, what works, what does not work and what stands in the way, and inform the Chamber thereof by the end of 2021,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-322]] [[This motion has been proposed by the member Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-323]] [[This motion has been proposed by the member Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-324]]
ParlaMint-NL_2021-02-25-tweedekamer-15.u3	Thank you.
ParlaMint-NL_2021-02-25-tweedekamer-15.u4	Thank you. I now give the floor to Mrs Agema on behalf of the PVV.
ParlaMint-NL_2021-02-25-tweedekamer-15.u5	Thank you, Mr. Chairman. I would like to thank the government and the Chamber for adopting the motion that Mr Kerstens has co-signed, on the fact that parents who obtained medical treatment for their seriously ill child should not be reduced in the number of hours. We are very grateful for that, but we do get reports from parents that it is still happening. I would like to ask the Minister if he can give us an update on the situation and on the implementation of the motion, which he himself gave to the Chamber of Justice. Then I have one more motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considers that the rewritten Handleiting Child Care is not written for the specific group of very seriously ill children who are intensively cared for by their parents, often in the final phase of their lives;]] [[calls on the Government to exempt these children from the rewritten Handleiting Childcare and to provide a separate hand-out intensive child care for this small group of very seriously ill children,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Agema, Mr Kerstens and Mr Westerveld. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-325]]
ParlaMint-NL_2021-02-25-tweedekamer-15.u6	A brief question to Mrs Agema. I had a similar motion. I would have shared that with Mrs Agema, but that was a long time ago.
ParlaMint-NL_2021-02-25-tweedekamer-15.u7	Yeah, that's true.
ParlaMint-NL_2021-02-25-tweedekamer-15.u8	So my request is to put my name, just like last time, below.
ParlaMint-NL_2021-02-25-tweedekamer-15.u9	Sorry, John. That's good.
ParlaMint-NL_2021-02-25-tweedekamer-15.u10	It's gonna be okay. Thank you. We'll add that in a minute. It'll be done soon. I now give the floor to Mrs Westerveld on behalf of GroenLinks.
ParlaMint-NL_2021-02-25-tweedekamer-15.u11	Mr. Chairman. I was also under Mr Kerstens' motion, so I would like to ask Mrs Agema if my name may be included under her motion. Mr. Chairman. When we spoke to some parents of care-intensive children, one of those parents told us that she felt more like a manager of her child than she could be a loving parent for her child. If you're also looking at what these parents are supposed to do, then I have a lot of respect for that. I have a motion on this, because I can also imagine that there are parents who are having trouble finding their way through laws and regulations. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Dutch healthcare system and the relevant laws and regulations are complex;]] [[noting that many difficult words and abbreviations are used for information on care-intensive children;]] [[Whereas it is not easy for low-school parents of care-intensive children in particular to become familiar with the care system;]] [[calls on the Government to set up a single website containing all important information on child care in understandable language and to set up a help desk that can support these parents,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Westerveld and Mr Kerstens. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-326]]
ParlaMint-NL_2021-02-25-tweedekamer-15.u12	Mr. Chairman. I had three motions when I came in here, and now I have two more, which I'm going to read to you. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it has insisted on a scout or scout. appoint a mediator in response to the situation that has arisen in the run-up to the Child Care Hand-up and after its entry into force;]] [[noting that a mediator has now been requested to do so;]] [[Whereas, in the case of distorted relations, these are mainly the result of differences of opinion in substance;]] [[calls on the government, taking into account the responsibilities of the various parties in this area, such as nurses' responsibilities, to include explicitly, in addition to the relations between them, the substantive aspects and their justification, in the process which has been started,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Christmas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-327]]
ParlaMint-NL_2021-02-25-tweedekamer-15.u13	Mr. Chairman. The second motion is a little shorter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the issuing of indications by organisations in situations where they themselves provide the indicated care in intensive child care causes a great deal of concern, in particular where parental care is regarded as "network care" and the organisation in question subsequently indicates hours of care in kind which it subsequently declares itself;]] [[calls on the Government to ensure that independent indications are always present by not allowing the notifying party to be the care provider at the same time,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Christmas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-328]]
ParlaMint-NL_2021-02-25-tweedekamer-15.u14	Finally, Mr President. After seven and a half years of parliamentary membership, I'm gonna do something else. This is the last debate in which I have been able to work for the parents who take care of their seriously ill children at home. They can count on, and indeed the Minister, that my successor will have this theme well on his or her retina. I would like to call on all other colleagues to take care of the same thing. These parents deserve our appreciation and, as has been shown, our support on a regular basis. Thank you.
ParlaMint-NL_2021-02-25-tweedekamer-15.u15	Thank you, Mr. Christmas. You're not really gone yet. I shall now give the floor to Mr Peters. No? Then I will go to Mr Van Gerven on behalf of the SP.
ParlaMint-NL_2021-02-25-tweedekamer-15.u16	Mr. Chairman. This is an incorruptible situation, which has been going on for a very long time. We believe from the SP that it can be simpler, better, fairer and fairer. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that health insurers regularly intervene in the indications issued to families with seriously ill children in order to reduce financial costs;]] [[noting that situations of families who have a seriously ill child are different and that each family requires tailor-made care;]] [[believes that seriously ill children should receive the care they need and should not be cut off by health insurers because they want to be cheaper;]] [[calls on the Government to ensure that health insurers do not interfere in indications of seriously ill children who have been submitted by pediatricians and nurses in consultation with parents,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Gerven and Mr Hijink. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34104-329]]
ParlaMint-NL_2021-02-25-tweedekamer-15.u17	Thank you, Mr. Chairman. Older people, parents, children: all need their immediate surroundings in vulnerable moments, but also government support. We have to deal with that carefully. This morning we read again that there is often the crux of the execution. My last motion is going to try to help make life a lot easier for some people, hopefully with a little less stress. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that children who have long-term restrictions or diseases are often given an indication each year;]] [[noting that this entails a great deal of administrative and stress every year;]] [[Whereas for many children a multiannual indication could be sufficient, as their care demand hardly changes;]] [[Whereas health insurers have the possibility to issue multi-annual pgb allocations;]] [[believes that these children and families should be spared as much stress and administrative pressure as possible;]] [[calls on the Government to examine the obstacles to the delivery of a multiannual indication and, on the basis of this, to discuss with them whether the existing possibility of granting longer-term pgb authorisations can be more widely used in long-term seriously ill children, and to inform the Chamber in the second quarter of 2021,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Laan-Geselschap, Mr Bergkamp, Mr Dik-Faber, Mr Ellemeet and Mr Peters.]] [[She's getting No. kst-34104-330]]
ParlaMint-NL_2021-02-25-tweedekamer-15.u18	Thank you.
ParlaMint-NL_2021-02-25-tweedekamer-15.u19	Thank you very much, Mrs Laan-Geselschap. I'm looking at the minister or he needs a short suspension. That's the case. Five minutes? Come on, I'll suspend the meeting for seven minutes.
ParlaMint-NL_2021-02-25-tweedekamer-15.u20	I give the floor to the Secretary of State of the United States of America.
ParlaMint-NL_2021-02-25-tweedekamer-15.u21	Thank you, Mr. Chairman. I'm passing the motions in order of entry. I'll start with the motion in part No. 322. I would like to leave the judgement to the Chamber on that. I will work on this with the Minister for Social Affairs. Also on the motion on item No. I would like to leave the judgment to the Chamber. What is described in the motion supports current practice. I think that's important, too. In the motion in part No. 324 the government is asked to set up a working group similar to 'We See You Well' for parents who provide informal care. We have achieved very nice results with the working group We see you Well, so I do think it is a very nice idea. I think it's a good thing that we immediately, so firsthand, hear from parents what things they run into. It should not therefore become an organisation of interests, because we already have a few of them; they must be direct experiences of parents. But that's what you mean, I think. So I'll leave the verdict to the Chamber. Then the motion to part No. 325. It calls on the Government to "exclude these children from the rewritten child care hand-off and to arrive at a separate hand-off with the help of a mediator." I am going to dissuade that motion, because I believe that the hand-out that has been developed should work for all children. Most patient organisations agree and also see that it works for all children. That is why I would like to discourage the motion. In the motion in part No. 326 The government is invited to set up a single website containing all important information on child care in understandable language and to set up a help desk. We actually already have that helpdesk, you might say, but I understand the idea of that website. I should therefore like to leave this motion to the House. Then the motion to part No. 327. It belongs to the member Christmas; it is one of his last motions. I would like to leave the judgment to the Chamber, but I will add a few things. I leave the judgment to the Court because it says in the operative part: taking into account the responsibilities of the various parties in this matter. This is important because we do not want to see patient organisations in the nurse's chair through mediation. The nurses themselves are dealing with their own professional directive. That's how our care works, and I'd really like to keep it that way. At the same time, you cannot completely separate the content from the dispute that exists. There is a relationship for a very important part, but it has a substantive background. The factual basis of the case may of course be involved in the mediation. If I may read the motion in this way, so you mean her, too. I would like to leave the judgment to the Chamber. Then the motion to part No. 328. I would not be in favour of that, because it makes it much more bureaucratic. So I'd like to dissuade this motion. I just want the nurse to be able to dictate himself, to provide the care himself. Otherwise we will go back to the CIZ situation of independent indication. I don't think we should want to. In the motion in part No. 329 the government is asked to ensure that health insurers do not interfere in indications of seriously ill children who have been placed by pediatricians and nurses in consultation with parents. Well, health insurance companies, of course, just have an efficiency mission. I can't get rid of them. It is not so much about the indication, because it is to the professionals themselves, but about the payment that is made on the basis of the care plan; and that is linked to the indication again. So I'm going to dissuade this motion. In the motion in part No. 330 calls on the government to examine the obstacles to the delivery of a multiannual indication to health insurers. I would like to leave the judgment to the Chamber on that. The administrative arrangements concerning the Zvw-pbg include that health insurance companies provide tailor-made services with regard to the duration of payments. Most health insurers are subject to a maximum of two years. So I assume that health insurance companies really are using this, but I would like to examine whether there are any obstacles to that, because you are not filing this motion for nothing. And I also know the signs that in some cases there is very often a re-indication. Sometimes that's what you want, when it goes up or down really fast, but sometimes you can work more taller, and you have to. So I'd like to leave the verdict to the Chamber. Then I have one more question from the PVV. Mrs Agema is asking for a state of affairs. The new interpretation of the Healthcare Institute has been included in the hand-out and I have not become aware that a lot of negative signals have emerged since then. But you're not asking this question for nothing, so you do have those signals. Maybe outside the broadcast, you can give me the names and numbers of those signals. Then we can check it out. I'd like to update on the state of play.
ParlaMint-NL_2021-02-25-tweedekamer-15.u22	A brief question, Mr. Van Gerven.
ParlaMint-NL_2021-02-25-tweedekamer-15.u23	It's about the motion in part No. 329 members Van Gerven and Hijink. Have I heard the Minister correctly that he says that health insurers do not have to interfere with the indication, for example when it comes to the number of hours of care that should be provided?
ParlaMint-NL_2021-02-25-tweedekamer-15.u24	Not with the indication as such, but of course with the care plan that results from that indication. There, for example, one has to test the basis for the number of hours of care, because they have an efficiency mission in our system. I'd like the health insurance companies to keep doing that. We pay bounty with each other and we pay care with each other throughout the Netherlands. So, no, I don't think health insurance companies should say how many hours of care a child or a parent needs, but if that indication is given, I do think that health insurance companies should ensure an adequate basis for the indication as it has been done. For this purpose, health insurers have a whole process, namely that they may also reject a health care plan that is eligible for funding on the basis of medical advice. Here too, therefore, the health insurers do not sit in the chair of the medical practitioner, but I do believe that health insurers should retain their task of efficiency.
ParlaMint-NL_2021-02-25-tweedekamer-15.u25	That's what you said. Finally, Mr Van Gerven.
ParlaMint-NL_2021-02-25-tweedekamer-15.u26	A long answer, but the confusion is increasing in me. Again, if, for example, the plan is that 100 hours of care is needed, should the health insurance provider simply take over those 100 hours in the Minister's vision?
ParlaMint-NL_2021-02-25-tweedekamer-15.u27	100 hours is quite a lot, so the health insurance company will look at the care plan and think: hey, that's pretty crazy, because 100 hours is a lot and why isn't that better substantiated? He will then contact the indicting nurse. That will be done by his own indicting nurse who is employed there. He's gonna test it. If it is well substantiated, what Mr Van Gerven is saying is indeed the case. Then there's just payment. If it is not well substantiated, either a better justification is asked or said "you may have to re-indicate it."
ParlaMint-NL_2021-02-25-tweedekamer-15.u28	Thank you. Mr. Kerstens, please join the next microphone.
ParlaMint-NL_2021-02-25-tweedekamer-15.u29	I have another question for the Minister on the motion for a resolution on item No. 328. For a moment, I thought he might read it differently than I meant for her. I heard him say: we do not want to go back to the time of the central indication. That's not what the motion says. In the motion it is a question of being the nurse who gives the indication, but it should not be the same nurse who also has a financial interest in it, because he will then give and declare the hours himself.
ParlaMint-NL_2021-02-25-tweedekamer-15.u30	That's what I understood. Nevertheless, the judgment remains "dissuade." I understand Mr. Kerstens' idea. I don't think it's a crazy idea, either, but if you think about how it's gonna look, it means that a neighborhood nurse who's gonna take care of himself shouldn't be allowed to say how much care is needed. A general practitioner may, for example, do so, but a district nurse should not be allowed to do so. It would have to be another neighborhood nurse. Then you come to someone's house and you have to get another nurse to tell you how much care can be taken. But this type of care for this type of children is going to increase a lot. That means you have to bring in someone else every time. That means we're gonna make nurses into paperwork. I think that's such a shame, because we need our nurses so badly for care.
ParlaMint-NL_2021-02-25-tweedekamer-15.u31	Thank you. I think you've reviewed all the motions.
ParlaMint-NL_2021-02-25-tweedekamer-15.u32	I think so, too.
ParlaMint-NL_2021-02-25-tweedekamer-15.u33	Yeah? Thank you.
