ParlaMint-NL_2021-02-09-eerstekamer-11.u1	We need the response of the initiators and the government in the first term.
ParlaMint-NL_2021-02-09-eerstekamer-11.u2	I give the floor to Mrs Bergkamp.
ParlaMint-NL_2021-02-09-eerstekamer-11.u3	Thank you, Mr. Chairman. First of all, there are some people we would like to congratulate today. We congratulate Mr Baljeu on his maiden speech, which is always a very special moment for the president on his birthday and, of course, the PvdA. Mr. Chairman. First of all, I would like to thank the senators for the time and attention they have given to our initiative law; first of all, in the previous questions from the preliminary report, and then in this plenary debate. We will, of course, deal with the questions as well as possible. Before we answer all the questions, we would like to thank a number of other people, namely the supporters who contributed to the drafting of this bill. They are, of course, following the way we are doing at the moment in suspense. These are Koen Sijtsema of D66, Daphne Warnar of the PvdA, Jaap van der Heijden of GroenLinks and certainly Bureau of Legislation. In addition, we would like to thank the Ministry of the Interior and Kingdom Relations, in particular Marije Graven and Paul van Sasse van Ysselt for their advice, as well as our external advisors Ranoe Bishoen and Huub Linthorst. Finally, a word of thanks, of course, should also go to our predecessors, who have provided the important building blocks for the drafting of this bill. These are Mr Boris van der Ham on behalf of D66, Mrs Naïma Azough and Mrs Liesbeth van Tongeren van GroenLinks, and Mrs Anja Timmer and Mr Pierre Heijnen of the PvdA. Mr. Chairman. It is of course very honorable and very nice to be in your midst today. It makes it extra special that we are talking today about our Constitution. Mr. Chairman. We have chosen to speak for all three. That might be fun for the variety as well. First of all, I will answer the general legal questions. Then my colleague Van den Hul will answer the more specific legal questions that have been asked, and also the questions specifically about sexual orientation. Then my colleague Özütok will answer the questions about, among other things, disability, international and varia. Mr. Chairman. Several senators have asked why this bill. I would like to think a little bit more about that, because I think I can answer a lot of questions at the same time. I liked it very much that Mr Rombouts of the CDA said: show me your constitution, and I'll tell you where you live. I thought that was a very nice characterization. It indicates that the constitution is based on the history of a country, the culture of a country, and that it runs organically. It's not something you make and develop through the drawing board. Mr. Chairman. A number of questions have been asked, such as: it is already in international treaties, isn't it? It's already in legislation, isn't it? Then why in the Constitution? These are questions from the SGP and also from the PVV. I think it is important to repeat what we are talking about today. Today we are talking about Article 1 of the Constitution. It's made up of two whole sentences. I have heard the first sentence several times today. That is the principle of equality: "All who are in the Netherlands are treated equally," to the extent of equality. You can also reverse that: unequal cases are treated unequally to the extent of inequality. Then we have the second sentence. That is the prohibition of discrimination: 'Discrimination on grounds of religion, belief in life, political orientation, race, gender or on any ground is not permitted'. Our initiative involves adding two grounds, disability and sexual orientation. That is what we are doing, bearing in mind that, unfortunately, there is still discrimination on grounds of disability and sexual orientation. My colleagues will look at the practice of this later. Why this bill? First of all, to increase awareness. Mrs Teunissen of the Party for Animals has extensively reflected on this. This expression is important, so that it is in our Constitution and that people recognise it. It is also important that we set the standard. We do not accept discrimination on grounds of disability and sexual orientation. But it is also important for legal protection. We have therefore often used the legal effects of the Committee on Legal Affairs and Citizens' Rights in our response. He has investigated what it legally means to add an extra land. What did the Commission say about legal effects? He said it could indeed lead to greater legal protection. We are talking about three types of legal protection: legal protection against the legislator, legal protection against the administration, i.e. civil protection, and legal protection by the courts. First of all, legal protection against the legislator. You could say that this is actually a hint to the legislator: at least provide a minimum level of provision. It is also protection against the local legislator. It is input for further legislation, as we have seen, for example, in the General Law on Equal Treatment. And it is also a source of further legislation. That is the first thing: legal protection against the legislator. It's also legal protection against the board. You often see that it is part of the social debate. People among themselves often talk about the Constitution. They say: 'Hey, you can't do that, that's contrary to Article 1 of the Constitution. That is also the interaction that Mr Dittrich talked about, the social groups and also the political party that plays such an important role. It is also often a reason to initiate new policies. You could actually say that it's some kind of legal hold that can serve as a social beacon. That's what it's worth. There may also be legal protection by the courts. The Commission's legal effects, i.e. the Committee on Legal Protection, indicate that the inclusion of that ground does not necessarily lead to a structural increase in legal protection, but that, in individual cases, a judge may attach a single interest to it, and that the judge is not talking about that separate ground, but rather about the ratio behind those personal characteristics. I think it's okay to think about that. Mr Dittrich of D66 also said it: it is not just about characteristics, but about personal characteristics that you cannot renounce, the so-called physical characteristics. I am talking about gender, race, but also sexual orientation and disability. It can also be about personal characteristics that you can only involuntarily renounce and affect your integrity. Then I'm talking about religion, belief in life and politics. What all these features carry is a history of disadvantage, exclusion and even persecution. These are characteristics that have been stated in the legal process that are in all reasonable terms irrelevant for determining whether the distinction is made when it comes to claims and provisions. These are characteristics that are suspected in advance, where there is a greater presumption of discrimination. That is, in short, because this bill has been going on for some time, a lot has already been written about it and many questions have been answered about why we are doing this, because there is still discrimination. But the most important function is that it increases the awareness. We are setting a standard and it can also lead to greater legal protection, as the Commission has also described legal effects. Then I look at the questions that have been asked. Of course, we followed the debate on symbolism with great interest. In particular, in the contribution of the SP, we noticed from the interruption that this is an important issue. We also see the symbolic function of the Constitution. Well, that's different than being sloppy of symbolic value. If you took him that way, you could indeed say: what is the value of such a constitution? I hope I have just been able to prove that there can be that legal protection. However you turn it or turn it, for a lot of people, Article 1 of the Constitution is very well known. It's also called the flag of the ship. You can give it all kinds of other beautiful terms. He's important to a lot of people, and he's recognizable. Of course, I do not know how it is often, but Mr Rombouts said that he does not often interrupt. I thought this was a very justified interruption, because our Constitution is so much more than just a symbol. He also has much more than just symbolic value. He also has an important role to play in legal protection. That's what I was talking about. Mr. Chairman. Of course, it is true that 50PLUS also had a question there about how to settle it well and nicely in the Constitution and in other laws, but that you do not have the reality yet. There's a gap in that. I think that is a correct observation. Nevertheless, we consider such a constitutional amendment to be very important with regard to the establishment of that standard and that awareness. Let me give you the example that it is nice and nice to be able to give people the way we look at it in the integration process. If it is in the law, it is clearer in terms of visibility, but of course much more is needed in the accompanying policy. Mr. Chairman. Mr Van der Burg quickly expressed his support in his contribution on behalf of the VVD. Thank you for that. That's good for us. He immediately commissioned the government in his contribution. I think that is also a correct one, looking at the functioning of the Constitution in vertical relations. I shall say more about this later when I talk about horizontal and vertical action. By including it, more certainty is provided that legislation, policies and provisions for the groups we are talking about will be maintained, extended and even strengthened, now and in the future. That is why many interest groups, of people with disabilities, of chronic sick people and of people from the Ihbti community, are so eagerly looking forward to this constitutional change. It is important for them to see the rights that exist anchored. We were all touched by the contribution of Mr Verkerk of the Christian Union. I found it very beautiful and striking that he indicated that it contributes to the prosperity of society. It has also been said that you are strengthening the rule of law. That is, of course, what we end up doing for each other. We want to embalm the scratches on the soul. In that sense, it was a pleasure to see you. We could have made our speech on the basis of all the fine remarks made. Let me be clear that it is very inspiring for us to be so in your midst and to get this to us. Mr. Chairman. It was also about constitutional maturity. Mr Koole said that you have an intensive constitutional change, a procedure, and on the other hand also constitutional maturity. He asked if that would be a little unnecessary. He asked whether Thorbecke had passed his constitutional amendment in 1848 if he had to comply with that constitutional maturity. Unfortunately, we cannot answer that last question, because we will never know how it would have ended in 1848. Then we would have to move very much in that time, I think. In that sense, Mr Koole has a point that you do indeed have a very intensive procedure for amending the Constitution. Some of the senators have indicated that. There is a first and a second reading. This is a trap. It is very nice that we can vote on it today. Of course we're looking forward to the results. It's a whole procedure in that sense. There must be a new Chamber between the first and second readings. At the second reading there must also be a two-thirds majority of the Second and First Chambers. So that's tough. But as proposers, we are here as legislators. We have this procedure. We also know that it is valuable in many debates on the Constitution and that it is part of the debate to talk about the austerity of the Constitution, about constitutional maturity, the need for social justice and that social support. If you threw all that into a pile and I had to explain it to my little girl, I would say, well, it's very difficult to change the Constitution. That's basically what it's all about. I also found it typical of how the Franken Commission has conducted research into fundamental rights in the digital age and concluded that adjustments should be based on developments that should be enshrined in laws and treaties, for which there should be proper social support. When I see these interpretations, I think our legislative proposal has sufficient constitutional maturity. I also think that this constitutional maturity gives a coloration to the increased procedure for the Constitution; I think you can look at it that way. If we look at the 2001 Rouvoot motion, which was, by the way, supported by the SGP, which asked for the disability to be included in the Constitution, it has actually been the start. That discussion has always been there, but that motion in 2001 was also an anchor. But the UN Convention for People with Disabilities, which was ratified in 2006, certainly was. My colleague will tell us more about the handicap later. But also when it comes to sexual orientation, it is of course special that this year the opening up of civil marriage to couples of equal sex is twenty years ago. When we talk about the General Equal Treatment Act of 1994, we see that this includes sexual orientation. These are actually all examples of the anchoring. We dare to say that our initiative law meets the requirements that have been set. We are talking about austerity of our Constitution. I do not want to detract from the importance of this, but in this situation we are talking about three words, two reasons which we add: the increased procedure and then again that constitutional maturity, which I hope I have been able to underpin to you.
ParlaMint-NL_2021-02-09-eerstekamer-11.u4	I am told by the authors that constitutional maturity is one of the requirements in addition to procedural requirements. Well, I say "in addition," but it was a "colouring of" the procedural requirements. Why I asked that question this morning, both to the Minister and to the proposers, is because I was wondering if that would mean that you were going on a slippery path. Because when do you determine that maturity, other than what you think: there is so much support for it, that in the long run I can achieve a two-thirds majority in that procedure? So what does this whole discussion about social acceptance and procedural maturity as a separate requirement now add to that process? That's what I'm asking again. It is not just a colouring, but it seems that you should ask for permission from other people than from Parliament with a two-thirds majority.
ParlaMint-NL_2021-02-09-eerstekamer-11.u5	I understand Mr Koole's question. As proposers, we have taken the existing practice as our starting point, and that is the increased procedure. In many debates, when it comes to the Constitution, the question is also raised in writing: what about this constitutional maturity? Our answer was also that it's not an exact science. The question has also been asked: do you have all kinds of criteria to check on? No, not that. I can say it's steering. You can also say: it gives coloring to that weighted procedure. But I agree with Mr Koole: you can look at it in different ways. In any case, we have tried to respond to those parties who consider this constitutional maturity to be very important, in addition to the procedure that has already been tightened up. And we answered that as best we could. But it's definitely not a rule. It is also part of the political debate on how we look at such a constitutional change.
ParlaMint-NL_2021-02-09-eerstekamer-11.u6	I welcome this answer, because this indicates that the requirements of the process are the most important, also according to the proposers. If you're trying to get through an ordinary law or a constitutional change, you'll see if this is feasible. You do that with every law. We do not speak in every law of "legal maturity." If you're sure it won't work, you're probably not gonna file it either. Sometimes you do, and then you win a defeat. Constitutional maturity...................................................................................... That was also my comment on Thorbecke. In 1848, Thorbecke was not given the king's answer: constitutional maturity. The king did not say: as a king, I think it is ripe now, and now you can submit your constitutional proposal. It's been really different. I won't elaborate at the moment, but there was also blackmail at and everything. At least there appeared to be a two-thirds majority in favour of the constitutional change, and that was what it was all about in the end.
ParlaMint-NL_2021-02-09-eerstekamer-11.u7	In my view, the most important thing is that the Constitution is seen as a foundation. If something is to remain a foundation, then we believe that you should not change things too quickly unthinkingly. But in the end, it is the policy that decides on this. We have tried as best we could to answer all kinds of questions about this from all kinds of angles. We liked the question, let me put it this way.
ParlaMint-NL_2021-02-09-eerstekamer-11.u8	Thank you for this first introduction by the initiators. I still have a question about legal protection. The initiators say that it can provide for certain aspects of legal protection, but at the same time it is already covered by all kinds of existing legislation. Of course, it's a long process. Reference has already been made to the motion for a resolution of 20 years ago. Fifteen years ago, the cabinet at the time said that the proposal to extend these grounds does not provide a structural increase in protection. How do the initiators view the government's ruling 15 years ago, specifically on this point, with regard to the proposal as it now stands with regard to that structural increase in legal protection?
ParlaMint-NL_2021-02-09-eerstekamer-11.u9	I think this is a very fair question. We have looked closely at the Commission's 2006 report on legal effects. We've studied well what was in there. With regard to legal protection by the courts, it is true that adding a ground does not automatically, or by definition, lead to a structural increase in legal protection. That's right. But it also states that this does not mean that a judge can attach any importance to it in individual cases. I think it is. The grounds mentioned are grounds where there should actually be an alarm bell, because there is a greater suspicion that there might be discrimination. It's a case of suspicious grounds in advance. Is discrimination on grounds that are not mentioned also bad? Sure. Discrimination, on any ground, is bad and shouldn't. Only, the difference with the stated grounds is that they are suspicious in advance, that they imply that it is in all reasonableness irrelevant to distinguish, that alarm bells should go off and, as I just said, that they really have a history of exclusion, disadvantage and even persecution.
ParlaMint-NL_2021-02-09-eerstekamer-11.u10	Thanks for the reaction, but the point is this. Article 120 of the Constitution contains a prohibition of review. The judge can't directly check on these grounds. It is already regulated in lower legislation and treaties. So the judge has every possible reason to protect this. It's done. For example, we have had the case with the hands refuser: the Islamic man who refused to shake hands with women. It was rightly said that this is a ground for unacceptable discrimination. So such issues can be easily picked up by the judge. What structural increase in legal protection does this offer, which is so serious that it should really be incorporated into the Constitution as the highest possible level of legislation?
ParlaMint-NL_2021-02-09-eerstekamer-11.u11	When it comes to legal protection by the courts, it is as I have just indicated, but it also provides protection against the legislator. It also provides protection against the local legislator. I have just indicated that it is also input for specific legislation. If you look at the General Law on Equal Treatment, it is the elaboration of Article 1 of the Constitution. It also ensures that new legislation is introduced. It is also legal protection in society. I've been trying to explain that it's a kind of legal hold, a social beacon. It also gives direction to civil society organisations. It is important for initiating policy. Apart from the fact that the judge can attach some importance to it, you can also see that there can be legal protection against the legislator and against the administration. Of course, that's always the balance: do you think that's enough? We believe that the answer is 'yes', especially looking at history. In 1983 there was not yet a chance to include sexual orientation. It was said that that actually falls under the first sentence. Living beliefs had to be able to continue to play a role in this. In other words, the time was not yet ripe. There were too many practical problems with regard to disability. People said about disability: that is so diverse and that can have so many different consequences. Now we're on. We now have a UN Convention for People with Disabilities. The legislation has been tightened up much more. There is now much more acceptance that the norm is that discrimination cannot be based on sexual orientation. On the point that perhaps it could have been included in 1983, we say that the time was not right at that time. Now that's the case. It leads to a certain degree of legal protection. In addition, the awareness and standard is very important, also for the people about whom it is about.
