ParlaMint-NL_2021-11-18-tweedekamer-4.u1	We shall then proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2021-11-18-tweedekamer-4.u2	I would like to give the floor to the Foreign Minister for his first answer.
ParlaMint-NL_2021-11-18-tweedekamer-4.u3	Thank you, Mr President. It is a good practice that the government is kicking off this debate with a few general reflections, usually also about the changes in the world. I am here as a newcomer, but also as an old-timer. That also stimulates us to make some observations about our country in relation to the world. If I do so, and compare it with the last time I worked at the Foreign Office, I notice that we are in a reorientation which may prove to be far greater than we can or dare to overlook now. That also suggested Mr. Brekelmans in his maiden speech, where he had some raucous points. I should also like to congratulate him on this. A wonderful story, and for me a great degree of identification because we grew up in the same beautiful village, and by the way both of us started our working career on the same square, namely at Anton Pieckplein in the center of the Efteling. Mr. Chairman. Reorientation. Just one thing we have often talked about in recent weeks, namely the departure of Britain from the European Union. Do we actually see the consequences of this? For generations, we have always sought the balance between France, Germany and Great Britain. We were the main advocates of Britain's membership of the European Union. In fact, it is said that NATO actually created a kind of space for us in Europe to maintain a kind of neutrality by other means, with equal distance to our three neighbours, but all of this unlike before the war, possibly under the umbrella of the Pax Americana. Those days are over. Britain has moved to what they call Global Britain and we are looking for closer cooperation with countries on the European continent. With Germany, but more and more also with France, and that is getting used to. For many people, this is also mainly due to the fact that we have often, it is true for many, grown up with the idea that behind every Frenchman there was actually an old-fashioned guullist. And that's not only getting used to, but it has consequences. Perhaps one of these consequences is that, compared to ten years ago, we are less grumpy and less waiting on the sidelines when it comes to action within Europe, acting in the context of European initiatives. I'll take that as a profit. If we're talking about security, we're looking. NATO no longer offers that classic clue of the past, because conflicts also occur differently. Hybrid, what we see now in Belarus, we did not think about that at the time when NATO was established, and it could not. But there are consequences. The United States, quite rightly, is also asking us to do more than we used to do. And when it comes to that change, we are not talking about the political instability that you find in democracies on this side of the ocean and on the other side of the ocean and which are not without obligation. We may not even see all the consequences of this, but we feel that something is moving here. Then I come to a second observation, also based on debates that I have been allowed to have with you so far. We call on the rule of law, human rights and human dignity as few others. It's in our DNA. More than a century ago, the great Leiden professor Van Vollenhoven wrote that our country had a vocation in promoting the international legal order from its abstinence and its high moral content. That suits us, such a normative view of the world. Moreover, this is all the easier as you become more independent as a country vis-à-vis other powers and forces, far away from compromises and also far away from water by wine. Sometimes that feels good, although at the same time it sometimes has something non-binding. In addition, we must not forget that in earlier times we were a distant, neutral country for centuries. That's not all gone. Sometimes you see the cart tracks of the old days through the weary asphalt, as the great historian Maarten Brands once put it. I rather believe in the difficult path of alliances, including the compromise, including the willingness to run the risk of dirty hands. That's hard enough, because how do you find support for imperfect compromises in a society that tends towards absolute terms of pro and contra, of black and white, where how something feels sometimes weighs more than how it is? I refer to what the EU High Representative Josep Borrell said in this connection in a Dutch newspaper last week: "If you are always principled, you are rarely relevant." For relevance, the European arena is mostly our most important action perspective. Mr Sjoerdsma pointed that out; others pointed that out. This is where we find our way in the world to a great extent. That's where we make the compromises, with all the water and the wine that comes with it. Madam President. This Chamber is, as I see it, aware of this playing field. But that also applies to our ministry, where a selection corps of smart and dedicated employees is pressured to enter this playing field properly. I am glad that you also see the importance of diplomacy in this complex environment. Although it is time for a new cabinet to be created, it is, in that sense, a privilege to serve your Chamber from this department. Some of you have thanked me for that, and I appreciate that. I am doing this with all my heart and heart, and I am trying very hard, but I would like to say that if you were to point out that the next Foreign Minister is a little bit of an economical. It is important that someone has the time to build a network of relationships and trusted relationships. It's not going to happen overnight. Mr. Chairman. Finally, I would like to address a word to Theo van Toor, a highly esteemed clerk who is leaving your Chamber. Yesterday, Theo, there have already fallen some serious qualifications and those sounds are also heard from the State Departments. I remember them from some time back, too. You're capable, sometimes harsh, but always confused by the delusion of the day. You could say that has to do with the many years of service, but I have such a suspicion that it is also a characterological given, which is rest and regularity. That is what this Chamber, I suspect, is going to miss. Also on behalf of the Ministry of Foreign Affairs, I would like to thank you very much for the good work you have done all these years. Mr. Chairman. I now come to the questions and to the subjects raised by this Chamber. For your administration, Mr. Chairman, it might be useful for me to tell you how I planned to do that. One paragraph, i.e., I'm sorry, 'block' must be called 'geopolitics' and 'China'. Especially the first is a broad understanding. So there's a lot to be said for that. The second block will focus more on the European Union and security. The third is about the east flank, about which a lot of questions have been asked. The fourth is about democracy and human rights. The fifth is about Afghanistan. Finally, I would like to make a few comments on the consular section, on which specific questions have been asked. Mr President, I shall begin with the first part, the geopolitical context of our foreign policy. Our historical reflexes, let's say our "forces profanes," are not so focused on geopolitics. We are from international cooperation, multilateralism, moral standards; geopolitics are all a little less. However, it is clear, as we also know, that geopolitics is bothering us and that we must therefore connect with countries so that we can stand together in that somewhat harder world. That environment is our primary Europe. Increasing strategic autonomy is therefore crucial. This strategic autonomy is not an end in itself, it would have been better if it had not been necessary in that sense, but it simply has to do with the need to increase our resilience and our ability to act as a European Union, and thereby contribute to the protection of the prosperity and well-being of the people who live on the territory entrusted to us. The Netherlands is actively contributing to this, as I say in reply to Mr Dassen's comments. We do this in the European Council together with other Member States. For example, we recently wrote a non-paper on strategic autonomy with Spain. Mr Eppink asked whether we could explore some less common coalitions. The answer is yes; this is an example of that. Under the upcoming French Presidency, there will certainly be attention to this issue of resilience. It is clear that the issues we are discussing today, China, strategic dependencies and security, will be high on the European agenda in the near future. Mr. Chairman. This shift from the centre of gravity to Asia is, of course, not just China, although it is most visible and dominant. Mrs Mulder is right, I think, to point out the importance of India, the world's largest democracy. I agree that we should take care of that. We have tried, at EU level, in the strategic agenda for the Indo-Pacific, to take as much care as possible of India as possible, and not just of Southeast Asia, ASEAN and surroundings, precisely to include India as an emerging power as much as possible. As far as China itself is concerned, we had a debate on China a few weeks ago, and it is clear that in the balance between open and contact on the one hand and protection on the other, relations have actually moved more towards protection, more from partner and competitor to system rival. That is, of course, a reaction to China's increasing assertiveness and, quite frankly, the growing discomfort over China's felt dependence. This is felt not only in the Netherlands but also in the European Union and in many other Member States. I hear that here in this room, too. It is therefore a good idea, I think, that attention should be paid to the risks of undesirable strategic dependencies; the VVD pointed that out. Mr Brekelmans has tabled an amendment to this effect, on which I would like to say the following. The cabinet takes the risks of undesirable strategic dependence extremely seriously. Policies are being worked on step by step, including at EU level. That is an ongoing process. There are several ministries involved in this. The Court still has a special letter on this subject, which is focused on it, which deals with this subject. It will come from my colleague for Foreign Trade and Development Cooperation. It is also aimed at the various motions that have been tabled earlier this year. So we want to do something about that. I would like to point out, through the President, that without structural funding in the budget, we cannot, of course, set up a task force. I can't. But I interpret the amendment as delimited to examining the possibilities for such a task force. This is the first step towards achieving that goal. But I cannot now commit to that end, given the circumstances, the coverage and the fact that the cabinet is what it is at the moment. That is what I am saying after such an investigation to a new cabinet and a Chamber to discuss this desirability. However, all the preparatory work I would like to say in anticipation of this is a sign that this is the route that we might be able to take at the end of the day. But I can't make that commitment.
ParlaMint-NL_2021-11-18-tweedekamer-4.u4	Thank you to the Minister for this answer. I understand that he cannot make a commitment about something structural towards a next cabinet at this stage. I am very pleased that the necessary preparations are being made, as he has just said. In addition to his reflection, I would like to ask him another question. In my view, it requires less dependence on China and the handling of these new geopolitical relationships requires wide-ranging action. If different ministries and different departments within the government are involved, it is always difficult that one can point to the other or that it is unclear who is taking the lead in this. The aim of this task force is, as far as I am concerned, that the government cooperates in this and that several ministries are involved, but also that there is cooperation with the business community that plays an important role in this and with academic institutions. But somewhere the initiative must be taken and the urgency must be created. Does the Minister agree with me that this direction towards the final goal must be something that is being taken up widely and which is a matter of great urgency?
ParlaMint-NL_2021-11-18-tweedekamer-4.u5	That's exactly how I see it. The Department of Foreign Affairs is, of course, a coordination department and not a department of substance within the meaning of the issues involved in this resilience. They have to do with economics, with infrastructure, with social affairs, with health. That is, by definition, a task force that focuses and orchestrates all these elements, so that we can debate them later. Did we put the right accents? What can be corrected? So I see that as a much broader activity than an activity of one department that gives an overview of what is happening everywhere and what should be happening everywhere. That's not enough. I therefore agree with Mr Brekelmans. That can't be done by the government alone. Weatherability also has to do with what you have in your own industrial potential within Europe and within the Netherlands. These are all subjects that play a role in this. So I agree. Mr. Chairman. We can say about China that it is a system rival, but of course we cannot go around China either. China will soon be the largest economy in the world. We will always have to look for dialogue and cooperation with a country of this size, of that power and that influence. There's no other way. This is also necessary for the stability of things. Human rights are, of course, a pillar of our foreign policy. We will continue to speak about human rights violations, including in China. To this end, we are also deploying the instruments we have, bilaterally, at EU level and multilaterally. And this year, for the first time, the EU human rights sanctions mechanism. This has already been used in response to violations of China against the Uighurs. But we also need to be honest and realistic. A change in the behaviour of a country such as China, with the forces that play a role there and the history that plays a role there, is something of an extremely long life. The world is also not homogeneous when it comes to judgements on China. We have seen this happen a few times in the debate on China. It is my firm belief that this action against China is crucial as long as it takes place at EU level, because then you will have combined power. China also respects economic forces. I fully understand the impatience of the Chamber when it comes to European policy on this issue, but when it comes to China, the European Union has shown a remarkable change in a relatively short time. In the meantime, countries that are concerned about China have become a small minority. That was completely different a few years ago. The European Union is also working on several country-neutral instruments, which will have an impact on the imbalance in economic relations with China. Mr. Chairman. It also plays a role in what the United States does. The United States is a constructive partner when it comes to this whole resilience. So that goes much wider than classic safety. Together with the European Union, we are working to ensure that there is sanction coordination, also to ensure that something comes up in the area of resilience. That Trade and Technology Council, it's really about something. That's where we're talking about what we need in the house. What is "we": Europe itself, Europe with America together or the Netherlands itself? This is being discussed in depth and in depth. It is clear that this cooperation between the European Union and America can and must make an important contribution to the resilience and strength of China's emergence. In this context, when it comes to America, Mrs Mulder asked about the Summit for Democracy. This is an American initiative by this President, and we are of course happy to contribute to it. Our Prime Minister intends to be present at that summit, just after sinterklaas, I believe. There are a number of side-events, where we like to try to play an important role. One is about freedom of the press and freedom of journalists. I'm hoping to be a part of that myself. I'm close to that, too, so I'd like to do that. So that is what we really want to do. We are also in contact with the organizers, with America on a few other topics that are going to play a role there. These are cybersecurity versus privacy, human rights in relation to technology; a number of topics that fit in with modernising democracies. Mr. Chairman. I also recognize the inconvenience we sometimes have when it comes to our dependence on America. Everyone felt frustration, embarrassment when the United States suddenly left Kabul and no one had a chance to change anything there for the better, to organise it better. We also said at that time that this was yet another example of how we in Europe should also be able to take organisational responsibility in such cases at certain times. Moreover, the United States expects us to do the same. In the past, when you said something about strengthening Europe, you were apparently against NATO. Those days are actually over. From the United States we are also being asked whether we can do our own thing, as I said. Successfully, we are working to bring the more responsibility that is required for this. As much as I appreciated the brochure, I would like to say in the direction of Mr Van Dijk, that this responsibility also includes investing in defence and strengthening our resilience to traditional threats. Of course, there are all kinds of new hybrid threats, but ultimately, Defence is also something that provides protection and is essential to our democracies. I share Mr Brekelmans' concerns about the new and hybrid threats. These are risks such as espionage, sabotage, all kinds of manipulation and unwanted foreign influence, not only from governments, but also from companies and knowledge institutions, which are often at least as vulnerable and at least as important. We need to do a few things there. We must increase the resilience to state threats. We must state when there is an infringement of interests. It is also important to develop a joint response framework. That brings me to Mr Dassen's question about an assertive international cyber policy. I agree with him that this is a modern threat that we need to be on top of. I believe that a subsequent cabinet can also build on those findings of the IOB. Mr Dassen referred to this policy review. It also points out that, when it comes to cyber policy and capacity building, we may be fighting a little above our weight internationally, and that has consequences for how we shape that in diplomacy to continue to play a role in it. Mr. Chairman. In this respect, Mrs Mulder's amendment on cyber fits in with our ambitions. We would like to play a role with international partners in the forefront of the digital security debate. Technically, we're good, too. You may have noticed it a year and a half ago. If you read that it is a Dutch institution that shows exactly what time someone in Russia enters the office, initiates the computer and launches cyber attacks in the United States, then the world is looking forward to seeing that we can. But if we can do that, then we must also give our hands and feet to it in cooperation and diplomacy. In this sense, I therefore see Mrs Mulder's amendment as an encouragement to further develop this ambition, and I would like to leave it to the Chamber to assess it.
ParlaMint-NL_2021-11-18-tweedekamer-4.u6	There is a question from Mr Dassen van Volt. I forgot to tell you that I would like to propose that you all give six more interruptions.
ParlaMint-NL_2021-11-18-tweedekamer-4.u7	I have only one clarifying question. What exactly does the Minister mean when he says that we sometimes try to fight above our weight in cyber security?
ParlaMint-NL_2021-11-18-tweedekamer-4.u8	I didn't make that up myself, but I actually read that in the IOB report. In a number of areas, we are playing a rather prominent role in the international debate for a country that we cannot say is a small country, but we are not a large country either. It is striking that in a number of areas, especially within Europe, we are seen as a precursor, but that also has consequences. This also means that we are partly responsible for ensuring that other countries are involved and that we are organizing something of combined capacity, because we alone can have the knowledge, but we alone are not strong enough. It also has too little meaning when we are alone trying to deal with all kinds of cyber threats. Bringing our knowledge into an international whole should be our ambition, I think. Mr. Chairman. Then I come to the last part of this paragraph. It's about sanctions. It is one of the most concrete tools in the toolbox of the European Union. I would also like to respond to Mr Sjoerdsma's amendment and some of Mr Van der Lee's suggestions on a new sanction unit. We are extremely grateful to Mr Van der Lee for his perseverance. I have been annoyed for years by the fact that we only had these trade boycott-like sanctions. While everyone here who's read the book Moneyland, I strongly recommend that that book know that when it comes to sanctions, you need so much more refinement to know exactly who you're hitting where in a way that's gonna affect you, so that those blunt resources of the past aren't really relevant anymore. If someone from a reprehensible country of X moves to a neat country of Y and takes all the stolen goods and then, under the protection of the rule of law, puts them to safety for generations, then it is much better to put their finger on such a person than to use the somewhat clumsy classical instruments of "we will no longer allow your products." That is why I believe that such a sanctioning unit, a sophisticated instrument, can be extremely useful. Following this example, I would add that this calls for a state-wide approach. We can drive here, we can coordinate, but when it comes to developing very precise sanctions that are effective, you also need other knowledge institutions, such as the Ministry of Finance. We ourselves, I would say, naturally also need human resources, consisting of knowledge, but also financial resources. Mr Van der Lee and Mr Sjoerdsma asked whether this could be settled within the budget. Yeah, you can. This amendment ensures coverage, but I would add that we have a slight tendency to come up with new priorities every year. We rarely mention retroactivity here, on which it is not interesting to debate either, but we must be careful not to stack one priority on another and thereby deceive ourselves. That said, that is more a comment in the context of than a comment on the material content of the request, because we embrace it passionately. This must be done as a matter of urgency, because it is a modern way of dealing with sanctions.
ParlaMint-NL_2021-11-18-tweedekamer-4.u9	Before you go any further, Mr Sjoerdsma's amendment will receive...
ParlaMint-NL_2021-11-18-tweedekamer-4.u10	That's what it's gonna do, Room.
ParlaMint-NL_2021-11-18-tweedekamer-4.u11	Judgment Room. Mr. Van der Lee.
