ParlaMint-NL_2021-03-16-eerstekamer-15.u1	I give the floor to the initiator, Mr Nijboer.
ParlaMint-NL_2021-03-16-eerstekamer-15.u2	Thank you very much, Madam President. It is a special time to stand here as a Member of Parliament. This is my second time. My first time was a few years ago at the initiative law on credit unions, together with the CDA. Now I'm only allowed to stand here defending a bill, one of the most beautiful rights you have as a Member of Parliament. If you'll allow me, I think it's kind of special to do that in the presence of Ferd Crone. More than twenty years ago I had the first acquaintance with him in the Lower House. Ferd was then financial spokesman for the PvdA; that's me now. He then took a few young talents, if you can say that about yourself, under his care and trained them. The first debate at Congress, which was also on the head twenty years ago, I think, or perhaps twenty years and two months ago, was a fierce debate about living. I wanted the mortgage interest deduction to be abolished, or actually phased out, in our programme. Ferd, or Mr Crone, I must say, was standing on fire and defending the sword that should not be. It got very exciting. Melkert and Kok were supposed to be on stage. Eventually, it remained unchanged. Fortunately, this time I was allowed to participate in the election programme myself and it is settled. But it is very special to have this debate here with Ferd Crone.
ParlaMint-NL_2021-03-16-eerstekamer-15.u3	I'll come back to this in the second term.
ParlaMint-NL_2021-03-16-eerstekamer-15.u4	Mr. Chairman. I'm coming to the bill. All the speakers have actually raised the question as to whether this solves the fundamental problems of housing, as Mrs De Boer rightly calls it. The answer to that is three yards no. It's gonna take a lot more than that. Affordable homes must be built for all groups, not only for tenants above the social rental limit, but also for the elderly, including for young people, including for start-ups. As far as the PvdA is concerned, the free sector also needs to be regulated much more. I would also like to say that the point system needs to be increased in the direction of Mr Kox, who explicitly asked for it. And, of course, much more needs to be done. As far as I am concerned, the slugger's fine must also be introduced. So this is not the solution to all of the problems; I admit this immediately to the Council of State, which had this as its main point of criticism, and I am also giving it directly to all of you, who have somehow remembered it. Having said that, this is a fundamental legislative change, because the free sector is regulated. Right now, tenants are outlaws. The reason for me to submit this bill was that people said to me: "Henk, I received a letter from my landlord at once in October; my rent was increased by €50 or €100 per month. I paid €800 rent and that became €900 on 1 January. The following year I got another one of those letters, and then it became €1,000. For example, in a few years it has become €800, which I could pay, €1,100 or €1,200, and that is not possible. Can this be done in the Netherlands? I've lived here for so long." The shocking answer to that was: yes, that can just happen. This law makes that impossible, at least for the next three years. This law maximizes rent increases in the free sector on inflation plus 1%, and also gives the people covered access to the Rent Committee. The latter has not really been mentioned. It is therefore also a broader protection than just a legislative amendment. We must also be able to enforce legal protection, and that can be done through the Rent Committee. I would also like to point that out. Mr. Chairman. I shall now turn to the successive questions that have been asked. I'm just gonna finish the list of speakers. I've been advised to do that in the First Chamber, so that's how I do it. In fact, I have already touched on the fundamental point. So, with your permission, I am not going to go into that with everyone, also because of the time. I will answer the specific questions. Mrs De Boer van GroenLinks asked: what is the effect of this law on the shortstay in Airbnb; is that not increasing? It becomes more attractive for landlords who have properties to do so. My answer to that would be: yes, if you don't do anything about it. Now, of course, this Minister has also submitted the Tourist Rental Act, which aims to limit this. That'll help. Mr Pijlman of D66 also pointed out this. He asked: shouldn't the landlord's licenses in Groningen be deployed much wider nationally? I would like to make a warm plea, including with you, to introduce it nationwide. That's what I did in the Lower House. I agree that if you don't do anything and let everything go, that sector may grow. Of course, that doesn't apply to Airbnb at the moment. There is not much demand for this now, but it will of course come in the long term. So, yeah, it's a risk, but there's something to be done about it. There has also been a bill to do something about it. But as far as I'm concerned, there's more to it than that. I do not see that this is a major risk of this law. Mr. Kox asked about the rental stop. Shouldn't it be 0%? Actually, I'm in favour of that. You know that. That's how I've always voted. However, I am very pleased that we can present this proposal to you today. He also had the same kind of question as Mrs De Boer had: what does this mean for the temporary leases? Last week, a very adverse amendment was adopted in the House of Representatives. I also heard a debate on this. I'll leave it to you, of course, to decide how you judge it. I'm here for my bill. But I would find it very unwise to continue the flexibilisation of the rents. That's a really bad idea. As far as I am concerned, it also needs to be regulated so that a fixed lease becomes the basis again, the norm. Only in very specific circumstances, such as temporary migrant workers or temporary students, could you offer a temporary rental contract, or a flex house, which is really temporary, which you do not want to leave empty. But that's as far as it goes. But that is what other legislation is for; that is not what this legislation is for. I do know Mr Van Rooijen well from his time in the House of Representatives. We have had longer debates there than you can possibly imagine. The Law Hills is still fresh in memory; that went on until deep into the night. He pointed out that this also had material significance for the elderly. I very much agree with him. This bill also helps older people, especially if they spend longer in a rental house and have old contracts with no rent protection at all. So I agree with this point he made. Mr Van der Linden of the Nanninga Group had a number of questions to the Minister, including about inflation and how it was designed. He's right: inflation often doesn't include housing prices. I am also an economist of profession, as a derogation, which seems to be quite difficult. It does give rise to some technical difficulties in incorporating them into inflation. But I would say that for a law that applies for three years, such a fundamental discussion is perhaps less relevant than in the event that you would settle it for ten or twenty years. Of course inflation is relevant, but so much does not care about inflation rates. If you do it for three years, I wouldn't say it's out of control. And that is quite apart from the fundamental question of whether you think it is desirable that the house price increases are rewarded with higher rents. You can also think differently about the content. From an investor's point of view, I can imagine that you are following Mr Van der Linden's argument, which says: investors are also more lost in house prices, so you actually need to get more returns. From the tenant's point of view you can say: if average prices do not rise, why would you allow increases for the rent? So you can reason both ways. But we have done it as it was actually done in the existing rental legislation. We now have maximized rent increases, including for the social rental sector. They are based on inflation. We have included them in this bill, so that you do not have different percentages in different housing laws. Mr Van Hattem votes in favour, but he thinks it is a drop in the ocean. I'm glad he votes in favour. I think that's a very sensible choice anyway. I indicated in the beginning of my introduction that this will not solve everything, but that this is a substantial improvement for a whole group of tenants. Tens of thousands of tenants will notice this. Especially against tenants who are in a bad mood, as an individual, you are poorly protected. This really helps with that.
ParlaMint-NL_2021-03-16-eerstekamer-15.u5	For the record, my comment about the drop in the ocean was more about the Minister's legislative proposals. All the compliments for Mr Nijboer's bill. That is indeed an essential contribution.
ParlaMint-NL_2021-03-16-eerstekamer-15.u6	Well, thank you very much.
ParlaMint-NL_2021-03-16-eerstekamer-15.u7	You will continue your speech.
ParlaMint-NL_2021-03-16-eerstekamer-15.u8	Mr Crone asked whether a rental permit should not be introduced. Mr Pijlman of D66 actually introduced that. I am firmly in favour of that. If you're breaking the law, there's got to be a sanction, too. I am very happy that tenants in the free sector can now also go to the Rent Committee. But there's no sanction. All you have to do is pay back the difference between the rent you were allowed to charge and the rent you charged. But there are quite a lot of risks for tenants to go to the Rent Committee. You'll only have a miserable landlord who also has the neighborhood and puts very nasty tenants in it. Or you'll just be someone who says, "I'll go up against my landlord, but he lives upstairs and then he's gonna be annoying." Besides, it's a bit of a mess. We have quite a few people who don't understand our rental committee system to the finesses. The problem of low literacy is huge. There are a lot of people who do not apply for fees and who therefore do not exercise their rights. Of course, that's what's going on here. I am therefore very much in favour of fineing it. You can do that by withdrawing a permit. Anyway, there's no permit system. That system was introduced in Groningen on the basis of the local police regulation, but it is doubtful whether that is the best legal basis. You know more about that in this gremium than I do. But it would be good to do that and then sanction it if you break it. The same applies, of course, to this law. You actually have to include the whole housing legislation, whether it's fire safety, which you're asking for or other methods, underneath. So I very much agree with Mr Crone. Mr Rietkerk of the CDA said: "That IVBN, so those institutional investors, had actually already agreed that the rents in those cities, specifically in Amsterdam and Utrecht, should not be increased so much. So does that help?" I have two answers to that. Firstly, yes, because it is not agreed in many places. And two: it's all nice and nice that the IVBN does, but of course the tenant who doesn't rent is not protected by that. We all know pawnshops and house milkers who are not affiliated with industry associations. Just those tenants often have contracts that don't do the right thing. There are standard contracts that are quite reasonable and according to the law, but of course there are also people who rent something from someone who is almost without a contract and who are therefore completely unprotected at the moment. The only thing you can't do is ask for a rent to bully someone away, but anything else you can do in terms of market. Whatever the lunatic gives for it, a landlord can ask, and in a few months you're out on the street and you can't go anywhere. That's what this law protects. Mr Rietkerk also asked about quotas and whether they should be extended. I told you, if you want to build a million houses, it's gonna take more than just this law. That's not what this law is for at all. So we also need wider quotas. I very much agree with Mr Rietkerk. He asked the specific question about this law: do sustainable investment not lead to or have a price increase, or less sustainable investment? Here we follow the same system as in the existing rental legislation. If you live in a rental house, you may be isolated and the rent may also be increased, but not more than reasonable. Those two elements are in there. So you can increase the rent to get it back and you may not increase the rent by €100 in the month for a sustainable investment of €1,000. That doesn't make any sense. The same system is also being tested. You can go to the Rent Commission for that, too. You can also go to the Rent Commission for this. So I think that's reasonably designed in this way. Mr Raven has not asked me a question. I won't skip you, but you haven't asked me a question. I don't answer questions that haven't been asked to me. Then I come to Mr Pijlman. Temporarily and permanently. Yeah, that's a good question. If it is up to me, there will be a completely different system of housing and that task will also lie with a new cabinet. If you go through the points system, increase and regulate the rent protection, and thus regulate the rent increases in a certain way, then this law is of course part of the new system as you like, or it will be designed separately. That seems to me to be commendable. I would definitely do that. I would certainly arrange that on the formation table. If that doesn't happen, and the new coalition doesn't come out, then I'd be very eager for renewal. That is why there is also an evaluation clause after two and a half years, so that it could also be extended after three years. Otherwise, tenants in the free sector will again be outlawed and have no protection. So it depends very much on the arrangements made in the formation. But I do agree with Mr Pijlman; I am nothing more sweet than making rent protection permanent in the free sector. It should not be a temporary experiment, after which all tenants are outlawed again. I wouldn't be in favour of that. I have actually already answered the questions about the initial hires. I heard this bill isn't an answer to that. It is also political; you judge legally but you are also a member of a political party. I couldn't manage this politically in the House of Representatives. I could've filed it, but it would've been voted down nicely and I wouldn't have achieved anything. I am in favour of regulating the starting rents and I am also in favour of extending the points system, but that had not received the coalition's green light. So I'm glad I got this far, but I agree that more can be done. I've already answered the Groningen approach. I am very much in favour of introducing it. Moreover, the flexibility argument that the Dutch Parliamentary Coalition voted in favour last week does not help that. That only makes it more flexible and that also gives more opportunities to increase initial hiring. Finally, Mr van der Burg, President, and I hope that I have stayed within the time I have indicated. In addition to his generous compliments to the PvdA, whom I would like to receive, I am from the cheerful side of the party... he asked the minister, but also a little to me, when something is excessive. Why is it 2.5% and not 1%? Yes, of course, such a percentage is always arbitrary. As I said to Mr Kox, it should have been inflation as far as I am concerned. But, yeah, you'll figure it out. I really call on the sector not to use inflation plus 1% as a guideline but as a ceiling. It's also a legal limit. So you can really go to inflation and you can also do a rent down. There is also a bill rent discounts for it. I think that the ceiling of inflation plus 1% at this time is not unreasonable, also because investors themselves say that they can do so, even in Amsterdam and Utrecht. Above it is somewhat excessive, especially if you know that a quarter of the tenants don't make ends meet at the end of the month. If you see that the rents have risen most in the last six years since 20, 30 years, then you have to do something about it. You only do that if you intervene a little. You don't do that by saying that it can increase by 5% a year and that we still think that it is reasonable, because that doesn't change that much. If you're doing 5% a year, 2.5% inflation and 2.5% rent increase, and that's for five years, then you've got a quarter higher rent. Well, bring that up. I give it to the average house owner to do. Finally, Mr President. Thank you so much for your input and warm words. I have actually heard it from every group. I've appreciated that very much. It's been a pleasure defending this place, and I look forward to the vote. Thank you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u9	Thank you. I would now like to give the floor to the Minister for the Interior and Kingdom Relations to answer the questions that have been put to her.
ParlaMint-NL_2021-03-16-eerstekamer-15.u10	Thank you, Mr. Chairman.
ParlaMint-NL_2021-03-16-eerstekamer-15.u11	Wait, you're out of line. A different table will be cleaned for you.
