ParlaMint-RS_2017-10-06-0.u21951	Honorable President, Honorable Ministers...
ParlaMint-RS_2017-10-06-0.u21952	Quiet, we can't hear John Palalic.
ParlaMint-RS_2017-10-06-0.u21953	Honorable President, Honorable Ministers...
ParlaMint-RS_2017-10-06-0.u21954	They're all filming the hall. Yesterday, the MPs of your group on cell phones recorded it. Please, MP, hold on, it pisses them off. Here you go.
ParlaMint-RS_2017-10-06-0.u21955	Ladies and gentlemen of the People's Parliament, there are really very important laws in front of us discussed by the National Assembly. In my presentation, I will concentrate primarily on the draft law on the National Academy of Public Administration and amending the Law on Civil Servants. Regardless of the previous attempts that concerned clear and concrete management of public administration personnel, I believe that the proposed laws that we are discussing today are the first real concrete, systematic and organised approach to public administration staff management. The fact is that we also have the establishment and establishment of the Staff Management Service and the High Official Council in the previous period. By this time they gave their results and certainly the government of the Republic of Serbia believes it is now necessary to move on to the next step regarding a clear and concrete way of managing public administration personnel. Personally, I am not in favor of that saying by Staninov, that the personnel solve everything, but certainly the opposite of that, that the personnel are irrelevant in the public administration, is something that may have marked some previous time, but now is the opportunity for both the Government of the Republic of Serbia and all of us together to address this important issue. In previous discussions on these bill proposals, we could hear, on the one hand, criticism of the reality we are in when it comes to public administration, on the other hand, and criticism of the proposed laws. Personally, I have not heard any concrete proposal on how and in what way to systematically provide for the next period of professional training of public administration personnel. I think this step is indeed reformal and that this proposal by the Government of the Republic of Serbia is a great step in the right direction. Certainly, public administration reforms, when looked at in the previous period, cover several segments. One is the establishment of a legislative and institutional framework; the other is rationalisation in the public administration; the third is the introduction of an e-government and this fourth step relating to continuous and permanent training. In that sense, the proposal for a Law on the National Academy of Public Administration and the establishment of such an institution is nothing new. This was about us taking over or imposing this on the Republic of Serbia by the EU and I would disagree, given that these and similar institutions have countries that have successfully reformed continue to improve their public administration. It is just an example of the existence, for example, in France, which is believed to be the best organized state administration in history today, the existence of a national school for administration. Serbia should, in this sense, take the best examples from European and world practice, in order to make the state administration, which is the core of the state, which is the engine of state and state administration, the most efficient. Yes, in modern times, the state takes on more and more new areas and more new obligations towards citizens, and in this sense it is necessary that, what Slobodan Jovanovic once said, we form such a state administration that, unlike the legislative body that works, it will be the administration that works, which makes decisions quickly and which is vigorously solving issues and performs tasks. In that sense, I believe that the state administration and civil servants, which we will succeed in creating in the next period in the Republic of Serbia, will be a real example of how to organise states in the interest of citizens. Personally, I think that the approach that was heard here and often pointed out that this would certainly be another bad example, that this would further contribute to the politicization of the state administration. I suggest, and why don't we think the opposite way? Why don't we think that this is exactly the right step to form a state administration and a civil servant who will be a patriot and committed to the state and its laws and who will be committed to the citizens and their rights and who will really work in the interests of the state and its citizens? What is the true contribution of these draft laws is to systematically organise and connect all institutions dealing with human resources policy in a series of state authorities, from the management of personnel that we have in state bodies to executives who are responsible for assessing the situation, when it comes to state administrations and civil servants, to the National Academy that will lead to permanent training. This is where we talk about why we don't go from reality to doing this as a last step. Reality changes all the time. We are precisely these bill proposals in an opportunity to change this reality, creating an efficient, modern and concrete state administration. I welcome these proposals from the government of the Republic of Serbia. I think they're completely in the direction of creating an efficient, concrete and good state administration, and it's certainly necessary with optimism, because it's easy to criticise, it's easy to speak here in a populist way. We should welcome what are good solutions and what will make Serbia a modern, democratic, effective state, with strong and stable institutions. In any case, I welcome and invite all MPs to support these bill proposals.
ParlaMint-RS_2017-10-06-0.u21956	The word is made by the People's Messenger Ivan Kostic. Here you go.
ParlaMint-RS_2017-10-06-0.u21957	Chairman, you have injured the Rules of Procedure, Article 287. So the authorised representative has the right to address Tuesdays and Thursdays for five minutes. You turned Srdjan Leg off the session yesterday for no reason. The man was asking a question that follows him in the Rules of Procedure, and you've made a big problem. Don't hold the session properly. You've made a circus out of the Parliament. You ruled the man out of the session, and then you yourself said, in your speech, that you were ready to withdraw everything that was said. So this is a laugh. You made it out of the Parliament... [[Disabled microphone.]]
ParlaMint-RS_2017-10-06-0.u21958	This is a classic abuse of the Rules of Procedure. Article 103, item 8, two minutes less for your parliamentary group, since you have reported that you are false about yesterday's event. Secondly, the abuse of a breach of the Rules of Procedure must be done directly. It's a new day. And I'm particularly disappointed with your behavior, because you've been to consultations and you didn't want to accept anything. Thank you very much. Thank you very much. Sit down.
ParlaMint-RS_2017-10-06-0.u21959	I don't want to sit down.
ParlaMint-RS_2017-10-06-0.u21960	Just sit down. You're done with that.
ParlaMint-RS_2017-10-06-0.u21961	What's this about? People's MPs have no right to speak.
ParlaMint-RS_2017-10-06-0.u21962	Your demagogy was enough. People's MPs have the right to work, and you're preventing them from working. The word is made by the People's Messenger Milorad Mircic. Here you go.
ParlaMint-RS_2017-10-06-0.u21963	Well, here we from the SRS, as well as the majority of Serbia, expect you to finally begin to realise your pre-election promises. Your promises, among the most prominent, were that you would abolish the agencies, that you would abolish the bureaus, to reduce the administration, to disbursement budgets and budgets, which are spent on officials appointed in agencies and bureaus in the earlier period. Here, now, we're just surprised. You instead of doing what you promised in the election campaign, which is part of your program, you came up with the idea of forming a National Academy. What would you say, if Vlasi didn't know, you put the term "national", and basically, as a place of justification for the existence of such an institution, the EU. In fact, a man might think you're European nationalists. You want to go to Europe and form something national. Or, even better say, global nationalists, since Europe has begun to mess with you and begin calling you, their representatives, that you are European nationalists, but here we are telling you that you are globalistic nationalists. What's to justify the establishment of this academy? Justification, we see from the material provided, is that training is done within the administration to train those who do very, very responsible jobs in the next period, so that by doing their work, you have pointed out first, as many investments as possible, and the realisation of investments in this country. In order for the administration to do so, you have come to realize that there is a need to train in the administration, and by example, the Resort Ministry does not adhere to certain rules that must be respected. You have a situation that, for example, in certain local self-governments, the AP, and even in the republican authorities, the management chiefs or the most responsible persons are very qualified, in principle, lawyers, sometimes and economists, but you will rarely meet, anywhere, in any local self-government, to make an exception, how this makes a resorient ministry. You at the Department of State and local self-government at the secretary's office have a graduate veterinarian, a wonderful man, an expert. He was president of the municipality, or the city of Zrenjanin, or he is from Melenac. The man is a veterinarian, and you have the secretary of administration, because at the time he was transferred to the ministry, at the time he was defined within the party for Tomislav Nikolic, as I recall. You obviously have vets running administration and local self-government, and lawyers treat cattle. I think his name is Bosnjakovic or Bosnjakov. Maybe it's an exception, but hopefully you'll give your example of how it's supposed to be done, so you'll put each one in place. Basically, what's the most important thing here? That's what MP Bojic from the SRS told you. The costs here are very high, very high. You gentlemen are making it very clear that only for the equipment of the premises, the space where this academy will be located takes a million and a half euros. Now in this situation, when literally Serbian citizens put an end to the end, Serbian citizens, you are investing as easily as a million and a half euros in equipping the space where they will be employed in this academy. You're projecting 40 million for next year's budget funds to provide salaries to employees. You're predicting 30 employees at this academy. Did you imagine that this National Academy would function by having the one from Presevo, the one from Bujanovac, the one from Vranja, or Subotica or Canjiza come to Belgrade to attend training? How did you come up with that? What's the point?
ParlaMint-RS_2017-10-06-0.u21964	Thank you. Your task force has wasted its time. Jahja Fehratovic is not here. The word has been made by the People's Messenger, Marjana Marash.
ParlaMint-RS_2017-10-06-0.u21965	Dear Presidents, the Honorable Minister Ruzic with his associates, the Honorable Ministers LJajić with his associates, the Bill on the National Academy of Public Administration, the amendments and additions to the Law on Civil Servants, which we are discussing today, aim to ensure a comprehensive standardized and sustainable system of professional training of public administration staff, which will raise the level of training and quality of work. The bill represents a significant segment of public administration reform, aimed at improving the work of public administration, providing high-quality services to citizens and towards economic operators and creating such a public administration that will contribute to economic stability and increasing citizens' living standards as a factor of development. The public administration reform should be implemented in line with the modern trends and requirements Serbia needs to meet in the EU accession process. The establishment of the National Academy of Professional Training is one of the strategic approaches in the field of human resources management in the state sector. Human resources in the public administration represent the most significant quality. There is no social and economic development without strong, professional and efficient administration. Public administration reform is a complex and long-term process. It is a condition of further progress and one of the most important segments of this process is to conduct education of all public administration employees, undermining all employees, because it has not been the case so far. This ensures raising the quality of work. Accordingly, one of the key principles for the overall improvement of the state administration is its professionalisation. Therefore, the organised, continuous professional development of civil servants, based on real needs and opportunities, has special significance and contributes significantly to the accelerated process of European integration. In the proposed concept, the National Academy is a central body in the area of professional training of public sector employees with the status of publicly recognised organiser of the activities of informal adult education. Accordingly, the bill also provides for the establishment of permanent co-operation with the private sector and with interested professionals who can contribute to their competences better the work of the Academy, but also a better quality education that would be implemented under the professional training programme. Starting with this, as well as the importance of the education and training process, I am convinced that the Law on the National Academy of Public Administration will help bring our country's administrative capacities closer to the EU standards. This will, in particular, contribute to good administration and allow public institutions and employees in practice to carry out more easily the tasks set out in the laws and other legal acts. In addition to planning the election of personnel, evaluations, awards, promotions is precisely a professional improvement of one of the key elements in the overall achievement of the objectives of public administration reform. Given that the proposed solutions significantly improve the system of professional training, everyone will be allowed to exercise their right and commitment to professional training in a more effective, efficient way. What I would like to point out on the basis of my years of experience, above all in the local self-government of the Vrbas municipality, I would ask my colleagues for a little attention, is that local self-governments are working on professionals who are willing to perfect their skills, and all in order to be the real service of citizens and they, Mr. Minister, welcome the proposed solutions, because I have had the opportunity to introduce them to the proposed solutions and have commended certainly the arguments that are part of this bill, which are comprehensive, thorough and precise, so that they have all had the opportunity to get to know all the provisions of the law and that they have no doubt that something is hidden. Finally, the SPS parliamentary group in the voting day will support the proposed laws. Thank you.
ParlaMint-RS_2017-10-06-0.u21966	The word has the People's MP Veroljub Matic.
ParlaMint-RS_2017-10-06-0.u21967	Thank you. I will primarily engage, i.e. I will engage in a debate on the Law on the National Academy. Starting with the state of public administration, I think the necessity of the National Academy of Public Administration is precisely that of forming itself. What the opposition is saying is that it's an educational attack, I don't see a single word in the bill that it violates Serbia's education system anywhere. Since the public administration is a quark diapazon of educational professions, jobs, etc., it is impossible for the administration to learn practically in an educational institution. It is therefore good to have one at the level of the state, or the Republic of the institution, a body that will direct education, training, training of people working in public administration, especially if it is taken to be a working age for 40 years, and for 40 years believe that much is changed especially in the era of globalisation, computing, etc. If you do not follow these trends, you are simply lagging behind in the law enforcement system, law enforcement, law control, etc., so that the necessity of a National Academy, as proposed here, was also a being. That is where to go, in my opinion, from the most basic things, from the culture of communication, to the counter, to the communication via the counter, from whether the worker should sit lower than the party, equal to the party, etc., all this is one way, the beginning of communication of a good communication. To be considered here not only a party's physical face, the parties are much more than one natural person. Of course they're also the party's physical faces. What's the key to the National Academy, in my humble opinion, are lecturers. In my opinion, lecturers should be people who really have passed the job, felt it under their fingers, to be part of a team that will train public administration workers, civil servants, because simply this job is not taught at any educational institution. Simply, this job is taught by work, practice and according to demands and changes in society. I will provide some examples of specific interests within the public administration. Let's just say, the Veterinary Authority, it's simply necessary for this state to be able to carry out everything that is necessary within the veterinary system. So you need professional people within the veterinary system. This is where State Secretary Ivan Bosnjak was mentioned. I have a very high opinion of him. I think he's doing his job extremely well. He's shown it so far in his business and he needs to stay here to work because, I said at first, we have a wide diapazon waist that works in public administration. I think he's one of them and he showed it in his work. For example, the Asset Agency, the same specific professions stand here. Institute of Statistics, the Republic Geodetic Institute, which is 80 – 90% professional and technical work, but is a special organization. The national agency must respect the specificities of individual education and titles, i.e. jobs. In the teaching work, there must be real approach, realistically simulate real work in the public administration so that those who come to training really have additional knowledge and that they can then do it in realisation and in business towards the parties. Let's say, an example of an inspection. Usually, many try to be ahead of inspections so that they can do something that is not allowed. After all, there is a good part of the inspection for that kind of work. In order for inspections to be able to work well, quality must be trained, and in order to train, so that there is no ad hoc training, so that it is not individual, so that many people do not strive, it is best that we have a National Agency that unites and conducts a unique type of training for all levels of inspection. No one mentioned it here and I think it's very important – office business. Office business, as far as I know, even though I'm a technical profession, nowhere on the educational level in our country is being studied seriously, but it's one framework that no one can get out of, because office business simply doesn't allow you to avoid one way in public administration of how you have to behave. Simply, the office business has been following you since the entry of the case into the authority of the administration, until its completion, delivery to the parties and archiving. Office business is something the National Academy must pay serious attention to in further training. What I think the National Academy will do well should adapt its training programmes to the needs, have a uniform criteria for raising workers' knowledge in the public administration, to achieve quality and to get better work. That's why I will support all three laws within my group's envoys. Thank you.
ParlaMint-RS_2017-10-06-0.u21968	Thank you. The word is Ivana Dinic. Here you go.
ParlaMint-RS_2017-10-06-0.u21969	Dear citizens of the Republic of Serbia, respected ministers with associates, the creation of this proposal for a law on electronic document, electronic identification and trust services in electronic business, we can freely say that the Republic of Serbia has technically, technologically, organisationally and informationally reached the level at which the system of doing business and other activities, as well as ways of doing business, is actually being followed by the development of electronic business. As information technologies develop daily, we can say that new, more flexible solutions based on technological achievements are being opened daily, which actually facilitate the functioning of electronic business. However, what was necessary in the Republic of Serbia is a legal framework in which this electronic business could be regulated, which implies a legal framework that would achieve faster and more efficient electronic business, in which business would be achieved with a reduction of costs, then the development and expansion of the market for trust services and what is most important for citizens of the Republic of Serbia, which is faster and more efficient work by public authorities, as well as making it easier for public authorities to access as many services as possible and for electronic documentation. As a result, the writing of this proposal of the law has been made very careful and detailed, in order to prevent and minimise the creation and development of mechanisms of abuse of this law. What the Minister said in his opening statement and explained in detail, as well as my fellow MPs and MPs in the previous presentation, this bill actually regulates areas of electronic document, electronic identification, trust services, electronic signature areas, electronic stamps, time stamps, web-site authentication and electronic document keeping. This proposal introduces the concept of a trust service provider. It will actually be companies that will practically deal with electronic identification services, the integrity of these electronic data. In order to obtain the status of qualified trust service providers from these providers, it is necessary that they be entered in the register of qualified trust service providers, which is necessary to provide a conformity assessment report, which is issued by the body accredited to assess the compliance of qualified service providers and qualified services provided by them. In this way, the awareness of citizens creates a higher level of security and guarantees for the security of the mechanisms of application of this law. After the adoption of this bill, it is necessary to adopt 17 other sublegal acts defining electronic identification, electronic delivery, electronic storage, electronic signature and other trust services in electronic business. What is important is to point out that by adopting such a single bill, all citizens of the Republic of Serbia and the economy benefit first. The greatest step in such a legal solution is that it enables the legal and evidence forces of an electronic document to be leveled with the legal and evidence power of the paper document. This law will affect the modernisation and efficiency of the work of public authorities, as it will be able to issue acts in their work in electronic form and in this same way to deliver to other public authorities as well as to citizens. Digitalised acts of natural and legal persons will also have the same evidence and legal force as original acts, with less use of paper documents, increased access to documents and made it easier to use and search documents, all allowing for the right of all citizens of the Republic of Serbia to have access to information of public importance. Since 63.8% of our citizens of the Republic of Serbia have an internet connection, over one and a half million people in Serbia use electronic administration services, over 1.2 million of our citizens order goods via the Internet and 99.1% of businesses in the Republic of Serbia use the internet, we can freely say that security, organisation and technology have reached all the preconditions for the mass adoption of the electronic document. The electronic document is everywhere, it's actually every Ward, Pdf, or any other document that we're going to generate on paper instead of in some file on the computer. But what was necessary to create is a way to achieve our own hand signature in electronic form. Now, there is a qualified electronic signature, in exchange for a handwritten signature, which the minister explained very closely in the opening statement. The introduction of an electronic document in relation to the issue of documents in paper format brings numerous savings. First of all, it is direct savings in material resources, such as savings in the price of paper, postage, administration and space for their physical archiving, which is about 40 to 60% of the savings, but beyond that there are indirect savings, which are savings in optimization of the work process, improvement of the process of work, faster and more reliable delivery of the electronic document, monitoring of one whole life cycle of the electronic document, as well as facilitated use, search and access to these electronic documents. In addition to all these advantages that we have cited in this new and simpler way of functioning, this bill has also been created as a commitment made by the Republic of Serbia in the EU accession process. The conditions for providing trust services will be levelled with European standards and regulations, which will contribute to the interoperability of these services with confidence. What is important is that after the entry of the Republic of Serbia into the European Union, there will be a public list of these trust services, which will be accessible by all users, as well as third parties from EU member states. It is also important to carry out regular evaluation and verification of compliance with the conditions for the provision of qualified trust services. That is why inspection supervision is foreseen. Given that the implementation of this law requires one serious and consistent approach, to gain public confidence in the use of the electronic document, in the fact that the use of the evidence and legal force of the electronic document will be equated with the proof and legal strength of the paper, given that the Republic of Serbia has long gone a safe path in solving cyber security and cyber trust problems, following all European trends, I think the right time is to take one easier path to the world of electronic business. Due to all the above-mentioned advantages, the Socialist Party of Serbia's parliamentary group will support the bill in the voting day. Thank you.
ParlaMint-RS_2017-10-06-0.u21970	Thank you. The word has a folk emissary, Aleksandra Tomic.
ParlaMint-RS_2017-10-06-0.u21971	The Honorable Chairman, respected ministers, fellow MPs, today we have the opportunity to discuss as well as these days the laws that clearly aim to put Serbia in a society where the most developed countries are, not only the European Union but the world. What we are honored by the proposal for such laws that there are no national academys that educate civil servants simply does not stand, because countries like France have a National School for Public Administration, which was founded in 1945 and that all French presidents have passed since its establishment. Then, Germany has a Federal Academy of Public Administration. Even the most advanced state, South Korea, has its own National Institute for Human Resources Development. Therefore, Serbia sees the best and therefore, as a legislative proposal today, we have the establishment of a National Public Administration Academy that should actually give the best personnel to lead the country in the future whose strategic goal is European integration, EU entry, and major changes in the geopolitical environment at all, not only in the EU, but also in the east and west of the future are waiting for all of us. Therefore, this government shows one of the highest levels of responsibility that it wants to prepare all its personnel and all its human resources to be ready for all the changes that are coming, and on the other hand to represent one advantage in terms of its competences, to be recognized by the most developed states, to have such institutions where it has its best staff. For this reason, it should be said today that from 2007 to 2017 this education worked as a staff management service or so on. Sook. To date, 34,000 educations have passed by all civil servants. If we take the information that 3,350 civil servants passed that education last year, we come to the conclusion that some 3,000 employees had that education annually. So over the past four years, about 14,000 students have had this education, and by 2012, those who honor us here, as we are about to educate some new political staff, have just educated 20,000 participants. These are all cheap political manipulations in public, so now we're introducing something new. No, we're just building up the system in a much more modern, quality way that we really want to get in line with the most developed countries. What should be said is that the Republic of Serbia has problems with the staff in local self-government and we should not hide it at all, and we are all aware of that here. Well, if you take just an example that we introduced the law three years ago, let's just say, that we have committed that every local self-government should have its own energy efficiency manager and that needs to pass education, believe me, that local self-government didn't complete this task, because it's very difficult to find in every municipality of engineers who went through certain education, to get licenses that they can do this job, and imagine only when we talk about management heads, heads of certain sectors and people who need to run a political part of local self-government that are completely different professions. And then we come into a situation that many politicians who have been elected by citizens, because citizens have confidence that they will implement a particular policy, have a problem technically implementing certain activities that are required when it comes to local self-government. Therefore, this National Academy will have great significance in the future, and what I think, now, we'll cut this off, is hiring in local self-government to solve social issues of certain local self-government, as was the case in 2012, to say, in one Leskovac, you had 700 people employed in state local self-government. What should be said is that this government has actually done a rationalization in general when it comes to civil servants that with a natural outflow and with a certain reorganisation of the state administration so far, 40,000 people have left the state administration, which is why we have rationalized the number, but it has also encouraged those who remain in the state service to do their job in the most efficient way. What is certainly resolved by this law is that the planning of personnel is raised to the highest level, the evaluation of personnel, to conduct competitions in the most transparent way possible and that is what actually raises the quality level of local self-government at all. It will actually be a centre of professional training, education, means colleges, completed schools do not give you the opportunity to do your job effectively in the state administration, but just this professional training by colleagues who have careerly passed many positions in the state administration and have this work experience that can simply pass on to you as a young counselor or a reference who deals with a particular job. When we talk about these laws relating to electronic business in and in general to IT security, I just want to say that today's bill, which we have here, which introduces electronic signature, electronic stamp, electronic delivery, we are practically establishing the application of the mechanisms that bring what Prime Minister Brnabic was talking about, introduces digitisation in Serbia. That's what we have to face, whether we want it or not. Yeah, it's just that if we don't master these mechanisms and do this kind of work, we can't move forward. Now, how do you explain it to a world that simply has a great deviation to the use of IT technology. In a simple way you can see, when we introduced the application of digital television, when that analogue channel was shut down, those people who didn't want to deal with new technologies, telecommunications and IT were in a certain way forced to move forward, to start taking an interest in the topic and to deal with it. I say that especially for people who live in small areas or rural areas, and in some ways I think our people like to learn and learn new knowledge of new technologies. We have somewhere in our culture to be that we want to always be the first to know and learn and finally, by the results of the young people they achieve in the world, we show that we are simply the kind of people we want to learn. We're not ashamed to do this, and I think what we're introducing right now as the new technology systems that we're going to manage gives us a new impulse to really deal with a new age, with that fourth industrial revolution. What is the best effect and the best example of the use of electronic business in general, and these services of trust, above all, are certain institutions that function, for example within the Ministry of Finance, there is a Centre for Mandatory Social Insurance. It is one institution that performs all its functions via the portal, i.e. there is no legal or physical person who has begun to work and who does not have health clearance, that is not secured without being reported through this portal. What makes me a good example, because the current electronic approach authorised has over 170 thousand debtors, and only in 2017, around two million applications for mandatory social security were filed through the portal. I want to say that Serbia has already entered developed countries and I think that by adopting these four draft laws, we are really showing that Serbia is going safely, not only on a European path, but is going one way of progress. That's why in the voting day, I'm going to support these four proposals. Thank you.
ParlaMint-RS_2017-10-06-0.u21972	Thank you. The word has a folk MP, Tanja Tomašević Damjanovic.
ParlaMint-RS_2017-10-06-0.u21973	Thank you. Dear Presidents, respected ministers with associates, colleagues and fellow MPs, today is a modern society of information society and therefore employees have to innovate their knowledge. Knowledge acquired at universities and relevant schools is a job visa, but it is necessary to build knowledge through the permanent education of employees during the working century. I therefore find it extremely important to pass legislation on the National Academy which actually establishes the National Academy of Public Administration, a central institution for professional training in public administration with the status of a publicly recognised organiser of the activities of informal adult education. Under professional training within the meaning of this law, an organised process of training of public administration staff is understood, based on general and specific training programmes of managers, and in order to acquire knowledge, values, attitudes, abilities and skills aimed at raising the level of competences necessary to carry out the tasks of a defined work and competence, i.e. public administration. It also takes care of human resources and career progress based on earned points through employee training, obtaining appropriate certification and evaluation at the training seminar. What is significant and what is a newspaper is that this education will also be mandatory for the highest officials, ministers, municipal presidents and commissioners. The Academy will be established as a special organisation in order to ensure independence and continuity, and, above all, from the fact that the work of the national academy is professional and related executives, whose nature requires greater independence from the body within the ministry. It should certainly be noted that it will be supervised by the Ministry of State Administration and local self-government. The law also stipulates that the National Academy has special professional bodies, both the Programme Council and the Permanent Programme Commission. The Programme Council is the basic expert body of the National Academy, which is under review, determines and gives an opinion, initiatives and others on the most important professional issues from the work of the National Academy. Permanent programming committees, are educated according to the basic thematic areas of the expert training programme in the public administration, in order to guide the development of thematic areas and to propose their promotion in line with established needs for professional training. They aim to make the work of the national academy more efficient, as their tasks are focused on preparatory, ongoing or operational issues. The objectives to be achieved by this law are to further improve public administration, in line with the principles of European administrative space, i.e. providing high quality services to citizens and economic operators, so professional and polite public administration at both local and republican level. The creation of such a public administration in the Republic of Serbia, which will make a significant contribution to economic stability and increasing citizens' living standards, because we will all agree that there is no successful growth without strong public administration, so I will support this bill in the voting day, as well as two other proposals on the agenda today. Thank you.
ParlaMint-RS_2017-10-06-0.u21974	Tanja Tomašević Damnjanović spoke. Danica Bukvić, please.
ParlaMint-RS_2017-10-06-0.u21975	Dear Presidents of the Assembly, honourable ministers with fellow Members, ladies and gentlemen of the People's Parliament, I will talk today about the draft law on the National Academy of Public Administration, which I find extremely important and necessary. Continuing education is necessary today in all spheres and activities, which we ourselves are witnesses, so it is necessary to carry out this among government employees and public services. I especially support this and understand the need to pass this law, given that as a health care professional, a doctor, I have perfected my whole life. The law regulates the National Academy to be the central institution of professional training in the public administration of the Republic of Serbia. The importance of this law is that its application contributes to depoliticalisation and professionalisation in public administration. A different way of progress in the public service will be enabled, which is determined by the adequate professional training of the employee. What is most important and the purpose of this law is to enable every citizen to have a quick, professional and professional service. Thus, local self-government will function as modern and efficient civil service. This, of course, also applies to employees of health and social security funds, which will make their services more efficient and accessible to citizens. The adoption of the proposed law, in addition to professional training and increasing the efficiency and quality of work of public administration employees, will fulfil our obligation to the EU. I would point out that the National Academy, as a central institution, is educated as a special organization and has a legal personality. The special subject of the National Academy is the Programme Council and the Permanent Programme Commission. The programme council shall consist of a president and 14 members appointed and authorised by the Director of the National Academy. The director of the National Academy also educates the permanent programming committee. As part of these permanent programming committees, experts from the relevant thematic area and employees at the national academy are appointed with significant and recognised experience mainly from the work of the public administration. From everything out of the blue, the SPS parliamentary group will support the proposed laws in the voting day. Thank you.
ParlaMint-RS_2017-10-06-0.u21976	Thank you. The word is Diana Vukomanovic. He's not here. Dubravka Filipovski, come in.
