Session,Date,Left,Centre,Right
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1-meta.tsv,2013-03-15,0,0,0
ParlaMint-IT-en_2013-03-16-LEG17-Senato-sed-2-meta.tsv,2013-03-16,0,0,0
ParlaMint-IT-en_2013-03-21-LEG17-Senato-sed-3-meta.tsv,2013-03-21,3,1,4
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4-meta.tsv,2013-03-25,2,2,3
ParlaMint-IT-en_2013-03-26-LEG17-Senato-sed-5-meta.tsv,2013-03-26,2,1,4
ParlaMint-IT-en_2013-03-27-LEG17-Senato-sed-6-meta.tsv,2013-03-27,4,2,5
ParlaMint-IT-en_2013-04-02-LEG17-Senato-sed-7-meta.tsv,2013-04-02,8,2,8
ParlaMint-IT-en_2013-04-03-LEG17-Senato-sed-8-meta.tsv,2013-04-03,6,3,6
ParlaMint-IT-en_2013-04-03-LEG17-Senato-sed-9-meta.tsv,2013-04-03,4,3,7
ParlaMint-IT-en_2013-04-09-LEG17-Senato-sed-10-meta.tsv,2013-04-09,6,2,4
ParlaMint-IT-en_2013-04-10-LEG17-Senato-sed-11-meta.tsv,2013-04-10,12,3,11
ParlaMint-IT-en_2013-04-10-LEG17-Senato-sed-12-meta.tsv,2013-04-10,9,3,12
ParlaMint-IT-en_2013-04-16-LEG17-Senato-sed-13-meta.tsv,2013-04-16,9,1,9
ParlaMint-IT-en_2013-04-17-LEG17-Senato-sed-14-meta.tsv,2013-04-17,4,1,5
ParlaMint-IT-en_2013-04-24-LEG17-Senato-sed-15-meta.tsv,2013-04-24,11,3,11
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16-meta.tsv,2013-04-29,1,0,0
ParlaMint-IT-en_2013-04-30-LEG17-Senato-sed-17-meta.tsv,2013-04-30,16,4,13
ParlaMint-IT-en_2013-05-06-LEG17-Senato-sed-18-meta.tsv,2013-05-06,9,4,5
ParlaMint-IT-en_2013-05-07-LEG17-Senato-sed-19-meta.tsv,2013-05-07,10,2,10
ParlaMint-IT-en_2013-05-08-LEG17-Senato-sed-20-meta.tsv,2013-05-08,5,2,6
ParlaMint-IT-en_2013-05-14-LEG17-Senato-sed-21-meta.tsv,2013-05-14,8,5,8
ParlaMint-IT-en_2013-05-15-LEG17-Senato-sed-22-meta.tsv,2013-05-15,10,2,8
ParlaMint-IT-en_2013-05-16-LEG17-Senato-sed-23-meta.tsv,2013-05-16,5,1,4
