Session,Date,Male,Female
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1-meta.tsv,2013-03-15,2,0
ParlaMint-IT-en_2013-03-16-LEG17-Senato-sed-2-meta.tsv,2013-03-16,6,0
ParlaMint-IT-en_2013-03-21-LEG17-Senato-sed-3-meta.tsv,2013-03-21,9,1
ParlaMint-IT-en_2013-03-25-LEG17-Senato-sed-4-meta.tsv,2013-03-25,6,3
ParlaMint-IT-en_2013-03-26-LEG17-Senato-sed-5-meta.tsv,2013-03-26,5,3
ParlaMint-IT-en_2013-03-27-LEG17-Senato-sed-6-meta.tsv,2013-03-27,11,3
ParlaMint-IT-en_2013-04-02-LEG17-Senato-sed-7-meta.tsv,2013-04-02,19,2
ParlaMint-IT-en_2013-04-03-LEG17-Senato-sed-8-meta.tsv,2013-04-03,11,7
ParlaMint-IT-en_2013-04-03-LEG17-Senato-sed-9-meta.tsv,2013-04-03,10,8
ParlaMint-IT-en_2013-04-09-LEG17-Senato-sed-10-meta.tsv,2013-04-09,11,6
ParlaMint-IT-en_2013-04-10-LEG17-Senato-sed-11-meta.tsv,2013-04-10,15,16
ParlaMint-IT-en_2013-04-10-LEG17-Senato-sed-12-meta.tsv,2013-04-10,25,5
ParlaMint-IT-en_2013-04-16-LEG17-Senato-sed-13-meta.tsv,2013-04-16,18,5
ParlaMint-IT-en_2013-04-17-LEG17-Senato-sed-14-meta.tsv,2013-04-17,9,4
ParlaMint-IT-en_2013-04-24-LEG17-Senato-sed-15-meta.tsv,2013-04-24,21,14
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16-meta.tsv,2013-04-29,3,1
ParlaMint-IT-en_2013-04-30-LEG17-Senato-sed-17-meta.tsv,2013-04-30,35,12
ParlaMint-IT-en_2013-05-06-LEG17-Senato-sed-18-meta.tsv,2013-05-06,22,12
ParlaMint-IT-en_2013-05-07-LEG17-Senato-sed-19-meta.tsv,2013-05-07,18,11
ParlaMint-IT-en_2013-05-08-LEG17-Senato-sed-20-meta.tsv,2013-05-08,16,4
ParlaMint-IT-en_2013-05-14-LEG17-Senato-sed-21-meta.tsv,2013-05-14,21,5
ParlaMint-IT-en_2013-05-15-LEG17-Senato-sed-22-meta.tsv,2013-05-15,17,8
ParlaMint-IT-en_2013-05-16-LEG17-Senato-sed-23-meta.tsv,2013-05-16,11,6
ParlaMint-IT-en_2013-05-21-LEG17-Senato-sed-24-meta.tsv,2013-05-21,22,4
ParlaMint-IT-en_2013-05-21-LEG17-Senato-sed-25-meta.tsv,2013-05-21,16,13
ParlaMint-IT-en_2013-05-22-LEG17-Senato-sed-26-meta.tsv,2013-05-22,9,11
ParlaMint-IT-en_2013-05-22-LEG17-Senato-sed-27-meta.tsv,2013-05-22,11,2
ParlaMint-IT-en_2013-05-23-LEG17-Senato-sed-28-meta.tsv,2013-05-23,3,4
ParlaMint-IT-en_2013-05-28-LEG17-Senato-sed-29-meta.tsv,2013-05-28,6,6
ParlaMint-IT-en_2013-05-29-LEG17-Senato-sed-30-meta.tsv,2013-05-29,40,14
ParlaMint-IT-en_2013-05-30-LEG17-Senato-sed-31-meta.tsv,2013-05-30,8,5
ParlaMint-IT-en_2013-06-03-LEG17-Senato-sed-32-meta.tsv,2013-06-03,15,9
ParlaMint-IT-en_2013-06-04-LEG17-Senato-sed-33-meta.tsv,2013-06-04,28,5
ParlaMint-IT-en_2013-06-05-LEG17-Senato-sed-34-meta.tsv,2013-06-05,5,0
ParlaMint-IT-en_2013-06-05-LEG17-Senato-sed-35-meta.tsv,2013-06-05,24,4
ParlaMint-IT-en_2013-06-06-LEG17-Senato-sed-36-meta.tsv,2013-06-06,28,9
ParlaMint-IT-en_2013-06-06-LEG17-Senato-sed-37-meta.tsv,2013-06-06,11,3
ParlaMint-IT-en_2013-06-11-LEG17-Senato-sed-38-meta.tsv,2013-06-11,33,8
ParlaMint-IT-en_2013-06-12-LEG17-Senato-sed-39-meta.tsv,2013-06-12,39,11
ParlaMint-IT-en_2013-06-12-LEG17-Senato-sed-40-meta.tsv,2013-06-12,17,3
ParlaMint-IT-en_2013-06-13-LEG17-Senato-sed-41-meta.tsv,2013-06-13,11,5
