Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7971	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7972	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	HadžiahmetovićAzra	Hadžiahmetović, Azra	F	1956	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7973	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7975	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	HadžiahmetovićAzra	Hadžiahmetović, Azra	F	1956	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7976	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7977	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Regular	MP	notMinister	SBB	Savez za bolju budućnost	Opposition	Centre-right	ĐugumMirsad	Đugum, Mirsad	M	1957	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7978	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7979	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Regular	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7980	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7981	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SarajlićAsim	Sarajlić, Asim	M	1975	
ParlaMint-BA-en_2011-12-30-0	ParlaMint-BA_2011-12-30-0.u7982	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 17	2011-12-30	Unicameralism	6. mandat	-	Sjednica 17	2012-05-31	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
