Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Regular	MP	notMinister	BPP	Petro Poroshenko Bloc	-	Centre-right	ІринаВолодимирівнаГеращенко.1971	Heraščenko, Iryna Volodymyrivna	F	1971	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Regular	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Regular	MP	notMinister	BPP	Petro Poroshenko Bloc	-	Centre-right	ІринаВолодимирівнаГеращенко.1971	Heraščenko, Iryna Volodymyrivna	F	1971	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ВасильЯрославовичВірастюк.1974	Virastjuk, Vasyl' Jaroslavovyč	M	1974	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ЛюбомирГузар.1933	Huzar, Ljubomyr	M	1933	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ВолодимирМихайловичВятрович.1977	V'jatrovyč, Volodymyr Mychajlovyč	M	1977	
ParlaMint-UA-en_2017-03-17-m1	ParlaMint-UA_2017-03-17-m1.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 8, session 6, sitting day 2017-03-17, n1	2017-03-17	Unicameralism	8	6	-	2017-03-17	-	Reference	English	Chairperson	MP	notMinister	NF	People's Front	-	Centre-right to right	АндрійВолодимировичПарубій.1971	Parubij, Andrij Volodymyrovyč	M	1971	
