ParlaMint-UA_2017-04-06-m1.u1	Colleagues, please come into the hall and prepare for the registration in the evening session.
ParlaMint-UA_2017-04-06-m1.u2	Colleagues, please get ready for work. Please prepare for registration. So, colleagues, please prepare for registration. And I'd like you to sign up for the evening session, please. [[16:04:51]] 357 national deputies registered. And we're moving on. I declare the evening session of the Supreme Council of Ukraine open. And, colleagues, I have all your requests. We now have a block of social and humanitarian policy. Almost all these bills are united and supported by factions. Here are questions of youth and sport that we did not consider on Wednesday. There's a social policy issue here. I would very much ask us to be able to go through this block intensively. I would very much ask that even when the discussion is going on, it be as concise as possible. We spent three hours discussing the electricity market, it was, of course, a fine law, we discussed it thoroughly, but we have a lot of laws waiting for our adoption and decision. So I invite you to work hard and productively. I'm asking you to invite all the deputies into the hall. Colleagues, I'm asking you to come into the hall of everyone who's in the towers. And we're moving to the first law of the daily order, this is the Ukrainian Act on Amendments to certain Ukrainian laws on raising the level of social protection of military personnel and their families, with proposals from the President dated 07.08.2015 (number 2406). I would like to point out that this consideration takes place after a report by the committee head. I ask the committee head to approach. This happens by the second reading procedure, so the reporter and then the amendment. And I invite the head of the National Security and Defence Committee of the Pashinsky Sergey Volodymyrovich. Please, Mr. Sergei.
ParlaMint-UA_2017-04-06-m1.u3	Good afternoon, Mr. Chairman! Good afternoon, dear fellows! Bill 2406 is proposed before your consideration. The Supreme Council Committee on Security and Defence considered the Ukrainian Act on Amendments to certain laws of Ukraine on raising the level of social protection of military personnel and their families, as amended by the Supreme Council Regulation of 18 October 2016, taking into account proposals made by entities of the right to legislative initiative for re-introduction of the Supreme Council in connection with the failure of the President's veto. All of a sudden, there were five amendments that were included. A comparative table is given, and it is accepted by the Chief Legal Authority. The members of the committee decided to unanimously support the outcome of the reexamination and to adopt it as a law as a whole.
ParlaMint-UA_2017-04-06-m1.u4	Thank you. Colleagues, let's move on to the amendments. 1 amendment, Andrew Antonishtak. Please turn on the microphone, Andrew Antonishtak.
ParlaMint-UA_2017-04-06-m1.u5	Ladies and gentlemen of Ukraine, I ask you to stop adopting this law, the bill, being politicians, being united, because this bill applies to everyone. We have a country fighting today. The representatives of Donbas, Zacarpathia, Chernigiv, Kiev are fighting. I just want to give you an example of what we're proposing. We suggest an increase in payments to the families of the dead, to the disabled, to the third and third groups. I'll just give you the numbers. Payments to families who have died from $250,000 to 500 million, to 580 million, from 400,000 to 617 thousand in the first group, the second group from 300,000 to 463,000, and the third group from 250 to 250.
ParlaMint-UA_2017-04-06-m1.u6	Please, 30 seconds.
ParlaMint-UA_2017-04-06-m1.u7	Up to 386,000 dollars. Ladies and gentlemen, I ask you, all factions, you state officials, unite, please, around the adoption of this bill. The boys on the front don't die for Ukraine, the boys on the front are killing for Ukraine!
ParlaMint-UA_2017-04-06-m1.u8	Please, Sergey Volodymyrovich.
ParlaMint-UA_2017-04-06-m1.u9	Dear colleagues, Mr. Antonishtak's rights are taken into account. I ask you to support the bill as a whole, including this amendment. And I fully agree with the speech of the previous speaker. We have, thank God, financial possibilities now, the budget is changing, despite the provocation of the patriot pseudo, the blockade and everything else, the feudal provocations, we can afford it. And I want to do it again. I support this amendment. And please, indeed, now the heads of factions invite MPs. It would be a disgrace to the Ukrainian Parliament if we failed this bill now.
ParlaMint-UA_2017-04-06-m1.u10	Thank you. Third right, Andrew Lozový. Please, one minute.
ParlaMint-UA_2017-04-06-m1.u11	Andrey Lozovy, Radical Party of Lazka. Tell me, please, what are the best of the best men who risk their lives and health for freedom every day, for peace in the country, for unity, for assembly, for the return of our territories, for fighting a very difficult enemy, for Moscow, for which they are fighting if the state is not capable of their best. Their families, who do not know, are waiting at home for their father, brother, son, friend, without social protection at the proper level. I think it should be embarrassing for every MP who does not vote in favour of this law. It's very sad that there was a presidential veto, and we have to beat it now. I wish there was unity now and there was no politics on those issues. In many countries, such as Japan, the main elite of the state is military aristocracy. We now have Europe's most powerful army and must appreciate it.
