Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10867	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	ZvizdićDenis	Zvizdić, Denis	M	-	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10868	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	ŠmitKristijan	Šmit, Kristijan	U	-	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10869	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	ZvizdićDenis	Zvizdić, Denis	M	-	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10870	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	OsmanovićAdil	Osmanović, Adil	M	-	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10871	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	ZvizdićDenis	Zvizdić, Denis	M	-	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10872	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	MagazinovićSaša	Magazinović, Saša	M	1978	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10873	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	ZvizdićDenis	Zvizdić, Denis	M	-	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10874	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Regular	MP	notMinister	DF	Demokratska fronta	Coalition	Centre to centre-left	ĐonlagićDženan	Đonlagić, Dženan	M	-	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10875	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	ZvizdićDenis	Zvizdić, Denis	M	-	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10876	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Regular	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	Coalition	Right	LovrinovićNikola	Lovrinović, Nikola	M	1960	
ParlaMint-BA-en_2021-10-28-0	ParlaMint-BA_2021-10-28-0.u10877	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 8, Session 00	2021-10-28	Unicameralism	8. mandat	-	Sjednica 00	2021-10-28	-	COVID	English	Chairperson	MP	notMinister	-	-	-	-	ZvizdićDenis	Zvizdić, Denis	M	-	
