Session,Date,Coalition,Opposition
ParlaMint-PL-en_2015-11-12-sejm-01-1-meta.tsv,2015-11-12,0,0
ParlaMint-PL-en_2015-11-12-senat-01-1-meta.tsv,2015-11-12,0,0
ParlaMint-PL-en_2015-11-13-sejm-01-2-meta.tsv,2015-11-13,0,0
ParlaMint-PL-en_2015-11-13-senat-01-2-meta.tsv,2015-11-13,0,0
ParlaMint-PL-en_2015-11-16-sejm-01-3-meta.tsv,2015-11-16,6,10
ParlaMint-PL-en_2015-11-18-sejm-01-4-meta.tsv,2015-11-18,19,83
ParlaMint-PL-en_2015-11-18-senat-02-1-meta.tsv,2015-11-18,10,10
ParlaMint-PL-en_2015-11-19-sejm-01-5-meta.tsv,2015-11-19,6,17
ParlaMint-PL-en_2015-11-19-senat-02-2-meta.tsv,2015-11-19,11,15
ParlaMint-PL-en_2015-11-20-senat-02-3-meta.tsv,2015-11-20,3,2
ParlaMint-PL-en_2015-11-25-sejm-02-1-meta.tsv,2015-11-25,23,53
ParlaMint-PL-en_2015-11-26-sejm-02-2-meta.tsv,2015-11-26,19,16
ParlaMint-PL-en_2015-11-26-senat-03-1-meta.tsv,2015-11-26,14,11
ParlaMint-PL-en_2015-12-02-sejm-03-1-meta.tsv,2015-12-02,31,49
ParlaMint-PL-en_2015-12-09-sejm-04-1-meta.tsv,2015-12-09,25,49
ParlaMint-PL-en_2015-12-10-sejm-04-2-meta.tsv,2015-12-10,31,26
ParlaMint-PL-en_2015-12-10-senat-04-1-meta.tsv,2015-12-10,9,8
ParlaMint-PL-en_2015-12-15-sejm-05-1-meta.tsv,2015-12-15,31,43
ParlaMint-PL-en_2015-12-16-sejm-05-2-meta.tsv,2015-12-16,45,61
ParlaMint-PL-en_2015-12-17-sejm-05-3-meta.tsv,2015-12-17,26,74
ParlaMint-PL-en_2015-12-17-senat-05-1-meta.tsv,2015-12-17,18,10
ParlaMint-PL-en_2015-12-18-senat-05-2-meta.tsv,2015-12-18,17,6
ParlaMint-PL-en_2015-12-21-sejm-06-1-meta.tsv,2015-12-21,32,35
ParlaMint-PL-en_2015-12-22-sejm-06-2-meta.tsv,2015-12-22,37,72
ParlaMint-PL-en_2015-12-22-senat-06-1-meta.tsv,2015-12-22,14,8
ParlaMint-PL-en_2015-12-23-senat-06-2-meta.tsv,2015-12-23,27,17
ParlaMint-PL-en_2015-12-29-sejm-07-1-meta.tsv,2015-12-29,46,116
ParlaMint-PL-en_2015-12-30-sejm-07-2-meta.tsv,2015-12-30,27,56
ParlaMint-PL-en_2015-12-30-senat-07-1-meta.tsv,2015-12-30,23,18
ParlaMint-PL-en_2015-12-31-senat-07-2-meta.tsv,2015-12-31,19,15
ParlaMint-PL-en_2016-01-13-sejm-08-1-meta.tsv,2016-01-13,21,57
ParlaMint-PL-en_2016-01-13-senat-08-1-meta.tsv,2016-01-13,12,7
ParlaMint-PL-en_2016-01-14-sejm-08-2-meta.tsv,2016-01-14,35,64
ParlaMint-PL-en_2016-01-15-sejm-08-3-meta.tsv,2016-01-15,18,25
ParlaMint-PL-en_2016-01-27-sejm-09-1-meta.tsv,2016-01-27,21,65
ParlaMint-PL-en_2016-01-28-sejm-09-2-meta.tsv,2016-01-28,40,46
ParlaMint-PL-en_2016-01-28-sejm-10-1-meta.tsv,2016-01-28,11,43
ParlaMint-PL-en_2016-01-28-senat-09-1-meta.tsv,2016-01-28,9,15
ParlaMint-PL-en_2016-01-29-sejm-10-2-meta.tsv,2016-01-29,60,93
ParlaMint-PL-en_2016-01-29-senat-09-2-meta.tsv,2016-01-29,26,17
ParlaMint-PL-en_2016-01-30-senat-09-3-meta.tsv,2016-01-30,20,14
ParlaMint-PL-en_2016-02-09-sejm-11-1-meta.tsv,2016-02-09,56,82
ParlaMint-PL-en_2016-02-10-sejm-11-2-meta.tsv,2016-02-10,37,62
ParlaMint-PL-en_2016-02-11-sejm-11-3-meta.tsv,2016-02-11,23,44
ParlaMint-PL-en_2016-02-12-senat-10-1-meta.tsv,2016-02-12,29,13
ParlaMint-PL-en_2016-02-17-senat-11-1-meta.tsv,2016-02-17,12,14
ParlaMint-PL-en_2016-02-18-senat-11-2-meta.tsv,2016-02-18,25,7
ParlaMint-PL-en_2016-02-19-senat-11-3-meta.tsv,2016-02-19,9,5
ParlaMint-PL-en_2016-02-24-sejm-12-1-meta.tsv,2016-02-24,21,47
ParlaMint-PL-en_2016-02-25-sejm-12-2-meta.tsv,2016-02-25,31,59
ParlaMint-PL-en_2016-02-26-sejm-12-3-meta.tsv,2016-02-26,11,6
ParlaMint-PL-en_2016-03-09-sejm-13-1-meta.tsv,2016-03-09,28,38
ParlaMint-PL-en_2016-03-09-senat-12-1-meta.tsv,2016-03-09,11,12
ParlaMint-PL-en_2016-03-10-sejm-13-2-meta.tsv,2016-03-10,35,59
ParlaMint-PL-en_2016-03-10-senat-12-2-meta.tsv,2016-03-10,8,9
ParlaMint-PL-en_2016-03-11-sejm-13-3-meta.tsv,2016-03-11,23,26
ParlaMint-PL-en_2016-03-16-sejm-14-1-meta.tsv,2016-03-16,29,39
ParlaMint-PL-en_2016-03-16-senat-13-1-meta.tsv,2016-03-16,13,10
ParlaMint-PL-en_2016-03-17-sejm-14-2-meta.tsv,2016-03-17,43,57
ParlaMint-PL-en_2016-03-17-senat-13-2-meta.tsv,2016-03-17,14,7
ParlaMint-PL-en_2016-03-18-sejm-14-3-meta.tsv,2016-03-18,13,35
ParlaMint-PL-en_2016-03-18-senat-13-3-meta.tsv,2016-03-18,12,9
ParlaMint-PL-en_2016-03-30-sejm-15-1-meta.tsv,2016-03-30,43,49
ParlaMint-PL-en_2016-03-31-sejm-15-2-meta.tsv,2016-03-31,52,55
ParlaMint-PL-en_2016-04-01-sejm-15-3-meta.tsv,2016-04-01,31,28
ParlaMint-PL-en_2016-04-06-senat-14-1-meta.tsv,2016-04-06,22,4
ParlaMint-PL-en_2016-04-07-senat-14-2-meta.tsv,2016-04-07,12,6
ParlaMint-PL-en_2016-04-12-sejm-16-1-meta.tsv,2016-04-12,31,30
ParlaMint-PL-en_2016-04-13-sejm-16-2-meta.tsv,2016-04-13,39,66
ParlaMint-PL-en_2016-04-13-senat-15-1-meta.tsv,2016-04-13,25,17
ParlaMint-PL-en_2016-04-14-sejm-16-3-meta.tsv,2016-04-14,10,21
ParlaMint-PL-en_2016-04-20-senat-15-2-meta.tsv,2016-04-20,21,12
ParlaMint-PL-en_2016-04-27-sejm-17-1-meta.tsv,2016-04-27,21,24
ParlaMint-PL-en_2016-04-28-sejm-17-2-meta.tsv,2016-04-28,52,73
ParlaMint-PL-en_2016-04-28-senat-16-1-meta.tsv,2016-04-28,15,13
ParlaMint-PL-en_2016-04-29-sejm-17-3-meta.tsv,2016-04-29,18,29
ParlaMint-PL-en_2016-04-29-senat-16-2-meta.tsv,2016-04-29,22,11
ParlaMint-PL-en_2016-05-11-sejm-18-1-meta.tsv,2016-05-11,36,41
ParlaMint-PL-en_2016-05-11-senat-17-1-meta.tsv,2016-05-11,22,15
ParlaMint-PL-en_2016-05-12-sejm-18-2-meta.tsv,2016-05-12,51,60
ParlaMint-PL-en_2016-05-12-senat-17-2-meta.tsv,2016-05-12,10,3
ParlaMint-PL-en_2016-05-13-sejm-18-3-meta.tsv,2016-05-13,18,27
ParlaMint-PL-en_2016-05-18-sejm-19-1-meta.tsv,2016-05-18,40,43
ParlaMint-PL-en_2016-05-18-senat-18-1-meta.tsv,2016-05-18,11,9
ParlaMint-PL-en_2016-05-19-sejm-19-2-meta.tsv,2016-05-19,49,61
ParlaMint-PL-en_2016-05-19-senat-18-2-meta.tsv,2016-05-19,13,5
ParlaMint-PL-en_2016-05-20-sejm-19-3-meta.tsv,2016-05-20,31,54
ParlaMint-PL-en_2016-06-08-sejm-20-1-meta.tsv,2016-06-08,51,69
ParlaMint-PL-en_2016-06-08-senat-19-1-meta.tsv,2016-06-08,21,11
ParlaMint-PL-en_2016-06-09-sejm-20-2-meta.tsv,2016-06-09,57,78
ParlaMint-PL-en_2016-06-09-senat-19-2-meta.tsv,2016-06-09,18,9
ParlaMint-PL-en_2016-06-10-sejm-20-3-meta.tsv,2016-06-10,29,52
ParlaMint-PL-en_2016-06-15-senat-20-1-meta.tsv,2016-06-15,20,18
ParlaMint-PL-en_2016-06-16-senat-20-2-meta.tsv,2016-06-16,29,14
ParlaMint-PL-en_2016-06-21-sejm-21-1-meta.tsv,2016-06-21,47,38
ParlaMint-PL-en_2016-06-22-sejm-21-2-meta.tsv,2016-06-22,50,65
ParlaMint-PL-en_2016-06-23-sejm-21-3-meta.tsv,2016-06-23,14,16
ParlaMint-PL-en_2016-06-23-senat-21-1-meta.tsv,2016-06-23,11,15
ParlaMint-PL-en_2016-06-24-senat-21-2-meta.tsv,2016-06-24,14,8
ParlaMint-PL-en_2016-06-29-senat-21-3-meta.tsv,2016-06-29,21,11
ParlaMint-PL-en_2016-07-05-sejm-22-1-meta.tsv,2016-07-05,49,64
ParlaMint-PL-en_2016-07-06-sejm-22-2-meta.tsv,2016-07-06,58,85
ParlaMint-PL-en_2016-07-06-senat-22-1-meta.tsv,2016-07-06,18,11
ParlaMint-PL-en_2016-07-07-sejm-22-3-meta.tsv,2016-07-07,25,53
ParlaMint-PL-en_2016-07-07-senat-22-2-meta.tsv,2016-07-07,26,16
ParlaMint-PL-en_2016-07-19-sejm-23-1-meta.tsv,2016-07-19,43,46
ParlaMint-PL-en_2016-07-20-sejm-23-2-meta.tsv,2016-07-20,40,42
ParlaMint-PL-en_2016-07-20-senat-23-1-meta.tsv,2016-07-20,23,15
ParlaMint-PL-en_2016-07-21-sejm-23-3-meta.tsv,2016-07-21,54,74
ParlaMint-PL-en_2016-07-21-senat-23-2-meta.tsv,2016-07-21,33,13
ParlaMint-PL-en_2016-07-22-sejm-23-4-meta.tsv,2016-07-22,28,50
ParlaMint-PL-en_2016-07-22-senat-23-3-meta.tsv,2016-07-22,29,13
ParlaMint-PL-en_2016-08-03-senat-24-1-meta.tsv,2016-08-03,25,13
ParlaMint-PL-en_2016-08-04-senat-24-2-meta.tsv,2016-08-04,17,6
ParlaMint-PL-en_2016-09-05-sejm-24-1-meta.tsv,2016-09-05,44,59
ParlaMint-PL-en_2016-09-09-senat-25-1-meta.tsv,2016-09-09,11,6
ParlaMint-PL-en_2016-09-13-sejm-25-1-meta.tsv,2016-09-13,51,52
