ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u1	I'm asking to talk.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u2	You have the right to do so.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u3	GAETTI (M5S). Madam President, I would like to ask for the vote on the Minutes, subject to a quorum check. Verification of quorum
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u4	I invite the Senator Secretary to check whether the request is supported by the prescribed number of senators, by electronic procedure. (The request is supported). I therefore call on the senators to make their presence known by electronic means. (Follows the quorum check.) The Senate has a quorum. Resumption of the debate on the Minutes I put the Minutes to the vote. It's approved.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u5	The list of senators on leave and absent on assignment received from the Senate, as well as further communications to the Assembly, will be published in Annex B to today's Minutes.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u6	I would warn you that qualified votes can be taken in the course of today's sitting by electronic means. Therefore, from this moment the period of 20 minutes from the notice provided for in Article 119, paragraph 1, of the Regulation (at 12.07 p.m.).
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u7	I communicate to the Assembly that the President of the Republic, by letter of 18 October 2014, has communicated that by decree on the same date, countersigned by the President of the Council of Ministers, has appointed judges of the Constitutional Court Professor Daria De Pretis, ordinary of administrative law at the University of Trento, and Professor Nicolò Zanon, ordinary of constitutional law at the University of Milan.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u8	The next item is the government's information on recent alluvial events and the discussion of related motions 1-00178 (text 2) presented by Senator Di Biagio and other senators, 1-00253, presented by Senator Fucksia and other senators, 1-00308 (text 2), presented by Senator Ruta and other senators, 1-00314, presented by Senator Tarquinio and other senators, 1-00316 (text 2), presented by Senator Donno and other senators, 1-00324, presented by Senator Arrigoni and other senators, 1-00325, presented by Senator Bruni and other senators, and 1-00326, presented by Senator De Petris and other senators, on soil protection. I call Mr Galletti, Minister for the Environment and Protection of the Land and the Sea.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u9	Madam President, ladies and gentlemen, first of all I would like to take this opportunity to renew the condolences of the entire Government and my staff (thinking to represent the sentiment of all of you) for the victims of the wave of bad weather that continued to rage on our peninsula until a few days ago. Our thoughts go to all those who have experienced those terrible moments and who have seen their commercial, industrial and agricultural activities brought to their knees by the devastating force of the flood. [[Applause from the PI Group]] As I have already told the House only a few days ago, the problems of hydrogeological failure are very important: it is from their final resolution that the safety of citizens, their quality of life and their hopes, in short, the future of the whole country depends. It is no longer acceptable that in a civil society as modern and well-structured as ours, the consequence of a storm often becomes a catastrophe for entire communities, with innocent victims and enormous difficulties to return to normal life. [[Brusio]]
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u10	I beg your pardon, Minister. I must say that I am a little sorry to have to call this House to attention and to silence in the face of the serious events we are discussing.
ParlaMint-IT_2014-10-21-LEG17-Senato-sed-334.ana.u11	[[Applause from the PD, Mixed SEL and PI Groups]] I ask you, Minister, to continue your speech, Mr Galletti, Minister for the Environment and Protection of the Territory and the Sea. Thank you, Madam President. The theme that we are dealing with today therefore offers many ideas for reflection for all: none of us, for our respective responsibilities, can think of eluding them, because they call each of us to a deep reflection on the behaviours kept, on what has happened up to now and, above all, on what can be done to reverse the course. Let's start with prevention, because investing in prevention means saving lives, protecting the territory, as well as leading to substantial savings for the state. We need a profound change of mind: local administrations, for example, must have the courage and seriousness, which have often been lacking, to ban construction in areas with high hydrogeological risk. It is necessary to restore the places where it was built in violation of the basic laws of nature, artificially diverting streams or, even, building on those courses: these practices must no longer be repeated. We need money investments for ordinary and periodic maintenance - I repeat, ordinary and periodic - of hives and sewer pipes, with their entrances. Everyone is called to play their part - local authorities and the central state - because in the field of prevention the precautions are never enough to avoid accidents like those already seen and that for years have been repeated dramatically, perhaps because they are not predictable - of course! - or maybe because we've underestimated them for too long. I now come to describe the warning system regarding Genoa. The weather event of considerable intensity that hit North Italy was characterized by temporal phenomena also very localized that, starting from Liguria, on the day of October 7, subsequently affected Piedmont, Emilia-Romagna, Tuscany, Friuli-Venezia Giulia and, more marginally, Lombardy, Veneto and Upper Lazio, causing overall widespread flooding, exodus of numerous water streams and slopes. I would remind you that the national alert system for hydrogeological and hydraulic risk for civil protection purposes is governed by the directive of the President of the Council of Ministers of 27 February 2004, in line with the division between State and Regions of competences on prevention and forecasting activities. The national alert system is in the responsibility of the Regions, both with regard to the evaluation of the conditions for the issue of weather notices and newsletters and of hydrogeological and hydraulic criticalities in the technical structure called Regional Functional Centre, and in relation to the procedures and modalities of issuing and dissemination of alert messages for the purposes of activation at the various levels - regional, provincial and municipal - of the civil protection system in charge of the President of the Region. The Civil Protection Department, through the central functional centre, ensures the coordination of the system at national level and performs operational and functional subsidiarity functions, in justified cases where the Regional Functional Centres are unable to carry out the service because they are not activated or not operational, even temporarily. On the basis of these national guidelines, the Regions of Liguria, Piedmont, Emilia-Romagna, Veneto and Tuscany have regulated their regional alert activities with regional resolutions according to which they have full responsibility for the alerting activity, both in the issue of weather warnings and notices of hydrogeological and hydraulic criticality regarding the regional territory. It is pointed out, instead, that Friuli-Venezia Giulia is at the moment the only Region, among those involved by the weather event in question, that has not yet perfected the regional requirements necessary for full autonomy in the management of the regional alert system for hydrogeological and hydraulic risk. During the period concerned, according to the above-mentioned legislation, each Decentralised Functional Centre of the Regions concerned issued its own regional meteorological notices received by six notices of national adverse weather conditions valid from 8 October and until the morning of 16 October, covering the entire evolution of the phenomenon. In particular, the Central Functional Centre issued two notices of adverse weather conditions for the Friuli-Venezia Giulia region, on 12 and 14 October, in view of the fact that the decentralised Functional Centre, as I have already mentioned, is not yet formally active in that region. In view of the weather forecasts, each Autonomous Regional Functional Centre has assessed, in full responsibility, the possible critical scenarios on its territory. These scenarios have been transposed into national critical bulletins issued daily by the Civil Protection Department and made public on its institutional website. The bad weather that hit the Regions of Northern Italy on October 9th, moving subsequently also in central Italy, lasted approximately until October 14th. This wave of bad weather, unfortunately, also recorded a toll of victims: one in Genoa on the night between 9 and 10 October; two on the Maremmana, in Grossetano; another victim in Trieste for a landslide. The facts are well known: the flood and flooding of the rivers have brought along a large mass of mud that has invested many urban centers, where in some cases the evacuation of entire families has been necessary, causing serious damage to public and private structures and crops. On one thing we all agree: the causes of the current condition of hydrogeological failure must be sought, as well as in the effects dependent on climate change, in the design errors that have led, very often, to the regimentation and intubation of the watercourses and the excessive consumption of soil due to building speculation and urbanization without rules that have radically transformed the morphology of the soils. To come to the more specific facts of Genoa, in the evening of October 9, 2014, between 21 and 24, were recorded particularly intense precipitations but very localized that, due to the temporal and spatial characteristics, are not predictable today through the weather models available. In particular, it is evident that the maximum cumulative hourly was recorded in Genoa and that it exceeded 130 millimeters per hour. The precipitation caused the rapid rise of all the watercourses of the province of Genoa, causing the flooding in several places on the same evening. The most significant and sudden increases were recorded on Bisagno, which in about two hours, from 22 to 24, recorded an increase in the hydrometric level above 3,5 meters, exceeding the maximum alert threshold, equal to 4.2 meters, and reaching the hydrometric altitude of 5.6 meters, with the consequent exondation in the city area. Against this, considering the intensification of the rains, already from 22,30 hours of 9 October, at the prefecture of Genoa was convened a unit of crisis that has maintained continuous and constant contacts, in relation to the evolution of the situation, with the Region and the mayors of the municipalities concerned by the disturbance. At 23.30 the river Bisagno is exonerated in the area between Marassi and the Foce, which caused the death of a man. The deployment of forces on the territories concerned was impressive. Since 11 October he has also seen the competition of military of the Army, who, on indication of the prefecture, were destined to support directly the activity of the Fire Departments. These forces, together with the State Forestry Corps, monitored the watercourses and bridges in the areas most exposed to risk, in order to identify the situations in need of immediate intervention. Very valuable and highly professional was the contribution of the Forces of the Order, who carried out a widespread anti-dismantling activity, proceeding to the arrest of 22 persons caught in flagrant crime. As a result of the damage caused to buildings by heavy rain, 224 people were evacuated, 56 of whom were hospitalized at facilities made available to the municipal authorities, while the others were housed with relatives. It is now known to all that the main cause of the damage caused by the flood is to be linked to the intubation of the river Bisagno, which occurred in the twenties of the last century, which already in 2011 had caused similar emergencies. I'm not gonna sit here and repeat how much he already knows about everyone. The intervention, planned for a long time, in order to increase the scope and therefore the safety of the covered section of the river Bisagno a la Foce, has not been carried out in relation to the time that has become necessary for the treatment of certain actions brought to the TAR by undertakings excluded from the relevant invitation to tender. As for the storm in Maremma, at about 17 o'clock last 14 October the provincial commander of the firemen of Grosseto signalled to the competent prefecture an emergency for violent and sudden rain in the area La Sgrilla, in Marsiliana, in the municipality of Manciano. During the meeting at the Coordination Centre, promptly installed in the single operating room of the Provincial Civil Protection, it was reported that in the previous hours there were abundant rainfalls, which had affected the southern central belt of the Province of Grosseto, in particular the territory of the Municipalities of Orbetello, Manciano and Magliano in Tuscany. The phenomenon, already intensifying from the early afternoon hours, led to a rapid rise in the level of alert relative to the river Albegna - which in the evening overclimbed in the locality Marsiliana - and to the sudden saturation of the secondary water grid persistent in the affected area. The mayor of Orbetello, in particular, constituted the Municipal Operating Centre and ordered the evacuation of all the houses located in the area of the municipal territory that are included between the left bank of the river Albegna and the torrent Magione. The evacuation involved about 40 people, who spent the night at the sports hall in Orbetello, while three families were housed at a local hotel. Some sections of the road, including provincial road No 101, were quickly closed in the section between the bridge over the Sgrilla stream for about three kilometres. At around 21, after the water level of the river Fosso Poggio Capraio, a tributary of the river Albegna, had significantly retired upstream of the Marsiliana, a car partially covered with mud and water was found in Sgrilla, with on board the exanimous bodies - presumably due to drowning - of two sisters. On the day of the next 15 October, after the first aid phase to the population, the interventions focused on verifying the damage to infrastructure and buildings, both public and private. The situation was constantly monitored by the Coordination Assistance Centre, which remained active until the evening of 16 October. About the cloud in Parmense, on Monday 13 October, the phase of attention for hydrogeological and hydraulic criticality - concerning, moreover, the entire Emilia-Romagna Region - has rapidly evolved with the activation, around 16, of the phase of alarm limited to the Province of Parma for the flood of the Parma and Baganza streams. Consistent information, at the same time received from the managers of the Interregional Agency of the River Po and the Technical Service of the basins of the tributaries of the Po, led to the opening of the unified operating room of civil protection and of the Coordination Centre rescue, which at 5 p.m. met in plenary session under the coordination of the prefecture of Parma. In that place emerged the need to control the full dread of the river Parma in the capital and, subsequently, downstream of the same. Around 6.30 p.m., the predicted watercourse reached the height of full water in the city, equal to 3.92 meters (an absolute measure never recorded before), however contained by the timely and effective controlled release maneuvers operated on the expansion chest in Marano, upstream of the city, without which the hydrometric level would have been quite different, with disastrous consequences for Parma and its inhabitants. The immediate but temporary restoration, by means of bags of sand and tarpaulins, of the defense side of the railway bridge, damaged by the flood, was arranged, and some critical findings were taken into account in the peripheral districts of the capital placed at the confluence of the two streams. In particular, Baganza was partially exondated in peripheral and confined areas, leading to the evacuation of two families as well as the guests on the ground floor of a nursing home that were transported to the upper floors. On the other hand, all the bridges of the city, except one, remained open; the underpasses at risk were guarded; the road system, even congested, was practicable and the railway line was active. The subsequent indications from the hydraulic bodies required to evaluate with extreme attention the repercussions downstream, in particular in the municipalities of Torrile, Mezzani and Colorno. In fact, the first projections suggested a further emergent phase in Colorno, with flooding of the town and the eighteenth-century palace due to a full wave expected at 0.30 hours. In the light of this forecast, it was possible to find and transfer to the locality very quickly plundering and ground-moving machines as well as the personnel of the regional mobile column of civil protection. Around 3.30 am the emergency came to cease for the passage of the full flood without the feared flooding, also thanks to the timely and massive operations of plundering and liberation of the ancient bridge present there from branches, trunks and various debris to eliminate any obstacle to the outflow of the water. Subsequently, the situation that had arisen for the limited exondation of Baganza emerged in its totality and ensured that, between 1 p.m. and 4 p.m. on day 13, about 300 millimeters of rain had fallen on the Parma and Baganza valleys, equal to more than a third of the usual rainfall recorded over a whole year on the same territory. It had been an unprecedented event that had led to an increase in the hydrometric levels of the homonymous streams whose flow rate had almost fivefold in just over an hour. For the removal of the mud, in addition to all the heavy vehicles put on the field and the approximately 400 civil protection volunteers, operating in total until the last days, spontaneously joined the students of the high schools of the capital. About the storm in Trieste, in the night between Tuesday 14th and Wednesday 15th October a rainy precipitation of very strong intensity fell on the Province of Trieste. The rains have caused flooding in many areas of the capital - including the central piazza dell'Unità d'Italia and the prospiciente promenade - and the nearby Municipality of Muggia, with consequent blocking of the circulation on some important roads, including a stretch of the state road n. 202 and the stretch of the provincial road n. 14 that reaches the state border. According to data from the Regional Meteorological Observatory, over four or five hours, rain fell past 123 millimeters in Muggia and 115 millimeters in the Julian capital. In view of the duration and intensity of the precipitation, this would have been the most significant event of the last twenty years in the Province. Houses, basements and shops of the two city centers were affected by the floods and, in Trieste, the opera house Giuseppe Verdi, the major hospital, the local morgue and the subway of the railway station. The fire department's intervention was immediate. The seven operational teams in the province were engaged throughout the night and during the following day by almost 200 calls for flooding homes, cellars, garages and shops, as well as for checking the static stability of buildings, fences and slopes. Unfortunately, the cloud has caused a victim in the municipality of Muggia, hit by a flow of mud and debris. The landslide, coming from the slope behind the house, knocked down the walls of one of the edges of the house, filling the premises with about five, six cubic meters of muddy material. The mass of mud, trees, shrubs and debris, which poured over the house, has also invaded the public road in front of it, curving in the elevator at the service of the house that it has been implucing. An investigation by the judiciary was launched on the episode, to ascertain any responsibility for disassembling the slope. The static checks of the area affected by the landslide were carried out by the technicians of the Civil Protection of the Autonomous Region of Friuli-Venezia Giulia, to the result of which it was not considered necessary to evacuate the inhabitants of the buildings of the area. The situation has slowly normalized during the day of Wednesday 15, also thanks to the interruption of precipitation. As for the initiatives put in place to deal with the hydrogeological failure, the issue of the contrast to the hydrogeological failure is at the heart of the government's political agenda since its establishment. The Government has set up, in the Presidency of the Council of Ministers, a special mission structure against the hydrogeological failure and for the development of water infrastructure, with the specific task of giving a strong acceleration to the implementation of the interventions of security of the territory, the immediate and targeted use of the funds available still not spent, and of supporting the new programming of resources for the European cycle 2014-2020. For the same purpose, the so-called competitiveness decree has entrusted the responsibility for the realization of interventions to the Presidents of the Regions, as extraordinary commissioners delegates, assigning them the ownership of the special accounts with which to manage the funds. The Governors were also entrusted with further authorisation powers, with the aim of simplifying and speeding up the procedures for securing the territory. Decree-Law No 133 of 2014 has made ordinary the assignment to the Presidents of Region of functions for the interventions of mitigation of the risk of hydrogeological failure and, at the same time, has started a process of reconnaissance of the state of implementation of all the actions financed also on date before 2009 in order to proceed to the revocation of the economic resources not yet used, with the objective to channel the same on equally urgent but immediately cantierabile interventions. As far as the financial aspect is concerned, the Government's action follows two lines of action. Firstly, the recovery of resources allocated since 1998 to the various levels of government, aimed at hydrogeological failure and not yet used. Secondly, the programming of new resources from the new cycle of the Development and Cohesion Fund 2014-2020. Again, the objective is to give a significant and effective acceleration to the works in this field. By June of this year, the planned but not yet completed resources started at the yard amounted to EUR 2,312 million, of which EUR 308 million for operations planned before 2009, EUR 785 million for regional operational plans and EUR 1,219 million from the 2009-2010 programme agreements. In the programming of the Development and Cohesion Funds 2014-2020, on the basis of the indications of the immediate interventions that meet the requirements of Law No 147 of 2013 inserted by the Regions in the information system RENDIS, for a total amount estimated in about 7 billion euros, the Ministry of the environment has made a request of more than 4,5 billion with forecast of regional co-financing of the residual amount of approximately 2,5 billion euros. An amount of around €1,100 million was also requested for soil protection measures coordinated with green infrastructure. To these sums is added the demand of 138 million euros previewed for the participations of defense of the ground inserted in the agreements of program signed with the Regions of the Center-North in 2010, that, to date, have not been allocated with CIPE resolution and have been only in part already anticipated for the amount of 50 million euros with budgetary resources own of the Ministry of the environment. The new seven-year programming, linked to the new cycle of the Development and Cohesion Funds 2014-2020, will be structured through a system of framework programme agreements between the State and the individual Regions, with a governance that includes, also for the coming years, the Presidents of the Regions as Commissioners of Government. This will ensure the necessary transparency and operation both in the development phase of programme agreements - with particular reference to project collection, validation and selection activities, financial and technical monitoring - and in the management phase. With the reform of the Basin Authorities and the establishment of the River Districts, which the Government considers a priority, it aims to strengthen the role of the Water Basin Authorities as a reference point for research and technical and technological study carried out in the various scientific fora, internal and external to the public administration, in close collaboration and integration with the ISPRA, and, therefore, as a validation authority of the design of interventions against hydrogeological risk. Also with reference to the new programming, the guidelines for the collection of projects proposed by the Region and, therefore, for a technical selection that takes into account the cost-benefit analyses of the individual interventions, according to the European directive on floods. Dear senators, the hydrogeological disaster opens painful wounds in our country. From the first day of activity, this Government looks at the problem of the security of the territory as an absolute priority, as a moral duty towards the citizens, but at the same time as a complex path, which requires patience and seriousness. The events of these last weeks urge us to move forward, not to stop at the ballet of responsibilities, which must be verified with rigour and severity to the end, but which do not solve alone an Italian structural problem such as the fragility of its territory, aggravated by decades of carelessness and man's foolish choices. We want to move forward: to change the rules, to spend immediately and entirely the funds at our disposal, to plan new ones according to the needs of local communities. We want to simplify drastically procedures that make the necessary interventions difficult, to eliminate bureaucracies that block for a quirk an indispensable work for the safety of citizens. Unfortunately, we have too many examples of this. In my information I can certainly not forget how many other episodes of bad weather have hit Italy in these months, I think of the Gargano, Refrontolo in Veneto, Senigallia; there, as in the most recent misfortunes and in the most distant ones in time, we have seen citizens ready to roll up their sleeves to help those in difficulty, to help the neighbor, to rebuild where the flood had destroyed. I firmly believe that these great lessons of dignity, these examples of brotherhood and courage cannot leave us indifferent. I think it's rather a qualitative leap in all of us. That is what I am asking Parliament. We are talking about a subject that is too important to divide, to make the controversy and logics of partisanism prevail. I hope that the debate on the motions that have been tabled, which will follow my information, can be held in a constructive spirit, despite the diversity of views, and taking into account the importance of a common, immediate response to a national problem. The citizens are asking us for answers and our reaction must be swift and of absolute responsibility. For my part, I can guarantee that the Government is present and will do everything in its power to overcome this challenge and regain the confidence of the people affected by adversity. [[Applause from the PD, NCD, PI and SCP Groups.]]
