Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	BubbicoFilippo	Bubbico, Filippo	M	1954	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	CampanellaFrancesco	Campanella, Francesco	M	1964	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	CampanellaFrancesco	Campanella, Francesco	M	1964	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Regular	MP	notMinister	GAL	Grandi Autonomie e Libertà	-	Centre-right	DAnnaVincenzo	D'Anna, Vincenzo	M	1951	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	FaddaPaolo	Fadda, Paolo	M	1950	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Regular	MP	notMinister	GAL	Grandi Autonomie e Libertà	-	Centre-right	DAnnaVincenzo	D'Anna, Vincenzo	M	1951	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Regular	MP	notMinister	GAL	Grandi Autonomie e Libertà	-	Centre-right	DAnnaVincenzo	D'Anna, Vincenzo	M	1951	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ToccafondiGabriele	Toccafondi, Gabriele	M	1972	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Regular	MP	notMinister	PI	Per l'Italia	Coalition	Far-right	DiBiagioAldo	Di Biagio, Aldo	M	1964	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Regular	MP	notMinister	PI	Per l'Italia	Coalition	Far-right	DiBiagioAldo	Di Biagio, Aldo	M	1964	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u20	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u21	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
ParlaMint-IT-en_2014-01-23-LEG17-Senato-sed-175	ParlaMint-IT_2014-01-23-LEG17-Senato-sed-175.ana.u22	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 175, Day (2014-01-23)	2014-01-23	Upper house	17 Legislatura	-	-	175 Seduta	-	Reference	English	Chairperson	MP	notMinister	PdL	Il Popolo della Libertà	-	Centre-right	GasparriMaurizio	Gasparri, Maurizio	M	1956	
