Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15423	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15424	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	GSS	Građanski savez Srbije	Coalition	Centre	AndrićIvan	Andrić, Ivan	M	1974	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15425	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15426	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	TodorovićDragan	Todorović, Dragan	M	1953	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15427	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15428	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	LSV	Liga socijaldemokrata Vojvodine	Coalition	Centre-left	ČanakNenad	Čanak, Nenad	M	1959	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15429	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15430	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	DHSS	Demohrišćanska stranka Srbije	Opposition	Centre to centre-right	BatićVladan	Batić, Vladan	M	1949	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15431	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15432	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	DSS	Demokratska stranka Srbije	Coalition	Right	AligrudićMiloš	Aligrudić, Miloš	M	1964	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15433	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15434	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	TodorovićDragan	Todorović, Dragan	M	1953	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15435	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15436	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	DHSS	Demohrišćanska stranka Srbije	Opposition	Centre to centre-right	BatićVladan	Batić, Vladan	M	1949	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15437	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15438	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	TodorovićDragan	Todorović, Dragan	M	1953	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15439	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15440	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	DHSS	Demohrišćanska stranka Srbije	Opposition	Centre to centre-right	BatićVladan	Batić, Vladan	M	1949	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15441	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Chairperson	MP	notMinister	DS	Demokratska stranka	Coalition	Centre-left	DulićOliver	Dulić, Oliver	M	1975	
ParlaMint-RS-en_2008-02-29-0	ParlaMint-RS_2008-02-29-0.u15442	Term 7, Meeting v2	2008-02-29	Unicameralism	7. mandat	-	Zasedanje v2	2008-02-29	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	TodorovićDragan	Todorović, Dragan	M	1953	
