ParlaMint-RS_2001-12-06-0.u14854	It's a business thing.
ParlaMint-RS_2001-12-06-0.u14855	Here you go.
ParlaMint-RS_2001-12-06-0.u14856	President-in-Office of the Assembly, the Honorable Presidency, ladies and gentlemen of the People's Parliaments, please give notice to all MPs who have violated the provisions of the Rules of Procedure which obliges them to be identified by means of the use of e-voting cards. Thank you.
ParlaMint-RS_2001-12-06-0.u14857	What procedure? To determine what? Then it can only go like this, not procedurally.
ParlaMint-RS_2001-12-06-0.u14858	Mr. President, I remind you this isn't a precedent. I will ask you to apply this time the same procedure that has been applied in situations where representatives of some other parliamentary groups have refused to identify themselves using an electronic voting card. It is, therefore, an obligation for each MP to insert an identification card into a unit designed for such an entry into the Serbian Assembly. You are required to respect the Rules of Procedure and I ask you to impose sanctions on those who were in the Hall and who did not respect the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14859	Mr. Ambassador, you should know the Rules of Procedure about the work of the National Assembly. The President shall give notice in the event of a breach of the Rules of Procedure, and you cannot suggest what I will do, but you may only point out that there has been a breach of the Rules of Procedure, and I am also teaching you that you can again and in accordance with the Rules of Procedure to arrange your performance for the speaker. Mr. Nikolic picked up the phone. So you have a chance to fix your exposure. Here you go.
ParlaMint-RS_2001-12-06-0.u14860	Mr. President, I'm happy to fix my exposure. That's not a problem for me, especially given the agenda point, which is ahead of us. So, I would ask you to apply the Rules of Procedure and to the Assembly to declare whether a point of the Rules of Procedure which obliges MPs to use the identification card has been injured, and in accordance with the Rules of Procedure and a member consult the Secretary.
ParlaMint-RS_2001-12-06-0.u14861	I'm putting you to a vote, it's already been arranged, so I'm right to put you in line for the Rules of Procedure. What member? (Kedomir Jovanovic, from the post: This is your job. I can't hear. He's bound to say which member. You don't know which member? Then I can't put it to a vote. You are required to point out which member of the Rules of Procedure has been broken.
ParlaMint-RS_2001-12-06-0.u14862	I made a point of breaking the Rules of Procedure. Do you refuse to put to the vote before the Assembly whether the Rules of Procedure have been injured and refuse to consult the secretary in the way you have done so so far? If you refuse, I'll tell you which member.
ParlaMint-RS_2001-12-06-0.u14863	Mr. MP, in Article 97. The Rules of Procedure stand. "The president, or representative of the parliamentary group, is obliged to specify which provision of the Rules of Procedure in his opinion has been violated, to quote and explain what the injury consists of, with what can be said" etc. Let's do it then.
ParlaMint-RS_2001-12-06-0.u14864	Mr. President, with special satisfaction, and given that I will now be able to point out those manipulations that I could not indicate when you organised a press conference and showed a mounted video, Article 82 paragraph 3: "The quorum is determined by the application of an electronic voting system in such a way that each MP is required to identify himself when entering the hall by entering the identification card into the MP's unit."
ParlaMint-RS_2001-12-06-0.u14865	It's already, from the third try, the way it's supposed to be. Now that is in line with the Rules of Procedure, I now put to the vote Mr Cedomir Jovanovic's objection that there has been an injury to the Rules of Procedure. 82. I ask the People's Messengers to declare it. For 113, against 67, abstention 4 did not vote 51, a total of 235 MPs. I find that the National Assembly has assessed that there has been no damage to the Rules of Procedure. Gentlemen of the People's Parliament, please. Today, we have a motion for a discharge from the president of the National Assembly. So it's not me, it's the man who's the president of the National Assembly. Please let us at least make this session so that we can keep as much as possible what is left of Parliament. I am putting to the vote the proposal of a group of 112 MPs of the DOS parliamentary group to put on the agenda of this session a proposal for the resolution of the president of the National Assembly of Serbia, Dragan Marsicanin, as well as the election of the president of the National Assembly of the Republic of Serbia. Please make this clear by voting. For 127, against 75, a abstentioned one, was not voted 33, a total of 236 MPs. I find that the National Assembly has accepted this proposal. Since this proposal has been accepted and before putting the second part of the proposal to the same applicants is put to the vote - that, on the basis of Article 88. Rules of Procedure, make changes in order of the agenda points and immediately open a search on this agenda point, I remind you that Article 88(4) The Rules of Procedure provide that the National Assembly may, without delay, make changes in order to the agenda points, with the consent of the promoters of the relevant acts. As the proposal does not make it clear whether the applicant wants this point to be considered after the end of the 11th item of the agenda, which is under discussion, or whether that point is interrupted and immediately moved to consider their proposal, please the proposing representative, MP Cedomir Jovanovic, to make a statement. The word is Mr. Cedomir Jovanovic.
ParlaMint-RS_2001-12-06-0.u14866	Mr. President, the Honorable Presidency, ladies and gentlemen of the People's Parliament, I think the position of Article 2 88 is clear. It says that new items are entered in the agenda on the basis of a proposal to supplement the agenda, a proposal to merge the debate and an emergency procedure proposal, are included in the agenda in the order of the proposal, unless the applicant has proposed a second order of consideration, which I am doing at the moment.
ParlaMint-RS_2001-12-06-0.u14867	If I understand correctly, it is a proposal to end the debate on the labour law and to open a debate on these points. The word is Mr. Nikolic, according to the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14868	I understand the proposal's wish to supplement the agenda and to change the order of certain points, but there are two circumstances why it cannot be done in this way: it is the first to discuss a very important law, and the debate on these points of the agenda that you propose will take a few days; if you have already hired some unions to call us to stop reform, don't jump into your mouth now; that's one thing; the second thing - Article 88 paragraph 3 says, "The National Assembly can in the course of the session, without a search, make changes in the order of the agenda." But he doesn't say anywhere that he can end the debate on one agenda and start a discussion on the other point of the agenda. We as a Parliament can decide that after the draft labour law, we can discuss the points that you put in by emergency procedure. It is impossible to put the second item of the agenda in the debate on one item of the agenda. That doesn't allow this Rules of Procedure. Only if you want to arbitration mostly in the National Assembly, but then you don't need a vote on the president's shift. He can sit on the presidency seat of Natasa Micic and say, "I have 126 MPs behind me and from now on I am taking the meetings of the National Assembly." Don't point us to card abuses and count under abuse what we do when we enter the O.R., put the cards in the O.R., then take them out. There are no injuries to the Rules of Procedure; and there is no misuse of stealing the voice of a man who flew the universe without using conventional means of transport.
ParlaMint-RS_2001-12-06-0.u14869	The promoter asked for the 11th item of the agenda to be suspended. This is in accordance with Article 88(4), which states that the National Assembly may, during the sitting without a search, amend the order of the agenda points with the agreement of the promoters of the relevant acts. I'm asking MP dean mihailov, as a proposal for the 12th agenda... (In the meantime, Cedomir Jovanovic is looking for a word). Here you go.
ParlaMint-RS_2001-12-06-0.u14870	Mr. President, the Honorable Presidency, ladies and gentlemen, Members of the People's Parliament, Rule 159. The Rules of Procedure, which we adopted jointly, paragraph 3 says: "In the course of the National Assembly session, an extremely urgent procedure may be put on the agenda a proposal for selection, appointment and resolution and termination of office, on a reasoned proposal from the authorised promoter." I submitted that proposal to you during yesterday. This Rules of Procedure have many members, but Article 88(2) makes it very clear that a second order of consideration can be proposed, on which the National Assembly, not individual MPs, is declared without a search. So, we are not bound by the position of the promoter, we are bound by the view of the congregation. Please respect the Rules of Procedure in the way we have done so far. I don't see that this decision of ours will be changed, nor that it will preserve your position in that way. Apply Article 88(2) and allow the Assembly to declare itself by voting.
ParlaMint-RS_2001-12-06-0.u14871	Unfortunately, as before, I can't apply what it doesn't say. I have to apply what it says. I'll read the entire article 88, and, of course, the National Assembly will declare itself, there's no rush, nor will we delay the opening of the search. We just have to work a little bit on the Rules of Procedure. So Article 88 says, "The National Assembly decides in particular on any proposal to amend and supplement the proposed agenda." That's when the agenda is determined, so you're going to change and supplement the agenda. "The new items entered into the agenda on the basis of a proposal to supplement the agenda (meaning complementing the agenda), a proposal to merge the debate and a proposal for an emergency procedure, are included in the agenda in the order of the proposal, unless the proposer has proposed a second order of consideration, on which the National Assembly declares itself without a search." This is the part relating to the establishment of the agenda with additions, changes, etc. "This agenda in general is decided by the National Assembly without a search." So, the agenda has been established. We did it the other day, a month and a half ago. "The National Assembly can during the session", which is the case "without a search", which we decided "to make changes in order of the agenda points, with the agreement of the proposings of the relevant acts". That's really what it says, and I don't see it causing any further complications, so I'm going to ask the act promoter, they're going to come out, and then the Assembly is going to make the most of the decision they want. But to be clear, according to the Rules of Procedure, the proposings of the next points must ask whether they agree with the amendments in the agenda, and then the National Assembly can vote what it pleases. So I ask the Proposer according to point 11. - the government's representative: does he agree... (Glasses - yes. How do you know? Well, you're not a representative of the government. [[Laughter]]
ParlaMint-RS_2001-12-06-0.u14872	On behalf of the promoter - the Government of the Republic of Serbia, I agree.
ParlaMint-RS_2001-12-06-0.u14873	Please, on item 12 of the agenda - People's MP Dejan Michael: does it agree with the amendments to the agenda? No, I don't. ) On the 13th item of the agenda - rapporteur of the Committee on Justice and Administration: it is not available. After the 14th agenda - Dejana Mihajlova, president of the DOS parliamentary group - Dr Vojislav Kostunica - Democratic Party of Serbia? No, I don't. ) Now, since all the proponents of the acts under the remaining indiscriminate points of the agenda of this session are not in agreement with the proposed change in the agenda, I realise that the proposal of a group of 112 MPs of the Democratic Opposition Group of Serbia, which we have accepted to put on the agenda of this session, will be considered after considering the agenda points that we set out at the beginning of this session, i.e. as the 15th item of the agenda of this session. According to the Rules of Procedure, Mr. Jovanovic, go ahead. He has the word Mr. Cedomir Jovanovic, according to the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14874	Article 88(2) - I ask that the Assembly be declared without any further scrutiny of the different order of consideration of the agenda points, i.e. the interruption of the debate which took place until this moment and the extraordinary putting into the procedure of the proposed agenda of this initiative that has been forwarded to you.
ParlaMint-RS_2001-12-06-0.u14875	We're having the same problem again, just like at the beginning. You must point out the violation of the Rules of Procedure in that article, say which member of the Rules of Procedure it is. You must seek to determine the breach of the Rules of Procedure in that article.
ParlaMint-RS_2001-12-06-0.u14876	Mr. Martian, it is not disputed that we have not understood each other at all lately, so I will repeat this once again: I ask that, in accordance with Article 88(2), the Assembly without a search be heard about the initiative and, at the same time, finds that you have injured the Rules of Procedure in its conclusion.
ParlaMint-RS_2001-12-06-0.u14877	First, it can't, this second can, it can determine that there's been a breach of the Rules of Procedure, it can be determined that there's been a breach of the Rules of Procedure, what I've been reading, why not, it can, it can. He has the word Mr Tomislav Nikolic, according to the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14878	Mr. President, your penitent behavior, I would say, is not binding on me in any way. I am only bound by the Rules of Procedure of the National Assembly. You don't even have the right to allow the parliamentary majority in this assembly, just because it is your status in the Assembly, to step down the Rules of Procedure of the National Assembly of the Republic of Serbia. You've been acting the same way you've been acting for the past year. Whenever you need the congregation’s majority, you leave it to the congregation’s majority to step directly on the Rules of Procedure of the National Assembly, and even now, when it comes to you. There is no vote on this, it cannot, without the consent of other proposings, change the established agenda, order of the points. He can't. Then you don't need a Rules of Procedure, then write down -- the session will run as most of you in the National Assembly. Article 88(4) indicates that the prior consent of the promoter of other acts is mandatory. Well, for the Declaration on Kosovo and Metohija, you have scheduled us a new session; although by emergency procedure, on a proposal from the Government, it is on the agenda, yet you have scheduled a new session. We didn't interrupt some meaningless agenda points, because that's not what the Rules of Procedure allowed. I ask you to leave the National Assembly President with dignity, protecting the Rules of Procedure, not yourself. It is your duty until the last hour, because this is what you are showing Natashi Micic what to do. And if she hasn't learned enough from you in the past year, she'll learn today. You have to defend the Rules of Procedure at all costs, and the Rules of Procedure say there is no today, without the consent of the act promoters, changes in the agenda, in order of the agenda points. There are changes to the agenda, but only after the points that the act promoters disagreed with. And please, Mr. President, there is no vote on this, even if you now interrupt the session, so let the cowboy session of the National Assembly be convened.
