Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4423	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MaršićaninDragan	Maršićanin, Dragan	M	1950	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4424	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	GudurićStevan	Gudurić, Stevan	M	1953	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4425	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MaršićaninDragan	Maršićanin, Dragan	M	1950	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4426	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JanjićSlobodan	Janjić, Slobodan	M	1953	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4427	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MaršićaninDragan	Maršićanin, Dragan	M	1950	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4428	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JanjićSlobodan	Janjić, Slobodan	M	1953	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4429	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MaršićaninDragan	Maršićanin, Dragan	M	1950	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4430	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JanjićSlobodan	Janjić, Slobodan	M	1953	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4431	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MaršićaninDragan	Maršićanin, Dragan	M	1950	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4432	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	JanjićSlobodan	Janjić, Slobodan	M	1953	
ParlaMint-RS-en_2001-04-19-0	ParlaMint-RS_2001-04-19-0.u4433	Term 5, Meeting 2	2001-04-19	Unicameralism	5. mandat	-	Zasedanje 2	2003-04-01	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MaršićaninDragan	Maršićanin, Dragan	M	1950	
