Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u165	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u167	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ZovkoLjilja	Zovko, Ljilja	F	1958	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u168	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u169	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u170	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u171	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u172	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u173	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Regular	MP	notMinister	DNS	Demokratski narodni savez	Opposition	Centre-right	RodićDragutin	Rodić, Dragutin	M	1958	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u174	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u175	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BabaljDarko	Babalj, Darko	M	1974	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u176	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u177	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VukojaMarin	Vukoja, Marin	U	-	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u178	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-02-16-0	ParlaMint-BA_2015-02-16-0.u179	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01kn	2015-02-16	Unicameralism	7. mandat	-	Sjednica 01kn	2015-02-16	-	Reference	English	Regular	MP	Minister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČolakBariša	Čolak, Bariša	M	1956	
