Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u142	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u144	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u145	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u146	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u150	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u151	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u152	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Regular	MP	Minister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČolakBariša	Čolak, Bariša	M	1956	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u153	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u154	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u155	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u157	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u158	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u159	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u160	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Chairperson	MP	Minister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	NovićSredoje	Nović, Sredoje	M	1947	
ParlaMint-BA-en_2015-01-29-0	ParlaMint-BA_2015-01-29-0.u162	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 01k	2015-01-29	Unicameralism	7. mandat	-	Sjednica 01k	2015-01-29	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
