Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1280	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1283	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Regular	MP	notMinister	DNS	Demokratski narodni savez	Opposition	Centre-right	RodićDragutin	Rodić, Dragutin	M	1958	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1284	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1285	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	RadmanovićNebojša	Radmanović, Nebojša	M	1949	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1286	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1287	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1288	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1289	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BabaljDarko	Babalj, Darko	M	1974	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1290	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1292	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1293	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1294	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2015-12-30-0	ParlaMint-BA_2015-12-30-0.u1295	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 13	2015-12-30	Unicameralism	7. mandat	-	Sjednica 13	2015-12-30	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
