ParlaMint-BG_2020-11-27.u1	Hello, colleagues who are remotely involved in the meeting! Anna Alexandrova?
ParlaMint-BG_2020-11-27.u2	Here.
ParlaMint-BG_2020-11-27.u3	Vejdi Rashidov?
ParlaMint-BG_2020-11-27.u4	Here.
ParlaMint-BG_2020-11-27.u5	Georgi Kolev?
ParlaMint-BG_2020-11-27.u6	Here.
ParlaMint-BG_2020-11-27.u7	Ivelina Vassileva?
ParlaMint-BG_2020-11-27.u8	Here.
ParlaMint-BG_2020-11-27.u9	Konstantin Popov?
ParlaMint-BG_2020-11-27.u10	Here.
ParlaMint-BG_2020-11-27.u11	Plamen Nunev?
ParlaMint-BG_2020-11-27.u12	Here.
ParlaMint-BG_2020-11-27.u13	Six voted online. They voted 118 MPs in the House and 6 MPs online The number of MPs required to take a decision in the Chamber shall be 63. There's a quorum. [[PHONE RINGING]] I'm opening the meeting. Honourable Members of the National Assembly, on the basis of art. 53, para. 5 of the Rules on the Organization and Activity of the National Assembly, I propose that the following additional item be included in the weekly work programme of the National Assembly. The draft decision on the annulment of the Decision establishing a Temporary Commission to examine the Draft Constitution of the Republic of Bulgaria, adopted by the National Assembly on 2 October 2020. Importer Daniela Daritkova and a group of Members of the National Assembly on 26 November 2020, and I propose to be the first item in the Programme for today. Please vote. Mrs. Alexandrova?
ParlaMint-BG_2020-11-27.u14	Yeah.
ParlaMint-BG_2020-11-27.u15	Mr. Rashidov?
ParlaMint-BG_2020-11-27.u16	Yeah.
ParlaMint-BG_2020-11-27.u17	Mr. Kolev?
ParlaMint-BG_2020-11-27.u18	Yeah.
ParlaMint-BG_2020-11-27.u19	Mrs. Vassileva?
ParlaMint-BG_2020-11-27.u20	Yeah.
ParlaMint-BG_2020-11-27.u21	Mr. Popov?
ParlaMint-BG_2020-11-27.u22	Yeah.
ParlaMint-BG_2020-11-27.u23	Mr. Nunev?
ParlaMint-BG_2020-11-27.u24	Yeah.
ParlaMint-BG_2020-11-27.u25	There are 114 MPs and 6 MPs online. Vote 120 MPs: for 119, against none, abstention 1. The motion is accepted. Moving on to point one: PROJECT OF A DECISION TO REPEAT THE DECISION ESTABLISHING A TEMPORARY COMMISSION FOR THE INVESTIGATION OF A PROJECT FOR THE CONSTITUTION OF THE REPUBLIC OF BULGARIA, AS REFERRED TO BY THE PEOPLE'S COLLECTION OF 2 OCTOBER 2020 I'll read to you: Project! DECISION repealing the Decision establishing a Temporary Commission to examine the Draft Constitution of the Republic of Bulgaria adopted by the National Assembly on 2 October 2020. The National Assembly on the basis of art. 86, para. 1 of the Constitution of the Republic of Bulgaria and § 2 of the Additional Rules of Procedure of the National Assembly HAS DECIDED Revocation of the Decision establishing a Temporary Commission for the Study of the Draft Constitution of the Republic of Bulgaria adopted by the National Assembly on 2 October 2020. Importer Daniela Daritkova and a group of Members of the National Assembly. You have the floor for speeches, colleagues. I don't see anyone who wants to. I'm closing the debate. I put to the vote the draft decision repealing the Decision establishing a Temporary Commission to examine the Draft Constitution of the Republic of Bulgaria adopted by the National Assembly on 2 October 2020. Mrs. Alexandrova?
ParlaMint-BG_2020-11-27.u26	Yeah.
ParlaMint-BG_2020-11-27.u27	Mr. Rashidov?
ParlaMint-BG_2020-11-27.u28	Yeah.
ParlaMint-BG_2020-11-27.u29	Mr. Kolev?
ParlaMint-BG_2020-11-27.u30	Yeah.
ParlaMint-BG_2020-11-27.u31	Mrs. Vassileva?
ParlaMint-BG_2020-11-27.u32	Yeah.
ParlaMint-BG_2020-11-27.u33	Mr. Popov?
ParlaMint-BG_2020-11-27.u34	Yeah.
ParlaMint-BG_2020-11-27.u35	Mr. Nunev?
ParlaMint-BG_2020-11-27.u36	Yeah.
ParlaMint-BG_2020-11-27.u37	They voted in this House 106 MPs plus 6 online " 112" total. They voted 111 MPs: 111, against none, abstention 1. The motion is accepted. My colleagues, I'm sorry, I missed the announcements for today. Messages: On the basis of art. 86, para. 1 of the Rules of Organization and Activity of the National Assembly, I inform the Members of the National Assembly that on 26 November 2020 a Decree No 247 of the President of the Republic of Bulgaria was received under art. 101 of the Constitution by which the Law amending and supplementing the Value Added Tax Act adopted by the National Assembly on 19 November 2020 is returned for a new discussion. It is entrusted to the lead Committee on Budget and Finance to report to the MPs the President's decree and the reasons for it. Deputy Prime Minister for Public Order and Security and Minister of Defence of the Republic of Bulgaria in implementation of art. 18 of the Law on the passage through and residence in the territory of the Republic of Bulgaria of Allied and Foreign Armed Forces informs the National Assembly that by its order he has authorised the passage through the airspace of the Republic of Bulgaria of the non-military nature of an airplane with its crew of the members of the Swiss Air Force. The permit shall be valid for passage through the airspace of the Republic of Bulgaria on a flight from the United Arab Emirates route, Switzerland, without landing on the Bulgarian territory, from 1 to 4 December 2020, including for the purpose of transporting a delegation led by the President of Switzerland. The order issued is within the competence of the Minister of Defence, concerning the assessment of the military parameters of the country's transition to defence. On export control issues and in accordance with international sanctions regimes mandatory for the Republic of Bulgaria, the country's air space clearance should be granted to the State concerned following a positive opinion from the competent state authorities in these areas, the Ministry of Economy, the Ministry of Foreign Affairs. The notification was received on 25 November 2020 with entry No 003-09-98 and was submitted to the Defence Committee. Let's continue with: THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR MARITIME SPACES, THE INTERNAL WATERWAYS AND THE PORTS OF BULGARIA Here you go, Mr. Letifov.
ParlaMint-BG_2020-11-27.u38	Madam President, yesterday we reached § 14, which was adopted. The Commission shall support the text of the importer for § 15. The Commission shall support the text of the importer for § 16. The Commission shall support the text of the importer for § 17. The Commission shall support the text of the importer for § 18.
ParlaMint-BG_2020-11-27.u39	Statements? I can't see. I shall put the text of the importer to the vote for paragraphs 15, 16, 17 and 18. Mrs. Alexandrova?
ParlaMint-BG_2020-11-27.u40	Yeah.
ParlaMint-BG_2020-11-27.u41	Mr. Rashidov?
ParlaMint-BG_2020-11-27.u42	Yeah.
ParlaMint-BG_2020-11-27.u43	Mr. Kolev?
ParlaMint-BG_2020-11-27.u44	Yeah.
ParlaMint-BG_2020-11-27.u45	Mrs. Vassileva?
ParlaMint-BG_2020-11-27.u46	Yeah.
ParlaMint-BG_2020-11-27.u47	Mr. Popov?
ParlaMint-BG_2020-11-27.u48	Yeah.
ParlaMint-BG_2020-11-27.u49	Mr. Nunev?
ParlaMint-BG_2020-11-27.u50	Yeah.
ParlaMint-BG_2020-11-27.u51	The votes from the Chamber are 138 MPs and 6 online. s become 144: for 104, not against, abstention 40. The motion is accepted.
ParlaMint-BG_2020-11-27.u52	The Commission shall, in principle, support the text of the importer and propose the following version for § 19: .....19......................................................................... In Article 4 (1) (b), point (c) is replaced by the following: 112 the following amendments and additions are made: 1. Alinei 1 and 2 are amended as follows: (1) The territory and infrastructure of the ports under art. 107 " 109', with the exception of maritime access infrastructure or inland waterways, may be owned by the State, municipalities, natural and legal persons. The inland waterway access infrastructure is public government property, respectively. (2) Specialized port sites may be owned by the State, the municipalities, natural and legal persons. 2. In para. 3 After the words the owners of the... shall be added the territory and the infrastructure of the............................................................ and after the words...................................................................................................................................................................................... 1 and "suppliers" shall be added. 3. A new para is being created. 5. The provisions of art. 5 (5) For the procedure for the entry of specialized port sites shall apply respectively. 92, para. 6................................................ 4. Previously on AMC's... 5 and 6 become respectively. 6 and 7.
ParlaMint-BG_2020-11-27.u53	Statements? I can't see. I shall put to the vote the version of Paragraph 19 of the Commission Report. Mrs. Alexandrova?
ParlaMint-BG_2020-11-27.u54	Yeah.
ParlaMint-BG_2020-11-27.u55	Mr. Rashidov?
ParlaMint-BG_2020-11-27.u56	Yeah.
ParlaMint-BG_2020-11-27.u57	Mr. Kolev?
ParlaMint-BG_2020-11-27.u58	Yeah.
ParlaMint-BG_2020-11-27.u59	Mrs. Vassileva?
ParlaMint-BG_2020-11-27.u60	Yeah.
ParlaMint-BG_2020-11-27.u61	Mr. Popov?
ParlaMint-BG_2020-11-27.u62	Yeah.
ParlaMint-BG_2020-11-27.u63	Mr. Nunev?
ParlaMint-BG_2020-11-27.u64	Yeah.
ParlaMint-BG_2020-11-27.u65	The votes from the House are 149 MPs and 6 online.. become 155: for 112, against 1, abstention 42. The motion is accepted. Mr. Letifov, the Minister of Environment and Water wants to give information, so I'm going to ask you to interrupt the review of the Law. We'll be right back. Here you are, Mr. Secretary.
ParlaMint-BG_2020-11-27.u66	Madam President, ladies and gentlemen of the House! I know the procedure by which I want the word is a very rarely used form...
ParlaMint-BG_2020-11-27.u67	No, no, no!
