ParlaMint-BG_2020-12-11.u1	Hey, guys! Registration mode, please. Mr. Kirchev?
ParlaMint-BG_2020-12-11.u2	Here.
ParlaMint-BG_2020-12-11.u3	Mr. Kasabov, I don't see him. Mr. Toshev?
ParlaMint-BG_2020-12-11.u4	Here.
ParlaMint-BG_2020-12-11.u5	Mr. Dinev?
ParlaMint-BG_2020-12-11.u6	Here.
ParlaMint-BG_2020-12-11.u7	Mrs. Kostadinova?
ParlaMint-BG_2020-12-11.u8	(GERB, via internet platform for video conference): Here.
ParlaMint-BG_2020-12-11.u9	Mr. Popov?
ParlaMint-BG_2020-12-11.u10	Here.
ParlaMint-BG_2020-12-11.u11	Mr. Gurnevsky?
ParlaMint-BG_2020-12-11.u12	Here.
ParlaMint-BG_2020-12-11.u13	Hello! Please abort registration. There are 117 MPs registered in the hall and 6 registered remotely. We have a quorum. I'm opening the meeting. [[PHONE RINGING]] Honourable Members, I propose that parliamentary controls begin immediately, as soon as the legislative part is completed. Mr. Ivanov.
ParlaMint-BG_2020-12-11.u14	Thank you. Dear Mr. Chairman, honourable Members! I'm doing a roll call check procedure before the upcoming vote. Thank you.
