ParlaMint-BG_2020-12-02.u1	Good afternoon, fellow Members. Please, registration mode. Anna Alexandrova?
ParlaMint-BG_2020-12-02.u2	Here.
ParlaMint-BG_2020-12-02.u3	Vladimir Toshev?
ParlaMint-BG_2020-12-02.u4	Here.
ParlaMint-BG_2020-12-02.u5	Mr. Dinev?
ParlaMint-BG_2020-12-02.u6	Here.
ParlaMint-BG_2020-12-02.u7	Mr. Kolev? He's not in the gym. I don't see him. Desislava Kostadinova?
ParlaMint-BG_2020-12-02.u8	Here.
ParlaMint-BG_2020-12-02.u9	Konstantin Popov?
ParlaMint-BG_2020-12-02.u10	Here.
ParlaMint-BG_2020-12-02.u11	Plamen Nunev?
ParlaMint-BG_2020-12-02.u12	Here.
ParlaMint-BG_2020-12-02.u13	Slavko Atanasov?
ParlaMint-BG_2020-12-02.u14	Here.
