ParlaMint-BG_2020-12-18.u1	Good afternoon, fellow Members. Please, registration mode. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u2	Here.
ParlaMint-BG_2020-12-18.u3	Mr. Gurnevsky?
ParlaMint-BG_2020-12-18.u4	Here.
ParlaMint-BG_2020-12-18.u5	Mr. Atanasov?
ParlaMint-BG_2020-12-18.u6	Here.
ParlaMint-BG_2020-12-18.u7	Thank you. Registered in the hall 121 plus 3 remotes becomes 124. There are a number of Members of Parliament in the Chamber who can decide. I'm opening the meeting. [[PHONE RINGING]] Dear colleagues, after a brief illness last night our friend and colleague and MP from the third election district of Varna left us forever. Bow to his memory! Please, with one minute's silence, honor his memory. [[Everyone's up. One-minute silence.]] Thank you. God rest his soul! [[Replys: God forgive him!]] Honourable Members of the National Assembly, on the basis of art. 53, para. 5 of the Rules of Procedure of the National Assembly, I propose that the following additional points be included in the weekly Work Programme of the National Assembly: A bill for ratification of the Agreement to support the sale by and between the Republic of Bulgaria and the Kingdom of Sweden with the corresponding name of the company for the purpose of purchasing and delivery of a vaccine against COVID-19 to Bulgaria and the Agreement between the Kingdom of Sweden and the Republic of Bulgaria on the resale of a vaccine against COVID-19 made by the same company. Importer is the Council of Ministers. I propose that it be point two for today's plenary session 18 December. Draft Decision approving the participation of the Republic of Bulgaria in the conclusion of the European Commission and the manufacturers of medicines, prior Agreement on the purchase of vaccines in relation to the pandemic of COVID-19. Importer is the Council of Ministers on 17 December 2020. I propose to become the third item for today's plenary session. First vote on bills amending and supplementing the Law on Measures and Actions during the emergency situation, announced by the National Assembly Decision of 13 March 2020 and addressing the consequences. They are: Iskren Veselinov and a group of MPs on 10 December 2020 and Daniela Saveklieva on 16 December 2020. I propose to become the fourth item for today's plenary session. The project for a decision to open a procedure for the election of a new Director-General of BTA to become the fifth item for today and to start parliamentary control as soon as the legislative part is completed. Before we vote, colleagues, there is a procedure. Mr. Ivanov, come in. Given the upcoming vote, I understand you have some kind of procedure.
ParlaMint-BG_2020-12-18.u8	Madam President, before the upcoming vote, I propose a roll call procedure. Thank you.
ParlaMint-BG_2020-12-18.u9	Thank you, Mr. Ivanov. Adlen Shukri Shevked is absent. Albena Vladimirova Naydenova- here Alexander Dimitrov Pawnov- here Alexander Ivanov Matsurev- here Alexander Koychev Ivanov- here Aleksandar Mairov Siddi-here Alexander Nikolaev Sabanov- here Alexander Petrov Alexandrov- here Alexander Rumenov Nenkov- here Aleksandar Tihomirov Simov- here Altimir Emilov Adamov- here Anastas Marinov Popdimitrov- absent Angel Iliev Isaev- absent Andrian Ivanov Raykov-- here. Anna Vasileva Alexandrova- here Anna Nikolaeva Slavova- absent Anton Konstantinov Kutev- absent Asya Atanasova Peeva- here Atanas Ivanov Tashkov- here Atanas Petrov Kostadinov- absent Ahmed Recepov Ahmedov is absent. Bogdan Emilov Botsev- absent Boris Vangelov Borisov- here Boris Petkov Kirchev (through the Internet) video conference platform- here Boris Yankov Yachev- here Borislav Ivanov Borisov- here Boryana Lyubenova Georgieva- here Bürhan Ilyazov Abase - absent Valentin Alexiev Nikolov- here Valentin Georgiev Lambev- absent Valentin Ivanov Radev- here Valentin Mirchov Milushev- here Valentina Alexandrova Naydenova- here Valeri Mirchev Zablyanov- here Valeri Simeonov Simeonov- here Vasil Milanov Antonov- here Vasil Tsvetkov- here Eyebrows Letif Rashidov here Velislava Ivanova Krasteva- absent Venka Kostadinova Stoyanova- here Vesela Nikolaeva Lecheva- absent Veselin Naydenov Mareshki - absent Veska Marinova Nencheva- absent Violeta Ruseva Jeleva - absent Vladimir Slavchev Valev- here Vladimir Tsvetanov Toshev- here Vladislav Toshkov Nikolov- here Galya Eneva Zaharieva- here Galya Stoyanova Zhelyazkova - here Georgi Georgiev Mihailov- absent Georgi Georgiev Stoilov- here Georgi Dimitrov Andreev- here Georgi Evdokiev Markov- absent Georgi Zaprev Dinev- here Georgi Yordanov Yordanov- absent Georgi Kolev Kolev- here Georgi Nikolov Vergiev- absent Georgi Strahilov Svilenski- here Georgi Tenev Stankov- here Georgi Chenkov Turnovaliski- here Georgi Yanchev Gokov- here Gergana Zhelyazkova Stefanova- absent Daniel Petkov Yordanov- here Daniela Anastasova Daritkova-Prodanova- here Daniela Vladimirova Saveklieva- here Daniela Dimitrova Maleshkova- here Daniela Dobreva Dimitrova- here Danka Evstatieva Zidarova-Lurtova- here Dean Stoyanov Stanchev- here Delyan Slavchev Peevski- absent Desislaw Petrov Taskov- absent Desislaw Slavov Chukolov- absent Desislava Angelova Todorova- here Desislava Valcheva Atanasova- here Desislava Yordanova Kostadinova-Gusheva- here Jevdet Ibryam Chakarov is absent. Jayhan Hasanov Ibryamov is absent Dilyan Stanimirov Dimitrov- here Dimitar Boychev Petrov- here Dimitar Borisov Glauchev- here Dimitar Velichkov Georgiev - absent Dimitar Ivanov Avramov- absent Dimitar Ivanov Gechev- here Dimitar Ivanov Danchev- absent Dimitar Krumov Alexandrov- here Dimitar Nikolov Lazarov- here Dimitar Stoyanov Stoyanov- here Dobrin Nenov Danev- here Donka Dimova Simeonova- here Dora Ilieva Yankova- absent Dora Stoyanova Hristova- absent Dragomir Velkov Stoynev- absent Evgeni Genchev Budinov- here Evgenia Biserova Alexieva- here Evgenia Danielova Angelova- here Evdokia Slavchova Asenova- here Elena Vladimirova Angelina - absent Elena Stefanova Pesheva - absent Elhan Mehmedov Kulkov- absent Emil Marinov Hristov- here Emil Seraphimov Tonchev- here Emilia Veselinova Staneva-Milkova- here Erjan Sebytin Ebatin is absent. Errol Osman Mehmet-- absent. Zhelyo Ivanov Boychev- here Brought to you by Vassilev Iankov- here Ivan Valentinov Ivanov- here Ivan Dimov Ivanov- absent Ivan Ivaylov Chenchev- absent Ivan Nikolov Mihovski- here Ivan Stefanov Valkov- here Ivan Todorov Ibrishimov- absent Ivelina Veselinova Vasileva- here Ivo Angelov Hristov- absent Iglika Ivanova-Subeva- here Ilian Angelov Timchev- absent Imren Ismetova Mehmedova- absent Irena Metodieva Dimova- here Irena Todorova Anastasova- absent Honest Vasilev Veselinov- here Ihsan Halil Hakke is absent Yordan Apostolov - here Yordan Iliev Yordanov- here Yordan Kirilov Tsonev- absent Kalin Dimitrov Vassilev- here Kalin Lubenov Velev- here Kalin Nikolov Popovski- here Kiril Boyanov Kalfin here Claudia Georgieva Grigorova-Gancheva- here Kolyo Yordanov Milev- here Konstantin Veselinov Popov- here Cornelia Petrova Ninova - absent Krasen Georgiev Krastev- here Krasimir Georgiev Tzipov- here Krasimir Iliev Bogdanov- here Krasimir Lubomirov Velchev- here Krasimir Mitkov Subev- here Krasimir Hristov Jankov- here Christian Ivanov Vigenin - absent Cristina Maximova Sidorova- here Krum Kostadinov Zarkov- absent Krastina Nikolova Takova- missing Lalo Georgiev Kirilov- here Lilyana Drumeva Radeva- here Lachezar Bogomilov Ivanov- here Lyubomir Boykov Bonev- here Manoil Minchev Manev- here Manol Trifonov Genov - absent Margarita Nikolaeva Nikolova- here Maria Yordanova Ilieva- here Maria Yordanova Tsvetkova- here Maria Shtereva Belova- here Martin Stefanov Obreshkov- here Menda Kirilova Stoyanova- here Milen Vassilev Mihov- here Milena Tsvetanova Damyanova- here Milko Nedyalkov Nedyalkov- here Mitko Kostadinov Polychronov- here Mikhail Ivaylov Hristov- absent Mladen Nikolov Shishkov- here Mustafa Sally Karadaye- absent Nadia Spasova Klisurska-Zekova- here Nelly Ruskova Petrova- here Nigyar Sahlim Jaffer is absent Nikola Iliev Dinkov- absent Nikolay Asenov Tishev- absent Nikolay Veselinov Alexandrov- here Nikolay Georgiev Ivanov- here Nikolay Dimitrov Penev- here Nikolay Ivanov Tsonkov- here Nikolay Krastev Boshkov- here Nikolay Tsvetanov Sirakov- here Nikolina Panayotova Angelkova- here Nona Krasteva Yotova- missing Pavel Alexeyev Hristov- here Pavel Dimitrov Shopov- absent Petar Georgiev Kanev- here Peter Hristov Petrov- here Plamen Dulchev Nunev- here Plamen Ivanov Manushev- here Plamen Tachev Petrov- here Plamen Trifonov Hristov- here Polina Alexandrova Shishkova- absent Polina Tsvetoslavova Tsankova-Hristova- here Radoslav Lubchev Stoychev- absent Radoslava Plamen Chekanska- here Radostin Radoslavov Tanev- here Ralitsa Trilkova Dobreva- here We have a quorum. We're continuing the hearing. Please vote on the procedure I have made to supplement the agenda. Boris Kirchev?
ParlaMint-BG_2020-12-18.u10	Yeah.
ParlaMint-BG_2020-12-18.u11	Mr. Gurnevsky?
