ParlaMint-BG_2020-12-17.u1	Colleagues, please register. Colleagues who are with us in the hall remotely: Mr. Kirchev?
ParlaMint-BG_2020-12-17.u2	Yeah.
ParlaMint-BG_2020-12-17.u3	Mr. Gurnevsky?
ParlaMint-BG_2020-12-17.u4	Yeah.
ParlaMint-BG_2020-12-17.u5	Mr. Atanasov?
ParlaMint-BG_2020-12-17.u6	Yeah.
ParlaMint-BG_2020-12-17.u7	Thank you, colleagues. There are 120 MPs registered in the hall, plus three remotes. The required number of MPs who can decide in this House is 62. [[PHONE RINGING]] I'm opening the meeting. Let's continue with: THE SECOND VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR RADIO AND TELEVISION. Mr. Budinov, come in. We also have a sign translation provided, and thank you for that.
ParlaMint-BG_2020-12-17.u8	Madam President, Vice-Presidents, honourable Members of the Parliament! I'm glad I'm first in the stands today. It's disinfected, isn't it, Madame Chairman?
ParlaMint-BG_2020-12-17.u9	Yeah, sure. Especially for you. [[People from BSP for Bulgaria are entering the Chamber.]]
ParlaMint-BG_2020-12-17.u10	Because some colleagues who are currently entering, are literally spitting on the stands and carrying bacillus ol af bulgaricus, I mean, from all over Bulgaria. So, please, the masks! Hello! Here you go. You're late for class.
ParlaMint-BG_2020-12-17.u11	Mr. Budinov, please, to the Bill.
ParlaMint-BG_2020-12-17.u12	I apologize. Report on the Draft Law amending and supplementing the Radio and Television Act. I apologize, before I start with the Report, I would like to do a procedure on the grounds of art. 49, para. 2 of the Rules of Organization and Activity of the National Assembly, please allow Mrs Amelia Gesheva to be admitted to the Chamber. Madam President, before this vote, I also have a roll call procedure.
