Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Regular	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	ParriniDario	Parrini, Dario	M	1973	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	PellegriniEmanuele	Pellegrini, Emanuele	M	1975	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	RossomandoAnna	Rossomando, Anna	F	1963	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	PellegriniEmanuele	Pellegrini, Emanuele	M	1975	
ParlaMint-IT-en_2020-09-01-LEG18-Senato-sed-251	ParlaMint-IT_2020-09-01-LEG18-Senato-sed-251.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 251, Day (2020-09-01)	2020-09-01	Upper house	18 Legislatura	-	-	251 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	LeoneCinzia	Leone, Cinzia	F	1976	
