Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	VescoviManuel	Vescovi, Manuel	M	1970	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Regular	MP	notMinister	L-SP	Lega-Salvini Premier	-	Right to far-right	VescoviManuel	Vescovi, Manuel	M	1970	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	FerraraGianluca	Ferrara, Gianluca	M	1972	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	FerraraGianluca	Ferrara, Gianluca	M	1972	
ParlaMint-IT-en_2020-05-26-LEG18-Senato-sed-221	ParlaMint-IT_2020-05-26-LEG18-Senato-sed-221.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 221, Day (2020-05-26)	2020-05-26	Upper house	18 Legislatura	-	-	221 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	-	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
